target_stock_name,target_stock_code,similar_stock1_name,similar_stock1_code,similar_stock1_reason,similar_stock2_name,similar_stock2_code,similar_stock2_reason,similar_stock3_name,similar_stock3_code,similar_stock3_reason,similar_stock4_name,similar_stock4_code,similar_stock4_reason,similar_stock5_name,similar_stock5_code,similar_stock5_reason,similar_stock6_name,similar_stock6_code,similar_stock6_reason
长电科技,600584,通富微电,002156.SZ,通富微电是中国大陆主要的半导体封装测试(OSAT)公司之一，与长电科技同属于封测行业，是其在国内市场的主要竞争对手之一，两家公司业务相似，规模和技术实力接近，常常相互影响。,华天科技,002185.SZ,华天科技也是中国大陆主要的半导体封测企业之一，在全球OSAT厂商中排名前列。与长电科技在业务领域、客户群体上有重叠，构成直接竞争关系，其市场表现和技术发展对长电科技有直接影响。,环旭电子,601231.SH,环旭电子是系统级封装(SiP)领域的领先企业。虽然其业务范围比纯粹的OSAT更广，但在先进封装领域，特别是SiP方面，与长电科技存在业务重叠和竞争关系，同属于电子制造服务产业链的重要环节。,晶方科技,603005.SH,晶方科技专注于影像传感器(CIS)等领域的晶圆级芯片尺寸封装(WLCSP)，是该细分领域的龙头企业。虽然与长电科技的业务重心有所不同，但在晶圆级封装技术方面存在竞争，并且同受半导体行业景气度影响。,中芯国际,688981.SH,中芯国际是中国大陆规模最大、技术最先进的集成电路晶圆代工企业。作为半导体产业链的上游（晶圆制造），其生产经营状况直接影响下游封测环节的需求，与长电科技（封测）关联紧密。同时，中芯国际的关联公司曾是长电科技的重要股东，两者在产业链上有协同和相互影响。,国联安中证全指半导体产品与设备ETF (或类似半导体ETF),512480.SH,该ETF追踪中证全指半导体产品与设备指数，该指数包含了A股市场中半导体产业链的龙头公司，覆盖设计、制造、设备、材料、封测等环节。长电科技是该指数的重要成分股之一，因此该ETF的走势与长电科技及整个半导体行业高度相关。
长春高新,661,百克生物,688276.SH,百克生物是长春高新控股的上市子公司，主要从事人用疫苗的研发、生产和销售，与长春高新的疫苗业务板块紧密相关，其业绩和发展直接影响长春高新的整体表现。,安科生物,300009.SZ,安科生物是长春高新在生长激素领域的主要竞争对手。长春高新的核心子公司金赛药业是国内生长激素龙头，而安科生物在该市场占据重要份额，两家公司在产品、市场和研发上存在直接竞争关系，股价常受相同行业政策（如集采）和市场预期的影响。,智飞生物,300122.SZ,智飞生物是中国领先的疫苗企业之一，虽然产品管线与长春高新（百克生物）不完全重叠，但在疫苗行业具有重要影响力。两家公司同属生物制品和疫苗行业，会受到相同的行业政策、市场环境及投资者情绪的影响，在市场表现上具有一定的相关性。,沃森生物,300142.SZ,沃森生物也是国内主要的疫苗研发和生产企业之一，与长春高新（百克生物）在疫苗领域存在竞争关系。两家公司在市场份额、技术路线、产品研发等方面相互影响，是行业内的重要参与者。,恒瑞医药,600276.SH,恒瑞医药是中国A股医药行业的龙头企业之一，尤其在创新药领域具有代表性。虽然其主营业务与长春高新的生长激素和疫苗不完全相同，但作为医药生物板块的权重股，其股价走势常能反映整个行业的景气度和市场情绪，对包括长春高新在内的同板块股票具有较强的带动或影响作用。,易方达沪深300医药卫生ETF,512010.SH,该ETF追踪的是沪深300医药卫生指数，该指数包含了A股市场中规模大、流动性好的医药卫生行业上市公司。长春高新是该指数的重要成分股之一。投资该ETF相当于投资了包括长春高新在内的一篮子龙头医药股，能够反映医药生物行业的整体表现和趋势，与长春高新的股价走势具有高度相关性。
小米集团-W,1810,比亚迪电子,00285.HK,比亚迪电子是小米手机的主要代工厂之一，双方存在紧密的供应链合作关系。同时，比亚迪（比亚迪电子母公司）与小米在电动汽车领域也形成竞争关系，相互影响显著。,舜宇光学科技,02382.HK,舜宇光学科技是小米手机摄像头模组的主要供应商之一，属于小米核心供应链伙伴，业务关联紧密。,腾讯控股,00700.HK,腾讯是香港上市的科技巨头，与小米同属恒生科技指数的重要成分股，在互联网服务、游戏等领域存在潜在合作与竞争，且股价常受整体科技板块情绪影响，与小米股价有较高的市场相关性。,金山云,03896.HK,小米集团创始人雷军同时也是金山集团的董事长，小米集团是金山云的重要客户和投资者，两者在业务和股权层面都有紧密联系。,传音控股,688036.SH,传音控股与小米在智能手机市场，特别是在海外新兴市场存在直接竞争关系，两者的市场策略和表现会相互影响, 中概互联网ETF,513050.SH, 小米集团是恒生科技指数和多个中国互联网相关指数的重要成分股。投资此类ETF相当于间接投资了小米及其他香港上市的科技龙头（如腾讯、阿里巴巴、美团等），能够反映小米所在科技板块的整体市场表现和风险敞口。根据最新数据（截至2025年初），中概互联网ETF（如513050.SH或159607.SZ）也通常将小米集团作为重要持仓股，例如截至2024年底或2025年初，小米在这些ETF中的持仓占比约为7%-8%左右。
腾讯控股,700,阿里巴巴-W,09988.HK,阿里巴巴与腾讯控股在电商、云计算、数字支付、数字娱乐等多个核心业务领域存在直接且激烈的竞争关系，两家公司同为中国最大的互联网巨头，市场表现和战略动向常相互影响，是行业内最重要的竞争对手。,美团-W,03690.HK,腾讯是美团的重要股东之一，双方在支付（微信支付）、本地生活服务入口（微信小程序）等方面有深度业务合作。同时，美团在本地生活服务领域的扩张也与腾讯的部分业务存在潜在的协同或竞争可能。,京东集团-SW,09618.HK,腾讯是京东的重要股东，京东通过微信平台获得重要的流量入口，双方在电商零售、物流、金融科技等领域有战略合作关系，是腾讯生态体系内的重要合作伙伴。,网易-S,09999.HK,网易是中国另一大互联网和游戏巨头，尤其在网络游戏领域是腾讯最主要的竞争对手之一，两家公司的游戏产品发布和市场表现对彼此影响显著。,阅文集团,00772.HK,阅文集团是腾讯控股的子公司，是中国领先的数字阅读平台和文学IP培育平台，为腾讯的泛娱乐生态（游戏、影视、动漫等）提供了丰富的内容源头，与腾讯主营业务关联紧密。,华夏恒生科技ETF,513180.SH,该ETF跟踪的是恒生科技指数，该指数包含了在香港上市的30家最大的科技公司。腾讯控股是恒生科技指数中权重最高的成分股之一，因此该ETF的表现与腾讯控股的股价高度相关，是投资腾讯及相关香港科技龙头的便捷工具。
阿里巴巴-W,9988,腾讯控股,00700.HK,腾讯是中国领先的互联网增值服务提供商，与阿里巴巴在社交媒体、数字支付、云计算、游戏、数字娱乐等多个核心业务领域存在直接且激烈的竞争关系。两家公司同为中国最大的科技巨头，其股价和市场表现往往相互影响，具有高度相关性。,京东集团-W,09618.HK,京东是中国领先的技术驱动型电商公司，尤其在自营零售和物流领域是阿里巴巴在国内电商市场的主要竞争对手。两者在电商市场份额、供应链管理、物流服务等方面竞争激烈，市场动向和业务发展相互影响显著。,美团-W,03690.HK,美团是中国领先的生活服务电子商务平台，在本地生活服务（如外卖、到店餐饮、酒店旅游等）领域与阿里巴巴旗下的饿了么、飞猪等业务存在直接竞争。美团和阿里巴巴同为港股科技股的重要组成部分，其市场表现具有一定联动性。,阿里健康,00241.HK,阿里健康是阿里巴巴集团在大健康领域的旗舰平台，是阿里巴巴的上市子公司。其业务发展直接受益于阿里巴巴的生态系统支持（如流量、技术），也反映了阿里巴巴在医疗健康产业的布局和发展战略，与母公司业务有直接关联。,百度集团-W,09888.HK,百度是中国领先的AI公司，与阿里巴巴在云计算、人工智能（大模型）、智能驾驶等前沿技术领域存在竞争和合作关系。两者都是中国科技创新的重要力量，其在AI领域的投入和发展对行业格局有重要影响，股价可能受共同的行业趋势和政策影响。,中概互联网ETF,513050.SH,该ETF追踪的是中证海外中国互联网指数，该指数旨在反映在海外交易所上市的中国互联网企业的整体表现。阿里巴巴是该指数最重要的权重股之一，因此该ETF的走势与阿里巴巴股价高度相关，是投资和分析阿里巴巴及其所在行业的重要参考标的。
美团-W,3690,阿里巴巴-W,09988.HK,阿里巴巴旗下的饿了么是美团在外卖和本地生活服务领域最主要的竞争对手之一。两家公司在核心业务上存在直接竞争关系，市场策略和表现常相互影响。同时，两者都是中国领先的互联网科技巨头，在资本市场上关联性强。,腾讯控股有限公司,00700.HK,腾讯是美团的重要早期投资者及当前的主要股东之一，双方在支付（微信支付）、流量入口（微信小程序）等方面存在合作。同时，两者同为港股市场上的大型科技股，常被并称为“ATMX”之一，股价联动性较强。,京东集团-W,09618.HK,京东近年来积极布局本地生活服务和即时零售（如京东到家、小时达），与美团在外卖、闪购等业务领域形成直接竞争关系。,快手科技,01024.HK,快手与美团在本地生活服务领域达成了战略合作，快手提供流量和内容场景，美团提供履约和供应链能力。同时，两者在短视频直播领域吸引用户时长方面存在竞争关系。,小米集团,01810.HK,小米和美团同为在香港上市的、具有不同投票权架构（WVR）的代表性科技公司，常被市场共同关注并归入“ATMX”组合。两者在资本市场的表现常受相似宏观因素和市场情绪影响，具有较高的市场相关性。,港股互联网ETF,513770.SH,该ETF追踪中证港股通互联网指数，该指数旨在反映港股通范围内互联网相关代表性公司的整体表现。美团是该指数的重要权重股之一，同时该ETF还重仓持有腾讯控股、小米集团、快手等与美团业务或市场表现高度相关的公司，因此其净值表现与美团股价高度相关。
拼多多,PDD,阿里巴巴-W,09988.HK,阿里巴巴是中国最大的电子商务平台之一，与拼多多在电商市场存在直接且激烈的竞争关系。两家公司在用户、商家、市场份额等方面相互影响，市场表现和战略动向常被放在一起比较。,京东集团-W,09618.HK,京东是中国另一大综合性电商平台，尤其在家电、3C数码等领域具有优势，与拼多多构成直接竞争关系。它们在争夺用户、市场份额以及物流服务等方面存在竞争和相互影响。,腾讯控股,00700.HK,腾讯是拼多多的重要早期投资者和股东，并通过微信为拼多多提供了关键的流量支持。虽然腾讯自身电商业务规模相对较小，但其在社交、支付和投资领域对拼多多的发展和竞争格局有重要影响。,美团-W,03690.HK,美团和拼多多都曾大力投入社区团购业务（如多多买菜），在该领域存在直接竞争。同时，两者都属于中国大型互联网平台，在争夺用户时长、消费预算以及本地生活服务等领域存在潜在竞争和业务关联性。,快手-W,01024.HK,快手是中国领先的短视频和直播平台，其直播电商业务发展迅速，与拼多多在下沉市场用户以及直播带货领域存在竞争关系。两者都探索社交与电商的结合，模式上有一定的相似性和竞争性。,易方达中证海外中国互联网50ETF,513050.SH,该ETF追踪中证海外中国互联网50指数，旨在反映在海外交易所上市的中国互联网企业的整体表现。拼多多（PDD）是该ETF的重要成分股之一，因此该ETF的走势与拼多多的股价表现以及整个中国互联网板块的景气度高度相关。
黄金ETF,518800,山东黄金,600547.SH,山东黄金是中国主要的黄金生产商之一，其主营业务为黄金开采和冶炼。黄金价格的变动直接影响其盈利能力和股价，与追踪黄金价格的黄金ETF（518800）存在高度市场相关性。该公司也是黄金产业链上游的重要企业，对行业有显著影响力。,紫金矿业,601899.SH,紫金矿业是一家大型跨国矿业集团，黄金是其核心业务之一。尽管其业务也涉及铜等其他金属，但黄金产量和储量巨大，其股价受金价影响显著，与黄金ETF（518800）关联度高。作为行业龙头，其市场表现与黄金ETF有较强的联动性。,中金黄金,600489.SH,中金黄金是中国黄金集团旗下的核心黄金生产企业，专注于黄金的勘探、开采、冶炼和销售。其业务与黄金价格紧密相关，是国内黄金行业的重要参与者，因此与黄金ETF（518800）具有高相关性。,赤峰黄金,600988.SH,赤峰黄金主要从事黄金、有色金属的采选及资源综合回收利用业务，黄金是其重要的收入和利润来源。公司近年来积极拓展海内外黄金资源，其经营业绩和股价与黄金价格波动关联紧密，从而与黄金ETF（518800）相关。,招金矿业,01818.HK,招金矿业是香港上市的中国大型黄金生产商，主营业务为黄金勘探、开采、加工和冶炼。作为重要的黄金供应商，其业绩和股价直接受到黄金市场价格变动的影响，与黄金ETF（518800）的市场表现高度相关。,易方达黄金ETF,159934.SZ,易方达黄金ETF与华安黄金易ETF（518800）都是在中国A股市场上市的黄金ETF，两者都主要投资于上海黄金交易所的黄金现货合约（Au99.99），旨在紧密跟踪国内黄金价格。因此，它们的目标、投资标的和市场表现高度相似，具有极强的相关性。
中概互联网ETF,513050,腾讯控股,00700.HK,腾讯是中国最大的互联网综合服务提供商之一，也是中概互联网ETF（513050）追踪的指数（如中证海外中国互联网50指数）中权重最高的成分股之一。其业务覆盖社交、游戏、广告、金融科技等多个领域，对中国互联网行业有巨大影响力，其股价表现与中概互联网ETF高度相关。,阿里巴巴集团控股有限公司,09988.HK,阿里巴巴是中国最大的电子商务公司之一，在云计算、数字媒体及娱乐等领域也有重要布局。它是中概互联网ETF（513050）追踪指数的核心成分股，权重占比通常位居前列。其业务发展和股价波动对中概互联网ETF有显著影响。,美团,03690.HK,美团是中国领先的生活服务电子商务平台，在外卖、到店、酒店旅游等领域占据主导地位。作为中概互联网ETF（513050）追踪指数的重要成分股，其业务表现和市场估值变化直接影响ETF的净值。,京东集团-W,09618.HK,京东是中国领先的技术驱动型电商和零售基础设施服务商。作为中概互联网ETF（513050）追踪指数的重要成分股之一，其在电商领域的竞争地位和业绩表现，与ETF追踪的中国互联网行业整体趋势紧密相关。,快手科技,01024.HK,快手是中国领先的内容社区和社交平台，尤其在短视频领域具有重要影响力。它是中概互联网ETF（513050）追踪指数的成分股之一，其用户增长、商业化进展和股价表现会影响ETF的整体表现。,南方恒生科技指数ETF,03033.HK,该ETF追踪香港上市的30家最大的科技主题公司（恒生科技指数），其成分股与中概互联网ETF（513050）追踪的指数（主要是在海外上市的中国互联网公司）有显著重叠，例如腾讯、阿里巴巴、美团、京东、快手等都是两者重要的共同持仓股。因此，南方恒生科技指数ETF的市场表现与中概互联网ETF高度相关，是研究中国科技和互联网板块联动性的重要参照。
泓淋电力,301439,立讯精密,002475.SZ,立讯精密是连接器和线缆行业的龙头企业，与泓淋电力在消费电子、通信及汽车领域的连接器、线缆业务上存在直接竞争关系和可比性，双方在技术和市场上相互影响。,昆山沪光,605333.SH,沪光股份专注于汽车高低压线束的研发、生产和销售，是泓淋电力在新能源汽车线束领域的主要竞争对手之一，业务重叠度高。,得润电子,002055.SZ,得润电子主营电子连接器和精密组件，业务覆盖家电、消费电子、汽车等领域，特别是在汽车电气系统（包括连接器和线束）方面与泓淋电力形成竞争。,小米集团,01810.HK,小米集团是泓淋电力的重要客户之一，为其提供电源线组件产品和便携式电动汽车充放电设备。小米集团的市场表现和业务需求会直接影响泓淋电力的订单和业绩（供应链关系）。,胜蓝股份,300843.SZ,胜蓝股份专注于电子连接器及精密零组件，产品应用于消费类电子、新能源汽车等领域，与泓淋电力在产品应用领域和技术方向上有较高的相似性和竞争关系。,汽车零部件ETF,159565.SZ,该ETF追踪中证汽车零部件主题指数，成分股包含众多汽车零部件制造企业。泓淋电力的业务包含新能源汽车线束、连接器等重要汽车零部件，该ETF的整体表现能反映泓淋电力所处汽车零部件行业的景气度和市场情绪。
