REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,OTHER_CURRENT_ASSET,PREPAYMENT,RESTRICTED_CASH,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,UNASSIGN_RPOFIT,其他储备,其他权益,其他非流动负债,可供出售投资,土地使用权,存货,应付关联方款项(流动),应收关联方款项,应收帐款,总权益及非流动负债,总资产减总负债合计,投资物业,持作出售的负债(流动),持作出售的资产(流动),指定以公允价值记账之金融资产,指定以公允价值记账之金融资产(流动),无形资产,流动资产其他项目,物业厂房及设备,职工薪酬及福利(非流动),联营公司权益,股东权益其他项目,股本溢价,融资租赁负债(流动),融资租赁负债(非流动),证券投资,递延税项负债,递延税项资产,长期应收款,非流动负债其他项目,非流动资产其他项目,非运算项目,预缴及应收税项
2010-12-31,00636.HK,00636,KLN,10358810,001,12-31,2010-12-31 00:00:00,1967926239.61,272205699.56,2038349206.41,1881026715.22,-1344525561.38,,2135452232.43,13387681.69,425465.0,3343295460.7,109860168.58,14028023533.6,8538527743.64,4144970228.58,5489495789.96,13171462929.79,6423117465.5,14028023533.6,9883053305.02,933621675.54,7604906068.1,4644586119.71,921545276.98,,,43223840.28,347855078.42,111126352.42,68413921.07,,,8538527743.64,,4253605908.89,,,,,710883940.6,,3831373591.96,264711559.05,696110944.87,,,,,,396704416.93,,,,,,3977246.82
2011-12-31,00636.HK,00636,KLN,10358810,001,12-31,2011-12-31 00:00:00,2718416540.4,434566817.3,2031345047.6,2357214019.6,-1415011994.0,,2722796752.5,3764890.8,405350.0,3729294584.4,67320528.0,15679520082.6,9082511256.5,5181996832.1,6597008826.1,14026630873.2,7650532122.2,15679520082.6,10497523250.5,1053523296.1,8028987960.4,5119680755.2,877556807.6,,,42145860.9,467191006.7,89440477.5,81977173.3,,,9082511256.5,,4169525762.6,,,,,961258339.8,,4044732279.5,259552090.6,812670001.0,,,,,,359404388.2,,,,,,8780691.7
2012-12-31,00636.HK,00636,KLN,10358810,001,12-31,2012-12-31 00:00:00,3180988064.65,1286757325.4,2244165219.5,2383611148.25,-1239197729.5,,3507163829.05,3656933.5,405425.0,3898739511.05,95109461.6,18218087795.65,10987811322.15,5991078744.0,7230276473.5,15798439230.0,9196785570.9,18218087795.65,12227009051.65,1966509097.4,9021302224.75,5968743880.75,807987699.5,,,49834030.15,436953280.55,89122956.05,55439436.2,,,10987811322.15,9021302224.75,4676688461.45,,,,,1438288973.4,,4863897509.45,282741773.3,761346796.65,,,,,,397009998.7,,,,,,7523877.15
2013-06-30,00636.HK,00636,KLN,10358810,002,12-31,2013-06-30 00:00:00,2936604243.7,1998955766.35,2227070958.8,2368133591.4,-726543610.15,,3448401956.6,5562308.65,398275.0,3536533841.7,104433280.85,18836746693.25,12183467232.25,5926735850.85,6653279461.0,16728051826.5,9359185300.6,18836746693.25,12910010842.4,2705905839.6,9477561392.65,6582464572.9,667627585.95,,,48687525.65,423780531.0,101966365.5,75708094.75,,,12183467232.25,,4961603212.3,,,,,1531321971.65,,5105618655.75,259334376.6,838998946.05,,,,,,393155573.15,,,54460123.5,,,2671628.7
2013-12-31,00636.HK,00636,KLN,10358810,001,12-31,2013-12-31 00:00:00,3123974046.57,2437284695.72,2193131976.44,3324468986.41,2835675299.02,,3664273661.26,6848063.3,651534648.86,1042253219.82,123424744.09,20185379687.36,15889607662.56,7131447323.82,4295772024.8,23305586906.0,7436020246.14,20185379687.36,13053932363.54,3140248221.34,12749359441.22,7234211515.97,600604241.92,,,46428453.96,425624038.04,128954299.68,6120014.32,,,15889607662.56,12749359441.22,5015582886.86,,,,,1548047558.5,,5135646497.7,247849572.74,882602928.48,,2069877058.03,,,,399513339.74,,,55600613.14,,,6902313.17
2014-06-30,00636.HK,00636,KLN,10358810,002,12-31,2014-06-30 00:00:00,2913191087.5,2367674493.75,2217454131.25,2504163775.0,2905328993.75,,3812822575.0,6273006.25,670934650.0,558225325.0,142657512.5,19988666525.0,16333355700.0,6560639818.75,3655310825.0,24346327831.25,6706775543.75,19988666525.0,13428026706.25,3051464718.75,13281890981.25,7650607793.75,402951950.0,,,41478200.0,437226868.75,233645868.75,41236900.0,1686718.75,,16333355700.0,,5172953681.25,,,,,1534918825.0,,5357817262.5,242636675.0,883631868.75,,2339942456.25,,,,408930475.0,,,32223075.0,,,2047875.0
2014-12-31,00636.HK,00636,KLN,10358810,001,12-31,2014-12-31 00:00:00,2886857931.95,2570487929.41,2115739084.69,3010484116.26,2991143390.47,,3734910537.09,20054653.14,667084249.4,1020244782.13,131252979.47,20994244642.2,16937565865.16,7047822167.51,4056678777.04,25262429721.550003,7305160239.08,20994244642.2,13946422474.69,3248481462.04,13689084403.12,8329063800.27,,,,74530070.99,458286926.67,263376871.42,18323083.49,1670037.79,,16937565865.16,,5882005626.54,,,,,1447399743.12,,5248264545.43,223275453.84,835935561.94,,2577197268.76,,,,427194404.49,,,27523674.3,,,17325951.81
2015-06-30,00636.HK,00636,KLN,10358810,002,12-31,2015-06-30 00:00:00,2611626330.63,3208361208.75,2126207697.06,2732271831.48,3049306457.85,,3836566357.53,30947422.23,667921125.6,1008389298.12,150764093.97,21722775835.11,17900395782.87,6871686510.09,3822380052.24,25898058073.739998,7710642949.71,21722775835.11,14851089325.02,3888262897.47,14012132885.4,8769659432.61,94321699.05,,,89198099.88,442198862.52,252461662.35,51600329.52,3018799.08,,17900395782.87,,6017237038.41,,,,,1704332891.46,,5465069665.83,220509550.98,841707899.91,,2354022931.08,,,275241450.81,433373528.01,,16103416.2,26018609.73,,,16420437.42
2015-12-31,00636.HK,00636,KLN,10358810,001,12-31,2015-12-31 00:00:00,3195302135.58,2555616892.14,2137421411.76,3127731827.46,2128592048.34,,4097859285.18,28181243.64,709773080.46,2023562083.08,132682569.72,23803337120.88,18407441610.42,7524487558.8,5395895510.46,27990005274.96,8739623777.52,23803337120.88,16278849562.08,3343728267.06,15063713343.36,10152778514.82,,,96411722.4,88483810.26,451096776.54,265895454.18,44348722.08,2098638.9,,18407441610.42,,6801602383.56,,,,,1796253937.92,,5888104664.94,222233711.7,952172994.54,-86711067.78,2150451404.1,,,294638010.42,469465940.82,,6496983.9,,,,2721109.44
2016-06-30,00636.HK,00636,KLN,10358810,002,12-31,2016-06-30 00:00:00,3294143470.29,3875435305.41,2525309687.73,3429694132.29,3209181580.26,297260208.69,4984623467.4,26877662.16,724249922.01,2234984271.42,134148148.53,26543787033.84,20844120149.67,8908848464.43,5699666884.17,28417366403.73,11072448988.11,26543787033.84,17634938569.41,5372782103.94,15471338045.73,10814632654.59,,,878670842.94,90597584.01,467584828.98,249301256.31,36390993.93,3049462.56,,20844120149.67,,7078872648.6,,,,,2468171579.55,89350620.48,6324766539.48,115026616.62,1022398987.5,-879954557.28,2287100338.68,,,,503649338.97,,6634803.21,,,,4603252.62
