REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:应占附属公司溢利,减:投资收益,减:重估盈余,加:减值及拨备,加:利息支出,加:购股权开支,吸收投资所得,处置无形资产及其他资产,存款减少(增加),存货(增加)减少,已付利息(经营),已付利息(融资),已收利息(投资),已收股息(投资),应收关联方款项(增加)减少,投资支付现金,收回投资所得现金,期间变动其他项目,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,除税前溢利(业务利润),非运算项目
2010-12-31,00636.HK,00636,KLN,10358810,001,12-31,2010-01-01 00:00:00,,5393194.34,1274676121.4,,535531093.64,513731968.9,35529731.22,1863411613.29,,,7515413.76,,348907678.83,-329846846.83,516470261.64,,-7874506.22,651059306.95,,,119360802.03,105299183.78,495565464.33,1679735.82,,,,,,,,,,,,-12780117.67,,15228243.28,,9770378.26,136343662.97,,,1084084.82,53204398.25,,35965407.38,3132273.33,,
2011-12-31,00636.HK,00636,KLN,10358810,001,12-31,2011-01-01 00:00:00,,53543492.2,1775313827.1,,548126430.5,691199577.2,81774498.3,2344638441.2,,57559.7,-25305189.8,,551794037.3,-829975203.2,826307596.4,,157057721.7,1107969908.1,,,241924229.8,295075343.2,996497847.4,5074171.3,,,,,,,,,,26338832.3,,8543967.3,,39738081.9,,10193741.8,26464490.8,,2694766.8,,21198183.6,,122481366.7,85768817.2,,
2012-06-30,00636.HK,00636,KLN,10358810,002,12-31,2012-01-01 00:00:00,,620382.42,2357710805.52,,-403971673.14,503036392.32,40737358.62,1949232596.22,,,-27963676.44,,307167559.02,-711518309.46,379077.3,,225268112.16,100806844.32,,,79704874.62,454339225.62,798371033.04,,,,,,,,,,,7919862.3,,-887774.58,,20722892.4,,7799209.74,14745699.36,,,,-4506536.16,,44163728.28,17644621.68,,
2012-12-31,00636.HK,00636,KLN,10358810,001,12-31,2012-01-01 00:00:00,,64985573.25,2345072258.6,,-9446402.5,1190341584.45,68185187.35,2362456882.6,,147089811.7,-31996141.0,,634598778.9,-1350088764.65,706043583.25,-644045181.4,442290295.25,955795113.45,,,202972782.85,751487671.5,1501309046.25,1027346.95,,,,,,,,,,10309957.75,,184873.8,,46778747.35,,22971380.5,240072413.75,,,,26831026.5,,207636792.05,17901946.3,,
2013-06-30,00636.HK,00636,KLN,10358810,002,12-31,2013-01-01 00:00:00,,17311421.15,2320793031.8,,29344105.45,533156404.6,28409752.3,2346786847.95,,-321118777.35,-135944798.85,,267287928.35,-785522561.8,547578738.9,-237943822.9,166948117.95,672607616.55,,,91590505.2,1275221588.05,2023561195.85,,,,,,,,,,,,,-2160243.6,,33438372.45,,15696017.75,9043232.15,,1031532.25,569533.25,-3350289.3,,142621480.95,,,4693573695.9
2013-12-31,00636.HK,00636,KLN,10358810,001,12-31,2013-01-01 00:00:00,,97213408.35,2290725133.88,,1004540911.64,875169123.83,84103809.33,3308436970.48,353606942.5,-272035580.0,43973843.9,,1071663725.43,-1117120399.11,1049997585.32,-67122813.79,398565932.59,1314893410.69,-292795196.92,1479599160.93,193701912.64,2260794144.01,4011053768.67,,,25901561.12,26297034.81,100926772.64,2706203.66,471903108.3,15934523.41,73644591.64,37553489.72,,,,,71193912.73,,26297034.81,10973412.11,,1022099.0,2372055.91,13170924.96,-164705750.24,309346910.88,10083399.75,1919389491.11,
2014-06-30,00636.HK,00636,KLN,10358810,002,12-31,2014-01-01 00:00:00,256478087.5,150394193.75,3340080950.0,,-867202037.5,358706737.5,46157356.25,2459015275.0,,6958012.5,-231626568.75,,-752580568.75,-520317412.5,405695943.75,-114621468.75,,555654368.75,,,107634087.5,912691850.0,294801925.0,4722812.5,,,,,,,,,,48418.75,,870743.75,,42324337.5,,11940381.25,23856950.0,,,5248275.0,-13863637.5,,247780968.75,22780625.0,,4918030550.0
2014-12-31,00636.HK,00636,KLN,10358810,001,12-31,2014-01-01 00:00:00,11792028.76,305325822.54,3319546027.12,,-272657926.97,808379543.97,87700255.64,2972731164.67,371149924.21,254901252.14,-10931371.59,,-298259125.08,-849795218.97,875396417.08,25601198.11,175302691.4,1218049990.28,,1624114511.82,261858296.67,1283417336.22,1421839566.25,14534929.75,,47682458.28,23808096.6,72084573.99,1345812.22,541577399.01,11375505.4,80795276.53,19233439.47,2845454.09,3439473.2,,,80795276.53,,23808096.6,101665621.25,,35955905.73,5788728.06,-74156935.48,-406064521.54,400894267.56,56162810.78,1828058706.31,
2015-06-30,00636.HK,00636,KLN,10358810,002,12-31,2015-01-01 00:00:00,21723839.67,172470584.22,2971751396.01,,-265215851.88,396191355.12,96460409.37,2699281909.35,,,-24280513.29,,162979662.87,-843615547.5,415420032.75,-428195514.75,433157448.87,605676926.91,,,136599869.76,621384460.89,1099209568.77,35453539.77,,,,,,,,,,,,-10899378.81,,53657024.4,,15482780.13,166588342.23,,291937901.73,,-7253634.78,,164098700.46,1134021.18,,2699281909.35
2015-12-31,00636.HK,00636,KLN,10358810,001,12-31,2015-01-01 00:00:00,27299899.08,407337851.58,3157040722.98,,46835253.12,1041801212.28,107275215.66,3088680388.32,408378374.34,,-329641296.6,,41575670.28,-1434401675.88,1439661258.72,5259582.84,513579246.72,1839893060.34,,1862529038.16,287424724.62,2493785377.02,3193326650.34,159358322.7,,68491028.34,37761257.94,86396062.5,5091189.06,623564680.68,22308405.84,112807077.0,6941845.08,6396450.3,,-6883200.48,,112807077.0,,37761257.94,182316008.04,106340253.18,18216688.32,,-115195587.78,-128976231.0,284324100.84,10990835.82,2133397554.42,
