REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,MANAGE_EXPENSE,MINORITY_INTEREST,NETPROFIT,NON_OPERATING_ITEMS,OPERATE_COST,OPERATE_INCOME,OPERATE_PROFIT,OTHER_INCOME,PARENT_TCI,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他收入,应占联营公司溢利,每股股息,永久资本证券持有人应占全面收益总额,永久资本证券持有人应占溢利,终止或非持续业务溢利,股息,重估盈余,销售成本,非控股权益应占全面收益总额
2010-12-31,00636.HK,00636,KLN,10358810,001,12-31,2010-01-01 00:00:00,0.5445952,,0.5445952,19627551.38,1404198729.49,709043379.01,170248968.82,727649814.39,123235086.32,832278465.33,,7853842235.88,18516081930.74,844462932.0,,841935669.9,1002527434.15,1081713278.09,249434812.76,249434812.76,18158846.2,177692053.53,,,,,,149755170.7,,239777608.19
2011-12-31,00636.HK,00636,KLN,10358810,001,12-31,2011-01-01 00:00:00,0.543169,,0.543169,44907915.8,1970753329.6,705912160.8,205868347.3,1042796113.7,203232761.6,909144922.4,,11028262598.1,25998031855.4,1039561420.7,,741258680.8,1115013269.7,856155949.0,-52988973.4,-52988973.4,5960266.4,120359764.8,,,,,,105643938.4,,114897268.2
2012-06-30,00636.HK,00636,KLN,10358810,002,12-31,2012-01-01 00:00:00,0.2690226,,0.2690226,22363115.04,1052386248.06,350313892.74,122983273.98,523109554.38,94662531.18,444976423.92,,6247286839.08,14599346174.28,533972360.88,,333909220.68,567959697.9,420575258.88,-24401165.04,-24401165.04,4695667.2,56350452.06,,,,,,,,86666038.2
2012-12-31,00636.HK,00636,KLN,10358810,001,12-31,2012-01-01 00:00:00,0.6730055,,0.6730055,51184095.4,2183874467.75,867103529.6,247250868.8,1137866615.85,229061881.6,1096165411.2,1068982475.8,,31290336617.5,1283983407.55,,959645840.1,1343416280.0,1199607167.4,103441756.2,103441756.2,22974623.9,110616967.85,,,,,,215000931.75,13461293841.0,239961327.3
2013-06-30,00636.HK,00636,KLN,10358810,002,12-31,2013-01-01 00:00:00,0.557585,,0.557585,35921218.8,1136030847.95,719726735.25,116703337.05,588636908.65,121441216.45,841167951.7,571677562.6,6448550180.0,15169162055.9,936738817.25,,672796398.9,957871288.75,763606285.1,-77561666.6,-77561666.6,24283623.3,57053690.3,,,,,,365061254.65,,90809886.2
2013-12-31,00636.HK,00636,KLN,10358810,001,12-31,2013-01-01 00:00:00,1.100722,,1.100722,73644591.64,2262746353.1,1442356232.06,239677498.12,1172467059.96,237355760.93,1679711992.99,1420204201.81,,31400049617.78,1892107310.11,,1436780288.9,1919389491.11,1660465868.82,-19246124.17,-19246124.17,329924908.67,100926772.64,,,,,143337591.3,471903108.3,13437278455.79,223685579.92
2014-06-30,00636.HK,00636,KLN,10358810,002,12-31,2014-01-01 00:00:00,0.301625,,0.2936875,42324337.5,1184843325.0,503631993.75,130986212.5,581794937.5,120584912.5,624216906.25,643370093.75,6740202737.5,15850092125.0,762218281.25,,434513037.5,755203118.75,535955875.0,-88261031.25,-88261031.25,40321706.25,35309175.0,0.047625,,,,80521175.0,118848187.5,,101442837.5
2014-12-31,00636.HK,00636,KLN,10358810,001,12-31,2014-01-01 00:00:00,0.7730926,,0.7730926,80795276.53,2476612399.41,1308601222.1,278456121.47,1251986388.81,241001362.74,1549602584.84,1295192009.84,14180574079.22,33314372957.26,1836769408.85,,1149307858.48,1828058706.31,1312480095.89,-237122488.95,-237122488.95,70565999.24,72084573.99,,,,,,541577399.01,,163172237.41
2015-06-30,00636.HK,00636,KLN,10358810,002,12-31,2015-01-01 00:00:00,0.3233301,,0.3233301,53657024.4,1327807892.52,552821130.27,167379318.06,649479480.75,140820510.48,693641640.75,740043453.15,,15984484348.68,870291069.36,,483643472.46,861020958.81,638073025.71,-55568615.04,-55568615.04,61715041.38,44386913.85,,,,,,130247616.21,6664434281.82,154429553.25
2015-12-31,00636.HK,00636,KLN,10358810,001,12-31,2015-01-01 00:00:00,0.8964246,,0.8880468,112807077.0,2865940657.5,1511727932.1,336220382.94,1441040244.6,285449239.38,1797177171.48,1536243888.24,14794037825.82,35319956966.64,2159808568.92,,1046366275.5,2133397554.42,1228668041.28,-568509130.2,-568509130.2,111343475.34,86396062.5,,,,,,623564680.68,,182301765.78
2016-06-30,00636.HK,00636,KLN,10358810,002,12-31,2016-01-01 00:00:00,0.3589614,,0.3589614,63533603.79,1459301163.48,606029403.6,151961180.67,732348774.93,164786358.69,770815762.29,804216265.89,7481310256.83,17881222840.62,940203664.26,,601997070.54,922776942.96,769297868.37,-1517893.92,-1517893.92,77263877.34,46106882.49,,,,,,135987398.37,,167300797.83
2016-12-31,00636.HK,00636,KLN,10358810,001,12-31,2016-01-01 00:00:00,0.9929061,,0.9929061,129890902.59,3230600687.37,1679175961.02,355653597.96,1674298197.99,320553025.56,1999728986.58,1705602469.95,18269454349.8,43000110074.34,2394925293.6,,1303445086.11,2355382584.54,1571478746.04,-428250240.54,-428250240.54,149299980.57,90348193.53,,,,,,689322823.65,,268033659.93
2017-06-30,00636.HK,00636,KLN,10358810,002,12-31,2017-01-01 00:00:00,0.3992432,,0.3992432,61766394.72,1665381386.48,683755187.28,188302187.36,831664377.84,160244937.52,844000124.8,906468666.8,10229752966.72,23790268706.4,1071360448.0,,1028973838.96,1032302312.16,1304625230.96,460625106.16,460625106.16,72751658.16,22708258.88,,,,,,164891781.2,,275651392.0
2017-12-31,00636.HK,00636,KLN,10358810,001,12-31,2017-01-01 00:00:00,1.0448875,,1.0448875,133599315.75,3494933022.72,1768699461.27,392334358.5,1821265661.62,320625819.15,2089325280.42,1807422156.11,22240774832.42,51471415710.28,2561105361.23,,2388484094.86,2481659638.92,2894713698.59,805388418.17,805388418.17,133754795.01,54153593.44,,,,,,753683205.12,,506229603.73
2018-06-30,00636.HK,00636,KLN,10358810,002,12-31,2018-01-01 00:00:00,0.472136,,0.472136,89945280.4,1937481739.5,799122217.8,213326220.6,1037947997.9,176948141.8,976070359.6,1040268209.1,12784078744.2,29443120967.4,1242542231.8,,633619158.5,1189396580.2,762087364.1,-213982995.5,-213982995.5,140734467.5,36799628.8,,,,,,202274022.7,,128468205.6
2018-12-31,00636.HK,00636,KLN,10358810,001,12-31,2018-01-01 00:00:00,1.261728,2516115196.4,1.252966,196483469.0,4166827805.4,2137730855.0,443848748.2,2224030421.6,378384341.4,2516115196.4,-27152737040.0,29250150428.2,66833956467.2,3059422282.8,,1774456582.6,2959963944.6,2054079164.8,-462036031.6,-462036031.6,154616004.4,97025130.8,,,,,,962008894.6,,279622582.2
2019-06-30,00636.HK,00636,KLN,10358810,002,12-31,2019-01-01 00:00:00,1.4338458,2689948380.06,1.4338458,142262133.84,2221718556.96,2454026207.04,259542803.34,1171326227.22,235922173.02,2689948380.06,-14055605965.98,15204635451.18,34852708016.28,3051347014.8,1721969636.4,2533516682.94,2949491183.4,2772556371.0,82607990.94,82607990.94,98637155.46,40406302.44,,,,,,180347893.2,,239039688.06
2019-12-31,00636.HK,00636,KLN,10358810,001,12-31,2019-01-01 00:00:00,1.9796738,3887147732.0,1.9796738,320842418.38,4839452345.78,3393503976.94,527570526.78,2545558628.94,493643755.06,3887147732.0,-29539260987.16,32012132443.78,73703169579.12,4658944613.76,1753525181.2,3473657475.56,4414718258.78,3997242677.12,110094945.12,110094945.12,178977739.78,76616063.4,,,,,,432547975.94,,523585201.56
2020-06-30,00636.HK,00636,KLN,10358810,002,12-31,2020-01-01 00:00:00,0.5571984,,0.5571984,146244484.32,2476112960.64,979983190.56,254722791.84,1246458301.44,239814537.6,1219797728.16,1374497926.56,17514491295.84,39981208512.96,1582699219.2,,644943446.4,1474520520.0,837791639.52,-382006088.64,-382006088.64,144843267.36,38065785.12,,,,,,208201292.64,,192848193.12
2020-12-31,00636.HK,00636,KLN,10358810,001,12-31,2020-01-01 00:00:00,1.3718732,1268995334.6,1.3718732,210935183.36,3896458227.28,2437184921.48,499095886.56,2216810745.52,482901049.68,2920085971.16,-30694813632.4963,37863319898.72,83519556252.0,1879003382.0,,2858591544.56,1768091221.16,3471095054.56,551009083.4,551009083.4,193082315.68,100023022.52,,,,1651090636.56,,6273584.56,,612503510.0
2021-06-30,00636.HK,00636,KLN,10358810,002,12-31,2021-01-01 00:00:00,1.5643104,1220783675.76,1.5559896,99663214.08,2906630176.8,2812719963.84,319111832.88,1318834318.8,393914992.8,3206634956.64,-19000616902.74,25928192759.76,57669645873.12,1572253435.68,,2551446843.84,1539895508.64,2869169935.2,-337465021.44,-337465021.44,-24389928.96,67305287.04,,,,1985851280.88,,8847506.64,,317723091.36
2021-12-31,00636.HK,00636,KLN,10358810,001,12-31,2021-01-01 00:00:00,3.605616,3487137584.0,3.589264,205018105.6,7361623796.8,6490642692.8,1062198939.2,2965380420.8,892772596.8,7383415289.6,-46624975951.2051,57191758545.6,129106764684.8,4625208168.0,,6185914179.2,4549336523.2,7011638670.4,-371776619.2,-371776619.2,-15374968.0,129146460.8,,,,3896277705.6,,244339760.0,,825724491.2
2022-06-30,00636.HK,00636,KLN,10358810,002,12-31,2022-01-01 00:00:00,1.1288508,2304388132.48,1.1202989,128784772.48,4522271230.89,2032628419.85,740528690.37,1572266815.0,271759712.63,2304388132.48,-33467304776.5,36556202310.67,82156947083.12,3094632438.31,,1351337030.4,3044916822.85,1474886329.7,-829501802.78,-829501802.78,138893118.28,79069157.02,,,,,,5734904.14,,123549299.3
2022-12-31,00636.HK,00636,KLN,10358810,001,12-31,2022-01-01 00:00:00,1.7686746,4035397248.12,1.7686746,331015490.82,7837882383.17,3197183944.57,1272700724.82,2858093292.95,215123534.29,3412307478.86,-54621833851.7926,65704648144.38,147085061055.1,5490032060.38,,2188795559.86,5308097972.94,2237544876.84,-1174762602.02,-1174762602.02,501922160.11,149081403.38,,,,-623089769.26,,8320810.05,,48749316.98
2023-06-30,00636.HK,00636,KLN,10358810,002,12-31,2023-01-01 00:00:00,0.184396,651243338.94,0.184396,244675974.38,2243575635.36,338937365.62,208136985.0,1255165132.4,-62178331.2,276759034.42,-17821903824.9712,19143630381.86,42774412034.44,1027826991.92,,17144218.1,859380323.94,-105663517.9,-382422552.32,-382422552.32,39412801.04,76229306.4,,,,-374484304.52,,3687.92,,-122807736.0
2023-12-31,00636.HK,00636,KLN,10358810,001,12-31,2023-01-01 00:00:00,0.3987368,1307274004.54,0.3987368,522635198.4,4441525590.32,716969546.3,420593920.18,2455575271.8,-179567493.0,549065104.7,-35771323555.8425,38520152526.66,85923356233.96,2073454015.5,,852793799.9,1727867924.72,677099491.18,128034386.48,128034386.48,77989293.2,177049107.62,,11663051.4,11663051.4,-758208899.84,,9514403.78,,-187357360.12
2024-06-30,00636.HK,00636,KLN,10358810,002,12-31,2024-01-01 00:00:00,0.4198328,677558116.44,0.4198328,260920609.12,2298459542.84,758549339.64,237655483.24,1203944481.08,51257021.48,821552552.72,-18693876831.1603,20913263605.0,46423446295.68,1127057579.84,,266655890.24,915213599.68,265819875.36,-555732677.36,-555732677.36,36663268.28,49076628.96,,11746191.6,11746191.6,143994436.28,,-4120750.2,,-12582206.48
2024-12-31,00636.HK,00636,KLN,10358810,001,12-31,2024-01-01 00:00:00,0.787134,1494251661.72,0.787134,578916684.12,5229414554.88,1427512884.96,609965879.28,2714214905.64,174335364.36,1625684518.92,-44996225257.9057,48735014525.28,107928858160.32,2606001575.4,,922082105.04,2104217541.0,1064977485.36,-560707033.56,-560707033.56,103335877.56,77132649.72,,23836269.6,23836269.6,131432857.2,,-12533951.4,,119059110.72
2025-06-30,00636.HK,00636,KLN,10358810,002,12-31,2025-01-01 00:00:00,0.328302,748579629.2,0.328302,243784297.9,2675180702.35,591133285.6,289671798.0,1456008426.6,153008794.9,748579629.2,-18653764890.7934,22140116911.25,49630595227.2,1255020118.3,,1448481191.3,1038251427.2,1700249611.45,951669982.25,951669982.25,70118923.55,27015606.8,,4437548.7,4437548.7,,,-34271081.0,,247330871.45
