日期,开盘,最高,最低,收盘,成交量,成交额,换手率,流通股本
2021-01-22,9.8603,9.8603,9.5915,9.6893,1882743.0,,,
2021-01-25,9.6526,10.0314,9.5915,10.0314,2724417.0,,,
2021-01-26,10.1169,10.1536,9.7015,9.7015,2351000.0,,,
2021-01-27,9.7015,10.1169,9.6038,10.0925,1843250.0,,,
2021-01-28,10.0925,10.1414,9.787,10.007,3554000.0,,,
2021-01-29,9.8237,10.4835,9.8237,10.1169,3079500.0,,,
2021-02-01,10.0192,10.4102,10.0192,10.3369,3446815.0,,,
2021-02-02,10.3369,10.9722,10.3369,10.789,9184704.0,,,
2021-02-03,10.8745,11.5465,10.8745,11.461,10276658.0,,,
2021-02-04,12.3713,14.3262,11.9742,14.3262,30565282.0,,,
2021-02-10,15.6397,15.823,14.9066,15.1204,71463278.0,,,
2021-02-11,15.1815,15.2732,14.54,14.8455,17056410.0,,,
2021-02-16,14.8455,14.9371,14.5095,14.54,15065040.0,,,
2021-02-17,14.54,14.876,14.54,14.5706,10056550.0,,,
2021-02-18,14.6622,14.6622,13.9291,14.2957,13831065.0,,,
2021-02-19,14.2957,14.2957,13.9597,14.1429,9211005.0,,,
2021-02-22,14.1429,14.2346,13.5931,13.868,11296230.0,,,
2021-02-23,13.6847,14.2651,13.6237,14.1735,7355650.0,,,
2021-02-24,13.9902,14.0818,13.6542,13.7764,10533000.0,,,
2021-02-25,13.8375,14.0513,13.7764,13.9902,4010500.0,,,
2021-02-26,13.8069,14.0513,13.7153,13.8069,5875500.0,,,
2021-03-01,13.868,14.4179,13.8375,14.1124,6257000.0,,,
2021-03-02,14.1735,14.204,13.868,13.868,4342230.0,,,
2021-03-03,13.9902,14.1124,13.8069,13.9902,4160864.0,,,
2021-03-04,13.9902,14.0513,13.868,13.9597,1989000.0,,,
2021-03-05,13.9291,13.9597,13.8069,13.8986,3751206.0,,,
2021-03-08,13.9597,14.1124,13.8069,13.8069,3953000.0,,,
2021-03-09,13.8375,13.9291,13.6847,13.7764,5027000.0,,,
