REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:应占附属公司溢利,减:投资收益,减:重估盈余,加:减值及拨备,加:利息支出,加:购股权开支,发展中物业(增加)减少,发行相关费用,吸收投资所得,处置无形资产及其他资产,存款减少(增加),存货(增加)减少,已付利息(经营),已付利息(融资),已收利息(投资),已收股息(投资),应付帐款及应计费用增加(减少),应收帐款减少,投资支付现金,收回投资所得现金,期间变动其他项目,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,除税前溢利(业务利润),非运算项目
2011-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2011-01-01 00:00:00,,239434200.0,2337633900.0,,718302600.0,1946978100.0,126018000.0,3194556300.0,554479200.0,,2961423000.0,,-63009000.0,-800214300.0,1581525900.0,,,2577068100.0,18902700.0,2545563600.0,636390900.0,4580754300.0,4757179500.0,,,-25203600.0,56708100.0,12601800.0,,44106300.0,69309900.0,359151300.0,,,,,,485169300.0,-838019700.0,359151300.0,,25203600.0,31504500.0,793913400.0,75610800.0,5374667700.0,2892113100.0,138619800.0,,,,1631933100.0,
2012-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2012-01-01 00:00:00,,659977500.0,3186748500.0,,1037107500.0,949110500.0,100568000.0,4236427000.0,710261500.0,,-125710000.0,,-4538131000.0,1345097000.0,4230141500.0,,,5122682500.0,56569500.0,4789551000.0,791973000.0,9057405500.0,5141539000.0,,,-6285500.0,12571000.0,18856500.0,25142000.0,37713000.0,-31427500.0,94282500.0,263991000.0,,,43998500.0,,383415500.0,1294813000.0,100568000.0,,25142000.0,25142000.0,-949110500.0,-62855000.0,4349566000.0,6235216000.0,12571000.0,50284000.0,6285500.0,,3783871000.0,
2013-03-31,00288.HK,00288,万洲国际,10372808,003,12-31,2013-01-01 00:00:00,,131646900.0,4225238600.0,,639427800.0,282100500.0,,4914817600.0,188067000.0,,-12537800.0,,-18806700.0,150453600.0,507780900.0,,,764805800.0,6268900.0,1241242200.0,244487100.0,56420100.0,169260300.0,,,,31344500.0,12537800.0,6268900.0,6268900.0,18806700.0,12537800.0,62689000.0,,,,,25075600.0,-269562700.0,12537800.0,,25075600.0,,75226800.0,-213142600.0,683310100.0,1078250800.0,50151200.0,-68957900.0,,,1009292900.0,
2013-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2013-01-01 00:00:00,,525189500.0,4164443800.0,,549904300.0,457223800.0,30893500.0,4813207300.0,,-12357400.0,-67965700.0,,1204846500.0,-1316063100.0,661120900.0,-654942200.0,,,,,,1606462000.0,3348855400.0,,,,,,,,,,,,,,,-61787000.0,,,,49429600.0,30893500.0,,,11381165400.0,10540862200.0,98859200.0,,,,,9626414600.0
2013-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2013-01-01 00:00:00,,548721000.0,4109310600.0,,585302400.0,1798585500.0,103647300.0,4871423100.0,1060860600.0,-24387600.0,-28448135400.0,,26893425900.0,-30575953500.0,4267830000.0,-26308123500.0,,5999349600.0,-256069800.0,6292000800.0,1274252100.0,9096574800.0,36563109300.0,,,-12193800.0,79259700.0,18290700.0,85356600.0,,42678300.0,731628000.0,3895919100.0,,,,-24387600.0,-317038800.0,-890147400.0,457267500.0,,67065900.0,30484500.0,1030376100.0,-1225476900.0,22418301300.0,22229297400.0,176810100.0,792597000.0,,,987697800.0,9742846200.0
2014-03-31,00288.HK,00288,万洲国际,10372808,003,12-31,2014-01-01 00:00:00,,178410900.0,4915527900.0,,-1741044300.0,719795700.0,24608400.0,3063745800.0,541384800.0,,,,1790261100.0,-1581089700.0,-1950215700.0,,,-836685600.0,6152100.0,2811509700.0,313757100.0,1205811600.0,3174483600.0,,,,18456300.0,98433600.0,49216800.0,1876390500.0,98433600.0,565993200.0,,,,,,-36912600.0,-1630306500.0,799773000.0,,6152100.0,6152100.0,-1574937600.0,-1384222500.0,3057593700.0,2196299700.0,-110737800.0,941271300.0,,,3580522200.0,
2014-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2014-01-01 00:00:00,,892156000.0,4916087200.0,,-1144420800.0,1532047200.0,36916800.0,3685527200.0,,,-12305600.0,,-110750400.0,-1464366400.0,430696000.0,-1033670400.0,,,,,,4608447200.0,5389852800.0,,,,,,,,,,,,,,,36916800.0,,,,49222400.0,18458400.0,,,6989580800.0,6995733600.0,-86139200.0,,,67680800.0,,7371054400.0
2014-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2014-01-01 00:00:00,,1168729000.0,4889081000.0,,1144253000.0,4277181000.0,67309000.0,5862002000.0,2196721000.0,13975796000.0,-208046000.0,,-3989588000.0,-4411799000.0,9545640000.0,5133841000.0,,13951320000.0,48952000.0,12562307000.0,2435362000.0,33287360000.0,16453991000.0,,,-30595000.0,110142000.0,385497000.0,146856000.0,562948000.0,55071000.0,2270149000.0,477282000.0,,,36714000.0,,220284000.0,-862779000.0,1970318000.0,,67309000.0,18357000.0,783232000.0,483401000.0,14098176000.0,13865654000.0,-171332000.0,985159000.0,,67309000.0,8688980000.0,11724004000.0
2015-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2015-01-01 00:00:00,,990403200.0,5856828800.0,,-843676800.0,2262032000.0,24454400.0,5007038400.0,,,,,-2738892800.0,24454400.0,1870761600.0,1895216000.0,,,,,,7972134400.0,6223644800.0,2164214400.0,,,,,,,,,,,,,,6113600.0,,,,12227200.0,140612800.0,,,5214900800.0,5153764800.0,-6113600.0,,,,,10014076800.0
2015-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2015-01-01 00:00:00,,1051963200.0,6220868800.0,,1285732800.0,4772796000.0,58442400.0,7305300000.0,2538997600.0,,-12987200.0,,-5850733600.0,-3337710400.0,10474176800.0,7136466400.0,,14292413600.0,259744000.0,13052136000.0,2422112800.0,20071717600.0,15240479200.0,2298734400.0,,-58442400.0,77923200.0,90910400.0,181820800.0,,129872000.0,1422098400.0,538968800.0,,,32468000.0,,19480800.0,681828000.0,1396124000.0,,45455200.0,103897600.0,-941572000.0,759751200.0,16506731200.0,15428793600.0,-201301600.0,740270400.0,,,8454667200.0,14610600000.0
