date,open,high,low,close,volume
2014-08-05,4.0395,4.0752,3.891,3.9564,463865427.0
2014-08-06,3.9504,3.9979,3.9445,3.9445,110785500.0
2014-08-07,3.9564,4.0514,3.9445,4.0098,76599510.0
2014-08-08,4.0158,4.0217,3.9385,3.9564,70280000.0
2014-08-11,4.0276,4.188,4.0098,4.1405,190255833.0
2014-08-12,4.1583,4.2118,4.1346,4.1465,84527700.0
2014-08-13,4.1702,4.1702,4.0276,4.0989,70089090.0
2014-08-14,4.1049,4.1049,4.0276,4.0395,36687500.0
2014-08-15,4.0455,4.0692,4.0098,4.0395,24940041.0
2014-08-18,4.0573,4.0989,3.9979,4.0336,46956871.0
2014-08-19,4.0455,4.0692,4.0039,4.0276,28269500.0
2014-08-20,4.0276,4.0633,4.0217,4.0276,18297000.0
2014-08-21,4.0455,4.0455,3.9623,3.992,23024500.0
2014-08-22,3.9861,4.0158,3.9267,3.9504,23629500.0
2014-08-25,3.9504,4.0158,3.9504,3.992,22174500.0
2014-08-26,3.9801,3.9979,3.9623,3.9861,15580500.0
2014-08-27,4.0039,4.0158,3.9504,3.9564,28585242.0
2014-08-28,3.9564,3.9979,3.7366,3.7484,53681226.0
2014-08-29,3.7425,3.79,3.6831,3.7841,47748754.0
2014-09-01,3.8494,3.8732,3.8138,3.8435,39121000.0
2014-09-02,3.8435,3.8554,3.7722,3.79,19610760.0
2014-09-03,3.7722,3.8316,3.6653,3.6772,51374000.0
2014-09-04,3.7009,3.7366,3.6772,3.695,37341500.0
2014-09-05,3.7128,3.8197,3.695,3.796,37202941.0
2014-09-08,3.8375,3.8375,3.7722,3.79,14583000.0
2014-09-10,3.8019,3.8375,3.7603,3.7781,42881500.0
2014-09-11,3.7663,3.8138,3.7663,3.8138,32240159.0
2014-09-12,3.8494,3.9742,3.8316,3.9742,56051600.0
2014-09-15,3.9682,4.0158,3.891,3.9207,38311297.0
2014-09-16,3.897,3.9564,3.8613,3.8732,15630000.0
2014-09-17,3.8732,3.891,3.8316,3.8494,19626500.0
2014-09-18,3.8613,3.8672,3.8019,3.8197,27324500.0
2014-09-19,3.8316,3.9445,3.8316,3.9385,30136751.0
2014-09-22,3.8791,3.8851,3.8197,3.8197,27204500.0
2014-09-23,3.8316,3.8732,3.8257,3.8316,16056360.0
2014-09-24,3.8316,3.891,3.8316,3.8672,28769500.0
2014-09-25,3.8851,3.9742,3.8494,3.8672,25902000.0
2014-09-26,3.8375,3.8613,3.8138,3.8375,13157000.0
2014-09-29,3.796,3.8019,3.6653,3.7663,44607500.0
2014-09-30,3.7425,3.8019,3.7009,3.79,24227500.0
2014-10-03,3.8197,3.8197,3.7069,3.8019,23910070.0
2014-10-06,3.8138,3.8257,3.7722,3.8019,14129000.0
2014-10-07,3.8078,3.8078,3.7366,3.7603,22557500.0
2014-10-08,3.7425,3.7663,3.7247,3.7484,8931144.0
2014-10-09,3.7484,3.7841,3.695,3.7306,17933000.0
2014-10-10,3.7009,3.7247,3.6712,3.7009,22278000.0
2014-10-13,3.689,3.7009,3.6475,3.6653,23270523.0
2014-10-14,3.6356,3.695,3.5762,3.6177,17469000.0
2014-10-15,3.6118,3.6415,3.5465,3.5583,27100500.0
2014-10-16,3.5405,3.5762,3.4692,3.5108,25688000.0
2014-10-17,3.5524,3.6475,3.5465,3.6296,61884500.0
2014-10-20,3.6712,3.7544,3.6356,3.7425,25322900.0
2014-10-21,3.7247,3.7722,3.7069,3.7187,16368700.0
