日期,开盘,最高,最低,收盘,成交量,成交额,换手率,流通股本
2021-01-04,4.5914,4.7897,4.5701,4.7614,29583344.0,,,
2021-01-05,4.7897,5.0802,4.7472,5.0802,72586977.0,,,
2021-01-06,5.0944,5.1511,4.9527,5.0023,52643258.0,,,
2021-01-07,4.9315,4.9952,4.8748,4.8819,26909788.0,,,
2021-01-08,4.896,4.9244,4.7968,4.8464,34503084.0,,,
2021-01-11,4.8535,4.8606,4.726,4.7472,48578270.0,,,
2021-01-12,4.8039,4.811,4.6693,4.7189,31712892.0,,,
2021-01-13,4.7189,4.7827,4.7047,4.7614,38791550.0,,,
2021-01-14,4.7543,4.7543,4.6197,4.6764,40272171.0,,,
2021-01-15,4.6764,4.6976,4.6126,4.641,27793356.0,,,
2021-01-18,4.648,4.6976,4.5984,4.6764,28170825.0,,,
2021-01-19,4.6764,4.9527,4.6764,4.9102,60426960.0,,,
2021-01-20,4.9173,4.9173,4.7756,4.8252,45273212.0,,,
2021-01-21,4.8748,4.896,4.7685,4.8039,51503143.0,,,
2021-01-22,4.7756,4.7827,4.5772,4.6197,58940736.0,,,
2021-01-25,4.648,4.6551,4.5276,4.6055,45606544.0,,,
2021-01-26,4.5984,4.6197,4.5559,4.5914,32463173.0,,,
2021-01-27,4.6055,4.6197,4.5347,4.5701,39663417.0,,,
2021-01-28,4.5701,4.6622,4.5276,4.563,43153769.0,,,
2021-01-29,4.5488,4.5984,4.4355,4.4638,52586646.0,,,
2021-02-01,4.4638,4.5205,4.393,4.4709,21308536.0,,,
2021-02-02,4.4709,4.4922,4.4355,4.4567,38284485.0,,,
2021-02-03,4.5347,4.563,4.4355,4.5559,41009378.0,,,
2021-02-04,4.5559,4.563,4.3788,4.4426,39659209.0,,,
2021-02-05,4.4355,4.5134,4.4213,4.4992,27016786.0,,,
2021-02-08,4.5276,4.5276,4.4213,4.4638,24399494.0,,,
2021-02-09,4.4496,4.4638,4.4,4.4426,20314173.0,,,
2021-02-10,4.5063,4.5205,4.4426,4.4638,18350651.0,,,
2021-02-11,4.4638,4.5701,4.4355,4.5559,23027184.0,,,
2021-02-16,4.6055,4.6197,4.563,4.6055,30415742.0,,,
2021-02-17,4.6268,4.6339,4.563,4.6268,17138856.0,,,
2021-02-18,4.641,4.648,4.5347,4.6126,43292278.0,,,
2021-02-19,4.6126,4.6197,4.5488,4.5984,32676976.0,,,
2021-02-22,4.6197,4.9315,4.6055,4.8181,104463853.0,,,
2021-02-23,4.8252,4.8748,4.7118,4.7472,63686240.0,,,
2021-02-24,4.7472,4.8464,4.7047,4.7614,86476556.0,,,
2021-02-25,4.7543,5.0519,4.7543,4.9315,109056992.0,,,
2021-02-26,4.8181,4.9811,4.7685,4.9315,83342321.0,,,
