日期,605168.SH_close,605168.SH_volume,605168.SH_turnover
2024-05-13,30.02,139861812.0,2.08
2024-05-14,30.45,159318993.0,2.32
2024-05-15,31.09,195340451.0,2.8
2024-05-16,31.01,166030005.0,2.36
2024-05-17,31.08,112538257.0,1.62
2024-05-20,31.41,138510202.0,1.97
2024-05-21,31.78,158518982.0,2.22
2024-05-22,31.38,112313390.0,1.59
2024-05-23,30.31,124343249.0,1.8
2024-05-24,29.59,88448900.0,1.31
2024-05-27,29.34,135539817.0,2.07
2024-05-28,28.86,77057833.0,1.18
2024-05-29,29.1,74296296.0,1.13
2024-05-30,29.57,88515274.0,1.33
2024-05-31,29.97,89647108.0,1.33
2024-06-03,29.3,112269916.0,1.67
2024-06-04,29.46,77821165.0,1.18
2024-06-05,28.94,94810093.0,1.43
2024-06-06,28.25,122865701.0,1.92
2024-06-07,27.95,80083305.0,1.31
2024-06-11,28.62,83646153.0,1.36
2024-06-12,29.04,84509142.0,1.34
2024-06-13,28.94,60057251.0,0.95
2024-06-14,28.75,66772934.0,1.07
2024-06-17,28.66,64003086.0,1.02
2024-06-18,28.83,58397219.0,0.93
2024-06-19,28.27,54180978.0,0.87
2024-06-20,27.7,68393111.0,1.12
2024-06-21,27.27,46037863.0,0.77
2024-06-24,25.71,88000292.0,1.53
2024-06-25,25.13,75634728.0,1.36
2024-06-26,26.53,119759383.0,2.12
2024-06-27,26.07,77367453.0,1.34
2024-06-28,25.61,78860570.0,1.38
2024-07-01,25.88,66428005.0,1.2
2024-07-02,25.49,61236350.0,1.09
2024-07-03,24.91,64374928.0,1.18
2024-07-04,23.88,73384597.0,1.39
2024-07-05,23.86,56514480.0,1.09
2024-07-08,22.65,87682731.0,1.74
2024-07-09,23.08,84086207.0,1.7
2024-07-10,23.16,68572567.0,1.35
2024-07-11,23.72,66873252.0,1.29
2024-07-12,23.32,52022542.0,1.01
2024-07-15,22.95,43911655.0,0.87
2024-07-16,22.99,32865260.0,0.66
2024-07-17,23.68,131287970.0,2.51
2024-07-18,23.25,68672280.0,1.36
2024-07-19,23.5,49677754.0,0.97
2024-07-22,23.66,50313205.0,0.98
2024-07-23,22.83,45766959.0,0.9
2024-07-24,22.28,42592513.0,0.86
2024-07-25,22.74,48879807.0,0.98
2024-07-26,22.87,46039073.0,0.92
2024-07-29,22.49,36110251.0,0.73
2024-07-30,22.8,36311240.0,0.73
2024-07-31,24.18,87057868.0,1.68
2024-08-01,24.08,66122526.0,1.25
2024-08-02,23.72,46448033.0,0.88
2024-08-05,23.02,70839660.0,1.37
2024-08-06,23.75,61302688.0,1.19
2024-08-07,23.82,51835909.0,0.99
2024-08-08,23.93,56986087.0,1.1
2024-08-09,23.98,77087140.0,1.46
2024-08-12,23.48,43914241.0,0.85
2024-08-13,23.33,44348289.0,0.87
2024-08-14,23.41,41476402.0,0.81
2024-08-15,23.96,90536970.0,1.73
2024-08-16,23.74,36083664.0,0.69
