日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-27,4.45,4.48,4.41,4.45,4018338.0,18631715.0,978022745.0,0.0041086345082905
2019-11-28,4.44,4.46,4.34,4.36,6383500.0,29289745.0,978022745.0,0.006526944319684508
2019-11-29,4.37,4.42,4.32,4.4,5089670.0,23195370.0,978022745.0,0.005204040525662826
2019-12-02,4.39,4.45,4.39,4.43,4725800.0,21784079.0,978022745.0,0.004831993963494172
2019-12-03,4.4,4.5,4.39,4.5,7382266.0,34362225.0,978022745.0,0.007548153698613625
2019-12-04,4.48,4.53,4.45,4.51,6257300.0,29298324.0,978022745.0,0.006397908465819985
2019-12-05,4.5,4.56,4.5,4.55,6857477.0,32391812.0,978022745.0,0.007011572108172188
2019-12-06,4.54,4.56,4.5,4.56,5981224.0,28296400.0,978022745.0,0.006115628732131378
2019-12-09,4.56,4.59,4.53,4.55,6420574.0,30488184.0,978022745.0,0.00656485141355276
2019-12-10,4.52,4.56,4.49,4.56,6995377.0,32981544.0,978022745.0,0.007152570874003549
2019-12-11,4.56,4.99,4.51,4.74,34407063.0,170974083.0,978022745.0,0.03518022783815728
2019-12-12,4.68,4.83,4.61,4.78,26893331.0,133457687.0,978022745.0,0.02749765395282295
2019-12-13,4.84,4.84,4.75,4.79,16766419.0,83544087.0,978022745.0,0.017143179016762027
2019-12-16,4.82,4.88,4.79,4.85,19629233.0,99143888.0,978022745.0,0.02007032362013217
2019-12-17,4.85,5.03,4.84,4.97,32423043.0,167787346.0,978022745.0,0.03315162470991408
2019-12-18,4.97,5.03,4.91,4.92,21919781.0,113420315.0,978022745.0,0.022412342772253215
2019-12-19,4.91,5.03,4.91,4.97,16532246.0,85649460.0,978022745.0,0.01690374388992354
2019-12-20,4.99,4.99,4.85,4.85,16807744.0,85924888.0,978022745.0,0.017185432635311564
2019-12-23,4.86,4.9,4.73,4.74,14128079.0,70998139.0,978022745.0,0.014445552592951199
2019-12-24,4.76,4.86,4.72,4.84,11111857.0,55626114.0,978022745.0,0.011361552741802543
2019-12-25,4.84,4.93,4.81,4.9,12245595.0,62322914.0,978022745.0,0.012520767091157988
2019-12-26,4.9,4.91,4.83,4.89,9238548.0,46957173.0,978022745.0,0.00944614841242777
2019-12-27,4.9,4.94,4.82,4.84,11865600.0,60466128.0,978022745.0,0.012132233182368371
2019-12-30,4.84,4.89,4.75,4.86,11301111.0,56803025.0,978022745.0,0.011555059488928349
2019-12-31,4.86,4.89,4.8,4.83,9129187.0,46148235.0,978022745.0,0.009334329949555518
2020-01-02,4.87,5.01,4.86,4.94,20935751.0,107894924.0,978022745.0,0.021406200527575664
2020-01-03,4.95,4.99,4.91,4.99,16261583.0,84146980.0,978022745.0,0.016626998792344038
2020-01-06,4.96,5.07,4.92,5.03,23437604.0,122633286.0,978022745.0,0.023964272937231128
2020-01-07,5.04,5.11,5.01,5.06,17087365.0,89928595.0,978022745.0,0.017471337029079013
2020-01-08,5.03,5.29,4.98,5.09,36610287.0,196076480.0,978022745.0,0.03743296072321917
2020-01-09,5.13,5.19,5.06,5.16,23795916.0,127332535.0,978022745.0,0.02433063660497998
2020-01-10,5.17,5.18,5.0,5.03,18563436.0,98102931.0,978022745.0,0.018980576980344152
