SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
000063.SZ,000063,中兴通讯,10004144,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-29 00:00:00,2025-10-29 00:00:00,CNY,106253552000.0,,,,,,,,,,,,5918221000.0,3690526000.0,,0.0,115862299000.0,75786538000.0,,,,,,23308207000.0,5883911000.0,9106165000.0,,0.0,114084821000.0,,0.0,1777478000.0,83259719000.0,1371294000.0,56585000.0,,,,,0.0,84687598000.0,2917727000.0,86310351000.0,,,,,,0.0,89228078000.0,,0.0,-4540480000.0,,,66283787000.0,,,,0.0,66283787000.0,60295503000.0,4055854000.0,28877000.0,,349220000.0,,,0.0,64700577000.0,,0.0,1583210000.0,-45226000.0,,0.0,-1225018000.0,28026417000.0,,0.0,26801399000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8053678103,,,,,,,,,,,,25.875619624,-22.6169685398,,,9.9650169935,33.0617560287,,,,,,0.2225619416,-0.0980866898,-18.7802216209,,,17.2339523952,,,-77.9169630261,48.5820591002,-13.367700851,-87.5865715157,,,,,,45.670362752,9.6506896652,12.2769704323,,,,,,,12.1891038811,,,78.780003492,,,-57.4032443596,,,,,-57.5028071998,-61.4902291573,-19.7917119865,-80.1405709491,,2.5708805846,,,,-60.0537476662,,,126.4003635196,50.880279778,,,93.6975298127,-45.060425282,,,-15.1211370336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000063.SZ,000063,中兴通讯,10004144,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-29 00:00:00,2025-08-29 00:00:00,CNY,72025821000.0,,,,,,,,,,,,4241444000.0,1960319000.0,,0.0,78227584000.0,50061114000.0,,,,,,17371260000.0,4331162000.0,5164640000.0,,0.0,76928176000.0,,0.0,1299408000.0,63715215000.0,960994000.0,31898000.0,,,,,0.0,64708107000.0,2100284000.0,70275552000.0,,,,,,0.0,72375836000.0,,0.0,-7667729000.0,,,58957973000.0,,,,0.0,58957973000.0,50949588000.0,3736803000.0,28877000.0,,188860000.0,,,0.0,54875251000.0,,0.0,4082722000.0,543000.0,,0.0,-2285056000.0,28026417000.0,,0.0,25741361000.0,5056583000.0,285227000.0,1009448000.0,1009448000.0,,1113660000.0,,,,,-3846000.0,,-159402000.0,340306000.0,-372410000.0,-120736000.0,-136116000.0,15380000.0,,-1134810000.0,-5424044000.0,-743844000.0,,1088168000.0,0.0,1299408000.0,,,,,1578000.0,1453000.0,25739783000.0,28024964000.0,,,-2285056000.0,6.0902144371,,,,,,,,,,,,55.8099339833,-41.5873730067,,,5.7568504483,34.1190886706,,,,,,-1.351399161,6.169592901,-35.0711752496,,,14.8715215263,,,-81.4380866005,152.3289509337,19.4705964989,-87.0543831169,,,,,,146.0231724793,11.7275747862,96.2719048478,,,,,,,92.0546164912,,,32.6411175856,,,-54.6773868377,,,,,-54.8040455358,-60.1396077911,169.9046580329,-79.4674345848,,-9.1516944464,,,,-57.5966254316,,,293.6265374221,-99.1581264826,,,30.3610894733,-45.060425282,,,-46.0709201137,-11.4494281476,-52.50823368,-6.9972618289,-6.9972618289,,-8.6367876273,,,,,94.2908038299,,-138.2682053781,-49.9492588856,-370.274024498,-256.4162361624,-331.0196326789,770.1525054466,,-281.5923978103,-338.9374067484,81.4424394139,,269.0631185465,,-81.4380866005,,,,,8.6028905712,-28.5644051131,-8.1540907599,-45.0610830385,,,90.059247175,,,,,250192000.0,12.168572069
000063.SZ,000063,中兴通讯,10004144,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-23 00:00:00,2025-04-23 00:00:00,CNY,35027194000.0,,,,,,,,,,,,2063594000.0,998719000.0,,0.0,38089507000.0,21485262000.0,,,,,,10643696000.0,2477521000.0,1631775000.0,,0.0,36238254000.0,,0.0,1851253000.0,31061631000.0,493514000.0,4400000.0,,,,,0.0,31559545000.0,1178057000.0,31765149000.0,,,,,,0.0,32943206000.0,,0.0,-1383661000.0,,,33772748000.0,,,,0.0,33772748000.0,28350370000.0,405652000.0,27710000.0,,107098000.0,,,0.0,28863120000.0,,0.0,4909628000.0,-11252000.0,,0.0,5365968000.0,28026417000.0,,0.0,33392385000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2546383786,,,,,,,,,,,,140.5830623715,-41.9288308828,,,5.2914809437,30.9087871475,,,,,,-2.6922310729,22.4032330978,-57.261716933,,,9.1753827657,,,-37.9315905815,4658.5289778585,149.3263075998,-98.1697932698,,,,,,2792.4362069313,20.5215322067,109.3323985196,,,,,,,103.9578458798,,,90.8128698079,,,-61.9396654957,,,,,-62.0393426995,-65.4763451449,-48.8904372105,-75.3535533221,,10.7368116302,,,,-65.2289630077,,,-17.6054151609,-122.5247227449,,,188.4068532031,-45.060425282,,,-25.7014768174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000063.SZ,000063,中兴通讯,10004144,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-01 00:00:00,2025-03-01 00:00:00,CNY,127930762000.0,,,,,,,,,,,,5320200000.0,6563537000.0,,0.0,139814499000.0,75666643000.0,,,,,,28935061000.0,8047637000.0,15685314000.0,,0.0,128334655000.0,,0.0,11479844000.0,80388840000.0,1986934000.0,535436000.0,,,105749000.0,,0.0,83016959000.0,4014730000.0,107674648000.0,,,,,,0.0,111689378000.0,,0.0,-28672419000.0,374322000.0,364555000.0,190217674000.0,,,,0.0,190591996000.0,190470434000.0,5419138000.0,145407000.0,,520799000.0,,,0.0,196410371000.0,,0.0,-5818375000.0,24200000.0,,0.0,-22986750000.0,51013167000.0,,0.0,28026417000.0,8355613000.0,933182000.0,2133330000.0,2133330000.0,,2404581000.0,,,,,-95659000.0,,625131000.0,983971000.0,-554927000.0,-237379000.0,-250165000.0,12786000.0,,-720289000.0,-3448503000.0,1663293000.0,,-900779000.0,0.0,11479844000.0,,,,,1453000.0,2034000.0,28024964000.0,51011133000.0,,,-22986750000.0,-0.2599330882,,,,,,,,,,,,-0.6575216515,-38.4654349448,,,-3.0990532907,2.1633781683,,,,,,0.8295359283,-6.9858639413,1.4122562001,,,1.1462417728,,,-34.0454870557,662.1453920209,54.3718519566,412.4476006355,,,,,,593.0910765221,0.2508812807,272.9062522565,,,,,,,239.6967949707,,,-37.1797270732,-77.667843764,1004.7121212121,-30.7520012523,,,,,-31.0370936621,-27.7224174364,12.0536371531,-72.2222646743,,-17.9552092556,,,,-26.9842503641,,,-178.9297152989,-63.0545632194,,,-683.2071949375,8.3732594569,,,-45.060425282,-9.5795959873,8.7160954651,5.4480478076,5.4480478076,,-5.5512545411,,,,,-364.4317133563,,-10.9860113572,-59.0710603903,-370.6604495993,45.6373179926,41.4653036298,237.7950210152,,-121.9242698647,-42.9382711137,239.0080933087,,-299.3752965014,,-34.0454870557,,,,,-28.5644051131,26.8079800499,-45.0610830385,8.3726312603,,,-683.2071949375,标准无保留意见,,,,430733000.0,20.7082765849
000063.SZ,000063,中兴通讯,10004144,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-22 00:00:00,2025-10-29 00:00:00,CNY,95892062000.0,,,,,,,,,,,,4701642000.0,4769167000.0,,0.0,105362871000.0,56955913000.0,,,,,,23256447000.0,5889688000.0,11211758000.0,,0.0,97313806000.0,,0.0,8049065000.0,56036186000.0,1582890000.0,455837000.0,,,61551000.0,,0.0,58136464000.0,2660929000.0,76872711000.0,,,,,,0.0,79533640000.0,,0.0,-21397176000.0,364559000.0,364559000.0,155607595000.0,,,,0.0,155972154000.0,156571960000.0,5056652000.0,145407000.0,,340467000.0,,,0.0,161969079000.0,,0.0,-5996925000.0,-92073000.0,,0.0,-19437109000.0,51013167000.0,,0.0,31576058000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.405568163,,,,,,,,,,,,25.1129481803,-45.6223846868,,,-0.7582397003,2.6558076329,,,,,,1.7583341147,-6.2286724604,-8.7582125078,,,0.4209683371,,,-13.0959623797,685.4865455948,72.2577232977,366.7687235045,,,,,,610.4965321163,-9.5175705857,704.0249300647,,,,,,,536.1665699489,,,-395.3619895622,-77.9819112473,1004.7242424242,-24.4212723626,,,,,-24.8492517624,-21.270017936,21.7554994799,-62.3175898931,,12.3293863021,,,,-20.3411063681,,,-242.194700816,-134.2977515534,,,-306.1556040239,8.3732594569,,,-44.1132676285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000063.SZ,000063,中兴通讯,10004144,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-17 00:00:00,2025-08-29 00:00:00,CNY,67891107000.0,,,,,,,,,,,,2722191000.0,3355985000.0,,0.0,73969283000.0,37325868000.0,,,,,,17609231000.0,4079475000.0,7954310000.0,,0.0,66968884000.0,,0.0,7000399000.0,25250854000.0,804377000.0,246400000.0,,,,,0.0,26301631000.0,1879826000.0,35805202000.0,,,,,,0.0,37685028000.0,,0.0,-11383397000.0,364555000.0,364555000.0,130085114000.0,,,,0.0,130449669000.0,127820087000.0,1384490000.0,140640000.0,,207885000.0,,,0.0,129412462000.0,,0.0,1037207000.0,64499000.0,,0.0,-3281292000.0,51013167000.0,,0.0,47731875000.0,5710390000.0,600582000.0,1085396000.0,1085396000.0,,1218937000.0,,,,,-67365000.0,,416539000.0,679922000.0,-79190000.0,-33875000.0,-31580000.0,-2295000.0,,-297388000.0,2270069000.0,-4008307000.0,,-643646000.0,0.0,7000399000.0,,,,,1453000.0,2034000.0,28024964000.0,51011133000.0,,,-22986750000.0,4.7316490782,,,,,,,,,,,,-1.1847559322,-46.4086873248,,,0.1738928379,-0.3516537063,,,,,,2.0517942718,-5.623853402,-5.0756757486,,,-0.6617193786,,,8.94041719,271.7473063586,27.2269303648,164.1934273307,,,,,,248.4591574886,-5.5534677144,406.8644962994,,,,,,,316.205967076,,,-655.6503856451,133.279368289,1004.7121212121,-3.5631639409,,,,,-3.4061721014,-0.6880197535,-59.6092822595,-55.0630727349,,4.8357001654,,,,-2.2059606211,,,-61.8400042972,-72.79223491,,,-141.6694805773,8.3732594569,,,-13.1299528132,5.8999097223,116.7023879111,7.3261703184,7.3261703184,,2.0706593235,,,,,-309.2151621917,,-3.3529780273,-50.3607290801,-131.5822638409,-10898.3766233766,-1581.9333646176,5.9040590406,,65.4154557517,42.3887974158,11.053171395,,-895.6624642277,,8.94041719,,,,,22.1008403361,26.8079800499,-48.9946147708,8.3726312603,,,-391.9112144423,,,,,223050000.0,27.608084992
000063.SZ,000063,中兴通讯,10004144,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-23 00:00:00,CNY,33597732000.0,,,,,,,,,,,,857747000.0,1719819000.0,,0.0,36175298000.0,16412391000.0,,,,,,10938177000.0,2024065000.0,3818064000.0,,0.0,33192697000.0,,0.0,2982601000.0,652757000.0,197939000.0,240410000.0,,,,,0.0,1091106000.0,977466000.0,15174502000.0,,,,,,0.0,16151968000.0,,0.0,-15060862000.0,233000000.0,233000000.0,88734764000.0,,,,0.0,88967764000.0,82118681000.0,793691000.0,112430000.0,,96714000.0,,,0.0,83009086000.0,,0.0,5958678000.0,49954000.0,,0.0,-6069629000.0,51013167000.0,,0.0,44943538000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3393304168,,,,,,,,,,,,-10.5035918678,-40.3154590554,,,-1.3481660837,-7.6033139738,,,,,,5.0104979998,-0.4705369796,-7.5800739395,,,-3.3524989837,,,28.2516993581,-32.0741738945,-62.0699698957,3773.2076687611,,,,,,-26.7244441907,-12.6627745522,178.22794428,,,,,,,145.7257748471,,,-196.2332343258,606.0606060606,606.0606060606,37.5199965161,,,,,37.8106164706,41.0723872565,8.6246515199,-31.6518334792,,-3.7298055962,,,,40.5945948244,,,8.0147505475,158.5222413571,,,-327.102123254,8.3732594569,,,-9.6510093644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000063.SZ,000063,中兴通讯,10004144,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-09 00:00:00,2025-03-01 00:00:00,CNY,128264163000.0,,,,,,,,,,,,5355413000.0,10666423000.0,,0.0,144285999000.0,74064351000.0,,,,,,28697009000.0,8652058000.0,15466882000.0,,0.0,126880300000.0,,0.0,17405699000.0,10547704000.0,1287109000.0,104486000.0,38486000.0,,,,0.0,11977785000.0,4004683000.0,28874455000.0,,,,,,0.0,32879138000.0,,0.0,-20901353000.0,1676157000.0,33000000.0,274690500000.0,,2200000.0,,0.0,276368857000.0,263526293000.0,4836200000.0,523466000.0,,634774000.0,,,0.0,268997267000.0,,0.0,7371590000.0,65502000.0,,0.0,3941438000.0,47071729000.0,,0.0,51013167000.0,9240849000.0,858366000.0,2023110000.0,2023110000.0,,2545911000.0,,,,,-20597000.0,,702284000.0,2404096000.0,205027000.0,-436658000.0,-427379000.0,-9279000.0,,3285350000.0,-2412582000.0,-1196544000.0,,-225547000.0,0.0,17405699000.0,,,,,2034000.0,1604000.0,51011133000.0,47070125000.0,,,3941438000.0,-6.2909464716,,,,,,,,,,,,-28.7731776882,75.1545719672,,,-4.1183439579,-23.2286027824,,,,,,9.7294302598,-3.8828320469,37.1451651017,,,-11.2139832831,,,129.6963326603,-21.5768229662,16.2731600676,332.2425847019,-67.0598103324,,,,,-18.5057573947,-19.1286160751,162.2524857464,,,,,,,105.6346239746,,,-1518.5046604496,878.8864165951,-46.4720194647,84.4267115941,,,,,85.3404823091,83.5948161675,31.1483411885,-5.6364052616,,45.9804293583,,,,82.1742716157,,,406.6983863385,-74.8085702089,,,-50.7390816266,20.4786962099,,,8.3732594569,18.5999940962,-27.8702217591,20.955490441,20.955490441,,6.7086278995,,,,,-86.7531054493,,-38.495895692,12.9390364956,118.8530921436,25.612812113,18.4084474507,85.318967154,,133.8326751339,-190.1387622734,16.716734553,,-131.0522381176,,129.6963326603,,,,,26.8079800499,-4.8071216617,8.3726312603,20.4797867603,,,-50.7390816266,标准无保留意见,,,,356838000.0,8.8763859818
000063.SZ,000063,中兴通讯,10004144,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-24 00:00:00,2024-10-22 00:00:00,CNY,93639500000.0,,,,,,,,,,,,3757918000.0,8770460000.0,,0.0,106167878000.0,55482407000.0,,,,,,22854587000.0,6280905000.0,12287964000.0,,0.0,96905863000.0,,0.0,9262015000.0,7133946000.0,918908000.0,97658000.0,32000000.0,,,,0.0,8182512000.0,2940824000.0,9560986000.0,,,,205000.0,,0.0,12502015000.0,,0.0,-4319503000.0,1655725000.0,33000000.0,205888085000.0,,1900000.0,,0.0,207545710000.0,198872089000.0,4153120000.0,385875000.0,,303097000.0,,,0.0,203328306000.0,,0.0,4217404000.0,268452000.0,,0.0,9428368000.0,47071729000.0,,0.0,56500097000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0285869956,,,,,,,,,,,,-33.7835025697,134.16061294,,,-3.6058016067,-24.0412104283,,,,,,11.7187155914,0.9431521226,83.566452057,,,-8.9369832903,,,148.7772678864,10.3336931243,17.9685804995,504.6186230807,-64.0852974186,,,,,11.3269059288,-19.0201429142,-9.9183262064,,,,-99.7198994371,,,-12.6858165396,,,38.0133252244,1032.266756023,-9.9590723056,101.6770658483,,,,,103.0099957126,101.8363279551,25.7076716694,-18.7670912777,,8.2593678676,,,,99.1167283438,,,3441.0018303639,-24.3901545984,,,440.2180659278,20.4786962099,,,55.6506044977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000063.SZ,000063,中兴通讯,10004144,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-19 00:00:00,2024-08-17 00:00:00,CNY,64823869000.0,,,,,,,,,,,,2754829000.0,6262181000.0,,0.0,73840879000.0,37457589000.0,,,,,,17255190000.0,4322570000.0,8379633000.0,,0.0,67414982000.0,,0.0,6425897000.0,6792478000.0,632238000.0,93265000.0,30000000.0,,,,0.0,7547981000.0,1990360000.0,7064058000.0,,,,,,0.0,9054418000.0,,0.0,-1506437000.0,156274000.0,33000000.0,134891520000.0,,1900000.0,,0.0,135049694000.0,128705607000.0,3427743000.0,312972000.0,,198296000.0,,,0.0,132331646000.0,,0.0,2718048000.0,237061000.0,,0.0,7874569000.0,47071729000.0,,0.0,54946298000.0,5392252000.0,277146000.0,1011306000.0,1011306000.0,,1194209000.0,,,,,-16462000.0,,430990000.0,1369726000.0,250742000.0,-308000.0,2131000.0,-2439000.0,,-859887000.0,1594275000.0,-4506408000.0,,-64645000.0,0.0,6425897000.0,,,,,1190000.0,1604000.0,54945108000.0,47070125000.0,,,7874569000.0,-4.0972954019,,,,,,,,,,,,-29.9937918046,119.872462209,,,-0.720264295,-20.6300552729,,,,,,12.2176672301,9.1069303802,92.8580700368,,,-4.884480573,,,83.6162581573,14.3243823686,43.1659465775,888.3955065706,-66.32996633,,,,,16.4532251206,-14.5974599271,40.1274903718,,,,,,,21.6366153642,,,-56.5503444979,25.1964782131,-9.9590723056,121.3593823682,,,,,121.1659196056,128.5278042123,46.0607305374,312.3206639879,,-2.7011643711,,,,124.7860414446,,,23.9663609218,-15.5311438844,,,57.1587691809,20.4786962099,,,24.6480169025,18.5983004637,72.3855670488,23.7480268713,23.7480268713,,1.8250263258,,,,,-116.5482767693,,9.8808364395,38.1433650185,137.355990483,99.8699697722,101.0936561783,94.195206702,,84.9116054828,226.8246796121,-263.1779227875,,-126.1391527267,,83.6162581573,,,,,-38.4376616658,-4.8071216617,24.6507833893,20.4797867603,,,57.1587691809,,,,,174793000.0,6.3864881315
