日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-22,32.84,32.84,31.36,31.43,101234457.0,3472382142.0,3476253800.0,0.0291
2021-01-25,32.44,33.49,31.96,33.12,146625985.0,5192650171.0,3476253800.0,0.0422
2021-01-26,32.74,33.22,31.4,31.57,99995649.0,3463979657.0,3476253800.0,0.0288
2021-01-27,31.6,32.06,31.43,31.47,54517394.0,1860660228.0,3476253800.0,0.0157
2021-01-28,31.08,31.08,29.88,30.17,82246204.0,2687133489.0,3476253800.0,0.0237
2021-01-29,30.43,30.48,29.5,29.87,50997069.0,1638766026.0,3476253800.0,0.0147
2021-02-01,29.67,30.25,29.42,29.99,37325635.0,1203302693.0,3476253800.0,0.0107
2021-02-02,29.92,29.94,29.24,29.43,53298777.0,1698850066.0,3476253800.0,0.0153
2021-02-03,29.13,30.42,28.91,29.63,65950621.0,2122733774.0,3476267975.0,0.019
2021-02-04,29.13,29.41,28.36,29.22,86894997.0,2695921425.0,3857366942.9999995,0.0225
2021-02-05,29.14,29.36,28.6,28.66,49682310.0,1545825529.0,3857366942.9999995,0.0129
2021-02-08,28.93,29.17,28.27,28.69,52464923.0,1621092538.0,3857366942.9999995,0.0136
2021-02-09,28.63,29.67,28.51,29.41,57652854.0,1817006352.0,3857366942.9999995,0.0149
2021-02-10,29.42,30.1,29.1,29.88,59296444.0,1890296466.0,3857366942.9999995,0.0154
2021-02-18,30.52,30.78,30.06,30.12,70531931.0,2309614734.0,3857366942.9999995,0.0183
2021-02-19,30.03,30.62,29.64,30.57,56051236.0,1826080025.0,3857366942.9999995,0.0145
2021-02-22,30.63,30.93,30.3,30.34,69551049.0,2297330423.0,3857366942.9999995,0.018
2021-02-23,30.25,30.61,29.78,30.01,54616318.0,1773748473.0,3857366942.9999995,0.0142
2021-02-24,30.02,30.41,29.51,29.76,51842852.0,1674615035.0,3857366942.9999995,0.0134
2021-02-25,30.14,30.2,29.65,29.67,40821020.0,1315054997.0,3857366942.9999995,0.0106
2021-02-26,29.21,29.92,29.12,29.47,44885586.0,1427095430.0,3857366942.9999995,0.0116
2021-03-01,29.47,29.78,29.16,29.75,45016766.0,1433797019.0,3857366942.9999995,0.0117
2021-03-02,29.88,30.3,29.57,29.83,55511508.0,1790110184.0,3857366942.9999995,0.0144
2021-03-03,30.03,30.19,29.62,30.0,45584066.0,1468204078.0,3857366942.9999995,0.0118
2021-03-04,30.01,30.15,29.13,29.35,62162407.0,1982186017.0,3857366942.9999995,0.0161
2021-03-05,28.79,29.61,28.76,29.42,37636755.0,1188920363.0,3857366942.9999995,0.0098
2021-03-08,29.43,30.02,29.21,29.31,45703515.0,1457585472.0,3857366942.9999995,0.0118
2021-03-09,29.17,29.23,28.28,28.64,52365229.0,1620265941.0,3857366942.9999995,0.0136
2021-03-10,28.91,29.02,28.3,28.54,43488654.0,1338327211.0,3857366942.9999995,0.0113
2021-03-11,28.59,29.37,28.35,29.13,52266869.0,1630546887.0,3857366942.9999995,0.0135
2021-03-12,29.18,29.18,28.49,28.71,38224929.0,1182595505.0,3857366942.9999995,0.0099
2021-03-15,28.2,28.2,25.84,26.18,137720729.0,3945298159.0,3857366942.9999995,0.0357
2021-03-16,26.26,26.67,25.79,26.49,58866736.0,1663659447.0,3857366942.9999995,0.0153
2021-03-17,27.7,28.48,27.32,28.33,112331669.0,3393630354.0,3857366942.9999995,0.0291
2021-03-18,28.21,28.36,27.93,28.25,53867157.0,1631599211.0,3857366942.9999995,0.014
