证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
中兴通讯,中兴通讯股份有限公司,0.0,,,,,28860.0,28860.0,,,0.0,,0.0,0.0,,,12480.0,,,,,"送股,转增",2000-06-12,2028.0,000063,2000-06-12,,26832.0,,0.0,0.0,0.0,,41340.0,,0.0,0.0,,0.0,12480.0,,,"015010,015011"
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,28860.0,28860.0,,,0.0,,0.0,0.0,,0.0,12480.0,,0.0,,,定期报告,,2028.0,000063,2000-06-30,0.0,26832.0,,0.0,0.0,0.0,0.0,41340.0,,0.0,0.0,,0.0,12480.0,,,015019
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,28860.0,28860.0,,,0.0,,0.0,0.0,,0.0,12480.0,,0.0,,,定期报告,,2028.0,000063,2000-12-31,0.0,26832.0,,0.0,0.0,0.0,0.0,41340.0,,0.0,0.0,,0.0,12480.0,,,015019
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,28860.0,28860.0,,,0.0,,0.0,0.0,,0.0,17407.0569,,0.0,,,增发新股上市,,2028.0,000063,2001-04-06,0.0,26832.0,,0.0,0.0,0.0,72.9431,46340.0,,0.0,0.0,,0.0,17480.0,,,015004
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,28860.0,28860.0,,,0.0,,0.0,0.0,,0.0,17480.0,,0.0,,,定期报告,,2028.0,000063,2001-06-30,0.0,26832.0,,0.0,0.0,0.0,0.0,46340.0,,0.0,0.0,,0.0,17480.0,,,015019
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,34632.0,34632.0,,,0.0,,0.0,0.0,,,20976.0,,0.0,,,"送股,转增",,2433.6,000063,2001-10-17,0.0,32198.4,,0.0,0.0,0.0,0.0,55608.0,,0.0,0.0,,0.0,20976.0,,,"015010,015011"
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,34632.0,34632.0,,,0.0,,0.0,0.0,,,20976.0,,0.0,,,定期报告,,2433.6,000063,2001-12-31,0.0,32198.4,,0.0,0.0,0.0,0.0,55608.0,,0.0,0.0,,0.0,20976.0,,,015019
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,34632.0,34632.0,,,0.0,,0.0,0.0,,,20976.0,,0.0,,,定期报告,,2433.6,000063,2002-06-30,0.0,32198.4,,0.0,0.0,0.0,0.0,55608.0,,0.0,0.0,,0.0,20976.0,,,015019
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,34632.0,34632.0,,,0.0,,0.0,0.0,,0.0,20976.0,,0.0,,,定期报告,2003-03-12,2433.6,000063,2002-12-31,0.0,32198.4,,0.0,0.0,0.0,0.0,55608.0,,0.0,0.0,,0.0,20976.0,,,015019
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,41558.4,41558.4,,,0.0,,0.0,0.0,,,25171.2,,0.0,,,"送股,转增",2003-05-16,2920.32,000063,2003-05-23,0.0,38638.08,,0.0,0.0,0.0,0.0,66729.6,,0.0,0.0,,0.0,25171.2,,,"015010,015011"
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,41558.4,41558.4,,,0.0,,0.0,0.0,,0.0,25171.2,,0.0,,,定期报告,2003-08-12,2920.32,000063,2003-06-30,0.0,38638.08,,0.0,0.0,0.0,0.0,66729.6,,0.0,0.0,,0.0,25171.2,,,015019
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,41558.4,41558.4,,,0.0,,0.0,0.0,,0.0,25171.2,,0.0,,,定期报告,2004-04-10,2920.32,000063,2003-12-31,0.0,38638.08,,0.0,0.0,0.0,0.0,66729.6,,0.0,0.0,,0.0,25171.2,,,015019
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,49870.08,49870.08,,,0.0,,0.0,0.0,,0.0,30205.44,,0.0,,,"送股,转增",2004-05-19,3504.384,000063,2004-05-25,0.0,46365.696,,0.0,0.0,0.0,0.0,80075.52,,0.0,0.0,,0.0,30205.44,,,"015010,015011"
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,49870.08,49870.08,,,0.0,,0.0,0.0,,0.0,30205.44,,0.0,,,定期报告,2004-08-31,3504.384,000063,2004-06-30,0.0,46365.696,,0.0,0.0,0.0,0.0,80075.52,,0.0,0.0,,0.0,30205.44,,,015019
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,49741.6686,49741.6686,,0.0,0.0,0.0,0.0,14852.904,,0.0,30205.44,,0.0,,,"H股上市,增发新股上市",2004-12-09,3504.384,000063,2004-12-09,0.0,46237.2846,,0.0,0.0,0.0,0.0,94800.0126,,0.0,0.0,0.0,0.0,45058.344,,0.0,"015003,015004"
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,49731.621,49731.621,,,0.0,,0.0,16015.104,,0.0,30205.44,,0.0,,,增发新股上市,2004-12-16,3504.384,000063,2004-12-16,0.0,46227.237,,0.0,0.0,0.0,0.0,95952.165,,0.0,0.0,,0.0,46220.544,,,015004
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,49731.621,49731.621,,,0.0,,0.0,16015.104,,0.0,30205.44,,0.0,,,定期报告,2005-04-11,3504.384,000063,2004-12-31,0.0,46227.237,,0.0,0.0,0.0,0.0,95952.165,,0.0,0.0,,0.0,46220.544,,,015019
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,46227.237,0.0,47575.077,49731.621,,0.0,0.0,0.0,0.0,16015.104,,0.0,30205.44,,0.0,,,定期报告,2005-08-24,1347.84,000063,2005-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,95952.165,,0.0,0.0,,2156.544,46220.544,,0.0,015019
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,42308.4674,0.0,1829.0896,0.0,16015.104,1143.181,0.0,37628.5936,39207.9904,0.0,,,股权分置,2005-12-27,0.0,000063,2005-12-29,0.0,0.0,,0.0,42308.4674,0.0,0.0,95952.165,,0.0,0.0,1829.0896,0.0,53643.6976,128.2064,1271.3874,015020
中兴通讯,中兴通讯股份有限公司,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,42308.4674,0.0,1829.0896,0.0,16015.104,1143.181,0.0,37628.5936,39207.9904,0.0,,,定期报告,2006-04-07,0.0,000063,2005-12-31,0.0,0.0,,0.0,42308.4674,0.0,0.0,95952.165,,0.0,0.0,1829.0896,0.0,53643.6976,128.2064,1271.3874,015019
