日期,收盘价
2022-12-27,5.03
2022-12-28,5.01
2022-12-29,4.92
2022-12-30,5.00
2023-01-03,5.07
2023-01-04,5.09
2023-01-05,5.11
2023-01-06,5.05
2023-01-09,5.05
2023-01-10,4.98
2023-01-11,4.97
2023-01-12,4.92
2023-01-13,4.96
2023-01-16,5.05
2023-01-17,5.01
2023-01-18,5.01
2023-01-19,5.06
2023-01-20,5.19
2023-01-30,5.10
2023-01-31,5.12
2023-02-01,5.21
2023-02-02,5.20
2023-02-03,5.16
2023-02-06,5.29
2023-02-07,5.42
2023-02-08,5.33
2023-02-09,5.31
2023-02-10,5.31
2023-02-13,5.35
2023-02-14,5.32
2023-02-15,5.25
2023-02-16,5.26
2023-02-17,5.20
2023-02-20,5.46
2023-02-21,5.51
2023-02-22,5.51
2023-02-23,5.48
2023-02-24,5.43
2023-02-27,5.39
2023-02-28,5.43
2023-03-01,5.55
2023-03-02,5.70
2023-03-03,5.99
2023-03-06,5.91
2023-03-07,5.99
2023-03-08,6.03
2023-03-09,5.95
2023-03-10,5.78
2023-03-13,6.19
2023-03-14,6.30
2023-03-15,6.72
2023-03-16,6.73
2023-03-17,6.90
2023-03-20,6.77
2023-03-21,6.61
2023-03-22,6.56
2023-03-23,6.86
2023-03-24,6.61
2023-03-27,6.43
2023-03-28,6.48
2023-03-29,6.19
2023-03-30,6.24
2023-03-31,6.18
2023-04-03,6.27
2023-04-04,6.90
2023-04-06,7.07
2023-04-07,6.92
2023-04-10,7.17
2023-04-11,7.05
2023-04-12,7.21
2023-04-13,7.12
2023-04-14,7.53
2023-04-17,7.82
2023-04-18,7.89
2023-04-19,7.66
2023-04-20,8.07
2023-04-21,7.90
2023-04-24,7.93
2023-04-25,7.79
2023-04-26,7.50
2023-04-27,7.79
2023-04-28,8.35
2023-05-04,8.36
2023-05-05,8.13
2023-05-08,8.06
2023-05-09,7.67
2023-05-10,7.56
2023-05-11,7.53
2023-05-12,7.19
2023-05-15,7.17
2023-05-16,7.04
2023-05-17,7.08
2023-05-18,7.15
2023-05-19,7.02
2023-05-22,6.93
2023-05-23,6.76
2023-05-24,6.60
2023-05-25,6.66
2023-05-26,6.57
2023-05-29,6.86
2023-05-30,7.07
2023-05-31,7.09
2023-06-01,7.25
2023-06-02,7.07
2023-06-05,7.00
2023-06-06,7.06
2023-06-07,7.03
2023-06-08,7.21
2023-06-09,7.32
2023-06-12,7.05
2023-06-13,6.80
2023-06-14,6.76
2023-06-15,6.79
2023-06-16,7.08
2023-06-19,6.72
2023-06-20,6.58
2023-06-21,6.64
2023-06-26,6.36
2023-06-27,6.76
2023-06-28,6.77
2023-06-29,6.77
2023-06-30,6.81
2023-07-03,7.00
2023-07-04,6.95
2023-07-05,6.93
2023-07-06,6.91
2023-07-07,6.95
2023-07-10,7.03
2023-07-11,7.00
2023-07-12,6.75
2023-07-13,6.91
2023-07-14,6.96
2023-07-17,6.94
2023-07-18,6.88
2023-07-19,6.91
2023-07-20,6.82
2023-07-21,6.77
2023-07-24,6.88
2023-07-25,7.10
2023-07-26,7.01
2023-07-27,6.88
2023-07-28,7.05
2023-07-31,7.41
2023-08-01,7.50
2023-08-02,7.48
2023-08-03,7.50
2023-08-04,7.45
2023-08-07,7.34
2023-08-08,7.32
2023-08-09,7.34
2023-08-10,7.32
2023-08-11,7.12
2023-08-14,7.27
2023-08-15,7.26
2023-08-16,7.15
2023-08-17,7.17
2023-08-18,7.00
2023-08-21,7.04
2023-08-22,7.20
2023-08-23,6.93
2023-08-24,6.29
2023-08-25,6.28
2023-08-28,6.32
2023-08-29,6.37
2023-08-30,6.16
2023-08-31,6.18
2023-09-01,6.31
2023-09-04,6.50
2023-09-05,6.36
2023-09-06,6.34
2023-09-07,6.29
2023-09-08,6.28
2023-09-11,6.33
2023-09-12,6.33
2023-09-13,6.30
2023-09-14,6.31
2023-09-15,6.16
2023-09-18,6.18
2023-09-19,6.19
2023-09-20,6.18
2023-09-21,6.09
2023-09-22,6.33
2023-09-25,6.24
2023-09-26,6.19
2023-09-27,6.27
2023-09-28,6.29
2023-10-09,6.24
2023-10-10,5.75
2023-10-11,5.82
2023-10-12,5.98
2023-10-13,5.86
2023-10-16,5.86
2023-10-17,5.89
2023-10-18,5.78
2023-10-19,5.66
2023-10-20,5.65
2023-10-23,5.56
2023-10-24,5.61
2023-10-25,5.68
2023-10-26,5.72
2023-10-27,5.75
2023-10-30,5.68
2023-10-31,5.58
2023-11-01,5.48
2023-11-02,5.44
2023-11-03,5.43
2023-11-06,5.52
2023-11-07,5.45
2023-11-08,5.43
2023-11-09,5.44
2023-11-10,5.36
2023-11-13,5.44
2023-11-14,5.44
2023-11-15,5.45
2023-11-16,5.40
2023-11-17,5.36
2023-11-20,5.36
2023-11-21,5.41
2023-11-22,5.32
2023-11-23,5.37
2023-11-24,5.32
2023-11-27,5.25
2023-11-28,5.26
2023-11-29,5.18
2023-11-30,5.20
2023-12-01,5.29
2023-12-04,5.27
2023-12-05,5.16
2023-12-06,5.15
2023-12-07,5.14
