日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-12-12,72.79,3.94,0.36,0.38,-0.05,39.69
2025-12-15,53.64,2.91,0.26,-0.37,-0.05,37.76
2025-12-16,60.82,3.28,0.30,-0.38,-0.05,35.88
2025-12-17,73.23,3.95,0.36,0.94,-0.05,43.45
2025-12-18,52.30,2.84,0.26,0.19,-0.04,44.85
2025-12-19,58.83,3.21,0.29,0.19,-0.04,46.29
2025-12-22,50.83,2.78,0.25,0.00,-0.03,46.29
2025-12-23,63.21,3.42,0.31,0.37,-0.03,49.35
2025-12-24,60.16,3.27,0.29,0.37,-0.02,52.27
2025-12-25,49.11,2.65,0.24,-0.18,-0.02,50.70
2025-12-26,54.42,2.95,0.27,0.37,-0.01,53.70
