证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
中国中铁,中国中铁股份有限公司,,0.0,0.0,,140255.0,0.0,0.0,,1280000.0,,0.0,,,,,327245.0,1280000.0,140255.0,,,A股上市,2007-11-30,,601390,2007-12-03,,0.0,,,1420255.0,,0.0,1747500.0,,,,,,327245.0,,0.0,015001
中国中铁,中国中铁股份有限公司,,0.0,0.0,,140255.0,0.0,0.0,0.0,1301757.2,0.0,55017.2,,310842.8,,,327245.0,1246740.0,140255.0,,55017.2,H股上市,2007-12-07,,601390,2007-12-07,,0.0,,,1442012.2,,0.0,2080100.0,,,,55017.2,,638087.8,,0.0,015003
中国中铁,中国中铁股份有限公司,,0.0,0.0,,140255.0,0.0,0.0,0.0,1296768.2,0.0,55017.2,,365721.8,,,327245.0,1241751.0,140255.0,,55017.2,超额配售,2007-12-13,,601390,2007-12-14,,0.0,,,1437023.2,,0.0,2129990.0,,,,55017.2,,692966.8,,0.0,015029
中国中铁,中国中铁股份有限公司,,0.0,0.0,,140255.0,0.0,0.0,0.0,1296768.2,0.0,55017.2,,365721.8,0.0,,327245.0,1241751.0,140255.0,,55017.2,定期报告,2008-04-25,,601390,2007-12-31,,,,,1437023.2,,0.0,2129990.0,,,,55017.2,,692966.8,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,1296768.2,0.0,55017.2,,365721.8,,,467500.0,1241751.0,,,55017.2,配售股份上市,2008-02-26,,601390,2008-03-03,,0.0,,,1296768.2,,,2129990.0,,,,55017.2,,833221.8,,0.0,015009
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,0.0,0.0,,1296768.2,,55017.2,,365721.8,,,467500.0,1241751.0,0.0,,55017.2,定期报告,2008-08-30,,601390,2008-06-30,,0.0,,,1296768.2,,,2129990.0,,,,55017.2,,833221.8,,0.0,015019
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,1241751.0,,0.0,,420739.0,0.0,,467500.0,1241751.0,,,,定期报告,2009-04-29,,601390,2008-12-31,,,,,1241751.0,,,2129990.0,,,,0.0,,888239.0,,0.0,015019
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,0.0,0.0,,1241751.0,0.0,0.0,,420739.0,0.0,,467500.0,1241751.0,,,,定期报告,2009-08-28,,601390,2009-06-30,,,,,1241751.0,,0.0,2129990.0,,,0.0,0.0,,888239.0,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,46750.0,,0.0,0.0,0.0,,1241751.0,0.0,0.0,,420739.0,0.0,,467500.0,1195001.0,0.0,,,定期报告,2010-04-27,,601390,2009-12-31,,,,,1241751.0,,0.0,2129990.0,,,0.0,0.0,,888239.0,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,0.0,46750.0,,0.0,0.0,0.0,,1241751.0,0.0,0.0,,420739.0,0.0,,467500.0,1195001.0,0.0,,,定期报告,2010-08-31,,601390,2010-06-30,,,,,1241751.0,,0.0,2129990.0,,,0.0,0.0,,888239.0,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,46750.0,,0.0,0.0,0.0,0.0,46750.0,,0.0,,420739.0,,,1662501.0,,,,,限售股份上市,2010-12-02,,601390,2010-12-06,0.0,0.0,,,46750.0,,,2129990.0,,,,,,2083240.0,0.0,0.0,015027
中国中铁,中国中铁股份有限公司,,,46750.0,,0.0,0.0,0.0,0.0,46750.0,,0.0,,420739.0,0.0,,1662501.0,0.0,,,,定期报告,2011-03-31,,601390,2010-12-31,0.0,0.0,,,46750.0,,,2129990.0,,,,,,2083240.0,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,46750.0,,0.0,0.0,0.0,0.0,46750.0,,0.0,,420739.0,0.0,,1662501.0,0.0,,,,定期报告,2011-08-31,,601390,2011-06-30,0.0,0.0,,,46750.0,,,2129990.0,,,,,,2083240.0,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,46750.0,,0.0,0.0,0.0,0.0,46750.0,,0.0,,420739.0,0.0,,1662501.0,0.0,,,,定期报告,2012-03-31,,601390,2011-12-31,0.0,0.0,,,46750.0,,,2129990.0,,,,,,2083240.0,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,46750.0,,0.0,,0.0,0.0,46750.0,,0.0,,420739.0,0.0,,1662501.0,0.0,,,,定期报告,2012-08-31,,601390,2012-06-30,0.0,0.0,,,46750.0,,,2129990.0,,,,,,2083240.0,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,46750.0,,0.0,,0.0,0.0,46750.0,,0.0,,420739.0,0.0,,1662501.0,0.0,,,,定期报告,2013-03-29,,601390,2012-12-31,0.0,0.0,,,46750.0,,,2129990.0,,,,,,2083240.0,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,46750.0,,0.0,,0.0,0.0,46750.0,,0.0,,420739.0,0.0,,1662501.0,0.0,,,,定期报告,2013-08-31,,601390,2013-06-30,0.0,0.0,,,46750.0,,,2129990.0,,,,,,2083240.0,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,420739.0,0.0,,1709251.0,0.0,,,,限售股份上市,2013-11-29,,601390,2013-12-04,0.0,0.0,,,0.0,,,2129990.0,,,,,,2129990.0,0.0,0.0,015027
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,420739.0,0.0,,1709251.0,0.0,,,,定期报告,2014-03-29,,601390,2013-12-31,0.0,0.0,,,0.0,,,2129990.0,,,,,,2129990.0,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,420739.0,0.0,,1709251.0,0.0,,,,定期报告,2014-08-30,,601390,2014-06-30,0.0,0.0,,,0.0,,,2129990.0,,,,,,2129990.0,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,420739.0,0.0,,1709251.0,0.0,,,,定期报告,2015-03-31,,601390,2014-12-31,0.0,0.0,,,0.0,,,2129990.0,,,,,,2129990.0,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,420739.0,0.0,,1709251.0,0.0,,,,定期报告,2015-08-31,,601390,2015-06-30,0.0,0.0,,,0.0,,,2129990.0,,,,,,2129990.0,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,154440.1543,0.0,0.0,,420739.0,123552.1235,,1709251.0,30888.0308,,,,增发新股上市,2015-07-16,,601390,2015-07-14,0.0,0.0,,,154440.1543,,,2284430.1543,,,,,,2129990.0,0.0,123552.1235,015004
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,,0.0,0.0,154440.1543,0.0,0.0,,420739.0,123552.1235,,1709251.0,30888.0308,,,,定期报告,2016-03-31,,601390,2015-12-31,0.0,0.0,,,154440.1543,,,2284430.1543,,,,,,2129990.0,0.0,123552.1235,015019
中国中铁,中国中铁股份有限公司,,,,,,,,,154440.1543,,,,420739.0,123552.1235,,1709251.0,30888.0308,,,,定期报告,2016-08-31,,601390,2016-06-30,,,,,154440.1543,,,2284430.1543,,,,,,2129990.0,,123552.1235,015019
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,30888.0308,0.0,0.0,,420739.0,0.0,,1832803.1235,30888.0308,,,,限售股份上市,2016-07-11,,601390,2016-07-14,0.0,0.0,,,30888.0308,,0.0,2284430.1543,,,,,,2253542.1235,0.0,0.0,015027
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,,0.0,0.0,30888.0308,0.0,0.0,,420739.0,0.0,,1832803.1235,30888.0308,,,,定期报告,2017-03-31,,601390,2016-12-31,0.0,0.0,,,30888.0308,,0.0,2284430.1543,,,,,,2253542.1235,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,,0.0,0.0,30888.0308,0.0,0.0,,420739.0,0.0,,1832803.1235,30888.0308,,,,定期报告,2017-08-31,,601390,2017-06-30,0.0,0.0,,,30888.0308,,0.0,2284430.1543,,,,,,2253542.1235,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,,0.0,0.0,30888.0308,0.0,0.0,,420739.0,0.0,,1832803.1235,30888.0308,,,,定期报告,2018-03-30,,601390,2017-12-31,0.0,0.0,,,30888.0308,,0.0,2284430.1543,,,,,,2253542.1235,0.0,0.0,015019
中国中铁,中国中铁股份有限公司,,,0.0,,0.0,,0.0,0.0,30888.0308,0.0,0.0,,420739.0,0.0,,1832803.1235,30888.0308,,,,定期报告,2018-08-31,,601390,2018-06-30,0.0,0.0,,,30888.0308,,0.0,2284430.1543,,,,,,2253542.1235,0.0,0.0,015019
