SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
601800.SH,601800,中国交建,10095961,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,499873103734.0,,,,,,,,,,,,1311703025.0,21862571328.0,,-1.0,523047378086.0,508359936772.0,,,,,,34818589433.0,18234037145.0,27425228622.0,,-1.0,588837791971.0,,0.0,-65790413885.0,7364957345.0,2031639396.0,270479498.0,2936302797.0,,3984468283.0,,1.0,16587847320.0,20587844181.0,9593089458.0,,3055710738.0,,4645743383.0,,-1.0,37882387759.0,,0.0,-21294540439.0,52566067449.0,37066067449.0,308775865395.0,,6927169295.0,,1.0,368269102140.0,185852785205.0,25893528405.0,2880084322.0,,50701912270.0,,,1.0,262448225881.0,,0.0,105820876259.0,229289908.0,,0.0,18965211843.0,134974399850.0,,0.0,153939611693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7022729306,,,,,,,,,,,,2.6398939403,-16.4324737127,,,-4.2968174188,-5.149489068,,,,,,-6.0322133518,-3.756898451,-13.2126730002,,,-5.5682546685,,,14.5893446672,-56.8461203108,-49.1676595472,-55.4413223884,156.487582414,,4.6931839703,,,-37.6892455354,60.9229311308,-64.9249059164,,286.3336222521,,-40.2670351395,,,-22.2322739215,,,3.6056186302,274.8332678753,165.8854297616,4.027975025,,-11.2415068132,,,15.5722440109,44.5816437679,15.8498167655,73.0861240802,,82.1431850199,,,,46.8385960895,,,-24.3682497293,127.6143284963,,,-52.5468828379,22.2533112103,,,2.3727109194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601800.SH,601800,中国交建,10095961,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,304511014477.0,,,,,,,,,,,,858772009.0,19781430324.0,,0.0,325151216810.0,341251086869.0,,,,,,25480431483.0,14255180574.0,21465376313.0,,0.0,402452075239.0,,0.0,-77300858429.0,5447968296.0,552776058.0,220829898.0,1622318503.0,,2444406585.0,,0.0,10288299340.0,14134987567.0,9437203140.0,,2901681579.0,,2742401063.0,,0.0,29216273349.0,,0.0,-18927974009.0,515857719.0,515857719.0,163865542531.0,46918000000.0,5822543732.0,26898584218.0,0.0,244020528200.0,102502024358.0,15274033432.0,1325355180.0,,12497108038.0,,16600000000.0,0.0,146873165828.0,,0.0,97147362372.0,131072608.0,,0.0,1049602542.0,134974399850.0,,0.0,136024002392.0,12867102335.0,481956721.0,4131181633.0,3928653453.0,202528180.0,1903647757.0,159564447.0,,,,-48154611.0,,378128236.0,9232107869.0,-873333480.0,90559672.0,-767298764.0,857858436.0,,-10494865588.0,-74051541529.0,23394977687.0,,-47167846040.0,0.0,-77300858429.0,,,,,,,,,,,1049602542.0,8.7179868352,,,,,,,,,,,,-22.3889370366,-12.9655268074,,,6.9832012643,7.9312042341,,,,,,-5.7094101555,-11.5680309149,14.358568626,,,6.443990609,,,-4.2341847672,-54.5814381153,-9.322198085,-46.1139202178,41.7103682785,,-31.7652184688,,,-42.0103043734,36.3541560972,-35.0870677599,,266.8597099511,,-64.1704457308,,,-12.3939241068,,,-21.2709922915,-23.6725423301,-12.9517375053,-4.6745698394,-8.8960259731,-25.395181472,191.7416943384,,1.210937735,-7.9737708555,14.8477171013,-20.3493490161,,17.1689845593,,153.5571784005,,3.5079081409,,,-2.074469751,1193.5644892772,,,-88.8892465472,22.2533112103,,,13.4930797341,-11.433992459,-24.4165356279,4.8358042265,5.8828643733,-12.0375533574,4.759017389,-16.2007892662,,,,0.3192830929,,289.0078680097,-7.1310955177,-31.6600630588,220.4255089067,12.4959034491,7.0086459965,,-18.916921056,20.9318161587,-49.1536435716,,6.2034128877,,-4.2341847672,,,,,,,,,,,-88.8892465472,,,,,779683763.0,15.0388348771
601800.SH,601800,中国交建,10095961,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-28 00:00:00,2025-04-28 00:00:00,CNY,146686560921.0,,,,,,,,,,,,261061146.0,5470447255.0,,0.0,152418069322.0,171654283159.0,,,,,,10871460612.0,5340833499.0,13459390880.0,,0.0,201325968150.0,,0.0,-48907898828.0,1394664009.0,148706876.0,22875032.0,0.0,,977785443.0,,0.0,2544031360.0,11224926437.0,7494071819.0,,,,6072593028.0,,0.0,24791591284.0,,0.0,-22247559924.0,6603046786.0,102632986.0,152952103992.0,,1798918316.0,,1.0,161354069095.0,64063277882.0,5604934561.0,140643877.0,,6428323874.0,,,-1.0,76096536316.0,,-1.0,85257532778.0,143247119.0,,0.0,14245321145.0,134974399850.0,,0.0,149219720995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.035008584,,,,,,,,,,,,-59.2590540706,-4.6924230511,,,-13.8957803547,-9.524171758,,,,,,-4.7190432269,-11.1722350729,41.6164206298,,,-7.0733898908,,,-23.3966438728,9.762020771,100.1926957438,-14.6290550862,-100.0,,-25.4309816725,,,-32.3459062433,35.6928207049,-26.9520888453,,,,-15.4214565588,,,-3.57688142,,,-1.3514642677,145.2230285674,-72.5615751817,6.5297300325,,-32.1969379434,,,8.3475017,32.794265746,20.5683150919,326.6198762739,,-0.7570158264,,,-200.0,28.1763514264,,,-4.7977513702,140.9942952622,,-100.0,-48.4221660833,22.3058741019,,,8.1481443609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601800.SH,601800,中国交建,10095961,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-28 00:00:00,2025-03-28 00:00:00,CNY,746909097114.0,,,,,,,,,,,,2683062202.0,39880068951.0,,0.0,789472228267.0,657096564763.0,,,,,,53657808184.0,29442132644.0,36769305898.0,,0.0,776965811489.0,,0.0,12506416778.0,17314965605.0,2585333500.0,1557966655.0,5558716985.0,,12158047285.0,,0.0,39175030030.0,27268101484.0,25054708571.0,,1848302303.0,,14622421719.0,,0.0,68793534077.0,,0.0,-29618504047.0,5369495546.0,5286258546.0,341035658006.0,110246296240.0,13475634489.0,31195640000.0,0.0,501322724281.0,365004991599.0,35177839569.0,3899880962.0,,27403406180.0,,32096644462.0,0.0,459682881810.0,,0.0,41639842471.0,39601964.0,,0.0,24567357166.0,110407042684.0,,0.0,134974399850.0,30346608238.0,1729148346.0,7873428933.0,7510334001.0,363094932.0,3621288841.0,387647231.0,,,,-306087080.0,,1076681075.0,20676714204.0,-1713306174.0,-981267165.0,-2706332980.0,1725065815.0,,-9115177843.0,-98496452053.0,91027139888.0,,-41266858131.0,0.0,12506416778.0,,,,2436817663.0,,,,,,,24567357166.0,4.150884089,,,,,,,,,,,,-3.8869648387,62.6255861781,,,6.0469209071,7.4542653233,,,,,,-0.8111428029,18.5433756521,-12.3466070512,,,6.0856965345,,,3.6923184202,2.8113342129,-0.7833577971,-0.7199220804,9.2420553875,,30.7509753886,,,10.6527560083,-29.9915446658,-27.2270605435,,,,-18.2840698874,,,-24.6284466387,,,46.9857704899,20.7843493408,34.7349847701,25.6269123007,14.0814876933,24.1898690291,-8.1480385649,,20.116269321,27.1387783449,3.9821180235,-32.4571918779,,93.3380000045,,0.5011411039,,25.2429702522,,,-17.2690971345,-77.2031043434,,,266.8140376194,6.4579363217,,,22.2516214263,0.3652757909,1.0658702155,-1.1810907746,0.4441153843,-25.9603099675,3.0461679038,-1.5652426601,,,,40.0967613764,,2.7187980004,4.948314353,-76.1440958336,29.020499118,12.4191744661,1.0209341847,,-11.6555518606,10.7352612597,23.3095790138,,-216.689203615,,3.6923184202,,,,24.9079029639,,,,,,,266.8140376194,标准无保留意见,,,,1514811084.0,28.5705203902
601800.SH,601800,中国交建,10095961,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-31 00:00:00,CNY,519091279666.0,,,,,,,,,,,,1277966076.0,26161563348.0,,0.0,546530809090.0,535959091603.0,,,,,,37053750732.0,18945812065.0,31600499255.0,,0.0,623559153655.0,,0.0,-77028344565.0,17066732813.0,3996745729.0,607018683.0,1144812848.0,,3805852618.0,,0.0,26621162691.0,12793605011.0,27350146047.0,,790951282.0,,7777520158.0,,0.0,48712222498.0,,0.0,-22091059807.0,14023853258.0,13940616258.0,296820028767.0,,7804514302.0,,0.0,318648396327.0,128545215258.0,22350944635.0,1663960261.0,,27836293883.0,,,0.0,178732453776.0,,0.0,139915942551.0,-830329472.0,,0.0,39966208707.0,110405516639.0,,0.0,150371725346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.058560877,,,,,,,,,,,,63.6709143449,23.3573446207,,-100.0,2.0327179094,5.4983222388,,,,,,2.6807142421,9.8703541491,28.1521712899,,,6.4067031488,,,-52.918323636,99.6783675883,127.457590004,31.7241295712,,,12.7709685598,,,88.2694418868,-46.9714770205,13.1304304808,,99.937442268,,-50.5296681644,,,-24.3820269159,,,56.0629736883,-23.8400336167,-22.082930449,3.0724021154,,30.0619558761,,,2.0044847051,3.3905291103,-13.9105045363,-64.7598044374,,79.9927769653,,,-100.0,7.8276988516,,,-4.5783870295,-517.4974487201,,,-13.4498719129,5.3669645792,,,-0.3889355067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601800.SH,601800,中国交建,10095961,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-31 00:00:00,2025-08-30 00:00:00,CNY,280092580208.0,,,,,,,,,,,,1106507212.0,22728270303.0,,0.0,303927357723.0,316174631137.0,,,,,,27023302670.0,16119940245.0,18770238707.0,,0.0,378088112759.0,,0.0,-74160755036.0,11995025976.0,609604607.0,409808802.0,1144812848.0,,3582346906.0,,0.0,17741599139.0,10366378240.0,14538248103.0,,790951282.0,,7654019479.0,,0.0,33349597104.0,,0.0,-15607997965.0,675848161.0,592611161.0,171901183404.0,51499400000.0,7804514302.0,9220000000.0,0.0,241100945867.0,111383488502.0,13299379228.0,1663960261.0,,10665884052.0,,6546846792.0,0.0,141895598574.0,,0.0,99205347293.0,10132669.0,,0.0,9446726961.0,110405516639.0,,0.0,119852243600.0,14528262809.0,637648360.0,3940620920.0,3710377006.0,230243914.0,1817168397.0,190412828.0,,,,-48308853.0,,97203236.0,9941010848.0,-663324519.0,-75199742.0,-876871820.0,801672078.0,,-8825376149.0,-93655295887.0,46011119243.0,,-50287379842.0,0.0,-74160755036.0,,,,687592048.0,,,,,,,9446726961.0,2.9127843804,,,,,,,,,,,,44.2124422767,73.5132706913,,,6.2567367587,16.9776667822,,,,,,2.0702047702,9.4873228058,-22.2064490258,,,12.6560084726,,,-49.5726197538,162.4825919028,-17.5818269215,-4.9959295641,,,36.9409339065,,,112.3007428657,-35.1015830138,-12.2718846747,,99.937442268,,-7.9544341927,,,-19.1647236378,,,52.5584374234,-65.3333534821,-58.4857818891,6.973547191,-13.2714718761,51.7145273878,-3.657262278,,1.8425932741,33.6258801592,6.5021959672,24.3627596795,,487.2066614699,,-20.704616071,,33.9714498144,,,-24.1688520851,-96.9937140224,,,-80.5941812216,5.3669645792,,,-21.900914882,-0.5905342185,-17.1343044669,-5.1941547338,-5.0757040176,-7.0630231642,13.4068690065,45.9123329485,,,,85.3708483069,,-82.8795178979,8.1734071623,-1.5054767021,50.4237276124,32.7734144016,-30.4507271625,,24.3059152104,3.8167768601,-39.4341211154,,-2.550283388,,-49.5726197538,,,,0.0,,,,,,,-80.5941812216,,,,,677757006.0,27.2407490389
601800.SH,601800,中国交建,10095961,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-28 00:00:00,CNY,170635230115.0,,,,,,,,,,,,640783222.0,5739782114.0,,0.0,177015795451.0,189723914657.0,,,,,,11409898662.0,6012572199.0,9504117404.0,,0.0,216650502922.0,,0.0,-39634707471.0,1270625303.0,74281869.0,26794868.0,1077400000.0,,1311248914.0,,0.0,3760350954.0,8272306802.0,10259118571.0,,,,7179826917.0,,0.0,25711252290.0,,0.0,-21950901336.0,2692669944.0,374048389.0,143576918805.0,,2653152028.0,,0.0,148922740777.0,48242503185.0,4648762452.0,32967024.0,,6477358503.0,,,1.0,59368624141.0,,0.0,89554116636.0,-349431837.0,,1.0,27619075993.0,110358068115.0,,0.0,137977144108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1047894188,,,,,,,,,,,,203.8893813309,57.1744568548,,100.0,1.3389604529,6.6388438972,,,,,,13.1477061177,27.6964473019,24.9647383981,,100.0,8.1572949435,,100.0,-54.6199082051,16.5565082522,156.8382021239,-94.3003620127,,,83.1101782696,,100.0,63.1196235338,-27.3080898357,24.6213563849,,,,31.2269901291,,,2.5026903144,,,3.6320527715,-20.0868641473,-85.0707080534,27.5540498949,,287.5136560064,,,27.7037564014,37.8356012476,0.6988045085,-67.5494802148,,155.8808090865,,,,40.8577462397,,,20.2587531226,-249.6436335022,,,5.0573995809,6.9337825269,,,6.5528379066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601800.SH,601800,中国交建,10095961,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-29 00:00:00,2025-03-28 00:00:00,CNY,717141389290.0,,,,,,,,,,,,2791569528.0,24522628873.0,,0.0,744455587691.0,611512779680.0,,,,,,54096608934.0,24836590389.0,41948525506.0,,0.0,732394504509.0,,0.0,12061083182.0,16841494897.0,2605745813.0,1569264134.0,5088440496.0,,9298628365.0,,0.0,35403573705.0,38949725935.0,34428605960.0,,,,17894211935.0,,0.0,91272543830.0,,0.0,-55868970125.0,4445522599.0,3923449099.0,271467038201.0,96638200000.0,10850832354.0,33962954642.0,0.0,417364547796.0,287091787691.0,33830662654.0,5773939625.0,,14173833483.0,,31936597047.0,0.0,367032880875.0,,0.0,50331666921.0,173716477.0,,0.0,6697496455.0,103709546229.0,,0.0,110407042684.0,30236162855.0,1710912242.0,7967532727.0,7477126930.0,490405797.0,3514239214.0,393811334.0,,,,-510969168.0,,1048183094.0,19701806867.0,-972673064.0,-1382465575.0,-3090097591.0,1707632016.0,,-8163658404.0,-110341948504.0,73820007023.0,,-13030712023.0,0.0,12061083182.0,,,,1950891501.0,,,,,,,6697496455.0,4.6284503926,,,,,,,,,,,,-64.1447784561,9.3953934279,,,4.0295461244,0.3258824419,,,,,,7.1514570413,4.9078506536,36.2247911057,,,2.5072288463,,,959.3464699113,-24.7822040502,66.9288686559,-28.456179022,-43.8008690309,,-3.61601715,,,-21.0561340707,13.993715229,-18.2622542556,,,,40.2023549389,,,-0.5458788381,,,-19.0550652026,-73.2866400376,-76.423804909,35.0812548469,12.5293394039,68.5909192968,-21.5683803718,,18.1584859657,28.1797384296,5.2978853352,19.0341860111,,118.1281156901,,-15.9342555084,,22.1031622671,,,-4.3704310877,-75.1593824902,,,-11.2064401234,7.8951306499,,,6.5052599932,20.8960930497,104.1829676771,-9.6096018914,-11.2852607657,26.9500278772,13.0259476113,-19.817062824,,,,63.0990255334,,675.5786241342,9.7189688305,75.0136501959,-49.9212135458,-82.8085357683,122.2847094301,,-51.4697544442,-18.1310521033,30.2497425722,,24.1009896786,,959.3464699113,,,,93.7583909262,,,,,,,-11.2064401234,标准无保留意见,,,,1178194721.0,13.2341262495
601800.SH,601800,中国交建,10095961,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-31 00:00:00,2024-10-31 00:00:00,CNY,513653940014.0,,,,,,,,,,,,780814405.0,21207949497.0,,1.0,535642703917.0,508026175421.0,,,,,,36086378056.0,17243789020.0,24658574987.0,,0.0,586014917484.0,,0.0,-50372213567.0,8547111547.0,1757138871.0,460825731.0,0.0,,3374851406.0,,0.0,14139927555.0,24125893561.0,24175764143.0,,395599380.0,,15721584775.0,,0.0,64418841859.0,,0.0,-50278914304.0,18413680998.0,17891607498.0,287972359890.0,,6000612746.0,,0.0,312386653634.0,124329777944.0,25962452811.0,4721767954.0,,15465228301.0,,,1.0,165757459057.0,,0.0,146629194577.0,198882526.0,,0.0,46176949232.0,104781908713.0,,0.0,150958857945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0598322509,,,,,,,,,,,,-87.9789988548,8.9826054446,,,1.2093275136,0.4355883714,,,,,,4.7745185565,11.4841555482,52.9147155931,,,2.475601045,,,-18.2014438046,-15.642429065,84.3095527216,-2.0877285337,-100.0,,-43.6072352906,,,-43.5274984502,-8.0080104934,3.0820849813,,,,45.137593101,,-100.0,6.4577178678,,,-41.7401733982,-53.5017391283,-37.4450091589,18.4762624054,,28.9653342245,,,8.7254248671,-12.1666814042,28.4036796695,8.4324929296,,71.6196825848,,,200.0,-2.9424707103,,,25.8248885025,-82.7562326601,,,16.6098301749,9.2632153284,,100.0,11.4102743774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601800.SH,601800,中国交建,10095961,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-29 00:00:00,2024-08-31 00:00:00,CNY,272165000582.0,,,,,,,,,,,,767275829.0,13098865702.0,,0.0,286031142113.0,270286320316.0,,,,,,26475211577.0,14723111162.0,24128270881.0,,0.0,335612913936.0,,0.0,-49581771823.0,4569836761.0,739648289.0,431359204.0,,,2615979608.0,,0.0,8356823862.0,15973237440.0,16571937114.0,,395599380.0,,8315467901.0,,0.0,41256241835.0,,0.0,-32899417973.0,1949563136.0,1427489636.0,160695039024.0,59380000000.0,5144210272.0,9570000000.0,0.0,236738812432.0,83354727669.0,12487422543.0,1337989174.0,,1816376542.0,,8256277311.0,0.0,105914804065.0,,0.0,130824008367.0,337049405.0,,0.0,48679867976.0,104781908713.0,,0.0,153461776689.0,14614566827.0,769496178.0,4156516836.0,3908774848.0,247741988.0,1602344208.0,130498104.0,,,,-330223201.0,,567759923.0,9189884195.0,-653486433.0,-151684946.0,-1304352753.0,1152667807.0,,-11659267925.0,-97371758639.0,75968713887.0,,-49036802416.0,0.0,-49581771823.0,,,,687592048.0,,,,,,,48679867976.0,1.6497530498,,,,,,,,,,,,-85.9311889482,-3.7727529684,,,-0.2729454511,-0.2219284711,,,,,,10.4352209493,-2.3204149808,6.7822037279,,,0.9272111938,,,-8.4568325345,-49.1754349251,171.5197258702,-3.4988824812,,,-54.3198032695,,,-63.5639172545,-20.2562598154,-13.9258085893,,,,38.6894039207,,,-8.8854731528,,,-47.2406882583,36.8491238085,0.2022977995,15.10651414,40.4446546831,10.5595086921,-40.8776280245,,15.9632986033,2.466595764,6.4924777241,37.6343828678,,192.0249770369,,725.6277311,,11.8468268195,,,19.5247627909,-53.8091091744,,,15.5645803911,9.2632153262,,,11.186353782,8.077491056,56.2049924898,7.809858719,6.6897791202,29.2127518872,16.7709863084,-38.7899928486,,,,-131.5796217434,,650.6921451247,7.0303086466,73.567453968,-267.9662136133,-54.7137074404,43.7505879666,,-361.5521635525,-27.9534696459,51.064049936,,-7.7562428784,,-8.4568325345,,,,-52.3211459309,,,,,,,15.5645803911,,,,,532657196.0,4.1668816125
