SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,ACCEPT_DEPOSIT,ACCOUNTS_PAYABLE,ACCOUNTS_RECE,ADVANCE_PREMIUM,ADVANCE_RECE,AGENT_TRADE_SECURITY,AMORTIZE_COST_FINASSET,AMORTIZE_COST_FINLIAB,APPOINT_FVTPL_FINASSET,APPOINT_FVTPL_FINLIAB,ASSET_BALANCE,ASSET_OTHER,AVAILABLE_SALE_FINASSET,BOND_PAYABLE,BORROW_FUND,BUY_RESALE_FINASSET,CAPITAL_RESERVE,CIP,COMPENSATE_PAYABLE,CONVERT_DIFF,CREDITOR_INVEST,CREDITOR_PLAN_INVEST,DEFER_TAX_ASSET,DEFER_TAX_LIAB,DERIVE_FINASSET,DERIVE_FINLIAB,DIVIDEND_PAYABLE,EQUITY_BALANCE,EQUITY_OTHER,FEE_COMMISSION_PAYABLE,FINANCE_RECE,FIXED_ASSET,FVTOCI_FINASSET,FVTPL_FINASSET,FVTPL_FINLIAB,GENERAL_RISK_RESERVE,GOODWILL,HD_RESERVE,HOLD_MATURITY_INVEST,HOLDSALE_ASSET,HOLDSALE_LIAB,IND_ACC_ASSET,IND_ACC_LIAB,INSURANCE_CONTRACT_RESERVE,INSURED_DEPOSIT_INVEST,INSURED_PLEDGE_LOAN,INTANGIBLE_ASSET,INTEREST_PAYABLE,INTEREST_RECE,INVEST_REALESTATE,INVEST_RECE,IOFI_DEPOSIT,LD_RESERVE,LEASE_LIAB,LEND_FUND,LIAB_BALANCE,LIAB_EQUITY_BALANCE,LIAB_EQUITY_OTHER,LIAB_OTHER,LOAN_ADVANCE,LONG_EQUITY_INVEST,LONG_LOAN,LONG_PREPAID_EXPENSE,MINORITY_EQUITY,MONETARYFUNDS,NOTE_PAYABLE,OTHER_ASSET,OTHER_COMPRE_INCOME,OTHER_CREDITOR_INVEST,OTHER_EQUITY_INVEST,OTHER_EQUITY_OTHER,OTHER_EQUITY_TOOL,OTHER_LIAB,OTHER_PAYABLE,OTHER_RECE,PARENT_EQUITY_BALANCE,PARENT_EQUITY_OTHER,PERPETUAL_BOND,PERPETUAL_BOND_PAYBALE,POLICY_BONUS_PAYABLE,PREDICT_LIAB,PREFERRED_SHARES,PREFERRED_SHARES_PAYBALE,PREMIUM_RECE,RC_RESERVE_RECE,REFUND_CAPITAL_DEPOSIT,REFUND_DEPOSIT_PAY,REFUND_DEPOSIT_RECE,REINSURE_PAYABLE,REINSURE_RECE,RHD_RESERVE_RECE,RLD_RESERVE_RECE,RUC_RESERVE_RECE,RUD_RESERVE_RECE,SELL_REPO_FINASSET,SETTLE_EXCESS_RESERVE,SHARE_CAPITAL,SHORT_LOAN,STAFF_SALARY_PAYABLE,SUBBOND_PAYABLE,SURPLUS_RESERVE,TAX_PAYABLE,TIME_DEPOSIT,TOTAL_ASSETS,TOTAL_EQUITY,TOTAL_LIAB_EQUITY,TOTAL_LIABILITIES,TOTAL_PARENT_EQUITY,TRADE_FINASSET,TRADE_FINASSET_NOTFVTPL,TRADE_FINLIAB,TRADE_FINLIAB_NOTFVTPL,UC_RESERVE,UD_RESERVE,UNASSIGN_RPOFIT,USERIGHT_ASSET,ACCEPT_DEPOSIT_YOY,ACCOUNTS_PAYABLE_YOY,ACCOUNTS_RECE_YOY,ADVANCE_PREMIUM_YOY,ADVANCE_RECE_YOY,AGENT_TRADE_SECURITY_YOY,AMORTIZE_COST_FINASSET_YOY,AMORTIZE_COST_FINLIAB_YOY,APPOINT_FVTPL_FINASSET_YOY,APPOINT_FVTPL_FINLIAB_YOY,ASSET_BALANCE_YOY,ASSET_OTHER_YOY,AVAILABLE_SALE_FINASSET_YOY,BOND_PAYABLE_YOY,BORROW_FUND_YOY,BUY_RESALE_FINASSET_YOY,CAPITAL_RESERVE_YOY,CIP_YOY,COMPENSATE_PAYABLE_YOY,CONVERT_DIFF_YOY,CREDITOR_INVEST_YOY,CREDITOR_PLAN_INVEST_YOY,DEFER_TAX_ASSET_YOY,DEFER_TAX_LIAB_YOY,DERIVE_FINASSET_YOY,DERIVE_FINLIAB_YOY,DIVIDEND_PAYABLE_YOY,EQUITY_BALANCE_YOY,EQUITY_OTHER_YOY,FEE_COMMISSION_PAYABLE_YOY,FINANCE_RECE_YOY,FIXED_ASSET_YOY,FVTOCI_FINASSET_YOY,FVTPL_FINASSET_YOY,FVTPL_FINLIAB_YOY,GENERAL_RISK_RESERVE_YOY,GOODWILL_YOY,HD_RESERVE_YOY,HOLD_MATURITY_INVEST_YOY,HOLDSALE_ASSET_YOY,HOLDSALE_LIAB_YOY,IND_ACC_ASSET_YOY,IND_ACC_LIAB_YOY,INSURANCE_CONTRACT_RESERVE_YOY,INSURED_DEPOSIT_INVEST_YOY,INSURED_PLEDGE_LOAN_YOY,INTANGIBLE_ASSET_YOY,INTEREST_PAYABLE_YOY,INTEREST_RECE_YOY,INVEST_REALESTATE_YOY,INVEST_RECE_YOY,IOFI_DEPOSIT_YOY,LD_RESERVE_YOY,LEASE_LIAB_YOY,LEND_FUND_YOY,LIAB_BALANCE_YOY,LIAB_EQUITY_BALANCE_YOY,LIAB_EQUITY_OTHER_YOY,LIAB_OTHER_YOY,LOAN_ADVANCE_YOY,LONG_EQUITY_INVEST_YOY,LONG_LOAN_YOY,LONG_PREPAID_EXPENSE_YOY,MINORITY_EQUITY_YOY,MONETARYFUNDS_YOY,NOTE_PAYABLE_YOY,NOTE_RECE,NOTE_RECE_YOY,OTHER_ASSET_YOY,OTHER_COMPRE_INCOME_YOY,OTHER_CREDITOR_INVEST_YOY,OTHER_EQUITY_INVEST_YOY,OTHER_EQUITY_OTHER_YOY,OTHER_EQUITY_TOOL_YOY,OTHER_LIAB_YOY,OTHER_PAYABLE_YOY,OTHER_RECE_YOY,PARENT_EQUITY_BALANCE_YOY,PARENT_EQUITY_OTHER_YOY,PERPETUAL_BOND_PAYBALE_YOY,PERPETUAL_BOND_YOY,POLICY_BONUS_PAYABLE_YOY,PREDICT_LIAB_YOY,PREFERRED_SHARES_PAYBALE_YOY,PREFERRED_SHARES_YOY,PREMIUM_RECE_YOY,RC_RESERVE_RECE_YOY,REFUND_CAPITAL_DEPOSIT_YOY,REFUND_DEPOSIT_PAY_YOY,REFUND_DEPOSIT_RECE_YOY,REINSURE_PAYABLE_YOY,REINSURE_RECE_YOY,RHD_RESERVE_RECE_YOY,RLD_RESERVE_RECE_YOY,RUC_RESERVE_RECE_YOY,RUD_RESERVE_RECE_YOY,SELL_REPO_FINASSET_YOY,SETTLE_EXCESS_RESERVE_YOY,SHARE_CAPITAL_YOY,SHORT_FIN_PAYABLE,SHORT_FIN_PAYABLE_YOY,SHORT_LOAN_YOY,STAFF_SALARY_PAYABLE_YOY,SUBBOND_PAYABLE_YOY,SUBROGATION_RECE,SUBROGATION_RECE_YOY,SURPLUS_RESERVE_YOY,TAX_PAYABLE_YOY,TIME_DEPOSIT_YOY,TOTAL_ASSETS_YOY,TOTAL_EQUITY_YOY,TOTAL_LIAB_EQUITY_YOY,TOTAL_LIABILITIES_YOY,TOTAL_PARENT_EQUITY_YOY,TRADE_FINASSET_NOTFVTPL_YOY,TRADE_FINASSET_YOY,TRADE_FINLIAB_NOTFVTPL_YOY,TRADE_FINLIAB_YOY,UC_RESERVE_YOY,UD_RESERVE_YOY,UNASSIGN_RPOFIT_YOY,USERIGHT_ASSET_YOY,OPINION_TYPE,OSOOPINION_TYPE,LISTING_STATE
601318.SH,601318,中国平安,10009951,保险,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-29 00:00:00,2025-10-29 00:00:00,CNY,3563157000000.0,6484000000.0,44885000000.0,6567000000.0,,198871000000.0,,,,,0.0,254433000000.0,,913370000000.0,123298000000.0,124835000000.0,106018000000,,,,1228986000000.0,,119398000000,7335000000.0,28931000000.0,42695000000.0,,,,,,44168000000,,2666334000000,203213000000.0,144699000000.0,38170000000.0,,,,,,,,,,22501000000,,,144784000000.0,,444776000000.0,,8234000000.0,233551000000.0,0.0,,,111573000000.0,3435433000000.0,150668000000,145971000000.0,,387052000000,702025000000,,152828000000,-75917000000.0,3241903000000.0,575028000000.0,,,316189000000,,,0.0,,,,,,,,,,15001000000.0,,,,,,,,,686653000000.0,37380000000.0,18108000000,84249000000.0,56147000000,,12164000000,23438000000,353731000000.0,13649993000000,1373458000000,13649993000000,12276535000000,986406000000,,,,,,,781334000000,8138000000.0,0.5728419566,-13.7880600984,16.802852087,-0.2733485194,,12.3539581026,,,,,,24.7171679542,,7.1908479903,-8.9386341312,59.1856773058,-7.9928489603,,,,1.4424136471,,4.7644952969,-48.0597649058,-33.4445236835,-9.8081879251,,,,,,-7.3599429494,,18.5499941755,22.1430159942,10.5940170287,-13.6288552486,,,,,,,,,,-27.3973928756,,,0.5919461968,,-2.3701967189,,-7.4623510901,-13.6965293996,,,,-19.5232256203,1.0275872007,-23.1709058274,10.9244272199,,4.1436612745,1.0039608832,,,,-2.0352172715,-23.1179656839,9.1941386389,85.2532691583,,,-9.2329023516,,,,,,,,,,,,,-0.3586848223,,,,,,,,,137.2456612548,69.7008217188,-0.5601317957,,,-16.0557177446,12.0430236271,,,,0.0,59.0202863152,35.8299222032,8.9060197215,7.3357033615,8.9060197215,9.084563954,8.6423206845,,,,,,,11.9129944053,-4.5507858316,,,0
601318.SH,601318,中国平安,10009951,保险,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-27 00:00:00,2025-08-27 00:00:00,CNY,3687100000000.0,7159000000.0,40939000000.0,7103000000.0,,183388000000.0,,,,,0.0,233660000000.0,,789590000000.0,107447000000.0,86497000000.0,117723000000,,,,1186366000000.0,,129191000000,8824000000.0,36665000000.0,46060000000.0,,,,,,44838000000,,2522586000000,146885000000.0,144582000000.0,45886000000.0,,,,,,,,,,30155000000,,,144375000000.0,,521390000000.0,,8156000000.0,275547000000.0,0.0,,,214228000000.0,3420417000000.0,159551000000,136271000000.0,,399148000000,698260000000,,151587000000,-77543000000.0,3350011000000.0,520519000000.0,,,302730000000,,,0.0,,,,,,,,,,15319000000.0,,,,,,,,,513738000000.0,30291000000.0,18210000000,80630000000.0,50767000000,,12164000000,20844000000,353566000000.0,13509559000000,1343100000000,13509559000000,12166459000000,943952000000,,,,,,,733817000000,7974000000.0,3.0060064255,-5.0026539278,3.2223090694,-18.4781361184,,55.8335174453,,,,,,15.138046408,,-4.1400233826,49.9399944181,-26.2317171976,-12.3882740811,,,,-3.3349737961,,30.0938513282,-38.0945699453,-28.5352304844,3.3894500561,,,,,,-5.5365946151,,17.550247814,1.602705993,10.6195773592,3.9815087584,,,,,,,,,,-3.4916469308,,,-0.5126826949,,-4.017569503,,-9.3274041134,6.0526285404,,,,69.6210549652,3.1907081761,-36.0844937267,-2.219367986,,19.5977731301,17.8330835797,,,,-25.5397114662,-171.063026532,17.7263703744,73.8795948636,,,-9.6862153115,,,,,,,,,,,,,2.2220739357,,,,,,,,,101.4832652229,50.6340444577,0.0,,,-15.5441499948,18.998171675,,,,0.0,57.4201344309,45.6334593744,10.4925823606,6.1781098067,10.4925823606,10.9904598878,1.3685449438,,,,,,,9.6278446482,-7.0195895522,,,0
601318.SH,601318,中国平安,10009951,保险,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,3669136000000.0,6518000000.0,39053000000.0,6800000000.0,,173274000000.0,,,,,0.0,225203000000.0,,808359000000.0,104558000000.0,69830000000.0,117515000000,,,,1228333000000.0,,130083000000,9258000000.0,46994000000.0,52212000000.0,,,,,,44971000000,,2358612000000,150823000000.0,144438000000.0,45791000000.0,,,,,,,,,,30688000000,,,145759000000.0,,498310000000.0,,8354000000.0,269684000000.0,0.0,,,148417000000.0,3425976000000.0,163684000000,136110000000.0,,399387000000,754730000000,,164601000000,-69296000000.0,3164069000000.0,477076000000.0,,,308944000000,,,0.0,,,,,,,,,,15336000000.0,,,,,,,,,502974000000.0,33570000000.0,18210000000,94064000000.0,45137000000,,12164000000,28030000000,314957000000.0,13183134000000,1339120000000,13183134000000,11844014000000,939733000000,,,,,,,721703000000,8196000000.0,5.9564124933,-14.8863933142,4.1024684118,-3.3129532205,,37.1044698175,,,,,,16.4489741044,,-19.0220647015,24.0470286752,-47.4622688355,-12.8563165544,,,,-1.9269953404,,20.2379191777,-35.3627033443,-1.6861924686,9.695989243,,,,,,-2.24970656,,20.1892566047,108.7602253381,10.6168868466,3.799161283,,,,,,,,,,-3.820478265,,,-1.5514399957,,2.6715072196,,-12.3491763718,15.1693478474,,,,-10.1325453676,1.218889598,-35.4848372577,-2.0467204974,,18.4527093158,17.8858550407,,,,-14.749844624,-56.8883153343,15.0316220996,81.3018974762,,,4.7374309252,,,,,,,,,,,,,3.2518683094,,,,,,,,,106.667954128,56.7958897711,0.0,,,0.5591131162,9.2773272001,,,,0.0,58.6124943413,65.5307429929,10.0217687829,7.8074935192,10.0217687829,10.2778581615,3.8413428069,,,,,,,9.6248285458,-8.9535658743,,,0
601318.SH,601318,中国平安,10009951,保险,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-20 00:00:00,2025-10-29 00:00:00,CNY,3541448000000.0,6871000000.0,36006000000.0,19426000000.0,,168719000000.0,,,,,0.0,210176000000.0,,967042000000.0,115926000000.0,91840000000.0,121204000000,,,,1232450000000.0,,122012000000,13977000000.0,68698000000.0,74937000000.0,,,,,,46277000000,,2377074000000,172768000000.0,144314000000.0,43539000000.0,,,,,,,,,,31387000000,,,141495000000.0,,418445000000.0,,8801000000.0,266938000000.0,0.0,,,86110000000.0,3391837000000.0,185514000000,122040000000.0,,376112000000,683433000000,,119770000000,-55761000000.0,3186937000000.0,356493000000.0,,,312953000000,,,0.0,,,,,,,,,,16404000000.0,,,,,,,,,462292000000.0,33982000000.0,18210000000,95662000000.0,56564000000,,12164000000,23770000000,280954000000.0,12957827000000,1304712000000,12957827000000,11653115000000,928600000000,,,,,,,693470000000,8527000000.0,3.6070043635,-22.431700158,1.0382759008,15.2604722914,,44.9675213088,,,,,,16.3288575002,,0.3148317388,51.3354742696,-45.2224740546,-9.9564655365,,,,-0.8769030195,,20.402222288,-1.2086513995,52.7368935924,68.2805236801,,,,,,-2.3939087151,,31.8364967746,255.3507887863,10.7101485965,-1.3079154955,,,,,,,,,,-3.759237114,,,-1.5721192306,,-6.9812159609,,-14.0023451241,20.9467755894,,,,-58.7562205735,2.2215879947,-28.338940887,-9.7076819497,,13.9895682112,18.402424066,,,,-23.2897593718,-327.483900644,20.8542787887,34.5881295847,,,11.0435760692,,,,,,,,,,,,,10.0717976246,,,,,,,,,91.185386451,75.2824057358,0.0,,,2.5074473329,13.6485101766,,,,0.0,51.5170831209,17.260578135,11.8653243684,6.1635654096,11.8653243684,12.5420628207,3.2912834214,,,,,,,11.5400266678,-12.9364917296,标准无保留意见,,0
601318.SH,601318,中国平安,10009951,保险,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-22 00:00:00,2024-10-22 00:00:00,CNY,3542862000000.0,7521000000.0,38428000000.0,6585000000.0,,177004000000.0,,,,,0.0,204008000000.0,,852097000000.0,135401000000.0,78421000000.0,115228000000,,,,1211511000000.0,,113968000000,14122000000.0,43469000000.0,47338000000.0,,,,,,47677000000,,2249122000000,166373000000.0,130838000000.0,44193000000.0,,,,,,,,,,30992000000,,,143932000000.0,,455574000000.0,,8898000000.0,270616000000.0,0.0,,,138640000000.0,3400490000000.0,196108000000,131595000000.0,,371652000000,695047000000,,156003000000,-61662000000.0,2968935000000.0,310401000000.0,,,348352000000,,,0.0,,,,,,,,,,15055000000.0,,,,,,,,,289427000000.0,22027000000.0,18210000000,100363000000.0,50112000000,,12164000000,14739000000,260422000000.0,12533736000000,1279591000000,12533736000000,11254145000000,907939000000,,,,,,,698162000000,8526000000.0,2.4030536549,-16.9959165655,14.3282161133,6.2782440284,,46.4840484959,,,,,,12.3850026993,,-0.0791536307,190.7784816923,-6.4791184678,-14.4615430298,,,,3.6487626426,,17.0511266767,-1.5682721126,-37.6430928131,-33.128028366,,,,,,-0.2552354652,,24.4791006555,88.1004872865,10.529339213,0.0362179415,,,,,,,,,,-5.5985379226,,,0.1642356085,,13.1652814141,,-17.1508379888,72.0020593264,,,,-45.5425321308,1.96081371,-26.9336095411,-5.3164393024,,12.9692843139,7.0891291084,,,,0.6873717229,-464.3085933925,13.2220206969,17.4266842201,,,10.5717895165,,,,,,,,,,,,,2.1509024291,,,,,,,,,35.573792761,12.3769195449,0.0,,,-5.5824717537,12.4570813043,,,,0.0,-0.7675217128,9.6241354779,9.3142995343,3.855487595,9.3142995343,9.9715146764,0.5354870928,,,,,,,9.8474764544,-16.9167803547,,,0
601318.SH,601318,中国平安,10009951,保险,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-23 00:00:00,2024-08-23 00:00:00,CNY,3579500000000.0,7536000000.0,39661000000.0,8713000000.0,,117682000000.0,,,,,0.0,202939000000.0,,823691000000.0,71660000000.0,117255000000.0,134369000000,,,,1227296000000.0,,99306000000,14254000000.0,51305000000.0,44550000000.0,,,,,,47466000000,,2145964000000,144568000000.0,130702000000.0,44129000000.0,,,,,,,,,,31246000000,,,145119000000.0,,543214000000.0,,8995000000.0,259821000000.0,0.0,,,126298000000.0,3314656000000.0,249628000000,139364000000.0,,333742000000,592584000000,,203581000000,-28607000000.0,2845591000000.0,299356000000.0,,,335198000000,,,0.0,,,,,,,,,,14986000000.0,,,,,,,,,254978000000.0,20109000000.0,18210000000,95470000000.0,42662000000,,12164000000,13241000000,242778000000.0,12226666000000,1264950000000,12226666000000,10961716000000,931208000000,,,,,,,669371000000,8576000000.0,6.1376910819,-19.7614991482,19.4716390035,-6.1604738826,,-15.0285928835,,,,,,9.8214189079,,-11.9596016601,16.3273919678,17.7353602699,-0.0074416389,,,,6.2742079199,,12.8323410444,-2.9944194909,-31.4379259655,-41.6120576671,,,,,,-0.7962881685,,21.2745456508,59.0529523726,10.5508001489,0.1202468464,,,,,,,,,,-5.5241435612,,,2.0089834881,,15.7577333208,,-19.2621847231,83.8256415336,,,,-8.4020510143,-0.9528340141,-9.0187445558,-6.8160847297,,3.7787244628,-10.1841986004,,,,16.6258972611,-617.3991680232,8.6015973523,7.5404323804,,,1.3390009342,,,,,,,,,,,,,1.489909251,,,,,,,,,-4.7651417815,-7.6764152243,0.0,,,-18.1779225231,6.0294263843,,,,0.0,-11.4728889483,4.6957811712,6.6194366953,2.0339024066,6.6194366953,7.1752574981,1.4227600216,,,,,,,5.4732161428,-18.6723565671,,,0
601318.SH,601318,中国平安,10009951,保险,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-24 00:00:00,2024-04-24 00:00:00,CNY,3462873000000.0,7658000000.0,37514000000.0,7033000000.0,,126381000000.0,,,,,0.0,193392000000.0,,998246000000.0,84289000000.0,132914000000.0,134852000000,,,,1252468000000.0,,108188000000,14323000000.0,47800000000.0,47597000000.0,,,,,,46006000000,,1962415000000,72247000000.0,130575000000.0,44115000000.0,,,,,,,,,,31907000000,,,148056000000.0,,485344000000.0,,9531000000.0,234163000000.0,0.0,,,165151000000.0,3384720000000.0,253714000000,138954000000.0,,337170000000,640221000000,,193080000000,-44169000000.0,2750608000000.0,263139000000.0,,,294970000000,,,0.0,,,,,,,,,,14853000000.0,,,,,,,,,243373000000.0,21410000000.0,18210000000,93541000000.0,41305000000,,12164000000,17672000000,190271000000.0,11982296000000,1242140000000,11982296000000,10740156000000,904970000000,,,,,,,658339000000,9002000000.0,-0.1357142837,-25.5420515314,4.9195916655,-3.9470090139,,-5.2061925264,,,,,,3.5366676303,,12.1125881069,63.4426324873,6.3269469221,-2.440930071,,,,7.7212060955,,29.2784934159,-1.6885167136,102.0031272451,67.2946469368,,,,,,-5.7833299201,,16.7750366109,-23.5578550872,10.580872452,0.2271952743,,,,,,,,,,-4.3583825425,,,8.6306706874,,10.866590676,,-21.2314049587,94.4536251983,,,,27.5632212318,1.1694784245,-8.6643483019,-10.0435041562,,5.7131570036,-4.9705510399,,,,6.4564150631,-640.9552969994,6.8908780446,2.2915986379,,,-9.5109104128,,,,,,,,,,,,,2.1175661739,,,,,,,,,-14.4188876034,15.2004304547,-0.3829321663,,,-19.4389899407,6.2180163036,,,,0.0,-37.3088793501,-18.2329962742,6.1554933136,0.7184094447,6.1554933136,6.8224222378,-1.0239169142,,,,,,,4.4299600896,-22.383169512,,,0
601318.SH,601318,中国平安,10009951,保险,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-22 00:00:00,2025-03-20 00:00:00,CNY,3418155000000.0,8858000000.0,35636000000.0,16854000000.0,,116384000000.0,,,,,0.0,180674000000.0,,964007000000.0,76602000000.0,167660000000.0,134606000000,,,,1243353000000.0,,101337000000,14148000000.0,44978000000.0,44531000000.0,,,,,,47412000000,,1803047000000,48619000000.0,130353000000.0,44116000000.0,,,,,,,,,,32613000000,,,143755000000.0,,449850000000.0,,10234000000.0,220707000000.0,0.0,,,208783000000.0,3318122000000.0,258877000000,135161000000.0,,329953000000,577212000000,,156133000000,-13044000000.0,2637008000000.0,264877000000.0,,,281829000000,,,0.0,,,,,,,,,,14903000000.0,,,,,,,,,241803000000.0,19387000000.0,18210000000,93322000000.0,49771000000,,12164000000,15688000000,239598000000.0,11583417000000,1228964000000,11583417000000,10354453000000,899011000000,,,,,,,621723000000,9794000000.0,3.3871206299,-14.4071891004,-1.3345146464,-43.414470371,,-7.5054836761,,,,,,-3.3094649413,,3.5344292438,5.5182103697,83.2069410145,0.8073213109,,,,10.6151498841,,13.4526035311,-0.4853344587,53.6238814127,12.0615028436,,,,,,-5.0639754911,,9.907108665,-42.5707839686,10.5923575525,0.1270994099,,,,,,,,,,-2.5284676769,,,5.1955654751,,16.8162413138,,-21.3555675094,64.8038769125,,,,8.7887409075,2.4727197261,-7.8050378749,-10.8077788556,,4.1501870236,-5.9512462178,,,,-12.4535305563,-337.5523584047,5.4469987484,0.0400345959,,,-14.4141709232,,,,,,,,,,,,,3.1777900858,,,,,,,,,-11.0157983639,15.0836993945,-0.3829321663,,,-23.4720570749,4.2914318044,,,,0.0,-39.573222402,-12.3276543427,5.2087204835,3.6229464518,5.2087204835,5.4001631117,3.4307764346,,,,,,,4.8691419164,-22.146263911,标准无保留意见,,0
601318.SH,601318,中国平安,10009951,保险,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2023-10-28 00:00:00,CNY,3459723000000.0,9061000000.0,33612000000.0,6196000000.0,,120835000000.0,,,,,0.0,181526000000.0,,852772000000.0,46565000000.0,83854000000.0,134709000000,,,,1168862000000.0,,97366000000,14347000000.0,69710000000.0,70789000000.0,,,,,,47799000000,,1806827000000,88449000000.0,118374000000.0,44177000000.0,,,,,,,,,,32830000000,,,143696000000.0,,402574000000.0,,10740000000.0,157333000000.0,0.0,,,254584000000.0,3335095000000.0,268397000000,138984000000.0,,328985000000,649036000000,,154938000000,-10927000000.0,2622224000000.0,264336000000.0,,,315046000000,,,0.0,,,,,,,,,,14738000000.0,,,,,,,,,213483000000.0,19601000000.0,18210000000,106297000000.0,44561000000,,12164000000,14853000000,237559000000.0,11465779000000,1232088000000,11465779000000,10233691000000,903103000000,,,,,,,635574000000,10262000000.0,6.8871746438,30.3178484108,20.5379236148,-60.3074951954,,83.188805676,,,,,,-5.3042870408,,-9.3547907056,0.6549651982,28.5729618669,5.8725056391,,,,-61.0843467358,,13.4815091085,8.3201208003,11.5449235939,7.0824572284,,,,,,18.9977096196,,19.3851242596,-24.8719538609,15.6380048063,91.37497834,,,,,,,,,,11.0472195914,,,19.1183175416,,58.6504774403,,-14.2446502715,61.7437521203,,,,55.6898238748,3.8786918323,-4.171650344,-11.6602787789,,20.5536928123,18.4100006203,,,,-0.5258190643,-0.2661038723,545.1354496495,7.55859375,,,7.5337743281,,,,,,,,,,,,,1.5433374673,,,,,,,,,-32.2452567903,104.2409086173,-0.3829321663,,,-11.4080926783,3.8088803988,,,,0.0,-41.8646522369,-18.5886957207,6.5373927346,10.8297786981,6.5373927346,6.0429301352,7.6661989344,,,,,,,5.8150724387,-15.0848158875,,,0
601318.SH,601318,中国平安,10009951,保险,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-30 00:00:00,2023-08-30 00:00:00,CNY,3372506000000.0,9392000000.0,33197000000.0,9285000000.0,,138496000000.0,,,,,0.0,184790000000.0,,935583000000.0,61602000000.0,99592000000.0,134379000000,,,,1154839000000.0,,88012000000,14694000000.0,74830000000.0,76300000000.0,,,,,,47847000000,,1769509000000,90893000000.0,118228000000.0,44076000000.0,,,,,,,,,,33073000000,,,142261000000.0,,469268000000.0,,11141000000.0,141341000000.0,0.0,,,137883000000.0,3346543000000.0,274373000000,149558000000.0,,321590000000,659777000000,,174559000000,5529000000.0,2620211000000.0,278366000000.0,,,330769000000,,,0.0,,,,,,,,,,14766000000.0,,,,,,,,,267736000000.0,21781000000.0,18210000000,116680000000.0,40236000000,,12164000000,14957000000,231889000000.0,11467577000000,1239735000000,11467577000000,10227842000000,918145000000,,,,,,,634636000000,10545000000.0,4.4618204728,45.7479826195,17.5905919025,-39.9689661861,,56.0782104018,,,,,,-5.6775201237,,0.9190313927,27.5641423868,170.7555120572,5.8902792662,,,,-61.1648862796,,18.5602284667,7.0679102303,160.3688239388,139.9446523476,,,,,,16.3594357977,,17.2960983917,-8.7492972452,15.8836732894,90.2944478024,,,,,,,,,,15.0565315707,,,17.7764531538,,39.3210123952,,-11.7194928685,2.182588453,,,,4.3777441332,6.5803482567,-2.9506747077,-0.9910297574,,19.7531875596,15.0481534633,,,,3.9388129376,639.94140625,546.3066058563,0.2383833146,,,9.7117971137,,,,,,,,,,,,,3.9712716519,,,,,,,,,-5.2228397465,153.1202789076,-0.3829321663,,,-8.9184653214,0.9306409131,,,,0.0,-32.7049401602,-18.646571171,7.2122132192,10.9617878691,7.2122132192,6.7748699353,8.1800925866,,,,,,,5.5320535845,-13.1955877511,,,0
