SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,DEPOSIT_INTERBANK_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,RECEIVE_TAX_REFUND,RECEIVE_TRADE_FINASSET,RECEIVE_INTEREST_COMMISSION,BANKSECURITY_LEND_ADD,PBC_INTERBANK_REDUCE,BANKSECURITY_REPO_ADD,BANKSECURITY_RESALE_REDUCE,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,PAY_ORIGIC_COMPENSATE,PAY_REINSURE,BANKSECURITY_LEND_REDUCE,BANKSECURITY_RESALE_ADD,BANKSECURITY_REPO_REDUCE,LOAN_ADVANCE_ADD,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,INSURED_INVEST_REDUCE,PBC_INTERBANK_ADD,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_TRADE_FINASSET,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,RECEIVE_BUY_RESALE,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,INVEST_PAY_CASH,INSURED_PLA,CONSTRUCT_LONG_ASSET,PURCHASE_SUBSIDIARY_OTHER,DISPOSAL_SUBSIDIARY_OUTFLOW,PAY_BUY_RESALE,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_SELL_REPO,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,PAY_SELL_REPO,PAY_OTHER_FINANCE,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,PROVISION_PREDICT_LIAB,EXTRACT_INSURANCE_RESERVE,EXTRACT_UNEXPIRE_RESERVE,FA_IR_DEPR,FIXED_ASSET_DEPR,IA_LPE_AMORTIZE,IA_AMORTIZE,LPE_AMORTIZE,LONGASSET_AMORTIZE,DISPOSAL_LONGASSET_LOSS,FAIRVALUE_CHANGE_LOSS,INVEST_LOSS,EXCHANGE_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,TRADE_FINASSET_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,FB_OPERATE_NETCASH_OTHER,FB_OPERATE_NETCASH_BALANCE,FB_NETCASH_OPERATE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,FB_CCE_ADD_OTHER,FB_CCE_ADD_BALANCE,FB_CCE_ADD,CREDIT_IMPAIRMENT_INCOME,DEPOSIT_INTERBANK_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_TRADE_FINASSET_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BANKSECURITY_LEND_ADD_YOY,PBC_INTERBANK_REDUCE_YOY,BANKSECURITY_REPO_ADD_YOY,BANKSECURITY_RESALE_REDUCE_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_REINSURE_YOY,BANKSECURITY_LEND_REDUCE_YOY,BANKSECURITY_RESALE_ADD_YOY,BANKSECURITY_REPO_REDUCE_YOY,LOAN_ADVANCE_ADD_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,INSURED_INVEST_REDUCE_YOY,PBC_INTERBANK_ADD_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_TRADE_FINASSET_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,RECEIVE_BUY_RESALE_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,INVEST_PAY_CASH_YOY,INSURED_PLA_YOY,CONSTRUCT_LONG_ASSET_YOY,PURCHASE_SUBSIDIARY_OTHER_YOY,DISPOSAL_SUBSIDIARY_OUTFLOW_YOY,PAY_BUY_RESALE_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_SELL_REPO_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,PAY_SELL_REPO_YOY,PAY_OTHER_FINANCE_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,PROVISION_PREDICT_LIAB_YOY,EXTRACT_INSURANCE_RESERVE_YOY,EXTRACT_UNEXPIRE_RESERVE_YOY,FA_IR_DEPR_YOY,FIXED_ASSET_DEPR_YOY,IA_LPE_AMORTIZE_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,LONGASSET_AMORTIZE_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,INVEST_LOSS_YOY,EXCHANGE_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,TRADE_FINASSET_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,FB_OPERATE_NETCASH_OTHER_YOY,FB_OPERATE_NETCASH_BALANCE_YOY,FB_NETCASH_OPERATE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,FB_CCE_ADD_OTHER_YOY,FB_CCE_ADD_BALANCE_YOY,FB_CCE_ADD_YOY,CREDIT_IMPAIRMENT_INCOME_YOY,OPINION_TYPE,OSOPINION_TYPE,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
601318.SH,601318,中国平安,10009951,保险,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-29 00:00:00,2025-10-29 00:00:00,CNY,55136000000.0,,169000000.0,,,,188613000000.0,12967000000.0,30501000000.0,,,140677000000,849473000000.0,0.0,1277536000000,,,,4280000000.0,53279000000.0,104716000000.0,126656000000,,,,71375000000.0,43825000000,,161749000000,371509000000.0,0.0,937389000000,,0.0,340147000000,2357554000000,176901000000,463000000.0,9495000000.0,,4715000000.0,,0.0,2549128000000,2991154000000,,4817000000,3000000.0,,,,,0.0,2995974000000,,0.0,-446846000000,46646000000.0,80832000000.0,617115000000.0,267877000000.0,597000000.0,,0.0,1013067000000,782693000000.0,51255000000.0,,5749000000.0,42856000000.0,0.0,882553000000,,0.0,130514000000,-20000000.0,,0.0,23795000000,479045000000.0,,0.0,502840000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56.7920003762,,52.2522522523,,,,-4.8125400582,,18.358556461,,,-38.5807967028,10.4818697326,,-8.5162360308,,,,,,209.3438893977,-3.3403799043,,,,8.7171754097,37.5074519155,,32.5583301235,-35.161620798,,-4.2351955621,,,-18.5504900423,66.8933627163,11.1822712732,88.9795918367,,,-51.4867784752,,,61.1654413903,67.5755956163,,56.9055374593,,,,,,,67.5489159279,,,-116.4584493908,1735.7339630067,21.5482241136,-4.0845825659,2894.3773753633,-75.9758551308,,,39.9517039685,-8.368757295,3.4576722781,,-7.3787659095,239.830306875,,-4.3341351079,,,165.6945255401,98.7146529563,,,117.1472896514,-0.296999617,,,2.3217955762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601318.SH,601318,中国平安,10009951,保险,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-27 00:00:00,2025-08-27 00:00:00,CNY,246010000000.0,,103000000.0,,,,125990000000.0,15354000000.0,5721000000.0,,610000000.0,99764000000,665821000000.0,0.0,1159373000000,,,,,81217000000.0,74173000000.0,83890000000,,,,53830000000.0,31127000000,,144852000000,352099000000.0,0.0,821188000000,,0.0,338185000000,1536182000000,117858000000,279000000.0,61000000.0,,2305000000.0,,0.0,1656685000000,1849505000000,,2750000000,3000000.0,,,,,0.0,1852258000000,,0.0,-195573000000,45541000000.0,59586000000.0,347636000000.0,122542000000.0,384000000.0,,0.0,575689000000,610605000000.0,43377000000.0,,3604000000.0,36413000000.0,0.0,693999000000,,0.0,-118310000000,-61000000.0,,0.0,24241000000,479045000000.0,,0.0,503286000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.435142152,,-70.7386363636,,,,-6.4419114098,,-81.1902022029,,-58.446866485,-41.4654181042,24.7650189259,,3.4611293357,,,,,249.4106005851,93.1085654777,-6.5365375402,,,,11.3823998014,30.6210658833,,73.5440353673,-23.1840424812,,0.6721792805,,,10.9228786125,65.6700321595,16.1185442078,163.2075471698,,,2.8558679161,,,60.6717686662,57.0399472205,,53.2887402453,,,,,,,57.0247779748,,,-31.7016505384,20413.963963964,6.7696387615,-32.0477961801,205.8274476528,-87.4755381605,,,-5.7412640769,-16.514559244,124.6349041947,,-56.3680387409,433.2893966022,,-9.374644974,,,23.6881994388,-106.8926553672,,,984.1234347048,-0.296999617,,,4.2630327237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601318.SH,601318,中国平安,10009951,保险,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,206920000000.0,,32000000.0,,,,63589000000.0,,,,454000000.0,44164000000,400766000000.0,0.0,715925000000,,,15360000000.0,,51301000000.0,57163000000.0,43841000000,,,23574000000.0,36800000000.0,11110000000,,104534000000,129021000000.0,0.0,472704000000,,0.0,243221000000,800860000000,59764000000,145000000.0,5000000.0,,2191000000.0,,0.0,862965000000,1006674000000,,1403000000,,,,,,0.0,1008077000000,,0.0,-145112000000,44537000000.0,33929000000.0,78202000000.0,83738000000.0,322000000.0,,0.0,240728000000,284275000000.0,6131000000.0,,1469000000.0,31226000000.0,0.0,323101000000,,0.0,-82373000000,,,0.0,15736000000,479045000000.0,,0.0,494781000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.5449928479,,-86.2660944206,,,,-7.9714025211,,,,,-26.389652816,23.5201292017,,21.0524891912,,,-16.9460365524,,,-34.7402189673,1.1139812722,,,,24.889703387,15.8256880734,,128.9099110936,-54.2512791601,,-8.472114921,,,224.4763734358,66.317083605,33.0424523052,353.125,,,-26.7224080268,,,62.9868793074,90.4656852079,,31.9849482596,,,,,,,90.3303338456,,,-81884.1807909605,24237.1584699454,8.47907408,-75.9100500578,,-70.2127659574,,,-32.6005274858,-15.9732793403,5.3255454389,,-65.1400094922,2663.3628318584,,-12.4833418204,,,-585.1854932624,,,,-75.2695269527,-0.296999617,,,-9.0646606702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601318.SH,601318,中国平安,10009951,保险,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-20 00:00:00,2025-03-20 00:00:00,CNY,84021000000.0,,174000000.0,,,,267078000000.0,,10686000000.0,74541000000.0,4968000000.0,226980000000,977878000000.0,0.0,1646326000000,,,63194000000.0,,,52121000000.0,171928000000,,,,83915000000.0,45164000000,,160462000000,687068000000.0,0.0,1263852000000,,0.0,382474000000,1995887000000,207477000000,409000000.0,,,11385000000.0,,0.0,2215158000000,2624731000000,,6678000000,,,,,,0.0,2631409000000,,0.0,-416251000000,38252000000.0,97127000000.0,891175000000.0,156749000000.0,2685000000.0,,0.0,1185988000000,1038128000000.0,74669000000.0,,8078000000.0,34162000000.0,0.0,1155037000000,,0.0,30951000000,1399000000.0,,0.0,-1427000000,480472000000.0,,0.0,479045000000.0,146733000000.0,,,,,9860000000.0,4555000000.0,4779000000.0,3167000000.0,1612000000.0,,-3000000.0,-66504000000.0,-190136000000.0,-380000000.0,-1535000000.0,,,,-312888000000.0,675454000000.0,,112164000000.0,0.0,382474000000.0,,,,,381829000000.0,317130000000.0,97216000000.0,163342000000.0,,0.0,-1427000000.0,,-41.6852903208,,40.3225806452,,,,-7.6353248765,,154.5497856122,46.0614492299,,84.69425119,-1.872384066,,2.3818022843,,,18.3829452427,,,-68.5552083208,2.712261333,,,,-1.3403092117,-21.5644049252,,-28.7402466482,39.4272077341,,1.3007935891,,,6.1239778803,14.3193034147,-2.5577321379,-61.7041198502,,,5.5730712166,,,12.4030307582,26.9876081259,,-14.4942381562,,,,,,,26.83145606,,,-300.2374977164,1175.4918306102,-9.4766764528,-16.3069794349,,-65.4128558547,,,0.2635114057,-13.6495853113,2.1645436261,,-70.0836975039,64.3272884699,,-17.7866892728,,,113.9383759052,-27.2869022869,,,-103.9343810312,8.1652041188,,,-0.296999617,34.2798835954,,,,,-14.9633462699,-28.5602258469,-1.7879161529,11.3964122406,-20.3163618389,,99.4671403197,-835.745104547,-21.5299261115,-216.6666666667,77.6108518086,,,,-73.2510880519,46.1993164635,,8.4579904658,,6.1239778803,,,,,20.4014126699,-10.4754430637,-40.4831580365,81.5637366058,,,-103.9343810312,,标准无保留意见,,4930000000.0,2.8797996661
601318.SH,601318,中国平安,10009951,保险,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-22 00:00:00,2025-10-29 00:00:00,CNY,127606000000.0,,111000000.0,,,,198149000000.0,,25770000000.0,42324000000.0,4578000000.0,229044000000,768880000000.0,0.0,1396462000000,,,21440000000.0,,,33851000000.0,131033000000,,,,65652000000.0,31871000000,,122021000000,572977000000.0,0.0,978845000000,,0.0,417617000000,1412611000000,159109000000,245000000.0,,,9719000000.0,,0.0,1581684000000,1784958000000,,3070000000,,91000000.0,,,,0.0,1788119000000,,0.0,-206435000000,2541000000.0,66502000000.0,643395000000.0,8946000000.0,2485000000.0,,0.0,723869000000,854177000000.0,49542000000.0,,6207000000.0,12611000000.0,0.0,922537000000,,0.0,-198668000000,-1556000000.0,,0.0,10958000000,480472000000.0,,0.0,491430000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.2499280989,,44.1558441558,,,,-10.1646196882,,,837.2010628875,39.8289554062,102.3267523519,-4.8587755183,,8.3480297036,,,-49.3371771545,,,-78.5716546498,4.1581214925,,,,-3.5068638114,-31.80631633,,-14.170658451,45.869536992,,0.2689970181,,,33.5741792687,1.0324165198,2.4375012072,-70.6937799043,,,34.0182018753,,,1.2822901799,12.1518263585,,-43.3265645191,,,,,,,11.969339475,,,-484.5864129357,-14.5020188425,-23.4940867885,-12.4532599644,,-43.6380131549,,,-12.7049363198,-9.7997949268,-0.4300988825,,-73.3204384268,-36.2114314618,,-16.6278515972,,,28.3583596579,-135.2514725872,,,146.746228327,8.1652041188,,,9.5369815198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601318.SH,601318,中国平安,10009951,保险,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-23 00:00:00,2025-08-27 00:00:00,CNY,249592000000.0,,352000000.0,,,,134665000000.0,,30415000000.0,,1468000000.0,170436000000,533660000000.0,0.0,1120588000000,,,50301000000.0,,23244000000.0,38410000000.0,89757000000,,,,48329000000.0,23830000000,,83467000000,458367000000.0,0.0,815705000000,,0.0,304883000000,927254000000,101498000000,106000000.0,,,2241000000.0,,0.0,1031099000000,1177729000000,,1794000000,,73000000.0,,,,0.0,1179596000000,,0.0,-148497000000,222000000.0,55808000000.0,511589000000.0,40069000000.0,3066000000.0,,0.0,610754000000,731391000000.0,19310000000.0,,8260000000.0,6828000000.0,0.0,765789000000,,0.0,-155035000000,885000000.0,,0.0,2236000000,480472000000.0,,0.0,482708000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0183639399,,758.5365853659,,,,-9.6414241046,,180.2967468436,,-40.5908539053,110.3498920086,-0.6696968682,,20.7462512876,,,1181.880733945,,,-74.5720073616,8.6107380114,,,,-5.3245048681,-34.2783860559,,-33.8025823235,45.6326133786,,6.5229740583,,,87.8549819159,-7.9454932452,-1.7111315547,-55.8333333333,,,-59.4168779428,,,-7.634101333,2.2942461446,,-37.7299548768,,,,,,,2.2006660914,,,-292.0609356849,-86.7065868263,-21.1305822499,-3.6550112336,,-27.9097107924,,,0.5058583465,17.4978151628,-44.5338082381,,-49.6525661343,-63.9702390375,,7.5788098449,,,-48.8431259601,-81.7751235585,,,-91.0976629375,8.1652041188,,,2.852857012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601318.SH,601318,中国平安,10009951,保险,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-24 00:00:00,2025-04-26 00:00:00,CNY,76201000000.0,,233000000.0,,,,69097000000.0,,38261000000.0,23174000000.0,,59997000000,324454000000.0,0.0,591417000000,,,18494000000.0,269000000.0,,87593000000.0,43358000000,,,,29466000000.0,9592000000,,45666000000,282021000000.0,0.0,516459000000,,0.0,74958000000,481526000000,44921000000,32000000.0,,,2990000000.0,,0.0,529469000000,528533000000,,1063000000,,50000000.0,,,,0.0,529646000000,,0.0,-177000000,183000000.0,31277000000.0,324625000000.0,,1081000000.0,,0.0,357166000000,338315000000.0,5821000000.0,19708000000.0,4214000000.0,1130000000.0,0.0,369188000000,,0.0,-12022000000,871000000.0,,0.0,63630000000,480472000000.0,,0.0,544102000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63.3578572802,,959.0909090909,,,,-7.5266658637,,1475.1749691231,-29.2764061403,,19.5135555069,1.699516036,,-13.9296379735,,,81.7949474098,-62.2720897616,,-32.1221279399,1.7029461437,,,,-4.8071331653,-12.4497991968,,-11.8825254708,40.4144406992,,8.2391972268,,,-64.303334508,-4.6581342119,1.4544797525,-77.1428571429,,,631.0513447433,,,-3.7124260979,-8.245258911,,-24.8231966054,,,,,,,-8.2797363618,,,99.3581142339,1043.75,-15.0058425501,71.6284946919,,-63.5413153457,,,56.0194649753,24.2589967164,-28.8647195405,-1.3761697443,-62.0291944495,-93.1448677505,,12.5525130025,,,87.8675951156,192.6595744681,,,-22.7613163229,8.1652041188,,,3.3269209222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601318.SH,601318,中国平安,10009951,保险,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-22 00:00:00,2025-03-20 00:00:00,CNY,144082000000.0,,124000000.0,,,,289156000000.0,,4198000000.0,51034000000.0,,122895000000,996537000000.0,0.0,1608026000000,,,53381000000.0,506000000.0,,165754000000.0,167388000000,,,,85055000000.0,57581000000,,225179000000,492779000000.0,0.0,1247623000000,,0.0,360403000000,1745888000000,212923000000,1068000000.0,65000000.0,,10784000000.0,,0.0,1970728000000,2066919000000,,7810000000,,,,,,0.0,2074729000000,,0.0,-104001000000,2999000000.0,107295000000.0,1064814000000.0,,7763000000.0,,0.0,1182871000000,1202227000000.0,73087000000.0,81822000000.0,27002000000.0,20789000000.0,0.0,1404927000000,,0.0,-222056000000,1924000000.0,,0.0,36270000000,444202000000.0,,0.0,480472000000.0,109274000000.0,,,,,11595000000.0,6376000000.0,4866000000.0,2843000000.0,2023000000.0,,-563000000.0,9039000000.0,-156452000000.0,-120000000.0,-6856000000.0,,,,-180598000000.0,462009000000.0,,103417000000.0,0.0,360403000000.0,,,,,317130000000.0,354238000000.0,163342000000.0,89964000000.0,,0.0,36270000000.0,,-66.7236354062,,96.8253968254,,,,2.7375990847,,,,,-24.6181684353,6.5632619017,,-11.3193895255,,,34.848178649,,,-50.186027781,8.9035347391,,,,6.437161342,-6.0300933481,,59.7059491049,2.3154848046,,-6.6501209875,,,-24.4083175328,-13.0797914976,-4.9141014706,88.0281690141,-87.1794871795,,185.0647634153,,,-11.9186375227,-14.1168438968,,-11.9603201443,,,,,,,-15.4260941522,,,51.7978309232,-3.3827319588,-42.3213383363,37.7048798719,,-60.8640855011,,,7.2678006433,-0.3315299123,-6.057840617,,-1.4561512354,-6.2418256438,,5.3484553089,,,3.8189827308,-77.5757575758,,,-6.3347364615,9.5499397009,,,8.1652041188,-18.9464236706,,,,,19.8325754444,14.8001440403,3.642172524,5.5308092056,1.0994502749,,-81.0289389068,-75.5279402209,-3.3546051502,96.1832061069,65.9329192547,,,,61.0785205364,-43.5894712165,,-1.1479860062,,-24.4083175328,,,,,-10.4754430637,1.1270661452,81.5637366058,63.0107448948,,,-6.3347364615,,标准无保留意见,,4792000000.0,-19.8930123704
601318.SH,601318,中国平安,10009951,保险,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-22 00:00:00,CNY,139080000000.0,,77000000.0,,,,220569000000.0,,,4516000000.0,3274000000.0,113205000000,808146000000.0,0.0,1288867000000,,,42319000000.0,,,157973000000.0,125802000000,,,383000000.0,68038000000.0,46736000000,,142167000000,392801000000.0,0.0,976219000000,,0.0,312648000000,1398176000000,155323000000,836000000.0,72000000.0,,7252000000.0,,0.0,1561659000000,1591555000000,,5417000000,,,,,,0.0,1596972000000,,0.0,-35313000000,2972000000.0,86924000000.0,734916000000.0,,4409000000.0,,0.0,829221000000,946979000000.0,49756000000.0,66759000000.0,23265000000.0,19770000000.0,0.0,1106529000000,,0.0,-277308000000,4414000000.0,,0.0,4441000000,444202000000.0,,0.0,448643000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39.9981880385,,-67.7824267782,,,,4.6397108008,,,-77.404182928,20.9903917221,-27.6094922017,15.2327909245,,-2.5954308084,,,0.1988871789,,,-44.4250172382,10.7821553743,,,-97.4852265266,7.2951491831,-4.7739358993,,50.2806524244,21.9500155231,,-0.8378137612,,,-7.7034802195,-2.4699616695,-4.3465676403,177.7408637874,-70.4918032787,,99.1213618891,,,-2.4056449602,-13.9014935127,,-2.1318879855,,,,,,,-13.8663572921,,,86.092316175,25.3479544496,-34.7779761994,22.4196893349,,-67.1802888194,,,-9.5204114033,0.5316511867,-4.1236318791,,10.1353910244,10.6385360121,,7.1325252212,,,-138.2637236117,-45.3780472714,,,118.9196097644,9.5499397009,,,17.4439668487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601318.SH,601318,中国平安,10009951,保险,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-30 00:00:00,2024-08-23 00:00:00,CNY,134176000000.0,,41000000.0,,,,149034000000.0,,10851000000.0,13196000000.0,2471000000.0,81025000000,537258000000.0,0.0,928052000000,,,3924000000.0,,,151054000000.0,82641000000,,,,51047000000.0,36259000000,,126088000000,314742000000.0,0.0,765755000000,,0.0,162297000000,1007288000000,103265000000,240000000.0,5000000.0,,5522000000.0,,0.0,1116320000000,1151315000000,,2881000000,,,,,,0.0,1154196000000,,0.0,-37876000000,1670000000.0,70760000000.0,530997000000.0,,4253000000.0,,0.0,607680000000,622472000000.0,34814000000.0,19197000000.0,16406000000.0,18951000000.0,0.0,711840000000,,0.0,-104160000000,4856000000.0,,0.0,25117000000,444202000000.0,,0.0,469319000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56.7358415126,,-21.1538461538,,,,6.0136577038,,,,30.121116377,-19.4646548982,12.7601209753,,-9.8744139252,,,-87.91239257,,,-22.5892083861,6.1977948547,,,,7.5126368997,-2.7465600944,,142.4023377422,33.9584175693,,6.695397254,,,-47.986732045,4.5606335372,-5.7482909376,65.5172413793,-97.9508196721,,3.8750940557,,,3.495110887,-13.256649383,,1.58674189,,,,,,,-13.2250007894,,,84.938822416,-29.0870488323,-32.9467060875,22.6023712495,,-61.4938886374,,,-17.1138239105,-15.4146566836,-22.3040528477,,20.5791562546,31.1487889273,,-11.985301209,,,-37.7340526817,35.9462486002,,,318.3517343302,9.5499397009,,,19.1237537312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
