SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,OPERATE_INCOME,EARNED_PREMIUM,INSURANCE_INCOME,REINSURE_INCOME,REINSURE_PREMIUM,EXTRACT_UNEXPIRE_RESERVE,EARNED_PREMIUM_BALANCE,BANK_INTEREST_NI,BANK_INTEREST_INCOME,BANK_INTEREST_EXPENSE,UNINSURANCE_CNI,UNINSURANCE_CI,UNINSURANCE_CE,INVEST_INCOME,INVEST_JOINT_INCOME,FAIRVALUE_CHANGE,EXCHANGE_INCOME,OTHER_BUSINESS_INCOME,ASSET_DISPOSAL_INCOME,OTHER_INCOME,OPERATE_INCOME_OTHER,OPERATE_INCOME_BALANCE,OPERATE_EXPENSE,SURRENDER_VALUE,COMPENSATE_EXPENSE,AMORTIZE_COMPENSATE_EXPENSE,EXTRACT_INSURANCE_RESERVE,AMORTIZE_INSURANCE_RESERVE,POLICY_BONUS_EXPENSE,REINSURE_EXPENSE,OPERATE_TAX_ADD,FEE_COMMISSION_EXPENSE,BUSINESS_MANAGE_EXPENSE,AMORTIZE_REINSURE_EXPENSE,INTEREST_EXPENSE,FINANCE_EXPENSE,OTHER_BUSINESS_COST,ASSET_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS,OPERATE_EXPENSE_OTHER,OPERATE_EXPENSE_BALANCE,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT,NONBUSINESS_INCOME,NONCURRENT_DISPOSAL_INCOME,NONBUSINESS_EXPENSE,NONCURRENT_DISPOSAL_LOSS,EFFECT_TP_OTHER,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT,INCOME_TAX,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_BALANCE,NETPROFIT,CONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT,PARENT_NETPROFIT,MINORITY_INTEREST,DEDUCT_PARENT_NETPROFIT,NETPROFIT_OTHER,NETPROFIT_BALANCE,BASIC_EPS,DILUTED_EPS,OTHER_COMPRE_INCOME,PARENT_OCI,MINORITY_OCI,PARENT_OCI_OTHER,PARENT_OCI_BALANCE,UNABLE_OCI,SETUP_PROFIT_CHANGE,RIGHTLAW_UNABLE_OCI,UNABLE_OCI_OTHER,UNABLE_OCI_BALANCE,ABLE_OCI,RIGHTLAW_ABLE_OCI,AFA_FAIRVALUE_CHANGE,HMI_AFA,CASHFLOW_HEDGE_VALID,CONVERT_DIFF,ABLE_OCI_OTHER,ABLE_OCI_BALANCE,OCI_OTHER,OCI_BALANCE,TOTAL_COMPRE_INCOME,PARENT_TCI,MINORITY_TCI,TCI_BALANCE,EFFECT_TCI_BALANCE,OTHERRIGHT_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE,FINANCE_OCI_AMT,CREDITOR_IMPAIRMENT_RESERVE,ACF_END_INCOME,OPINION_TYPE,OPERATE_INCOME_YOY,EARNED_PREMIUM_YOY,INSURANCE_INCOME_YOY,REINSURE_INCOME_YOY,REINSURE_PREMIUM_YOY,EXTRACT_UNEXPIRE_RESERVE_YOY,EARNED_PREMIUM_BALANCE_YOY,BANK_INTEREST_NI_YOY,BANK_INTEREST_INCOME_YOY,BANK_INTEREST_EXPENSE_YOY,UNINSURANCE_CNI_YOY,UNINSURANCE_CI_YOY,UNINSURANCE_CE_YOY,INVEST_INCOME_YOY,INVEST_JOINT_INCOME_YOY,FAIRVALUE_CHANGE_YOY,EXCHANGE_INCOME_YOY,OTHER_BUSINESS_INCOME_YOY,ASSET_DISPOSAL_INCOME_YOY,OTHER_INCOME_YOY,OPERATE_INCOME_OTHER_YOY,OPERATE_INCOME_BALANCE_YOY,OPERATE_EXPENSE_YOY,SURRENDER_VALUE_YOY,COMPENSATE_EXPENSE_YOY,AMORTIZE_COMPENSATE_EXPENSE_YOY,EXTRACT_INSURANCE_RESERVE_YOY,AMORTIZE_INSURANCE_RESERVE_YOY,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE_YOY,OPERATE_TAX_ADD_YOY,FEE_COMMISSION_EXPENSE_YOY,BUSINESS_MANAGE_EXPENSE_YOY,AMORTIZE_REINSURE_EXPENSE_YOY,INTEREST_EXPENSE_YOY,FINANCE_EXPENSE_YOY,OTHER_BUSINESS_COST_YOY,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS_YOY,OPERATE_EXPENSE_OTHER_YOY,OPERATE_EXPENSE_BALANCE_YOY,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT_YOY,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE_YOY,NETPROFIT_YOY,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT_YOY,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE_YOY,BASIC_EPS_YOY,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME_YOY,PARENT_OCI_YOY,MINORITY_OCI_YOY,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE_YOY,UNABLE_OCI_YOY,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE_YOY,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID_YOY,CONVERT_DIFF_YOY,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE_YOY,OCI_OTHER_YOY,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI_YOY,MINORITY_TCI_YOY,TCI_BALANCE_YOY,EFFECT_TCI_BALANCE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,CREDITRISK_FAIRVALUE_CHANGE_YOY,CREDITOR_FAIRVALUE_CHANGE_YOY,FINANCE_OCI_AMT_YOY,CREDITOR_IMPAIRMENT_RESERVE_YOY,ACF_END_INCOME_YOY
601318.SH,601318,中国平安,10009951,保险,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-29 00:00:00,2025-10-29 00:00:00,CNY,832940000000,421653000000,421653000000,,,,,67055000000.0,129726000000.0,62671000000.0,33169000000.0,39470000000.0,6301000000.0,101346000000,-2807000000.0,48027000000.0,711000000.0,57931000000,249000000.0,1425000000.0,,0.0,651062000000,,,,,,,,2772000000,,60062000000,,16325000000.0,,30922000000,,42182000000.0,,0.0,,0.0,181878000000,467000000,,1318000000,,,0.0,181027000000,25960000000,,,155067000000,155067000000.0,,132856000000,22211000000,142057000000,,,7.56,7.24,-19440000000.0,-18226000000.0,-1214000000.0,,,15780000000.0,,-292000000.0,-27324000000.0,,-34006000000.0,-544000000.0,,,-51000000.0,-552000000.0,68047000000.0,,,,135627000000.0,114630000000.0,20997000000.0,,,43396000000.0,,-100746000000.0,,-160000000.0,1470000000.0,,7.4230412583,1.7342839564,1.7342839564,,,,,-7.9256319772,-15.1729549467,-21.7619814489,26.1082807391,24.7747605349,18.195460514,105.5783196073,-2651.9607843137,-31.7885497593,237.7906976744,13.9544032889,937.5,-11.2702366127,,,5.643348916,,,,,,,,7.2755417957,,6.5514733275,,13.0540166205,,18.6660526518,,-11.9483989479,,,,,14.3167818982,-3.5123966942,,32.9969727548,,,,14.1456432503,40.0291277847,,,10.7194367887,10.7194367887,,11.4732090416,6.4152932158,26.8728565304,,,12.3328380386,10.0303951368,58.6039479568,61.1170371635,-1295.4022988506,,,121.0084033613,,-121.6778025241,-63.0115737979,,37.042248306,-148.0141218005,,,-126.7015706806,-65.2694610778,136.3640735971,,,,45.6897940769,58.5301764673,1.0199663219,,,92.4007980492,,-176.1277939821,,25.5813953488,101.646090535
601318.SH,601318,中国平安,10009951,保险,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-27 00:00:00,2025-08-27 00:00:00,CNY,500076000000,277820000000,277820000000,,,,,44834000000.0,87810000000.0,42976000000.0,21756000000.0,25622000000.0,3866000000.0,59027000000,-1115000000.0,-11439000000.0,803000000.0,38929000000,56000000.0,1193000000.0,,0.0,407570000000,,,,,,,,1859000000,,40916000000,,10743000000.0,,19845000000,,28913000000.0,,0.0,,0.0,92506000000,354000000,,905000000,,,0.0,91955000000,9430000000,,,82525000000,82525000000.0,,68047000000,14478000000,73571000000,,,3.87,3.71,-20331000000.0,-19880000000.0,-451000000.0,,,21448000000.0,,-287000000.0,-25784000000.0,,-41328000000.0,8000000.0,,,-94000000.0,-84000000.0,-50155000000.0,,,,62194000000.0,48167000000.0,14027000000.0,,,47519000000.0,,9320000000.0,,-323000000.0,1467000000.0,,1.0323941442,1.1696673076,1.1696673076,,,,,-9.0698900742,-15.4925511029,-21.2922603568,24.4195356285,21.3507625272,6.5600882029,292.1278150535,-25.140291807,-124.7645645256,258.0708661417,15.5060380382,86.6666666667,15.0433944069,,,4.1039276838,,,,,,,,5.505107832,,11.0580315944,,18.3932113732,,14.611608432,,8.9822842066,,,,,-10.5902593198,-9.9236641221,,29.1012838802,,,,-10.8574475304,-34.745000346,,,-6.9658639971,-6.9658639971,,-8.8074083008,2.7902023429,-0.8851107399,,,-8.0760095012,-9.9514563107,-37.5016907886,-32.3216187433,-289.4957983193,,,292.8205128205,,-141.2949640288,-59.6730245232,,-101.7574692443,-95.6043956044,,,-129.4670846395,-126.7515923567,62.5918329293,,,,-15.8608187451,-19.176105378,-2.0666061579,,,127.2223019175,,-91.7226189207,,-279.4444444444,101.2345679012
601318.SH,601318,中国平安,10009951,保险,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,232801000000,137671000000,137671000000,,,,,22955000000.0,44863000000.0,21908000000.0,11211000000.0,13226000000.0,2015000000.0,29642000000,-628000000.0,-21802000000.0,232000000.0,18996000000,66000000.0,522000000.0,,0.0,197211000000,,,,,,,,953000000,,19935000000,,6031000000.0,,9682000000,,11276000000.0,,0.0,,0.0,35590000000,126000000,,183000000,,,0.0,35533000000,374000000,,,35159000000,35159000000.0,,27016000000,8143000000,30259000000,,,1.54,1.44,-13215000000.0,-12194000000.0,-1021000000.0,,,8667000000.0,,-303000000.0,-11559000000.0,,-20861000000.0,-160000000.0,,,-30000000.0,96000000.0,30046000000.0,,,,21944000000.0,14822000000.0,7122000000.0,,,20529000000.0,,-50584000000.0,,-229000000.0,11000000.0,,-5.1993533386,0.598456727,0.598456727,,,,,-9.2867022328,-15.8276890748,-21.7403729371,19.8012395811,18.1209252478,9.5704187058,525.2187634486,-18.2674199623,-163.218024183,176.821192053,12.8564638783,3200.0,-35.5555555556,,,2.196691748,,,,,,,,10.5568445476,,10.9287184909,,22.8059458359,,9.7607980955,,8.9363346537,,,,,-32.3345437953,-33.3333333333,,8.2840236686,,,,-32.4685938005,-95.0574864543,,,-21.9556048835,-21.9556048835,,-26.4049688087,-2.3738160892,-17.5324321378,,,-25.6038647343,-29.0640394089,57.1664721898,60.6594399277,-809.0277777778,,,4636.0655737705,,-289.375,-8991.5384615385,,33.0927868116,-305.1282051282,,,-109.1743119266,241.1764705882,130.2018415022,,,,54.5569798563,159.4433747593,-16.0636417207,,,19285.9813084112,,-174.473660964,,-597.8260869565,
601318.SH,601318,中国平安,10009951,保险,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-20 00:00:00,2025-03-20 00:00:00,CNY,1028925000000,551186000000,551186000000,,,,,93913000000.0,197961000000.0,104048000000.0,37945000000.0,45786000000.0,7841000000.0,83613000000,-3479000000.0,66504000000.0,380000000.0,69733000000,3000000.0,2021000000.0,,0.0,857276000000,,,,,,,,3579000000,,80473000000,,19405000000.0,,36299000000,,85582000000.0,,0.0,,0.0,171649000000,912000000,,2066000000,,,0.0,170495000000,23762000000,,,146733000000,146733000000.0,,126607000000,20126000000,117392000000,,,7.16,6.99,-38785000000.0,-39614000000.0,829000000.0,,,14242000000.0,,1521000000.0,-30721000000.0,,-53856000000.0,1466000000.0,,,291000000.0,854000000.0,-296563000000.0,,,,107948000000.0,86993000000.0,20955000000.0,,,43442000000.0,,240577000000.0,,-481000000.0,693000000.0,标准无保留意见,12.5998452597,2.7488628738,2.7488628738,,,,,-21.0463483736,-13.0040606103,-4.1959394135,2.4626684309,-0.0436624023,-10.6235039325,126.6487761243,-342.6080892608,835.745104547,216.6666666667,-2.8395870198,-99.4671403197,-21.0546875,,,8.1141479262,,,,,,,,-2.346521146,,0.3253877225,,-20.2949149758,,-4.6920128131,,10.0818069562,,,,,42.0312280208,11.7647058824,,33.118556701,,,,41.9407744116,119.1459928064,,,34.2798835954,34.2798835954,,47.7931477266,-14.75284849,36.1224489796,,,47.9338842975,47.4683544304,-105.6577761281,-110.1984505996,6476.9230769231,,,117.0705685109,,15310.0,-179.0788517442,,-111.9730782855,320.7831325301,,,-18.0281690141,13.1125827815,-155.1979622921,,,,19.3916938561,30.1920112543,-11.1925750127,,,147.1244098072,,166.422662488,,-943.8596491228,236.9565217391
601318.SH,601318,中国平安,10009951,保险,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-22 00:00:00,2025-10-29 00:00:00,CNY,775383000000,414465000000,414465000000,,,,,72827000000.0,152930000000.0,80103000000.0,26302000000.0,31633000000.0,5331000000.0,49298000000,-102000000.0,70409000000.0,-516000000.0,50837000000,24000000.0,1606000000.0,,0.0,616283000000,,,,,,,,2584000000,,56369000000,,14440000000.0,,26058000000,,47906000000.0,,0.0,,0.0,159100000000,484000000,,991000000,,,0.0,158593000000,18539000000,,,140054000000,140054000000.0,,119182000000,20872000000,111968000000,,,6.73,6.58,-46961000000.0,-46874000000.0,-87000000.0,,,7140000000.0,,1347000000.0,-16762000000.0,,-54014000000.0,1133000000.0,,,191000000.0,-334000000.0,-187127000000.0,,,,93093000000.0,72308000000.0,20785000000.0,,,22555000000.0,,132338000000.0,,-215000000.0,729000000.0,,9.9930774054,2.4678416645,2.4678416645,,,,,-20.9338935392,-11.5515635935,-0.8552615293,-6.9811854576,-9.1892978125,-18.7099725526,42.9590534741,-104.6532846715,11367.2638436482,-360.6060606061,-5.0166286761,-93.7984496124,-19.740129935,,,5.3399584987,,,,,,,,-4.6142488003,,-1.9874113229,,-20.6331757722,,-5.5116397128,,-3.7297536273,,,,,32.6983385601,11.7782909931,,15.0987224158,,,,32.7493554759,63.2385313023,,,29.5464846315,29.5464846315,,36.0913502712,1.6361511492,27.3304145107,,,36.2348178138,35.6701030928,-174.8829313978,-179.561042524,72.5552050473,,,3.9603960396,,344.5544554455,-84.8885947496,,-128.533953882,254.9931600547,,,-52.9556650246,-127.3770491803,-141.7723972196,,,,2.2696562558,2.1184047,2.7993471487,,,44.2965901094,,150.2041896695,,-795.8333333333,660.7692307692
601318.SH,601318,中国平安,10009951,保险,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-23 00:00:00,2025-08-27 00:00:00,CNY,494966000000,274608000000,274608000000,,,,,49306000000.0,103908000000.0,54602000000.0,17486000000.0,21114000000.0,3628000000.0,15053000000,-891000000.0,46191000000.0,-508000000.0,33703000000,30000000.0,1037000000.0,,0.0,391503000000,,,,,,,,1762000000,,36842000000,,9074000000.0,,17315000000,,26530000000.0,,0.0,,0.0,103463000000,393000000,,701000000,,,0.0,103155000000,14451000000,,,88704000000,88704000000.0,,74619000000,14085000000,74228000000,,,4.21,4.12,-14786000000.0,-15024000000.0,238000000.0,,,5460000000.0,,695000000.0,-16148000000.0,,-20484000000.0,182000000.0,,,319000000.0,314000000.0,-134075000000.0,,,,73918000000.0,59595000000.0,14323000000.0,,,20913000000.0,,112596000000.0,,180000000.0,729000000.0,,1.2649785283,1.9691427935,1.9691427935,,,,,-21.9001457264,-10.7526604654,2.4523876536,-10.4888661377,-11.6679914655,-16.9413919414,-25.5391768896,-138.5881333911,146.325725256,-193.5543278085,-6.5777802417,-91.0179640719,-12.2673434856,,,-0.3068437618,,,,,,,,-3.3461327482,,-3.8369179369,,-26.8638671718,,-4.8574097478,,-26.0425958965,,,,,7.689825657,70.1298701299,,96.9101123596,,,,7.509119333,15.3864580006,,,6.3265648599,6.3265648599,,6.8412537048,3.6805299963,6.0506050605,,,6.8527918782,6.4599483204,-3100.4329004329,-2892.828685259,495.0,,,-27.6054097056,,34.9514563107,-7.9917073497,,-154.6494281452,130.1824212272,,,170.3389830508,-80.8536585366,-149.5811615786,,,,-10.9035244202,-14.0526976161,5.1229357798,,,-4.8544131028,,154.7997284453,,-45.6193353474,346.2837837838
601318.SH,601318,中国平安,10009951,保险,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-24 00:00:00,2025-04-26 00:00:00,CNY,245569000000,136852000000,136852000000,,,,,25305000000.0,53299000000.0,27994000000.0,9358000000.0,11197000000.0,1839000000.0,-6971000000,-531000000.0,34487000000.0,-302000000.0,16832000000,2000000.0,810000000.0,,0.0,192972000000,,,,62000000.0,,,,862000000,,17971000000,,4911000000.0,,8821000000,,10351000000.0,,0.0,,0.0,52597000000,189000000,,169000000,,,0.0,52617000000,7567000000,,,45050000000,45050000000.0,,36709000000,8341000000,36692000000,,,2.07,2.03,-30852000000.0,-30996000000.0,144000000.0,,,183000000.0,,160000000.0,130000000.0,,-31179000000.0,78000000.0,,,327000000.0,-68000000.0,-99484000000.0,,,,14198000000.0,5713000000.0,8485000000.0,,,-107000000.0,,67922000000.0,,46000000.0,,,-3.2347169573,2.8142983787,2.8142983787,,,,,-21.7120935557,-9.154593489,6.2511860933,-6.6533665835,-6.057555164,-2.903907075,-202.1691338121,-170.9893048128,56.2689745797,-161.1336032389,-9.0309679511,-95.0,31.9218241042,,,-2.7868456051,,,,34.7826086957,,,,-4.4345898004,,-5.3360724821,,-15.878725591,,-11.825269892,,-33.331186397,,,,,-4.8431450592,152.0,,94.2528735632,,,,-4.7862907604,-16.8187314499,,,-2.415249648,-2.415249648,,-4.2840008344,6.7579674901,-4.3757003987,,,-4.6082949309,-4.6948356808,-1784.9808847624,-1582.3529411765,155.3846153846,,,-92.8037750688,,-60.1990049751,103.4228541338,,-6798.0088495575,-17.0212765957,,,179.4871794872,91.9239904988,-1182.5061235014,,,,-70.4183681973,-85.8739460475,12.3394677612,,,-101.8016501094,,784.5162130486,,-82.1011673152,
601318.SH,601318,中国平安,10009951,保险,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-22 00:00:00,2025-03-20 00:00:00,CNY,913789000000,536440000000,536440000000,,,,,118947000000.0,227552000000.0,108605000000.0,37033000000.0,45806000000.0,8773000000.0,36891000000,1434000000.0,-9039000000.0,120000000.0,71771000000,563000000.0,2560000000.0,,0.0,792936000000,,,,230000000.0,,,,3665000000,,80212000000,,24346000000.0,,38086000000,,77744000000.0,,0.0,,0.0,120853000000,816000000,,1552000000,,,0.0,120117000000,10843000000,,,109274000000,109274000000.0,,85665000000,23609000000,86240000000,,,4.84,4.74,-18859000000.0,-18846000000.0,-13000000.0,,,6561000000.0,,-10000000.0,-11008000000.0,,-25407000000.0,-664000000.0,,,355000000.0,755000000.0,-116209000000.0,,,,90415000000.0,66819000000.0,23596000000.0,,,17579000000.0,,90299000000.0,,57000000.0,-506000000.0,标准无保留意见,3.7977861204,1.9884748689,1.9884748689,,,,,-9.267254531,-0.5384991957,11.1753746622,2.7153713874,-0.3827584707,-11.6337630943,-4.4571635761,-85.8927693064,75.5279402209,-96.1832061069,13.6228350695,81.0289389068,-14.4956579826,,,7.5144132466,,,,194.8717948718,,,,7.3520796719,,4.9881546053,,7.2605515904,,40.5335596472,,-3.4871451094,,,,,-15.3921548037,127.2980501393,,79.8377752028,,,,-15.6096532827,44.2271880819,,,-18.9464236706,-18.9464236706,,-22.8298861343,-0.8400184804,-22.5831934433,,,-23.8993710692,-24.4019138756,-18.849256365,-14.0522875817,-101.9817073171,,,245.3157894737,,-118.1818181818,-150.6946025962,,-37.9016500217,-1802.5641025641,,,202.6011560694,-79.1378833932,-216.9826245874,,,,-23.9884320171,-29.2800897506,-3.5520130799,,,181.8954457986,,537.254763585,,-92.4503311258,-85.347985348
601318.SH,601318,中国平安,10009951,保险,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-22 00:00:00,CNY,704938000000,404483000000,404483000000,,,,,92109000000.0,172903000000.0,80794000000.0,28276000000.0,34834000000.0,6558000000.0,34484000000,2192000000.0,614000000.0,198000000.0,53522000000,387000000.0,2001000000.0,,0.0,585042000000,,,,,,,,2709000000,,57512000000,,18194000000.0,,27578000000,,49762000000.0,,0.0,,0.0,119896000000,433000000,,861000000,,,0.0,119468000000,11357000000,,,108111000000,108111000000.0,,87575000000,20536000000,87935000000,,,4.94,4.85,-17084000000.0,-16767000000.0,-317000000.0,,,6868000000.0,,303000000.0,-9066000000.0,,-23635000000.0,-731000000.0,,,406000000.0,1220000000.0,-77398000000.0,,,,91027000000.0,70808000000.0,20219000000.0,,,15631000000.0,,52892000000.0,,-24000000.0,-130000000.0,,5.1987685438,2.2304616613,2.2304616613,,,,,-6.1290421206,1.4575839548,11.7544539117,4.0400323791,0.3659204195,-12.8967990437,48.8046949167,-73.5393529696,104.4473417355,-91.5492957746,11.0991177997,214.6341463415,-4.85021398,,,6.9200642571,,,,,,,,5.5317491235,,-0.6186279592,,3.9775974397,,37.1016654238,,-17.1834173781,,,,,-2.4633106635,86.6379310345,,68.4931506849,,,,-2.5904031962,2.131294964,,,-3.061197041,-3.061197041,,-5.6110626098,9.560392659,-5.4238637097,,,-7.1428571429,-7.4427480916,26.4191575502,28.0972597453,-413.8613861386,,,414.4688644689,,156.6355140187,-295.8099352052,,-11.8287201325,-265.5,,,242.9577464789,-70.5953241745,-21.4772263553,,,,3.0801635204,1.9377501368,7.2910586362,,,348.9409141583,,35.7876360649,,36.8421052632,45.1476793249
601318.SH,601318,中国平安,10009951,保险,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-30 00:00:00,2024-08-23 00:00:00,CNY,488783000000,269305000000,269305000000,,,,,63132000000.0,116427000000.0,53295000000.0,19535000000.0,23903000000.0,4368000000.0,20216000000,2309000000.0,18752000000.0,543000000.0,36076000000,334000000.0,1182000000.0,,0.0,392708000000,,,,144000000.0,,,,1823000000,,38312000000,,12407000000.0,,18199000000,,35872000000.0,,0.0,,0.0,96075000000,231000000,,356000000,,,0.0,95950000000,12524000000,,,83426000000,83426000000.0,,69841000000,13585000000,69993000000,,,3.94,3.87,-462000000.0,-502000000.0,40000000.0,,,7542000000.0,,515000000.0,-14953000000.0,,-8044000000.0,-603000000.0,,,118000000.0,1640000000.0,-53720000000.0,,,,82964000000.0,69339000000.0,13625000000.0,,,21980000000.0,,44190000000.0,,331000000.0,-296000000.0,,7.6462789387,2.73836728,2.73836728,,,,,-2.266394204,3.2703565726,10.6991525424,0.7945926423,-1.1455748553,-8.9810377162,345.5807802513,-62.1475409836,79.8925556408,-52.4518388792,12.2673803448,206.4220183486,-27.6178812002,,,8.5731506031,,,,6.6666666667,,,,11.1585365854,,-1.2857179666,,5.6184557759,,38.0385315534,,-9.7582450756,,,,,4.0166729822,58.2191780822,,-10.3274559194,,,,4.1644049764,26.3009277935,,,1.4939536242,1.4939536242,,-1.2499116296,18.4084372004,-1.2528039954,,,-2.7160493827,-3.007518797,91.1426380368,91.3493020851,-93.1856899489,,,71.1756695415,,202.9411764706,-70.7938320959,,21.2067783328,-1059.6153846154,,,162.7659574468,-9.4922737307,-174.4737379931,,,,7.7706476839,6.803548874,12.9767827529,,,69.1940574244,,543.0442374854,,-63.9825897715,5.1282051282
