日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-06,66.55,67.7,65.97,67.7,93759848.0,7950362263.0,10832664498.0,0.0087
2021-01-07,67.8,68.5,66.56,68.11,106968724.0,9137580589.0,10832664498.0,0.0099
2021-01-08,68.08,68.9,67.28,67.98,116936795.0,10069057405.0,10832664498.0,0.0108
2021-01-11,68.06,68.38,66.32,66.35,109860234.0,9329271307.0,10832664498.0,0.0101
2021-01-12,66.23,69.34,65.79,69.34,146755609.0,12534640504.0,10832664498.0,0.0135
2021-01-13,70.11,70.49,68.56,69.12,139094339.0,12223230669.0,10832664498.0,0.0128
2021-01-14,69.8,69.89,67.02,67.33,137927380.0,11920236040.0,10832664498.0,0.0127
2021-01-15,67.86,70.0,67.33,68.61,158708501.0,13814609040.0,10832664498.0,0.0147
2021-01-18,68.69,69.21,67.35,68.85,116241991.0,10058906404.0,10832664498.0,0.0107
2021-01-19,69.15,69.6,67.93,68.53,110332831.0,9590457420.0,10832664498.0,0.0102
2021-01-20,68.79,68.95,67.04,67.27,131977553.0,11316059444.0,10832664498.0,0.0122
2021-01-21,67.4,67.44,66.17,66.67,139305540.0,11761468222.0,10832664498.0,0.0129
2021-01-22,67.11,67.23,65.94,66.17,116275248.0,9781081769.0,10832664498.0,0.0107
2021-01-25,66.09,67.02,65.2,67.02,127980118.0,10711676899.0,10832664498.0,0.0118
2021-01-26,66.72,67.02,65.44,65.53,105139741.0,8787960590.0,10832664498.0,0.0097
2021-01-27,65.52,66.25,65.2,65.57,68273775.0,5679886869.0,10832664498.0,0.0063
2021-01-28,64.9,65.2,63.68,63.89,106108731.0,8642469570.0,10832664498.0,0.0098
2021-01-29,63.88,64.3,61.98,62.44,126980032.0,10098743883.0,10832664498.0,0.0117
2021-02-01,62.46,62.96,61.88,62.59,72490144.0,5729483192.0,10832664498.0,0.0067
2021-02-02,62.6,62.73,61.55,61.73,98836447.0,7742175159.0,10832664498.0,0.0091
2021-02-03,61.38,61.38,59.45,60.43,134384298.0,10255482626.0,10832664498.0,0.0124
2021-02-04,61.59,63.42,61.35,62.87,141654771.0,11200715086.0,10832664498.0,0.0131
2021-02-05,63.17,63.39,62.07,62.94,84557225.0,6724535241.0,10832664498.0,0.0078
2021-02-08,62.95,63.51,61.81,62.04,79654699.0,6286929303.0,10832664498.0,0.0074
2021-02-09,62.03,62.03,60.64,61.69,91412187.0,7082935953.0,10832664498.0,0.0084
2021-02-10,61.51,63.02,61.18,62.57,91968674.0,7280622422.0,10832664498.0,0.0085
2021-02-18,64.35,65.42,63.87,65.04,146678205.0,12007277012.0,10832664498.0,0.0135
2021-02-19,64.74,66.77,64.49,66.48,124061762.0,10401612526.0,10832664498.0,0.0115
2021-02-22,66.52,67.34,65.2,65.53,113034110.0,9477375165.0,10832664498.0,0.0104
2021-02-23,65.16,67.26,65.14,66.58,101660045.0,8580570535.0,10832664498.0,0.0094
2021-02-24,65.93,67.71,65.14,66.15,117355482.0,9899984125.0,10832664498.0,0.0108
2021-02-25,66.73,69.7,65.81,68.8,189748955.0,16396558900.0,10832664498.0,0.0175
2021-02-26,67.75,68.8,67.26,67.26,118045513.0,10161431934.0,10832664498.0,0.0109
2021-03-01,67.9,68.2,66.2,66.99,82300801.0,6965448429.0,10832664498.0,0.0076
2021-03-02,66.99,67.07,65.22,65.72,85227395.0,7125570282.0,10832664498.0,0.0079
2021-03-03,65.3,68.65,65.24,68.5,116697147.0,10011295959.0,10832664498.0,0.0108
2021-03-04,67.9,69.05,67.75,68.14,94974599.0,8227101595.0,10832664498.0,0.0088
2021-03-05,67.5,68.13,65.8,66.72,81417603.0,6869464666.0,10832664498.0,0.0075
2021-03-08,67.27,69.31,66.92,67.07,105035653.0,9048690307.0,10832664498.0,0.0097
2021-03-09,67.51,68.11,66.17,66.36,98217495.0,8338463778.0,10832664498.0,0.0091
2021-03-10,66.81,66.82,65.63,65.76,64800135.0,5431067986.0,10832664498.0,0.006
2021-03-11,66.24,68.19,66.17,68.19,91252098.0,7777368999.0,10832664498.0,0.0084
2021-03-12,68.31,68.38,67.22,67.55,64681200.0,5539349037.0,10832664498.0,0.006
2021-03-15,67.4,67.51,66.49,67.2,54551255.0,4629849997.0,10832664498.0,0.005
