证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
中国平安,中国平安保险（集团）股份有限公司,,,58885.9239,,0.0,0.0,0.0,,363640.9636,,0.0,,255864.3698,268000.7872,,0.0,36754.2525,,,,定期报告,2007-04-12,,601318,2006-12-31,,,,,363640.9636,,,619505.3334,,,,,,255864.3698,0.0,268000.7872,015019
中国平安,中国平安保险（集团）股份有限公司,,0.0,58885.9239,,57500.0,0.0,0.0,,363640.9636,0.0,0.0,,255864.3698,268000.7872,,57500.0,36754.2525,23000.0,,,A股上市,2007-02-28,,601318,2007-03-01,34500.0,0.0,,,421140.9636,,0.0,734505.3334,,,,,,313364.3698,0.0,268000.7872,015001
中国平安,中国平安保险（集团）股份有限公司,,,,,34500.0,0.0,0.0,,363640.9636,0.0,0.0,,255864.3698,363640.9636,,80500.0,,0.0,,,配售股份上市,2007-05-30,,601318,2007-06-01,34500.0,0.0,,,398140.9636,,0.0,734505.3334,,,,,,336364.3698,0.0,363640.9636,015009
中国平安,中国平安保险（集团）股份有限公司,,,58885.9239,,0.0,0.0,0.0,0.0,398140.9636,0.0,0.0,,255864.3698,302500.7872,,80500.0,36754.2525,0.0,,,定期报告,2007-08-17,,601318,2007-06-30,0.0,0.0,,,398140.9636,,0.0,734505.3334,,,,,,336364.3698,0.0,302500.7872,015019
中国平安,中国平安保险（集团）股份有限公司,,,58885.9239,,0.0,0.0,0.0,,398140.9636,0.0,0.0,,255864.3698,302500.7872,,80500.0,36754.2525,,,,定期报告,2008-03-20,,601318,2007-12-31,,,,,398140.9636,,0.0,734505.3334,,,,,,336364.3698,0.0,302500.7872,015019
中国平安,中国平安保险（集团）股份有限公司,,,0.0,,0.0,0.0,0.0,,85982.304,,0.0,,255864.3698,85982.304,,392658.6596,,,,,限售股份上市,2008-02-28,,601318,2008-03-03,,0.0,,,85982.304,,,734505.3334,,,,,,648523.0294,0.0,85982.304,015027
中国平安,中国平安保险（集团）股份有限公司,,,,,0.0,0.0,0.0,,85982.304,0.0,0.0,,255864.3698,85982.304,,392658.6596,,,,,定期报告,2008-08-16,,601318,2008-06-30,,,,,85982.304,,0.0,734505.3334,,,,,,648523.0294,0.0,85982.304,015019
中国平安,中国平安保险（集团）股份有限公司,,,,,0.0,0.0,0.0,,85982.304,,0.0,,255864.3698,85982.304,,392658.6596,,,,,定期报告,2009-04-09,,601318,2008-12-31,,,,,85982.304,,0.0,734505.3334,,,,,,648523.0294,,85982.304,015019
中国平安,中国平安保险（集团）股份有限公司,,,,,0.0,0.0,0.0,,85982.304,0.0,0.0,,255864.3698,85982.304,,392658.6596,,,,,定期报告,2009-08-15,,601318,2009-06-30,,0.0,,,85982.304,,,734505.3334,,,,,,648523.0294,,85982.304,015019
中国平安,中国平安保险（集团）股份有限公司,,,,,0.0,0.0,0.0,,85982.304,0.0,0.0,,255864.3698,85982.304,,392658.6596,,,,,定期报告,2010-04-17,,601318,2009-12-31,,0.0,,,85982.304,,,734505.3334,,,,,,648523.0294,,85982.304,015019
