REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,DEFER_INCOME,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,OTHER_CURRENT_ASSET,PREPAYMENT,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,UNASSIGN_RPOFIT,中长期存款,储备,其他储备,其他应付款及应计费用,其他流动负债,其他流动资产,其他综合性收益,其他非流动负债,其他非流动资产,可供出售投资,可供出售投资(流动),可转换票据及债券,合营公司权益,商誉,固定资产,土地使用权,在建工程,存货,库存股,应付债券,应付关联方款项(流动),应付关联方款项(非流动),应付票据,应收关联方款项,应收帐款,总权益及非流动负债,总资产减总负债合计,投资物业,拟派股息,持作出售的负债(流动),持作出售的资产(流动),指定以公允价值记账之金融资产,指定以公允价值记账之金融资产(流动),无形资产,流动负债其他项目,物业厂房及设备,联营公司权益,股本溢价,融资租赁负债(流动),融资租赁负债(非流动),衍生金融工具-负债(流动),递延税项负债,递延税项资产,长期投资,非流动负债其他项目,非流动资产其他项目,非运算项目
1999-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,1999-12-31 00:00:00,13265820.5,,,-35679784.9,57742266.3,24309842.4,,13217891.0,25562400.0,55951833.2,7377947.7,287712267.7,146455510.4,165566599.7,141256757.3,185871666.1,141256757.3,216352697.9,122145668.0,,146455510.4,,,85213325.5,,62961256.3,,,,,,,,,,4737564.8,85646821.2,,,30076293.8,,,1699899.6,,,2774585.5,61755563.1,75095940.6,146455510.4,,,,,,,,,,,,,,,,,31761282.0,,,
2000-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2000-12-31 00:00:00,13587346.6,,,-40441738.6,132633333.0,98824586.8,,23158201.0,31818000.0,25550914.6,12855532.6,405092988.2,252051590.0,251865985.0,153041398.2,382777964.20000005,153041398.2,324209511.0,153227003.2,,252051590.0,,,179791851.4,,100909726.4,,,,,,,,,,4085431.2,117514480.0,,,36772062.6,,,137878.0,,,9369340.4,49933048.0,171168112.8,252051590.0,,,,,,,,,,,,,,,,,31627092.0,,,
2002-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2002-12-31 00:00:00,25930100.7,,49659480.0,137651197.5,297665077.5,277417167.3,,9181698.3,33955200.0,4999903.2,18847258.2,630278544.6,498009246.3,409686465.6,132269298.3,759048335.1,181928778.3,630278544.6,220592079.0,49659480.0,448349766.3,86765085.9,,,94438961.1,,82492036.2,,,,,31642002.0,,,,5068874.7,,3783882.6,23597802.9,48015836.1,,,,,,,54823853.7,498009246.3,,,,,,,,,,156499516.8,,95539321.8,,,,,,,,,459374595.3
2003-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2003-12-31 00:00:00,22831556.8,,83124600.0,166620063.6,307826379.3,264015452.3,,8860229.8,35381240.0,,20158781.2,784358397.1,612067743.8,436306105.6,172290653.3,891266224.0,255415253.3,784358397.1,348052291.5,83124600.0,528943143.8,107172120.5,,,115631647.1,,129300315.3,,,,,31779174.0,,,86405890.3,18910846.5,,,31636370.2,61485561.5,,,,,,,58133935.0,612067743.8,,,,,,,,,,179320010.5,,104138072.6,,,,,,,,,627434072.1
2004-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2004-06-30 00:00:00,35008639.1,,82750200.0,151204772.5,180743411.2,195564184.2,62981389.4,53744133.1,35221880.0,10000043.4,23886163.5,911093493.7,615323060.9,491334617.0,295770432.8,913940949.3,378520632.8,911093493.7,419758876.7,82750200.0,532572860.9,,,,346146208.4,,226875586.8,,,,,31636038.0,,,105465129.9,18690936.2,,25068006.1,74832703.3,66878075.1,,,,,,,126987608.2,615323060.9,,,,,,,,,,164066063.2,,,,,,,,,,,693324672.5
2004-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2004-12-31 00:00:00,18333933.2,,,225202309.2,366427630.8,324709316.8,,58698157.099999994,36621063.6,,15069437.9,1011084079.5,758128773.6,577664622.7,252955305.9,1195454136.8,300755856.5,1011084079.5,433419456.8,47800550.6,710328223.0,,,389911999.4,,214072816.1,,,,,,31719534.0,,45632730.0,,44569030.0,,,,64946330.9,,,5479118.7,,,926482.7,112957494.1,758128773.6,710328223.0,,58592850.8,,,,,16820288.1,,305547825.0,,,,,,2167820.6,8471306.8,,,,
2005-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2005-06-30 00:00:00,22523699.9,,,188171024.7,262579847.3,422704600.7,,57012616.2,60272275.1,103762791.1,17794479.0,1186741598.4,713924933.5,895521265.6,472816664.9,1234842066.5,475235052.8,1186741598.4,291220332.8,2418387.9,711506545.6,142673172.2,,,144123566.0,,328735694.9,413804166.5,,2418387.9,2656925.5,31755318.0,,,,44621439.8,,11456194.2,,46295462.6,,,,,,,115829173.0,713924933.5,,,,,,,,,,200730455.3,,176266507.6,,,,,,,,,707915702.8
2005-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2005-12-31 00:00:00,21387527.7,,,126913479.1,1764362323.9,1760531939.3,,19645025.200000003,58879939.7,,7433983.8,2226472946.6,2057347214.4,1929657671.5,169125732.2,3982779187.3,171626613.4,2226472946.6,296815275.1,2500881.2,2054846333.2,,,1833725366.7,,139075626.4,,,,,,31021746.0,,,,43638504.4,,,,46125861.7,,,1228594.3,,,1138088.2,106124123.9,2057347214.4,2054846333.2,,35327547.7,,,,,3955220.6,,206668078.6,,,,,,2500881.2,3793974.1,,,,
2006-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2006-06-30 00:00:00,39286784.88,,,96916804.74,1794182294.52,1686571874.82,,31769960.04,58264142.58,68753932.38,4911362.82,2290831120.62,1992456821.88,1984946173.56,298374298.74,3883047387.66,300849024.42,2290831120.62,305884947.06,2474725.68,1989982096.2,1406137278.42,,,130288542.3,,185422218.66,,8237418.84,2474725.68,3754294.74,35198958.06,,,,52397478.0,,7544619.18,,48754360.62,,,,,,,110239558.38,1992456821.88,,,,,,,,,,206989597.08,,290137909.32,,,,,,,,,2076761172.78
2006-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2006-12-31 00:00:00,23979463.56,7509908.25,,123511115.79,1692027036.54,1696968003.6,,37201925.43,56863317.33,,9919106.91,2225454563.7,2053749428.01,1868673139.29,171705135.69,3958461084.87,184468463.37,2225454563.7,356781424.41,12763327.68,2040986100.33,,,1815121214.28,,136885282.83,,,,,,29959259.4,,,,42227284.77,,,,41067895.59,,,921282.39,,,2202236.64,112792291.56,2053749428.01,,,45490452.93,,,,,19433331.81,,239066249.85,5213232.63,,,,,5253419.43,4263819.48,,,,
