REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_OUTFLOW_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:应占附属公司溢利,减:投资收益,减:重估盈余,加:减值及拨备,加:利息支出,发行相关费用,吸收投资所得,处置无形资产及其他资产,存款减少(增加),存货(增加)减少,已付利息(经营),已付利息(融资),已收利息(投资),已收利息(经营),已收股息(投资),已收股息(经营),应付关联方款项增加(减少),应付帐款及应计费用增加(减少),应收关联方款项(增加)减少,应收关联方款项(增加)减少(投资),应收帐款减少,应收票据(增加)减少,影响现金净额其他项目,投资支付现金,收回投资所得现金,期间变动其他项目,汇率影响,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,赎回债券,递延收入(增加)减少,除税前溢利(业务利润),非运算项目,预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
1999-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,1999-01-01 00:00:00,,,33305677.0,,24290670.6,19547780.3,234322.0,57742266.3,,,,,-769002.2,-18542325.9,43601998.7,25059672.8,,79013378.4,,-33717870.7,,1863925.0,41560202.0,40791199.8,,,,,,,,,,,,,,,3963237.1,,,938353.1,,3195300.0,,,,,,,,,771132.4,145918.7,,,,,,,,,,
2000-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2000-01-01 00:00:00,76363200.0,,57498307.8,,74838057.2,32129816.4,906813.0,132633333.0,,,,,26327273.8,-31223003.4,79733786.8,48510783.4,,109206800.2,,-27785598.8,,6155722.4,86553444.8,56152406.4,,,,,,,,,,10634636.2,,,,,2332259.4,,,2339683.6,,4460883.6,,,,,,,,,,296968.0,,,9000251.6,,,,,,,
2002-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2002-01-01 00:00:00,38836260.0,83479920.3,182466756.0,,115287453.9,70796592.0,1164026.7,297665077.5,15479326.8,,,49659480.0,8600215.5,-62744965.2,169432203.6,,-1349719.2,185685072.3,,,159066317.7,16252868.7,79644043.8,84988804.5,,,-671676.3,2147666.4,,,,,1192676.4,567688.5,,,,-8163042.3,,1192676.4,2147666.4,,5506047.9,,,12528407.7,,,4991414.4,,,,,-89132.4,,,,2115833.4,,,143870304.6,,-2301525.9,19563500.7
2003-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2003-01-01 00:00:00,9463416.0,99504409.0,298955492.5,,9967492.1,45711070.1,509404.6,307826379.3,27393818.5,,-11748276.8,33249840.0,-63283397.4,-128687537.8,201938427.3,,79809207.3,221045362.6,,,197238690.3,19106935.3,5021578.4,,,,-961261.4,2826236.4,7897902.7,7237168.7,-758778.4,,1470666.0,,,,,-13261570.8,,1470666.0,2826236.4,,7237168.7,,4693342.8,-6671282.0,,,-3072413.1,,,,,-1096605.3,,,,1991793.3,,,184615473.8,,344221.1,41774374.3
2004-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2004-01-01 00:00:00,,63399384.0,306439904.1,,-62715103.5,69901640.1,,243724800.6,16267840.6,-66338077.0,10956975.2,,-119737417.6,-58944664.9,115610516.6,,,,,22231159.5,,,50000217.0,60000260.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356462.4,-5662023.3,,,,,82773539.8,,,
2004-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2004-01-01 00:00:00,,158729568.8,379977041.4,,-13564302.4,120431050.3,219122.2,366427630.8,34890423.7,,,,-160163436.4,-124880507.4,271479641.4,,,306584932.5,299963.4,,356075702.4,35105291.1,,,700978.3,,-1487052.6,5094059.3,,11410309.9,757354.4,,1433867.6,,,,,-1983800.5,,1433867.6,5094059.3,,11410309.9,,689277.6,-3996320.9,-715870.1,,-46834711.0,,,,,14891.8,,,,21873926.8,,,335226118.7,,-20731513.0,24082168.0
2005-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2005-01-01 00:00:00,,,367314892.1,,-104735044.8,,,262579847.3,,,,,-124100251.3,-41810103.8,97305237.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34453774.6,,,,-1676152.6,,,,,,110271459.9,,,
2005-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2005-01-01 00:00:00,13856796.0,391509622.9,358366705.2,,1401438064.4,73338029.1,3525576.7,1764362323.9,32227453.7,,,,-380917288.3,1507998074.0,274357278.7,,,321870900.6,756298.1,,377106669.4,47513621.9,,,,,91546.4,22218727.4,,7823056.0,-69114411.1,,3600478.3,,,1554852145.7,,-14779542.1,,3264461.4,22218727.4,,7823056.0,,-2401012.4,-8399382.2,-371387.1,,-93989024.4,,,,,4557554.3,,,,7083402.7,,,301541358.0,301541358.0,,64704579.4
2006-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2006-01-01 00:00:00,,,1745909702.46,,47295672.48,,,1794182294.52,,,,,-33294531.06,26332563.6,54257639.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976919.58,,,,,,,,3588364589.04,,
2006-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2006-01-01 00:00:00,,147942680.85,1703933380.71,,-18515063.43,54106502.85,955441.17,1692027036.54,22140917.46,,,,-147031445.16,8226237.96,120290143.77,,,138293830.17,301401.0,,142086459.42,18003686.4,,,,,-3497256.27,81024626.16,5213232.63,5738675.04,122569.74,,2215297.35,,3126533.04,,,3478167.54,,2215297.35,81024626.16,,5738675.04,,-265232.88,3324453.03,,,-11406018.51,,,,,6608719.26,,,,25386001.56,,7509908.25,206030690.91,3384054073.08,-9006866.55,2572959.87
2007-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2007-01-01 00:00:00,,,1640980086.32,,67127557.84,,,1714595907.4,,,,,-49834616.56,62377552.84,54584621.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6488263.24,,,,,,,,1714595907.4,,
