REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,INTEREST_INCOME,MANAGE_EXPENSE,MINORITY_INTEREST,NETPROFIT,NETPROFIT_OTHER,NON_OPERATING_ITEMS,OPERATE_COST,OPERATE_INCOME,OPERATE_PROFIT,OTHER_INCOME,PARENT_TCI,SALE_EXPENSE,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他支出,其他收入,其他营业收入,应占合营公司溢利,应占联营公司溢利,终止或非持续业务溢利,股息,销售成本,非控股权益应占全面收益总额
1999-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,1999-01-01 00:00:00,0.1586999,62631075.3,,3963237.1,238172336.5,38166793.4,2780976.1,,44251709.7,24464281.9,62631075.3,,-87509681.1,,651364035.2,69375288.5,,,120183753.8,65412051.4,,,,5299937.6,938353.1,,,,,-26435782.0,87509681.1,
2000-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2000-01-01 00:00:00,0.1887868,83734370.0,,2633469.8,328799787.8,48280633.2,7177080.2,,58319212.2,35453736.8,83734370.0,,-88265253.2,,834130082.0,93544920.0,,,173662644.0,90911450.2,,,,5727240.0,2454228.4,,,,,-15909000.0,88265253.2,
2002-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2002-01-01 00:00:00,,60874245.9,,1192676.4,580457777.4,60874245.9,18224392.5,2147666.4,,64771666.2,60874245.9,875407.5,,154162974.6,1470390675.3,142039907.1,,,417748703.4,143870304.6,,,,21818338.2,,1149171.3,,,,,,
2003-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2003-01-01 00:00:00,,86977105.5,,1470666.0,695906362.8,86977105.5,24829744.3,2826236.4,,72808624.0,86977105.5,5897583.8,,179779327.2,1752293210.5,169464416.9,,,484532227.7,184615473.8,,,,42831548.7,,921830.5,7897902.7,,,,,
2004-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2004-01-01 00:00:00,,82773539.8,,817953.9,447806950.9,82773539.8,18995414.5,1844905.1,,50842571.6,82773539.8,-911313.1,,106676677.7,1108967257.2,127705837.5,,,292576062.9,152611525.9,,,,27525050.5,,,24790050.3,,,,,
2004-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2004-01-01 00:00:00,0.08966991,141559323.4,0.08243675,1116885.0,564966172.1,179217494.5,16388425.9,,108375074.5,124161446.2,303378940.7,,216540600.1,,1413223310.4,159064634.3,,,269530943.0,157947749.3,,,,35508433.4,7512913.1,,,,161819617.3,57548297.4,141645483.1,
2005-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2005-01-01 00:00:00,,3710111.6,,685795.6,309698477.6,110271459.9,10710764.2,2589836.8,,69349482.7,110271459.9,1271490.6,,77710012.6,774880874.4,80594826.7,,,199718800.3,83770358.5,,,,29448744.6,,63894.0,,,106561348.3,,,
2005-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2005-01-01 00:00:00,0.72186417,97996260.0,,2838978.7,641506196.5,1594706038.7,19048933.3,,115333899.8,124497902.5,1719203941.2,-68987494.5,2067888574.32008,,1573085483.8,188871666.5,,,323126542.7,117045193.3,,,,43925627.2,29751539.7,,,,1621207681.2,260648205.3,145036545.4,
2006-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2006-01-01 00:00:00,0.026147268,,0.026147268,421032.78,270530546.58,59126796.54,4337975.88,,54888674.4,14693941.08,73820737.62,,,,681101331.12,78579746.28,,,158193030.24,78158713.5,,,,17012194.92,38143099.26,,,,,46612137.6,70020118.98,
2006-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2006-01-01 00:00:00,0.062691408,,,2215297.35,598646684.88,141831273.24,22209235.02,,122370815.34,41990182.65,183821455.89,,113727639.33,,1476165649.68,207538700.58,,,329250452.4,206030690.91,,,,31399956.18,91913239.62,,,707287.68,,113727639.33,139436139.96,
