日期,开盘,最高,最低,收盘,成交量,成交额,换手率,流通股本
2021-01-04,6.8535,7.2099,6.8443,7.0362,79140984.0,,,
2021-01-05,7.0271,7.0271,6.8443,6.9449,59015302.0,,,
2021-01-06,6.9174,7.0819,6.8626,6.9723,61381494.0,,,
2021-01-07,6.9266,7.0088,6.753,6.8352,64068349.0,,,
2021-01-08,6.9083,7.0088,6.753,6.9174,106479164.0,,,
2021-01-11,6.9631,6.9905,6.7621,6.8261,59367192.0,,,
2021-01-12,6.8261,6.8718,6.6524,6.7255,65703749.0,,,
2021-01-13,6.5885,6.7255,6.4149,6.5154,133242108.0,,,
2021-01-14,6.4331,6.488,6.3052,6.488,101422348.0,,,
2021-01-15,6.5702,6.5793,6.3966,6.4514,60648201.0,,,
2021-01-18,6.3874,6.488,6.36,6.4331,67958031.0,,,
2021-01-19,6.4331,6.8078,6.4331,6.7347,130020046.0,,,
2021-01-20,6.7712,7.1733,6.7255,7.1185,167734099.0,,,
2021-01-21,7.219,7.5845,7.1733,7.4018,221842291.0,,,
2021-01-22,7.5388,7.5388,7.1642,7.2921,103249968.0,,,
2021-01-25,7.3195,7.3378,7.0637,7.1459,85697261.0,,,
2021-01-26,7.1459,7.1459,6.8809,6.9997,89610951.0,,,
2021-01-27,6.954,7.1093,6.8169,6.8626,71333452.0,,,
2021-01-28,6.8626,6.8626,6.5976,6.625,88650021.0,,,
2021-01-29,6.6707,6.8626,6.5428,6.6068,66794954.0,,,
2021-02-01,6.6068,6.7712,6.5245,6.6616,68801070.0,,,
2021-02-02,6.7621,7.1093,6.6981,6.954,94597142.0,,,
2021-02-03,6.9174,7.0728,6.8169,6.954,79038971.0,,,
2021-02-04,7.4383,7.5205,6.8169,6.9449,159011169.0,,,
2021-02-05,7.018,7.0271,6.7347,6.7986,73346910.0,,,
2021-02-08,7.0819,7.0819,6.8169,6.8443,88454701.0,,,
2021-02-09,6.89,6.9083,6.7255,6.8352,34481763.0,,,
2021-02-10,6.9083,6.9814,6.8809,6.9174,42187333.0,,,
2021-02-11,6.9723,7.0088,6.8535,6.9266,25130705.0,,,
2021-02-16,7.0728,7.1002,6.9174,6.9631,45522750.0,,,
2021-02-17,6.9631,7.0819,6.89,7.0637,52106837.0,,,
2021-02-18,7.0637,7.1733,6.9174,6.9357,78617429.0,,,
2021-02-19,6.9449,6.9814,6.8443,6.9723,49135414.0,,,
2021-02-22,7.0545,7.0819,6.7621,6.7621,67646601.0,,,
2021-02-23,6.9997,7.8404,6.8992,7.5754,385105159.0,,,
2021-02-24,7.7124,8.0962,7.5571,7.7673,369911957.0,,,
2021-02-25,8.0414,8.3704,7.8861,7.9957,277506038.0,,,
2021-02-26,7.7673,8.2699,7.5845,7.8861,208829371.0,,,
2021-03-01,8.1145,8.1511,7.7673,7.9226,112918673.0,,,
2021-03-02,8.0506,8.4435,8.0049,8.279,196451890.0,,,
2021-03-03,8.343,8.3521,7.8769,8.0414,87807020.0,,,
2021-03-04,7.95,7.9957,7.6393,7.749,85920271.0,,,
2021-03-05,7.7764,7.7764,7.4018,7.5662,70217017.0,,,
2021-03-08,7.5114,7.6668,7.1916,7.2647,97391249.0,,,
2021-03-09,7.4657,7.4657,7.0728,7.3287,77719787.0,,,
2021-03-10,7.4292,7.5754,7.3469,7.5662,82844583.0,,,
2021-03-11,7.6302,7.813,7.4566,7.7673,74706589.0,,,
2021-03-12,7.9043,7.9043,7.5937,7.6485,56061740.0,,,
2021-03-15,7.7307,7.8495,7.548,7.7764,48495000.0,,,
2021-03-16,7.8587,8.1876,7.7399,8.0414,84380756.0,,,
2021-03-17,8.1237,8.2607,8.0506,8.1876,61441617.0,,,
2021-03-18,8.279,8.279,8.0049,8.0871,50378448.0,,,
2021-03-19,7.8861,8.014,7.8404,7.8678,62894791.0,,,
2021-03-22,7.813,7.8678,7.6393,7.7856,54613932.0,,,
2021-03-23,7.7856,7.8495,7.4474,7.5937,40284719.0,,,
2021-03-24,7.5937,7.5937,7.2281,7.2921,84104327.0,,,
2021-03-25,7.3104,7.3835,6.9449,7.018,123018775.0,,,
2021-03-26,7.1093,7.3743,7.0819,7.3195,94467935.0,,,
2021-03-29,7.3104,7.3743,7.1093,7.1276,62989388.0,,,
2021-03-30,7.1824,7.3378,7.1093,7.1368,51329871.0,,,
2021-03-31,7.1733,7.2555,7.0728,7.1093,46338429.0,,,
2021-04-01,7.155,7.2555,6.9631,7.0911,80210576.0,,,
2021-04-07,7.1916,7.3835,7.0819,7.2647,89313924.0,,,
2021-04-08,7.2647,7.548,7.2007,7.4931,58492078.0,,,
2021-04-09,7.5754,7.5754,7.3469,7.4018,40265820.0,,,
2021-04-12,7.4474,7.4474,7.1459,7.2738,38420407.0,,,
2021-04-13,7.1642,7.4018,7.1642,7.2738,37468801.0,,,
2021-04-14,7.3287,7.4018,7.2373,7.3652,40333251.0,,,
2021-04-15,7.3926,7.5023,7.283,7.4566,44311738.0,,,
2021-04-16,7.484,7.4931,7.3012,7.3652,34869124.0,,,
2021-04-19,7.4018,7.5937,7.3287,7.5662,59387485.0,,,
2021-04-20,7.548,7.5662,7.4292,7.484,39335478.0,,,
2021-04-21,7.4474,7.5571,7.3652,7.4931,33392146.0,,,
2021-04-22,7.5205,7.7947,7.5023,7.6485,72926923.0,,,
2021-04-23,7.7399,7.7673,7.6668,7.7216,39722968.0,,,
2021-04-26,7.7216,7.7856,7.5388,7.5845,47007724.0,,,
2021-04-27,7.5845,7.7216,7.548,7.6759,34644816.0,,,
2021-04-28,7.6942,7.7399,7.4749,7.6576,50632480.0,,,
2021-04-29,7.6759,7.6759,7.4931,7.5937,19060546.0,,,
2021-04-30,7.5388,7.6942,7.5297,7.6485,35431023.0,,,
2021-05-03,7.7216,7.813,7.5205,7.685,35545347.0,,,
2021-05-04,7.7673,7.8587,7.7033,7.7856,50764218.0,,,
2021-05-05,7.7947,7.8221,7.548,7.6759,44771568.0,,,
2021-05-06,7.7581,7.7581,7.0819,7.2281,161490429.0,,,
2021-05-07,7.2738,7.3561,7.219,7.2738,54189401.0,,,
2021-05-10,7.4018,7.6942,7.3926,7.4657,61107497.0,,,
2021-05-11,7.3104,7.5388,7.2738,7.4292,51569994.0,,,
2021-05-12,7.3835,7.5297,7.3287,7.4931,34269227.0,,,
2021-05-13,7.4474,7.6576,7.4109,7.4931,45610767.0,,,
2021-05-14,7.5754,7.7673,7.4383,7.7581,88811196.0,,,
2021-05-17,7.7673,7.8404,7.6302,7.7033,48607265.0,,,
2021-05-18,7.7673,8.1693,7.7399,8.1054,140534833.0,,,
2021-05-20,8.0231,8.1602,7.7673,7.8404,66839189.0,,,
2021-05-21,7.8861,8.0871,7.8312,8.014,62935311.0,,,
2021-05-24,8.1145,8.3887,8.0231,8.2699,137967323.0,,,
2021-05-25,8.6719,8.8547,7.9043,8.0323,256119247.0,,,
2021-05-26,8.078,8.1511,7.8678,8.0049,137113600.0,,,
2021-05-27,8.0049,8.3521,8.0049,8.2242,183809875.0,,,
2021-05-28,8.2242,8.2333,7.8221,7.8587,123530213.0,,,
2021-05-31,7.9318,8.014,7.813,7.9683,78603095.0,,,
2021-06-01,7.9774,7.9774,7.6759,7.8861,68016884.0,,,
2021-06-02,8.0231,8.078,7.9226,7.9592,91729428.0,,,
2021-06-03,8.0414,8.0414,7.8861,7.95,48065421.0,,,
2021-06-04,7.8587,7.9409,7.813,7.8587,67947179.0,,,
2021-06-07,7.95,7.9957,7.813,7.9866,72822310.0,,,
2021-06-08,7.9866,8.0231,7.7581,7.8038,60772669.0,,,
2021-06-09,7.8221,7.8587,7.7307,7.7581,38737342.0,,,
2021-06-10,7.8038,7.8221,7.6668,7.7399,39939623.0,,,
2021-06-11,7.7673,7.7673,7.5205,7.5845,68660245.0,,,
2021-06-15,7.6028,7.6302,7.3926,7.5114,62628992.0,,,
2021-06-16,7.5023,7.5205,7.219,7.2647,77809714.0,,,
2021-06-17,7.2647,7.2738,7.155,7.2007,53392256.0,,,
2021-06-18,7.1732,7.2558,6.9803,7.0997,103876763.0,,,
2021-06-21,7.0262,7.0721,6.815,6.9803,95497754.0,,,
2021-06-22,7.0538,7.0813,6.8701,7.0078,66956592.0,,,
2021-06-23,7.0354,7.0446,6.8242,6.9895,200928700.0,,,
2021-06-24,7.0446,7.2007,6.9803,7.0721,104757483.0,,,
2021-06-25,7.1089,7.1364,6.9068,7.0905,103568953.0,,,
2021-06-28,7.0905,7.1456,7.017,7.1181,32040302.0,,,
2021-06-29,7.1824,7.2558,7.0354,7.0905,77183521.0,,,
2021-06-30,7.0721,7.0813,6.8701,6.9987,91856538.0,,,
2021-07-02,6.9895,7.063,6.8058,6.8609,85508535.0,,,
2021-07-05,6.7966,6.8701,6.6956,6.7323,52618421.0,,,
2021-07-06,6.7323,6.7507,6.4108,6.5486,103299783.0,,,
2021-07-07,6.5394,6.6496,6.466,6.5394,37316560.0,,,
2021-07-08,6.5762,6.6496,6.42,6.4568,56057809.0,,,
2021-07-09,6.5119,6.5119,6.3374,6.3833,63192107.0,,,
2021-07-12,6.4017,6.5211,6.3374,6.4292,45843584.0,,,
2021-07-13,6.5211,6.5762,6.4292,6.4568,42326402.0,,,
2021-07-14,6.4568,6.7139,6.4384,6.6129,50829569.0,,,
2021-07-15,6.6129,6.7507,6.567,6.6772,56678524.0,,,
2021-07-16,6.6772,6.6772,6.4935,6.5119,52427353.0,,,
2021-07-19,6.4751,6.6037,6.4292,6.5762,42641431.0,,,
2021-07-20,6.5762,6.6221,6.466,6.4751,52411210.0,,,
2021-07-21,6.5119,6.5211,6.3649,6.42,43401332.0,,,
2021-07-22,6.5027,6.5302,6.3649,6.4751,46799765.0,,,
2021-07-23,6.4384,6.5394,6.3741,6.42,28646044.0,,,
2021-07-26,6.3833,6.3833,6.0618,6.1261,85124499.0,,,
2021-07-27,6.0894,6.2455,5.6944,5.8138,148117471.0,,,
2021-07-28,5.9149,6.0802,5.8506,5.9608,84910762.0,,,
2021-07-29,6.0802,6.1996,5.9516,6.0894,77101400.0,,,
2021-07-30,6.0251,6.0618,5.869,6.0618,59463640.0,,,
2021-08-02,6.0802,6.1996,6.0067,6.1445,50298075.0,,,
2021-08-03,6.0986,6.3466,6.0986,6.2823,58723390.0,,,
2021-08-04,6.3006,6.3925,6.218,6.3557,55952180.0,,,
2021-08-05,6.3557,6.4476,6.2639,6.3098,44388956.0,,,
2021-08-06,6.3374,6.4108,6.1904,6.3741,55447474.0,,,
2021-08-09,6.2363,6.319,6.172,6.2455,46980226.0,,,
2021-08-10,6.2455,6.3649,6.2088,6.3466,40860736.0,,,
2021-08-11,6.2731,6.3557,6.2363,6.2914,39257626.0,,,
2021-08-12,6.2363,6.2639,6.0159,6.1169,64770161.0,,,
2021-08-13,6.0343,6.1812,5.9975,6.0802,31371613.0,,,
2021-08-16,6.0802,6.172,6.0251,6.0618,33934196.0,,,
2021-08-17,6.0802,6.1812,5.9241,5.97,50946357.0,,,
2021-08-18,5.97,6.0618,5.9149,5.9332,34482693.0,,,
2021-08-19,6.4384,6.4751,5.9884,6.0802,168180426.0,,,
2021-08-20,6.1445,6.1445,5.7496,5.7955,101778366.0,,,
2021-08-23,5.7863,5.9608,5.7496,5.8873,52314151.0,,,
2021-08-24,5.8965,6.0251,5.8873,5.9332,36558173.0,,,
2021-08-25,5.97,6.0802,5.869,5.9241,40899134.0,,,
2021-08-26,5.869,5.9057,5.6944,5.7496,64666618.0,,,
2021-08-27,5.7496,5.823,5.7128,5.7312,24048171.0,,,
2021-08-30,5.7312,5.8873,5.6761,5.8322,36136816.0,,,
2021-08-31,5.9057,5.9975,5.823,5.9792,79269261.0,,,
2021-09-01,6.0067,6.2731,5.8965,6.1629,88651296.0,,,
2021-09-02,6.2547,6.3006,6.0802,6.1353,55908271.0,,,
2021-09-03,6.1261,6.319,6.1169,6.2639,75010676.0,,,
2021-09-06,6.2547,6.4017,6.2547,6.2914,52978303.0,,,
2021-09-07,6.3282,6.3282,6.1812,6.2272,41559862.0,,,
2021-09-08,6.2272,6.3098,6.1996,6.218,42547436.0,,,
2021-09-09,6.1629,6.218,6.0251,6.0802,61134333.0,,,
2021-09-10,6.1445,6.2547,6.0894,6.2363,43976720.0,,,
2021-09-13,6.2548,6.2548,6.1166,6.1811,34024543.0,,,
2021-09-14,6.1995,6.2179,6.089,6.1442,23913109.0,,,
2021-09-15,6.1811,6.1811,5.8863,5.9231,53822751.0,,,
2021-09-16,5.9139,5.9139,5.6652,5.7758,59704935.0,,,
2021-09-17,5.7942,5.8679,5.7389,5.8587,35494174.0,,,
2021-09-20,5.7758,5.831,5.6468,5.7481,29909414.0,,,
2021-09-21,5.7297,5.8679,5.6652,5.7389,33728082.0,,,
2021-09-23,5.8402,5.8771,5.7573,5.8402,31438148.0,,,
2021-09-24,5.7665,5.8863,5.7205,5.785,26712086.0,,,
2021-09-27,5.8494,5.9508,5.7758,5.785,35791364.0,,,
2021-09-28,5.7573,5.8126,5.6744,5.7297,36032565.0,,,
2021-09-29,5.7113,5.8402,5.6652,5.8126,31436526.0,,,
2021-09-30,5.8126,6.006,5.7758,5.9508,49691693.0,,,
2021-10-04,5.8771,5.9508,5.5547,5.6468,77265544.0,,,
2021-10-05,5.5731,5.6376,5.352,5.4718,65785710.0,,,
2021-10-06,5.5178,5.5178,5.1586,5.2875,87456922.0,,,
2021-10-07,5.3428,5.3796,5.2691,5.3428,34376043.0,,,
2021-10-08,5.3981,5.4994,5.3796,5.4533,52808231.0,,,
2021-10-11,5.481,5.6468,5.481,5.5362,35166239.0,,,
2021-10-12,5.4902,5.527,5.3981,5.4349,32368324.0,,,
2021-10-15,5.527,5.5731,5.3981,5.5362,38566218.0,,,
2021-10-18,5.5823,5.6099,5.4533,5.5455,26189943.0,,,
2021-10-19,5.4902,5.5823,5.4902,5.5823,35382665.0,,,
2021-10-20,5.5823,5.6007,5.5362,5.5823,23582125.0,,,
2021-10-21,5.5731,5.5915,5.3981,5.4994,31486316.0,,,
2021-10-22,5.4902,5.5547,5.4441,5.5178,22882809.0,,,
2021-10-25,5.4626,5.5731,5.4441,5.481,23071248.0,,,
2021-10-26,5.481,5.481,5.2967,5.3428,51830437.0,,,
2021-10-27,5.3428,5.3889,5.2691,5.306,33536245.0,,,
2021-10-28,5.3428,5.3704,5.2507,5.2967,31860551.0,,,
2021-10-29,5.2967,5.3244,5.177,5.306,28891639.0,,,
2021-11-01,5.306,5.306,5.1862,5.2783,23934653.0,,,
2021-11-02,5.2783,5.3152,5.1125,5.1401,46583917.0,,,
2021-11-03,5.1586,5.223,5.0664,5.1217,29925455.0,,,
2021-11-04,5.1401,5.2415,5.0941,5.1954,35256128.0,,,
2021-11-05,5.1494,5.1954,5.0296,5.0572,32185729.0,,,
2021-11-08,5.0388,5.0849,4.8638,4.9743,57245814.0,,,
2021-11-09,5.0388,5.0941,4.9743,5.0388,21240283.0,,,
2021-11-10,5.0388,5.177,4.9743,5.1678,40539686.0,,,
2021-11-11,5.1309,5.223,5.0664,5.2046,25844506.0,,,
2021-11-12,5.2507,5.2507,5.0941,5.1401,22293514.0,,,
2021-11-15,5.1494,5.2138,5.1033,5.1494,18005496.0,,,
2021-11-16,5.1494,5.4165,5.0757,5.3428,47056274.0,,,
2021-11-17,5.3428,5.4626,5.3152,5.4349,36537281.0,,,
2021-11-18,5.3796,5.4441,5.3336,5.3704,21711894.0,,,
2021-11-19,5.4257,5.4349,5.2691,5.3428,23031684.0,,,
2021-11-22,5.3152,5.3889,5.2691,5.2875,13760633.0,,,
2021-11-23,5.2875,5.2875,5.177,5.177,21687564.0,,,
2021-11-24,5.1678,5.223,5.1125,5.1862,21750854.0,,,
2021-11-25,5.1862,5.306,5.1494,5.2691,20313503.0,,,
2021-11-26,5.2691,5.2691,5.1586,5.177,18569863.0,,,
2021-11-29,5.2783,5.4257,5.1586,5.1954,40933707.0,,,
2021-11-30,5.2507,5.3152,5.0849,5.2415,76541771.0,,,
2021-12-01,5.2599,5.2599,5.0849,5.1125,44569324.0,,,
2021-12-02,5.0757,5.1586,5.0572,5.0664,29658435.0,,,
2021-12-03,5.0664,5.3336,5.0572,5.2507,71761585.0,,,
2021-12-06,5.3428,5.3428,5.0849,5.1309,41296931.0,,,
2021-12-07,5.1125,5.1217,4.9098,5.0204,68458120.0,,,
2021-12-08,5.0572,5.1954,4.9743,5.0941,32936335.0,,,
2021-12-09,5.1309,5.3428,5.1309,5.3152,44402342.0,,,
2021-12-10,5.2691,5.2967,5.177,5.2046,33812029.0,,,
2021-12-13,5.2783,5.3152,5.1309,5.1862,38213818.0,,,
2021-12-14,5.1862,5.2323,5.1125,5.1401,30227815.0,,,
2021-12-15,5.1401,5.1954,4.7993,4.8822,93871101.0,,,
2021-12-16,4.8269,5.0849,4.8269,5.0388,64530109.0,,,
2021-12-17,5.0664,5.0757,4.9191,4.9835,48185126.0,,,
2021-12-20,4.9559,5.0664,4.9006,4.9375,46362454.0,,,
2021-12-21,4.9375,5.0664,4.8914,4.9928,35245114.0,,,
2021-12-22,4.9651,5.0572,4.9559,5.0296,23309648.0,,,
2021-12-23,5.048,5.0572,4.9835,5.0296,24648001.0,,,
2021-12-24,5.0664,5.0664,4.9743,5.0204,16257885.0,,,
2021-12-28,5.0296,5.1125,4.9928,5.0388,29204115.0,,,
2021-12-29,5.0388,5.0388,4.8638,4.9006,37198975.0,,,
2021-12-30,4.9006,4.9928,4.7993,4.9375,21271961.0,,,
2021-12-31,5.002,5.0849,4.8822,5.0296,12595943.0,,,
2022-01-03,5.0296,5.1862,5.0296,5.177,29387091.0,,,
2022-01-04,5.2323,5.3152,5.177,5.2967,67907224.0,,,
2022-01-05,5.2875,5.3889,5.2599,5.3704,55061159.0,,,
2022-01-06,5.3704,5.3889,5.2323,5.3796,49876924.0,,,
2022-01-07,5.3796,5.4349,5.306,5.3981,30127043.0,,,
2022-01-10,5.4349,5.8034,5.3981,5.7205,93923911.0,,,
2022-01-11,5.6928,5.7573,5.5915,5.6284,61001765.0,,,
2022-01-12,5.6284,5.6744,5.5178,5.5547,47909464.0,,,
2022-01-13,5.5547,5.5915,5.4626,5.4994,26704378.0,,,
2022-01-14,5.5455,5.7389,5.4349,5.6652,41766550.0,,,
2022-01-17,5.6652,5.7297,5.6192,5.6652,22204010.0,,,
2022-01-18,5.6652,5.7205,5.527,5.5731,34321489.0,,,
2022-01-19,5.5731,5.5823,5.4257,5.5639,38024972.0,,,
2022-01-20,5.5915,5.5915,5.4718,5.5731,33386542.0,,,
2022-01-21,5.5731,5.7205,5.5639,5.6007,45798218.0,,,
2022-01-24,5.6192,5.6284,5.4349,5.4626,45905680.0,,,
2022-01-25,5.3889,5.4073,5.1125,5.1586,80579157.0,,,
2022-01-26,5.1586,5.1678,5.048,5.0849,48816709.0,,,
2022-01-27,5.0664,5.0757,4.9098,4.9928,34728786.0,,,
2022-01-28,4.9928,5.002,4.8914,4.9283,28124626.0,,,
2022-01-31,4.9283,4.9743,4.8546,4.9375,18465471.0,,,
2022-02-04,5.0388,5.0757,4.9191,5.0296,23112739.0,,,
2022-02-07,5.0112,5.1217,5.0112,5.0664,29684608.0,,,
2022-02-08,5.0388,5.0757,4.9467,5.0572,29366434.0,,,
2022-02-09,5.0941,5.2046,5.0941,5.1494,33166763.0,,,
2022-02-10,5.1678,5.2046,5.1401,5.177,20843887.0,,,
2022-02-11,5.0849,5.177,5.0112,5.0664,37211441.0,,,
2022-02-14,5.002,5.0572,4.9375,5.0388,22296537.0,,,
2022-02-15,4.9743,5.1678,4.9743,5.0757,23083260.0,,,
2022-02-16,5.0941,5.1217,5.0112,5.0572,24929109.0,,,
2022-02-17,5.0664,5.1678,5.048,5.1217,22388900.0,,,
2022-02-18,5.0664,5.1217,5.0572,5.0757,24736235.0,,,
2022-02-21,5.0664,5.1494,5.0572,5.1217,30670975.0,,,
2022-02-22,5.0572,5.0572,4.9467,4.9928,34263741.0,,,
2022-02-23,5.0204,5.0849,4.9743,5.0572,21015094.0,,,
2022-02-24,5.0296,5.048,4.7625,4.7993,60369677.0,,,
2022-02-25,4.7993,4.873,4.7901,4.8362,42385822.0,,,
2022-02-28,4.8362,4.8362,4.5782,4.5874,65668464.0,,,
2022-03-01,4.5967,4.6427,4.5137,4.5874,44918313.0,,,
2022-03-02,4.5782,4.5782,4.3571,4.4124,56672189.0,,,
2022-03-03,4.4124,4.4861,4.3664,4.4401,37489470.0,,,
2022-03-04,4.3664,4.3664,4.1821,4.2558,101943991.0,,,
2022-03-07,4.1453,4.1545,4.0439,4.0532,69164325.0,,,
2022-03-08,4.0716,4.1545,3.9334,3.9426,54905666.0,,,
2022-03-09,4.0624,4.0716,3.8689,3.9887,48306319.0,,,
2022-03-10,4.0347,4.0992,4.0163,4.09,33915817.0,,,
2022-03-11,4.0624,4.1084,3.961,4.0439,45231666.0,,,
2022-03-14,4.1176,4.1269,3.7307,3.7676,61142776.0,,,
2022-03-15,3.7676,3.7676,3.4176,3.5005,104712667.0,,,
2022-03-16,3.7768,3.8505,3.6755,3.7952,179379380.0,,,
2022-03-17,3.961,4.265,3.8413,4.2558,190542651.0,,,
2022-03-18,4.2927,4.3295,4.1084,4.2374,127791842.0,,,
2022-03-21,4.3571,4.3571,4.2005,4.2742,55067006.0,,,
2022-03-22,4.3571,4.3756,4.2742,4.3756,37880004.0,,,
2022-03-23,4.3756,4.6059,4.3479,4.569,83535752.0,,,
2022-03-24,4.5506,4.7164,4.4953,4.6796,69579519.0,,,
2022-03-25,4.6796,4.6796,4.4032,4.4585,37893613.0,,,
2022-03-28,4.4585,4.5414,4.3571,4.5045,30008606.0,,,
2022-03-29,4.5045,4.5782,4.4677,4.5782,22030941.0,,,
2022-03-30,4.5782,4.6151,4.4401,4.5782,40930771.0,,,
2022-03-31,4.5874,4.6427,4.4677,4.5045,40208723.0,,,
2022-04-01,4.4124,4.4861,4.1084,4.1453,92644134.0,,,
2022-04-04,4.1821,4.2742,4.1637,4.1821,56423976.0,,,
2022-04-06,4.1269,4.1453,4.0255,4.0532,84288918.0,,,
2022-04-07,4.0532,4.1545,3.9518,3.9703,60274659.0,,,
2022-04-08,3.9703,4.0439,3.915,4.0347,30041906.0,,,
2022-04-11,4.0163,4.0163,3.7952,3.8229,55710585.0,,,
2022-04-12,3.8505,3.8966,3.7123,3.8044,51180695.0,,,
2022-04-13,3.786,3.8413,3.7215,3.786,31456637.0,,,
2022-04-14,3.8413,3.8966,3.8137,3.8873,35997425.0,,,
2022-04-19,3.8413,3.8873,3.7492,3.7676,33095462.0,,,
2022-04-20,3.7307,3.8413,3.7307,3.7584,23042173.0,,,
2022-04-21,3.7768,3.7768,3.6386,3.7123,46895583.0,,,
2022-04-22,3.6294,3.6939,3.6018,3.6939,52099759.0,,,
2022-04-25,3.6663,3.6663,3.5649,3.6294,44289258.0,,,
2022-04-26,3.6571,3.6755,3.5741,3.6294,48077591.0,,,
2022-04-27,3.611,3.611,3.5281,3.6018,46125993.0,,,
2022-04-28,3.6478,3.74,3.6018,3.74,41382566.0,,,
2022-04-29,3.6663,3.8321,3.6571,3.8229,34352025.0,,,
2022-05-03,3.7768,3.8044,3.6018,3.6571,64936671.0,,,
