SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004001002,物业厂房及设备,231191121000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004001004,无形资产,14373311000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004001005,商誉,1255627000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004001009,递延税项资产,1076035000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004001010,预付款项,5733882000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004001013,联营公司权益,9399475000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004001016,合营公司权益,2500830000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004001022,指定以公允价值记账之金融资产,4960145000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004001030,中长期存款,32391000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004001997,非流动资产其他项目,24034472000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004001999,非流动资产合计,294557289000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004002001,存货,1429768000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004002003,应收帐款,36391238000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004002005,预付款按金及其他应收款,8071451000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004002006,应收关联方款项,3258923000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004002007,预缴及应收税项,90188000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004002009,受限制存款及现金,21046000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004002010,现金及等价物,8884645000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004002013,指定以公允价值记账之金融资产(流动),9643000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004002999,流动资产合计,58156902000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004009999,总资产,352714191000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004011001,应付帐款,19988292000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004011003,应付税项,560760000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004011005,应付关联方款项(流动),4470190000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004011006,融资租赁负债(流动),691501000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004011008,其他应付款及应计费用,5421736000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004011010,短期贷款,61398632000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004011999,流动负债合计,92531111000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004013999,净流动资产,-34374209000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004015999,总资产减流动负债,260183080000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004020001,长期贷款,137941936000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004020003,递延税项负债,2669735000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004020005,融资租赁负债(非流动),4739966000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004020006,递延收入(非流动),115512000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004020018,应付票据(非流动),1823422000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004020999,非流动负债合计,147290571000.0,2025-06-30 00:00:00
