日期,开盘,最高,最低,收盘,成交量,成交额,换手率,流通股本
2020-12-24,1.2061,1.2295,1.1984,1.2295,9968000.0,,,
2020-12-28,1.2295,1.2451,1.2217,1.2373,12342667.0,,,
2020-12-29,1.2373,1.2528,1.2373,1.2528,8748230.0,,,
2020-12-30,1.2606,1.2762,1.2451,1.2762,16071171.0,,,
2020-12-31,1.284,1.3073,1.2684,1.2917,14102763.0,,,
2021-01-04,1.2917,1.3073,1.2762,1.2995,17107333.0,,,
2021-01-05,1.2917,1.3073,1.284,1.3073,11511015.0,,,
2021-01-06,1.2917,1.3151,1.284,1.3151,13596497.0,,,
2021-01-07,1.3151,1.3151,1.2917,1.2995,10586710.0,,,
2021-01-08,1.2995,1.3073,1.2684,1.2995,23571951.0,,,
2021-01-11,1.284,1.2917,1.2606,1.2762,19517442.0,,,
2021-01-12,1.284,1.2917,1.2684,1.2917,12764112.0,,,
2021-01-13,1.2995,1.2995,1.2762,1.284,11378334.0,,,
2021-01-14,1.284,1.2917,1.2762,1.2917,10173168.0,,,
2021-01-15,1.2917,1.2995,1.2762,1.284,19526552.0,,,
2021-01-18,1.2917,1.2917,1.2684,1.2917,11321385.0,,,
2021-01-19,1.2995,1.3773,1.2917,1.3773,50579861.0,,,
2021-01-20,1.3773,1.3851,1.354,1.3773,26028481.0,,,
2021-01-21,1.3773,1.3929,1.3696,1.3773,14135259.0,,,
2021-01-22,1.3851,1.3851,1.3384,1.354,12312697.0,,,
2021-01-25,1.3618,1.3696,1.3307,1.3462,15159082.0,,,
2021-01-26,1.3618,1.3773,1.3462,1.3696,16174436.0,,,
2021-01-27,1.3696,1.4007,1.3618,1.4007,20716753.0,,,
2021-01-28,1.4007,1.4007,1.3618,1.3696,16977059.0,,,
2021-01-29,1.3696,1.3773,1.3384,1.354,23212586.0,,,
2021-02-01,1.3618,1.4007,1.3462,1.3851,16073016.0,,,
2021-02-02,1.4007,1.4085,1.3773,1.3929,12929637.0,,,
2021-02-03,1.4007,1.4396,1.3773,1.4396,19529339.0,,,
2021-02-04,1.424,1.4318,1.3851,1.424,18424554.0,,,
2021-02-05,1.424,1.4552,1.4085,1.4552,14956677.0,,,
2021-02-08,1.4552,1.5563,1.424,1.4863,267128171.0,,,
2021-02-09,1.4629,1.533,1.424,1.424,27985281.0,,,
2021-02-10,1.4318,1.4474,1.4085,1.4396,17155468.0,,,
2021-02-11,1.4396,1.4552,1.424,1.4396,6260838.0,,,
2021-02-16,1.4552,1.4707,1.4318,1.4474,13824623.0,,,
2021-02-17,1.4707,1.4707,1.4318,1.4318,12719702.0,,,
