日期,收盘价
2024-12-12,7.62
2024-12-13,7.53
2024-12-16,7.56
2024-12-17,7.59
2024-12-18,7.69
2024-12-19,7.56
2024-12-20,7.65
2024-12-23,7.66
2024-12-24,7.86
2024-12-25,7.78
2024-12-26,7.64
2024-12-27,7.77
2024-12-30,7.60
2024-12-31,7.48
2025-01-02,7.06
2025-01-03,6.93
2025-01-06,7.05
2025-01-07,7.00
2025-01-08,7.09
2025-01-09,7.03
2025-01-10,6.92
2025-01-13,6.80
2025-01-14,7.16
2025-01-15,7.05
2025-01-16,7.09
2025-01-17,7.17
2025-01-20,7.24
2025-01-21,7.18
2025-01-22,7.25
2025-01-23,7.22
2025-01-24,7.31
2025-01-27,7.20
2025-02-05,7.10
2025-02-06,7.08
2025-02-07,7.15
2025-02-10,7.06
2025-02-11,7.03
2025-02-12,7.14
2025-02-13,6.84
2025-02-14,6.90
2025-02-17,6.94
2025-02-18,6.83
2025-02-19,6.86
2025-02-20,6.74
2025-02-21,7.06
2025-02-24,7.00
2025-02-25,6.79
2025-02-26,6.83
2025-02-27,6.77
2025-02-28,6.68
2025-03-03,6.66
2025-03-04,6.66
2025-03-05,6.61
2025-03-06,6.61
2025-03-07,6.53
2025-03-10,6.50
2025-03-11,6.51
2025-03-12,6.59
2025-03-13,6.62
2025-03-14,6.71
2025-03-17,6.65
2025-03-18,6.60
2025-03-19,6.62
2025-03-20,6.63
2025-03-21,6.59
2025-03-24,6.71
2025-03-25,6.85
2025-03-26,6.78
2025-03-27,6.68
2025-03-28,6.65
2025-03-31,6.56
2025-04-01,6.70
2025-04-02,6.70
2025-04-03,6.73
2025-04-07,6.05
2025-04-08,6.24
2025-04-09,6.38
2025-04-10,6.35
2025-04-11,6.24
2025-04-14,6.29
2025-04-15,6.22
2025-04-16,6.11
2025-04-17,6.09
2025-04-18,6.18
2025-04-21,6.22
2025-04-22,6.14
2025-04-23,6.13
2025-04-24,6.27
2025-04-25,6.27
2025-04-28,6.18
2025-04-29,6.19
2025-04-30,6.14
2025-05-06,6.28
2025-05-07,6.29
2025-05-08,6.30
2025-05-09,6.24
2025-05-12,6.29
2025-05-13,6.35
2025-05-14,6.33
2025-05-15,6.22
2025-05-16,6.21
2025-05-19,6.24
2025-05-20,6.26
2025-05-21,6.24
2025-05-22,6.16
2025-05-23,6.12
2025-05-26,6.24
2025-05-27,6.17
2025-05-28,6.30
2025-05-29,6.27
2025-05-30,6.16
2025-06-03,6.17
2025-06-04,6.17
2025-06-05,6.18
2025-06-06,6.21
2025-06-09,6.22
2025-06-10,6.16
2025-06-11,6.17
2025-06-12,6.13
2025-06-13,6.10
2025-06-16,6.10
2025-06-17,6.11
2025-06-18,6.07
2025-06-19,5.96
2025-06-20,5.91
2025-06-23,5.91
2025-06-24,5.98
2025-06-25,6.00
2025-06-26,5.99
2025-06-27,6.05
2025-06-30,6.07
2025-07-01,6.05
2025-07-02,6.08
2025-07-03,6.07
2025-07-04,6.07
2025-07-07,6.21
2025-07-08,6.25
2025-07-09,6.24
2025-07-10,6.24
2025-07-11,6.24
2025-07-14,6.40
2025-07-15,6.30
2025-07-16,6.25
2025-07-17,6.26
2025-07-18,6.29
2025-07-21,6.92
2025-07-22,7.42
2025-07-23,6.96
2025-07-24,6.91
2025-07-25,6.72
2025-07-28,6.67
2025-07-29,6.67
2025-07-30,6.61
2025-07-31,6.50
2025-08-01,6.45
2025-08-04,6.50
2025-08-05,6.50
2025-08-06,6.52
2025-08-07,6.47
2025-08-08,6.53
2025-08-11,6.55
2025-08-12,6.49
2025-08-13,6.50
2025-08-14,6.37
2025-08-15,6.44
2025-08-18,6.49
2025-08-19,6.61
2025-08-20,6.66
2025-08-21,6.66
2025-08-22,6.69
2025-08-25,6.73
2025-08-26,6.72
2025-08-27,6.57
2025-08-28,6.58
2025-08-29,6.51
2025-09-01,6.51
2025-09-02,6.41
2025-09-03,6.30
2025-09-04,6.30
2025-09-05,6.37
2025-09-08,6.48
2025-09-09,6.46
2025-09-10,6.37
2025-09-11,6.42
2025-09-12,6.43
2025-09-15,6.39
2025-09-16,6.34
2025-09-17,6.49
2025-09-18,6.42
2025-09-19,6.51
2025-09-22,6.39
2025-09-23,6.45
2025-09-24,6.57
2025-09-25,6.61
2025-09-26,6.60
2025-09-29,6.64
2025-09-30,6.76
2025-10-09,7.07
2025-10-10,7.18
2025-10-13,7.09
2025-10-14,7.09
2025-10-15,7.36
2025-10-16,7.37
2025-10-17,6.92
2025-10-20,7.09
2025-10-21,7.27
2025-10-22,7.03
2025-10-23,7.02
2025-10-24,7.11
2025-10-27,7.68
2025-10-28,7.41
2025-10-29,8.15
2025-10-30,7.90
2025-10-31,7.97
2025-11-03,8.43
2025-11-04,8.29
2025-11-05,8.89
2025-11-06,9.78
2025-11-07,10.08
2025-11-10,10.63
2025-11-11,10.53
2025-11-12,9.78
2025-11-13,9.80
2025-11-14,9.32
2025-11-17,9.22
2025-11-18,9.00
2025-11-19,8.98
2025-11-20,8.84
2025-11-21,7.96
2025-11-24,8.13
2025-11-25,8.42
2025-11-26,8.27
2025-11-27,8.16
2025-11-28,8.33
2025-12-01,8.37
2025-12-02,8.23
2025-12-03,8.13
2025-12-04,8.12
2025-12-05,8.48
2025-12-08,8.43
2025-12-09,8.37
2025-12-10,8.28
2025-12-11,8.25
2025-12-12,9.08
