日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-11-28,103.49,8.55,2.02,2.08,0.09,48.06
2025-12-01,94.46,7.92,1.84,0.48,0.06,48.65
2025-12-02,64.38,5.30,1.26,-1.67,0.03,46.65
2025-12-03,65.68,5.37,1.28,-1.22,0.00,45.21
2025-12-04,58.78,4.77,1.15,-0.12,-0.02,45.06
2025-12-05,187.72,15.74,3.66,4.43,-0.01,51.29
2025-12-08,113.79,9.62,2.22,-0.59,-0.01,50.44
2025-12-09,72.28,6.06,1.41,-0.71,-0.01,49.37
2025-12-10,69.42,5.71,1.35,-1.07,-0.02,47.75
2025-12-11,122.77,10.31,2.40,-0.36,-0.03,47.19
2025-12-12,250.86,21.98,4.89,10.06,0.03,60.83
