SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
601179.SH,601179,中国西电,10144886,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-22 00:00:00,2025-10-22 00:00:00,CNY,18371563622.59,,,,,,,,,,,,193402274.11,433585638.7,,0.0,18998551535.4,15693254749.01,-953796164.01,,,,,1583292822.16,773675409.02,1346955453.93,,0.0,18443382270.11,,0.0,555169265.29,3217550438.4,73620750.57,7694139.5,,,1771365.87,,0.0,3300636694.34,594881663.76,4142569076.8,,,,16821636.75,,0.0,4754272377.31,,0.0,-1453635682.97,33000000.0,33000000.0,706980036.02,,8230567.77,,0.0,748210603.79,981900870.62,630376944.03,89870865.2,,7371322.05,,,0.0,1619649136.7,,0.0,-871438532.91,36778795.13,,0.0,-1733126155.46,10292933990.79,,0.0,8559807835.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1196486171,,,,,,,,,,,,36.2757797187,-3.9575604366,,,25.3190583907,38.3595568132,17.951998124,,,,,2.374737003,-5.7808800422,11.4096397173,,,34.0692564718,,,-60.4449938446,145.4162344755,-22.2275293111,-63.6008738631,,,-54.2837535424,,,130.6954750977,-34.3648325679,220.1277801299,,,,-91.5813278689,,,98.0785510152,,,-49.9424694868,,,-5.0533727163,,-73.5007852464,,,-3.5397780842,-40.8944935482,57.081645051,91.2258219182,,-98.6749924435,,,,-38.1552783308,,,52.7221725393,173.4800082156,,,-18.7718165952,10.7684238141,,,9.2774925733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601179.SH,601179,中国西电,10144886,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-21 00:00:00,2025-08-21 00:00:00,CNY,12356441781.95,,,,,,,,,,,,85546382.86,317546020.03,,0.0,12759534184.84,10878416518.69,-560056660.44,,,,,1049301757.32,548606053.34,872569587.02,,0.0,12788837255.93,,0.0,-29303071.09,1852174589.03,54899019.81,4999782.86,,,1595511.39,,0.0,1913668903.09,384967959.29,1615000000.0,,,,16605800.38,,0.0,2016573759.67,,0.0,-102904856.58,33000000.0,33000000.0,379777642.06,,8189474.44,,0.0,420967116.5,310350223.95,196745199.42,45138090.93,,6291366.99,,,0.0,513386790.36,,0.0,-92419673.86,43381635.83,,0.0,-181245965.7,10292933990.79,,0.0,10111688025.09,740033213.53,180811029.01,247472414.56,247472414.56,,159999971.63,1536810.2,,,,-70351.23,,51747999.5,13112431.88,-47719407.81,-85421714.12,-86429757.07,1008042.95,,-305002352.09,-1607394211.92,421507374.66,63337185.03,,0.0,-29303071.09,,,,,10111688025.09,10292933990.79,,,,,-181245965.7,28.6105179034,,,,,,,,,,,,-19.8875354479,2.152238245,,,27.2735514949,45.3129712263,17.4880895875,,,,,4.9554105088,-13.9043822723,0.0323018278,,,37.2680020046,,,-104.1353989693,184.9499367738,32.3475512741,-76.0958048048,,,53.5011564746,,,168.2326292815,-27.7857679019,476.7857142857,,,,-90.2251518181,,,105.1501630321,,,61.8217914839,,,-8.0018936868,,-48.6558691544,,,-1.8176424937,-72.6329560275,195.794220881,-3.9558758147,,-93.9289017166,,,,-60.6350215156,,,89.4427098624,207.5581173355,,,61.9783282822,10.7684238141,,,14.7020985899,23.9153437824,195.5034053967,18.7094469297,18.7094469297,,-2.7230951802,-48.1925577748,,,,99.4348329059,,-19.1302149103,-42.7793748935,-55.9771804096,-1387.0479852608,-5921.0592121518,113.9441248171,,5.9065389413,-28.6984706668,-62.4958819327,7.1216679638,,,-104.1353989693,,,,,14.7020985899,10.7684238141,,,,,61.9783282822,,,,,15400886.53,-4.3384449211
601179.SH,601179,中国西电,10144886,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-15 00:00:00,2025-04-15 00:00:00,CNY,4913854203.91,,,,,,,,,,,,43064673.37,136855325.64,,0.0,5093774202.92,4866770938.67,-304208046.16,,,,,552634547.56,271880250.22,414637058.86,,0.0,5801714749.15,,0.0,-707940546.23,265574589.03,1741712.09,3783717.0,,,264300263.27,,0.0,535400281.39,166102310.59,,,,,631722343.2,,0.0,797824653.79,,0.0,-262424372.4,,,92024045.66,,40200.0,,0.0,92064245.66,150442915.34,160705844.33,17589946.6,,3468038.21,,,0.0,314616797.88,,0.0,-222552552.22,5130513.21,,0.0,-1187786957.64,10292933990.79,,0.0,9105147033.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3891085338,,,,,,,,,,,,-30.4581876306,-15.5717088034,,,16.4392559268,49.8521903074,16.6239005543,,,,,9.4639266526,-18.6800095729,1.7685254564,,,40.4952954018,,,-388.7823861276,26.4640900143,-70.6612359015,16.8169315219,,,77385.6149022719,,,143.8996051931,-37.703458391,,,,,2890.7381431791,,,40.5228741689,,,24.6421551492,,,-5.1173447608,,-99.6312537422,,,-14.6676423159,-61.3022027834,1687.7291230289,,,-96.5450672048,,,,-36.8407051821,,,42.9708057417,193.5030114198,,,-138.1188222532,10.7684238141,,,3.5443126437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601179.SH,601179,中国西电,10144886,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-15 00:00:00,2025-04-15 00:00:00,CNY,24711799389.35,,,,,,,,,,,,171800649.78,728733075.74,,0.0,25612333114.87,18323333240.23,-1404617040.25,,,,,2304387234.51,1134257099.43,1756175318.13,,0.0,22113535852.05,,0.0,3498797262.82,1078294625.82,114916743.41,25589944.24,,,1349396576.6,,0.0,2568197890.07,1368710497.54,840036111.18,,,,1079320583.53,,0.0,3288067192.25,,0.0,-719869302.18,,,1527203880.58,,36452638.59,,0.0,1563656519.17,1938984857.91,609461977.96,81469021.23,,771677711.1,,,0.0,3320124546.97,,0.0,-1756468027.8,2765636.0,,0.0,1025225568.84,9267708421.95,,0.0,10292933990.79,1219547695.65,25193067.55,638091787.77,638091787.77,,302008413.19,10034887.58,,,,-26789991.84,1170341.68,45678898.7,44712060.86,-141533300.43,-95937679.67,-87034578.46,-8903101.21,,-1175971961.47,-116459970.63,2417313396.48,145455518.89,,0.0,3498797262.82,,,,,10292933990.79,9243117074.37,,24591347.58,,,1025225568.84,12.2360121719,,,,,,,,,,,,13.815399615,-52.7113727357,,,12.6801140178,10.4696112388,-438.0674398176,,,,,1.7777246239,22.5757994973,6.0517239698,,,3.0210034597,,,176.5734175256,-49.5700326433,-49.0346547435,-92.4140174474,,,-73.2963375205,,,-69.1414017994,108.0311753145,-60.822044838,,,,-68.1347571036,,,-47.9088234177,,,-135.8084687018,,,-55.3508264592,,-79.5188158812,,,-66.8245991472,-62.1969702833,62.6759087782,167.4961301666,,2380.5277068463,,,,-40.0151213607,,,-113.7772235055,109.9663596066,,,-57.7400828894,35.4589787437,,,11.0623416508,14.0833004953,-72.3660351569,12.6338263063,12.6338263063,,-12.227910527,20.3612366762,,,,80.0959593971,10.0155820246,41.1350715309,-42.7436802359,19.3646443409,-56.9689455653,29.1351703739,-114.4299321646,,-366.0054799631,-190.9320256539,256.4267022521,-28.3597305464,,,176.5734175256,,,,,11.3578234266,35.7711392055,,-27.3360730289,,,-57.7400828894,标准无保留意见,,,,4372009.7,-90.4364504243
601179.SH,601179,中国西电,10144886,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-22 00:00:00,CNY,14566773555.14,,,,,,,,,,,,141919770.71,451452129.57,,0.0,15160145455.42,11342371362.32,-1162485547.73,,,,,1546565948.31,821144805.18,1209011587.64,,0.0,13756608155.72,,0.0,1403537299.7,1311058514.64,94661709.88,21138253.35,,,3874696.65,,0.0,1430733174.52,906345922.52,1294036111.18,,,,199813420.55,,0.0,2400195454.25,,0.0,-969462279.73,,,744607845.74,,31059666.66,,0.0,775667512.4,1661268009.64,401305285.43,46997243.52,,556323019.74,,,0.0,2618896314.81,,0.0,-1843228802.41,-50052791.26,,0.0,-1459206573.7,9292299769.53,,0.0,7833093195.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8112527661,,,,,,,,,,,,41.1571277846,13.3918468675,,,21.9219538111,9.1391828178,-86.6573182513,,,,,2.1526927868,17.3440552655,-0.269115222,,,1.9816109688,,,233.0367849288,-41.0574227012,-35.5108546783,-64.1659384282,,,854.0736631587,,,-37.3481015486,103.3668918764,-53.9837442457,,,,1858.8637262795,,,-26.5545849079,,,1.5150444164,,,-66.3818144396,,-60.5146923444,,,-88.3435845274,-54.8501300148,30.4775973029,75.4409775359,,3914.8122482435,,,,-34.5419220212,,,-169.4627479299,21.3432033462,,,-365.0499401248,35.8184115914,,,5.9636046397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601179.SH,601179,中国西电,10144886,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-30 00:00:00,2025-08-21 00:00:00,CNY,9607644836.04,,,,,,,,,,,,106782862.49,310855665.51,,0.0,10025283364.04,7486197843.79,-678758566.66,,,,,999759566.69,637205548.69,872287822.11,,0.0,9316692214.62,,0.0,708591149.42,650000000.0,41480948.67,20915922.16,,,1039413.27,,0.0,713436284.1,533091536.26,280000000.0,,,,169882949.29,,0.0,982974485.55,,0.0,-269538201.45,,,412810281.95,,15950166.66,,0.0,428760448.61,1134029032.37,66514213.44,46997243.52,,103628152.54,,,0.0,1304171398.35,,0.0,-875410949.74,-40333204.88,,0.0,-476691206.65,9292299769.53,,0.0,8815608562.88,597208699.86,61187460.35,208469014.86,208469014.86,,164478888.31,2966388.87,,,,-12447863.78,,63989287.77,22915569.09,-30593839.23,-5744381.82,1484777.15,-7229158.97,,-324148297.51,-1248961392.93,1123896244.95,59126399.2,,0.0,708591149.42,,,,,8815608562.88,9292299769.53,,,,,-476691206.65,22.7210235136,,,,,,,,,,,,30.3652540724,27.8730769139,,,24.5989267545,3.2000880445,-164.6647446024,,,,,3.341289796,28.1661324223,125.7712146151,,,-10.9738291094,,,129.291845656,-53.259965808,-55.357968172,-33.8377562079,,,157.3253978237,,,-65.7633354767,73.7387684427,-84.146111378,,,,91611.0130176848,,,-52.5854294669,,,-2621.7719014402,,,-71.215836878,,-78.2987778247,,,-83.3893205768,-42.6917496677,16.8060424062,94.9076743218,,1015.6478427262,,,,-36.2280869537,,,-263.2688524365,31.226239502,,,75.311888633,36.4935784538,,,80.7583711037,22.3307614341,438.0021057472,-10.1557180941,-10.1557180941,,-10.9288541755,-25.7770436312,,,,47.4373567562,,1109.3643758808,-8.0268788081,-470.5417524993,-115.9121574044,-95.2453597217,-248.3627276005,,-17.4234945682,18.4368772468,161.1565154129,-62.6079172445,,,129.291845656,,,,,80.7583711037,36.4935784538,,,,,75.311888633,,,,,16099347.87,-3.4698601251
601179.SH,601179,中国西电,10144886,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-15 00:00:00,CNY,4150596507.37,,,,,,,,,,,,61926302.9,162096524.4,,0.0,4374619334.67,3247714250.08,-364862410.43,,,,,504855402.56,334333844.35,407431528.56,,0.0,4129472615.12,,0.0,245146719.55,210000000.0,5936555.76,3239014.2,,,341095.91,,0.0,219516665.87,266631672.16,280000000.0,,,,21122623.01,,0.0,567754295.17,,0.0,-348237629.3,,,96987215.87,,10901805.55,,0.0,107889021.42,388763511.52,8989384.48,,,100379324.74,,,0.0,498132220.74,,0.0,-390243199.32,-5487003.18,,0.0,-498821112.25,9292299769.53,,0.0,8793478657.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8791875271,,,,,,,,,,,,65.0468700408,-69.8797469142,,,37.1238296221,-8.6656740622,-553.6421579507,,,,,2.3491222956,50.3920685366,-32.3890174115,,,-19.2308847521,,,112.751995647,-72.6440529549,-29.9088760782,4.9943424376,,,12087.0457046491,,,-71.8284886745,11.0471601372,-78.6117206119,,,,28448.9963476149,,,-63.3543514488,,,54.7798434986,,,-83.348092361,,,,,-81.4763419711,-63.6849581634,2726.8504654088,,,3827.0764131741,,,,-53.5932359106,,,20.5151115642,20.9002422544,,,84.3650054867,36.4935784538,,,143.0849070773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601179.SH,601179,中国西电,10144886,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-11 00:00:00,2025-04-15 00:00:00,CNY,22017709744.99,-1186955072.69,,,,,,,207393242.12,,,,150946752.69,1541032417.09,,0.0,22730127084.2,16586763576.65,-261048511.08,280864584.58,,13045722.6,,2264137111.56,925351581.7,1655961121.98,,0.0,21465075187.99,,0.0,1265051896.21,2138202109.46,225480162.71,337331968.04,568230168.38,,5053226603.79,,0.0,8322471012.38,657935280.84,2144155068.09,,122907500.0,,3387140612.86,,0.0,6312138461.79,,0.0,2010332550.59,1114867206.71,1114867206.71,3420452741.83,,177981108.8,,0.0,4713301057.34,5129178461.2,374647962.65,30456149.47,,31109417.12,,,0.0,5534935840.97,,0.0,-821634783.63,-27749711.12,,0.0,2425999952.05,6841708469.9,,0.0,9267708421.95,1068997557.36,91167039.16,566518788.09,566518788.09,,344082515.3,8337308.47,,,,-134595745.53,1063796.29,32365377.51,78091049.24,-175522634.3,-61118891.59,-122817734.72,61698843.13,,442085614.79,128073656.99,-1545332965.33,203035974.04,,0.0,1265051896.21,,,,,9243117074.37,6807865889.95,24591347.58,33842579.95,,,2425999952.05,22.4175377001,-279.6082604206,,,,,,,6.495274565,,,,16.8618964967,8.2662128264,,,8.7992113311,12.7906379365,-157.8654031632,190.5416863733,,-49.2215760339,,3.702156245,-2.028608769,-42.6362946519,,,5.5591329037,,,127.0507051089,-44.968726248,120.3966898724,32.4782654913,,,260381.9396603145,,,96.0854040433,55.6704090516,-48.453536861,,,,27981.2359503168,,,37.3887520382,,,674.2920293361,55643.3603355,55643.3603355,54.2046562331,,-61.3085077582,,,75.8611682482,419.4249241028,110.8707245487,859.2200830044,,97.1512458524,,,,368.6972795466,,,-154.8046270194,-260.6453511998,,,40.7524075111,34.566138941,,,36.1323588297,46.6089042135,-42.1919285591,13.9796209923,13.9796209923,,97.9591542018,107.6382597371,,,,52.1395448279,-76.707867217,145.8047296877,30.923004391,-255.219449797,-750.8270120324,-961.2221806819,1305.5154849068,,-34.7096189897,105.8536726388,-391.0757318992,100.3980179573,,,127.0507051089,,,,,35.7711392055,33.9005061775,,,,,40.7524075111,标准无保留意见,,,,45715345.18,-20.0033147408
601179.SH,601179,中国西电,10144886,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-30 00:00:00,CNY,13145572486.12,-1381718662.98,,,,,,,171774580.32,,,,100540279.43,398134559.09,,0.0,12434303241.98,10392574939.15,-622791304.74,280864584.58,,12630333.51,,1513974723.64,699775377.05,1212274001.51,,0.0,13489302654.7,,0.0,-1054999412.72,2224297909.46,146787043.63,58989275.63,-146857331.62,,406121.33,,0.0,2283623018.43,445670341.99,2812128214.19,,,,10200475.81,,0.0,3267999031.99,,0.0,-984376013.56,4360868425.38,1114867206.71,2214895995.51,,78661326.21,,0.0,6654425747.1,3679452477.24,307566428.05,26788065.24,,13856763.04,,,0.0,4000875668.33,,0.0,2653550078.77,-63634413.54,,0.0,550540238.95,6841708469.9,,0.0,7392248708.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0446457033,-422.5231033171,,,,,,,144.988495141,,,,-4.5359065657,-77.9711462059,,,-15.0228875331,9.8411590921,-132.0301716953,628.2901627544,,-39.2289323127,,7.5207230567,7.7176506592,-54.6516008158,,,-16.2385436904,,,28.3237316168,7.1728247033,90.0318958604,602.1909618617,,,-79.0304164538,,,5.5760814341,86.070510733,-8.0834817356,,,,-12.94610897,,,-1.2889400968,,,14.22754872,217943.421269,55643.3603355,169.8115978596,,34628.0396687656,,,708.4283489954,674.39620779,66.8710943419,,,352.319477277,,,,503.8916238035,,,1552.1116502737,-230.2809843577,,,122.8430905316,36.9835731962,,,186.0277693606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601179.SH,601179,中国西电,10144886,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-30 00:00:00,2024-08-30 00:00:00,CNY,7828849989.16,-246375019.67,,,,,,,138560578.47,,,,81910523.82,243097040.45,,0.0,8046043112.23,7254061489.33,1049657848.08,298657262.88,,11774077.5,,967434767.52,497171551.21,386359183.83,,0.0,10465116180.35,,0.0,-2419073068.12,1390670784.13,92919042.82,31613078.64,568230168.38,,403929.53,,0.0,2083837003.5,306835107.12,1766128214.19,,,,185237.24,,0.0,2073148558.55,,0.0,10688444.95,1073577062.71,1073577062.71,1434157665.8,,73498932.6,,0.0,2581233661.11,1978823338.34,56944154.66,24112566.98,,9288607.8,,,0.0,2045056100.8,,0.0,536177560.31,-58646211.27,,0.0,-1930853274.13,6807865889.95,,0.0,4877012615.82,488191762.12,-18102686.14,232033703.69,232033703.69,,184660123.98,3996592.18,,,,-23681959.3,,5291150.38,24915506.61,8256516.04,36100584.44,31227959.7,4872624.74,,-276050630.84,-1531281970.05,-1837737544.99,158125450.21,,0.0,-2419073068.12,,,,,4877012615.82,6807865889.95,315677194.44,,,,-1930853274.13,5.7266154433,-950.2767004643,,,,,,,174.3445833397,,,,33.2118430771,-76.3914084067,,,-8.3121477795,20.5241678646,21.250439348,40073.7134067432,,-25.7021736816,,5.804183414,46.5863500942,-50.8848793161,,,17.0435545715,,,-1359.5427568747,6.707736755,85.4590401141,289.8353772815,,,-79.7930801597,,,52.8341927284,121.5900933562,-20.0643421439,,,,-97.2330404846,,,-11.9533177896,,,101.0784001969,53578.8531355,53578.8531355,105.5721022587,,48751.6456995903,,,268.856943004,1352.0522724505,-69.1094856381,,,287.430473961,,,,533.1108596603,,,42.3068856859,-270.7423520396,,,-158.9116779766,36.3059825698,,,14.7859413145,17.6377088455,-194.6999452951,-17.6300118685,-17.6300118685,,50.9705465485,12.9266492,,,,-246.1648436018,,122.7068221207,410.4896725132,130.0479788774,1013.8021787911,438.3109646207,-7.7147123854,,-316.7321299826,-43.6075711199,-199.0473471721,-67.6375655797,,,-1359.5427568747,,,,,14.7859413145,36.3059825698,,,,,-158.9116779766,,,,,16678052.98,6.8480945478
