日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-27,3.31,3.33,3.23,3.3,9296700.0,32497208.0,5125882352.0,0.0018136779897752909
2019-11-28,3.28,3.32,3.28,3.31,6528301.0,22902993.0,5125882352.0,0.0012735955591046308
2019-11-29,3.31,3.35,3.3,3.35,5559022.0,19632906.0,5125882352.0,0.0010845005051337158
2019-12-02,3.34,3.35,3.32,3.35,4411379.0,15605685.0,5125882352.0,0.0008606087102796619
2019-12-03,3.35,3.35,3.31,3.34,3861267.0,13640080.0,5125882352.0,0.0007532882604091418
2019-12-04,3.33,3.37,3.32,3.36,5304421.0,18872646.0,5125882352.0,0.0010348308126756631
2019-12-05,3.37,3.39,3.36,3.37,5694150.0,20440290.0,5125882352.0,0.001110862405528733
2019-12-06,3.37,3.39,3.35,3.38,4464800.0,15980732.0,5125882352.0,0.0008710305257509352
2019-12-09,3.37,3.41,3.36,3.41,5834201.0,20988777.0,5125882352.0,0.0011381847259376975
2019-12-10,3.39,3.41,3.36,3.39,4653817.0,16742974.0,5125882352.0,0.000907905542971385
2019-12-11,3.38,3.4,3.34,3.36,4892607.0,17465800.0,5125882352.0,0.0009544906933127364
2019-12-12,3.36,3.4,3.35,3.39,5825451.0,20924380.0,5125882352.0,0.0011364777027562962
2019-12-13,3.38,3.44,3.38,3.41,7418928.0,26896738.0,5125882352.0,0.0014473465231025653
2019-12-16,3.42,3.43,3.36,3.4,7217222.0,26025393.0,5125882352.0,0.0014079960296365381
2019-12-17,3.39,3.44,3.38,3.42,8171501.0,29586276.0,5125882352.0,0.0015941647581536223
2019-12-18,3.43,3.43,3.4,3.42,5870700.0,21289725.0,5125882352.0,0.0011453052561203223
2019-12-19,3.4,3.43,3.39,3.42,5644946.0,20452797.0,5125882352.0,0.0011012632776867136
2019-12-20,3.43,3.45,3.4,3.43,6831408.0,24809290.0,5125882352.0,0.0013327282077269182
2019-12-23,3.41,3.42,3.33,3.34,8680701.0,31034670.0,5125882352.0,0.0016935037528930004
2019-12-24,3.33,3.37,3.33,3.35,6657091.0,23664136.0,5125882352.0,0.0012987209894512225
2019-12-25,3.36,3.36,3.32,3.34,7205843.0,25562644.0,5125882352.0,0.001405776119147262
2019-12-26,3.36,3.37,3.34,3.36,4877539.0,17392658.0,5125882352.0,0.0009515511018501815
2019-12-27,3.36,3.43,3.36,3.41,7316390.0,26458833.0,5125882352.0,0.0014273425524769048
2019-12-30,3.39,3.45,3.38,3.44,7308543.0,26523951.0,5125882352.0,0.001425811694087824
2019-12-31,3.42,3.45,3.41,3.43,4357061.0,15870058.0,5125882352.0,0.0008500119005462496
2020-01-02,3.46,3.5,3.44,3.46,7967395.0,29302972.0,5125882352.0,0.001554346052614982
2020-01-03,3.46,3.48,3.43,3.45,6340529.0,23206361.0,5125882352.0,0.0012369634268968488
2020-01-06,3.42,3.52,3.42,3.48,11961055.0,44131081.0,5125882352.0,0.0023334626467447256
2020-01-07,3.47,3.53,3.47,3.52,7192838.0,26789316.0,5125882352.0,0.0014032389949787908
2020-01-08,3.5,3.52,3.43,3.45,6166600.0,22704571.0,5125882352.0,0.0012030319029062257
2020-01-09,3.47,3.5,3.45,3.47,4842223.0,17828604.0,5125882352.0,0.0009446613612016821
2020-01-10,3.48,3.49,3.4,3.42,5603939.0,20408374.0,5125882352.0,0.0010932632891610308
2020-01-13,3.43,3.52,3.39,3.52,9030080.0,33139581.0,5125882352.0,0.0017616635302752652
2020-01-14,3.52,3.53,3.48,3.5,6256800.0,23308878.0,5125882352.0,0.0012206288733019287
2020-01-15,3.5,3.51,3.43,3.43,5154900.0,18907120.0,5125882352.0,0.0010056610054635137
2020-01-16,3.45,3.46,3.41,3.43,4703271.0,17126174.0,5125882352.0,0.0009175534429043018
2020-01-17,3.42,3.46,3.39,3.4,5535957.0,20144324.0,5125882352.0,0.001080000792027542
2020-01-20,3.4,3.45,3.4,3.44,6446620.0,23404565.0,5125882352.0,0.0012576605464783403
2020-01-21,3.44,3.46,3.36,3.38,8353222.0,30172934.0,5125882352.0,0.0016296164106733286
2020-01-22,3.38,3.43,3.34,3.43,5804240.0,20839911.0,5125882352.0,0.0011323396834762157
2020-01-23,3.41,3.42,3.29,3.32,9843460.0,34954583.0,5125882352.0,0.0019203445034510617
2020-02-03,3.02,3.02,2.99,2.99,6559712.0,20827859.0,5125882352.0,0.0012797234796933163
2020-02-04,2.91,2.98,2.86,2.95,17398914.0,54105734.0,5125882352.0,0.0033943256604809413
2020-02-05,2.97,3.02,2.95,2.99,10669783.0,33797553.0,5125882352.0,0.002081550505316787
2020-02-06,3.0,3.04,2.97,3.03,11055800.0,35216756.0,5125882352.0,0.0021568579301642155
2020-02-07,3.03,3.03,2.97,3.0,10006793.0,31782132.0,5125882352.0,0.0019522088711410987
2020-02-10,3.01,3.06,2.99,3.03,14264701.0,45843305.0,5125882352.0,0.0027828771751724356
2020-02-11,3.04,3.08,3.03,3.05,9765984.0,31748302.0,5125882352.0,0.0019052298373936616
2020-02-12,3.06,3.09,3.05,3.08,7128164.0,23226708.0,5125882352.0,0.0013906218501520537
2020-02-13,3.08,3.09,3.03,3.05,7657280.0,24841972.0,5125882352.0,0.001493846224740665
2020-02-14,3.05,3.07,3.02,3.04,7806339.0,25191375.0,5125882352.0,0.0015229259011288365
2020-02-17,3.04,3.12,3.04,3.11,11372586.0,37244130.0,5125882352.0,0.002218659192512033
2020-02-18,3.11,3.14,3.1,3.13,10815200.0,35785566.0,5125882352.0,0.0021099196698847683
2020-02-19,3.13,3.16,3.1,3.14,9018557.0,29970759.0,5125882352.0,0.0017594155270616325
2020-02-20,3.14,3.19,3.11,3.18,8576439.0,28647961.0,5125882352.0,0.001673163449928513
2020-02-21,3.18,3.19,3.14,3.18,11961730.0,40218739.0,5125882352.0,0.002333594331390148
2020-02-24,3.16,3.18,3.11,3.16,13199924.0,43988753.0,5125882352.0,0.002575151572655525
2020-02-25,3.1,3.14,3.07,3.12,14953944.0,49249477.0,5125882352.0,0.0029173404641574187
2020-02-26,3.1,3.22,3.07,3.19,21498994.0,72278385.0,5125882352.0,0.004194203558263797
2020-02-27,3.19,3.28,3.17,3.25,20530633.0,70596488.0,5125882352.0,0.004005287595410656
2020-02-28,3.18,3.25,3.11,3.12,18646898.0,62470376.0,5125882352.0,0.0036377928168258513
2020-03-02,3.12,3.38,3.12,3.29,27716683.0,96435525.0,5125882352.0,0.005407202330577407
2020-03-03,3.35,3.37,3.23,3.26,22441535.0,78278720.0,5125882352.0,0.004378082339569076
2020-03-04,3.23,3.26,3.2,3.26,14318773.0,49077267.0,5125882352.0,0.002793425993168405
2020-03-05,3.35,3.59,3.35,3.59,46031834.0,172161451.0,5125882352.0,0.00898027516804779
2020-03-06,3.76,3.95,3.67,3.95,90106404.0,372739910.0,5125882352.0,0.01757871090522446
2020-03-09,4.03,4.32,3.85,4.17,163784605.0,717449895.0,5125882352.0,0.03195247057047555
2020-03-10,3.92,4.18,3.75,4.07,123827143.0,521814418.0,5125882352.0,0.024157234695736926
2020-03-11,4.0,4.22,3.88,3.96,84927309.0,363725256.0,5125882352.0,0.016568329736803916
2020-03-12,3.82,3.94,3.75,3.77,56401531.0,229245842.0,5125882352.0,0.011003282386688691
2020-03-13,3.6,4.15,3.59,4.15,99284252.0,420146005.0,5125882352.0,0.019369202252810504
2020-03-16,4.34,4.55,4.21,4.28,188858604.0,873598925.0,5125882352.0,0.03684411600401086
2020-03-17,4.27,4.7,4.27,4.7,133831893.0,644276539.0,5125882352.0,0.02610904500135121
