日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-11,4.2,4.2,4.01,4.04,40956613.0,175610154.0,5125882352.0,0.008
2021-01-12,4.0,4.12,4.0,4.04,36456800.0,155336177.0,5125882352.0,0.0071
2021-01-13,4.03,4.43,3.96,4.35,92360049.0,412289776.0,5125882352.0,0.018
2021-01-14,4.31,4.62,4.28,4.47,94633438.0,445207521.0,5125882352.0,0.0185
2021-01-15,4.42,4.51,4.3,4.33,53465711.0,245723800.0,5125882352.0,0.0104
2021-01-18,4.33,4.42,4.3,4.33,49771878.0,227510179.0,5125882352.0,0.0097
2021-01-19,4.34,4.35,4.19,4.19,41709219.0,185432605.0,5125882352.0,0.0081
2021-01-20,4.19,4.21,4.14,4.15,23474771.0,102596816.0,5125882352.0,0.0046
2021-01-21,4.18,4.2,4.13,4.15,34890284.0,152313037.0,5125882352.0,0.0068
2021-01-22,4.15,4.23,4.06,4.17,39391412.0,171498316.0,5125882352.0,0.0077
2021-01-25,4.17,4.17,4.05,4.06,27947024.0,119893371.0,5125882352.0,0.0055
2021-01-26,4.07,4.1,4.04,4.05,17291691.0,73784390.0,5125882352.0,0.0034
2021-01-27,4.08,4.15,4.07,4.11,19418388.0,83859791.0,5125882352.0,0.0038
2021-01-28,4.11,4.11,4.01,4.04,20023881.0,84939403.0,5125882352.0,0.0039
2021-01-29,4.05,4.05,3.91,3.97,22190636.0,92634330.0,5125882352.0,0.0043
2021-02-01,3.96,4.04,3.91,4.01,17459878.0,72923114.0,5125882352.0,0.0034
2021-02-02,4.01,4.03,3.94,3.96,14365854.0,59970560.0,5125882352.0,0.0028
2021-02-03,3.97,3.98,3.88,3.9,16045973.0,65890823.0,5125882352.0,0.0031
2021-02-04,3.89,3.93,3.81,3.81,23637430.0,95733277.0,5125882352.0,0.0046
2021-02-05,3.77,3.83,3.69,3.72,21289830.0,83915806.0,5125882352.0,0.0042
2021-02-08,3.71,3.75,3.63,3.7,15741118.0,60953416.0,5125882352.0,0.0031
2021-02-09,3.71,3.78,3.68,3.75,14899500.0,58499839.0,5125882352.0,0.0029
2021-02-10,3.75,3.77,3.72,3.76,16146930.0,63598260.0,5125882352.0,0.0032
2021-02-18,3.81,3.84,3.75,3.81,52562036.0,208683602.0,5125882352.0,0.0103
2021-02-19,3.79,3.96,3.78,3.95,40941095.0,166911089.0,5125882352.0,0.008
2021-02-22,3.98,4.07,3.95,3.97,41276122.0,173748238.0,5125882352.0,0.0081
2021-02-23,3.98,4.04,3.92,3.95,26147484.0,109037992.0,5125882352.0,0.0051
2021-02-24,3.96,3.99,3.9,3.93,23044811.0,95590537.0,5125882352.0,0.0045
2021-02-25,3.96,3.99,3.88,3.89,26972112.0,111655972.0,5125882352.0,0.0053
2021-02-26,3.84,3.86,3.82,3.84,22737182.0,91743848.0,5125882352.0,0.0044
2021-03-01,3.85,3.88,3.84,3.85,22536544.0,91268669.0,5125882352.0,0.0044
2021-03-02,3.89,4.17,3.88,4.09,71719013.0,305871410.0,5125882352.0,0.014
2021-03-03,4.09,4.18,3.99,4.14,55780381.0,239464399.0,5125882352.0,0.0109
2021-03-04,4.07,4.13,4.04,4.08,31032718.0,133042979.0,5125882352.0,0.0061
2021-03-05,4.05,4.15,4.05,4.1,29865100.0,128782020.0,5125882352.0,0.0058
2021-03-08,4.12,4.28,4.09,4.24,61264234.0,270654012.0,5125882352.0,0.012
2021-03-09,4.22,4.22,3.99,4.08,45545350.0,196555479.0,5125882352.0,0.0089
2021-03-10,4.09,4.16,3.96,4.01,28455567.0,121367864.0,5125882352.0,0.0056
2021-03-11,4.01,4.04,3.92,4.04,28312658.0,118983936.0,5125882352.0,0.0055
2021-03-12,4.05,4.24,4.0,4.18,56323177.0,245381931.0,5125882352.0,0.011
2021-03-15,4.15,4.33,4.13,4.23,56370555.0,251902159.0,5125882352.0,0.011
2021-03-16,4.26,4.47,4.23,4.46,86435325.0,400793291.0,5125882352.0,0.0169
2021-03-17,4.43,4.43,4.29,4.32,58493592.0,266889218.0,5125882352.0,0.0114
2021-03-18,4.32,4.49,4.24,4.39,65044370.0,299989742.0,5125882352.0,0.0127
2021-03-19,4.27,4.52,4.25,4.4,64005436.0,297367293.0,5125882352.0,0.0125
2021-03-22,4.43,4.57,4.38,4.52,72830982.0,343083318.0,5125882352.0,0.0142
2021-03-23,4.51,4.52,4.3,4.34,61556561.0,283151895.0,5125882352.0,0.012
2021-03-24,4.3,4.43,4.29,4.32,39525710.0,180970883.0,5125882352.0,0.0077
2021-03-25,4.29,4.32,4.19,4.2,35821047.0,159318615.0,5125882352.0,0.007
2021-03-26,4.21,4.31,4.2,4.28,28959495.0,129980083.0,5125882352.0,0.0056
2021-03-29,4.28,4.33,4.21,4.24,25257306.0,112978589.0,5125882352.0,0.0049
2021-03-30,4.22,4.23,4.12,4.16,32120522.0,140262774.0,5125882352.0,0.0063
2021-03-31,4.15,4.23,4.12,4.21,20143800.0,88740756.0,5125882352.0,0.0039
2021-04-01,4.21,4.29,4.18,4.27,28703622.0,128298164.0,5125882352.0,0.0056
2021-04-02,4.25,4.27,4.17,4.2,22580510.0,99882474.0,5125882352.0,0.0044
2021-04-06,4.2,4.23,4.17,4.18,17499855.0,77020328.0,5125882352.0,0.0034
2021-04-07,4.19,4.22,4.13,4.2,19207300.0,84116059.0,5125882352.0,0.0037
2021-04-08,4.2,4.2,4.11,4.11,23081897.0,100385867.0,5125882352.0,0.0045
2021-04-09,4.1,4.16,4.06,4.12,15695581.0,67967528.0,5125882352.0,0.0031
2021-04-12,4.11,4.12,4.04,4.07,17201100.0,73839159.0,5125882352.0,0.0034
2021-04-13,4.04,4.07,3.98,3.99,17394607.0,73379639.0,5125882352.0,0.0034
2021-04-14,3.97,4.04,3.95,4.04,11093968.0,46832364.0,5125882352.0,0.0022
2021-04-15,4.02,4.03,3.97,3.99,11952474.0,50104062.0,5125882352.0,0.0023
2021-04-16,4.0,4.06,3.99,4.05,13709265.0,58055123.0,5125882352.0,0.0027
2021-04-19,4.05,4.08,4.04,4.06,14550295.0,62172820.0,5125882352.0,0.0028
2021-04-20,4.06,4.11,4.04,4.05,16106768.0,68989819.0,5125882352.0,0.0031
2021-04-21,4.04,4.05,3.98,4.0,15793900.0,66423794.0,5125882352.0,0.0031
2021-04-22,4.01,4.04,3.96,3.98,12441900.0,52121928.0,5125882352.0,0.0024
2021-04-23,4.0,4.01,3.89,3.9,25956106.0,107155397.0,5125882352.0,0.0051
2021-04-26,3.9,3.92,3.87,3.88,14919100.0,61081866.0,5125882352.0,0.0029
2021-04-27,3.88,3.92,3.82,3.83,16697373.0,67650248.0,5125882352.0,0.0033
2021-04-28,3.83,3.88,3.82,3.86,10745996.0,43541138.0,5125882352.0,0.0021
2021-04-29,3.87,3.92,3.84,3.89,11137914.0,45499571.0,5125882352.0,0.0022
2021-04-30,3.88,3.9,3.83,3.85,11357358.0,46032737.0,5125882352.0,0.0022
