证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
中国西电,中国西电电气股份有限公司,,,0.0,305000.0,0.0,305000.0,305000.0,,0.0,,0.0,,,,,0.0,0.0,0.0,,,定期报告,2010-04-26,,601179,2009-12-31,0.0,0.0,,,0.0,,0.0,305000.0,,,,,,0.0,0.0,0.0,015019
中国西电,中国西电电气股份有限公司,,,13070.0,,45745.0,0.0,0.0,,305000.0,,0.0,,,,,84955.0,291930.0,45745.0,,,A股上市,2010-01-27,,601179,2010-01-28,0.0,0.0,,,350745.0,,0.0,435700.0,,,,,,84955.0,0.0,0.0,015001
中国西电,中国西电电气股份有限公司,,,13070.0,,0.0,0.0,0.0,,305000.0,,0.0,,,,,130700.0,291930.0,,,,配售股份上市,2010-04-26,,601179,2010-04-28,,0.0,,,305000.0,,0.0,435700.0,,,,,,130700.0,,0.0,015009
中国西电,中国西电电气股份有限公司,,0.0,13070.0,,0.0,0.0,0.0,,305000.0,,0.0,,,,,130700.0,291930.0,,,,定期报告,2010-08-18,,601179,2010-06-30,,,,,305000.0,,0.0,435700.0,,,0.0,,,130700.0,,0.0,015019
中国西电,中国西电电气股份有限公司,,,13070.0,,0.0,0.0,0.0,,305000.0,,0.0,,,,,130700.0,291930.0,,,,定期报告,2011-04-28,,601179,2010-12-31,,,,,305000.0,,0.0,435700.0,,,0.0,,,130700.0,,0.0,015019
中国西电,中国西电电气股份有限公司,,0.0,12384.0,,0.0,0.0,0.0,,289000.0,,0.0,,,,,146700.0,276616.0,,,,限售股份上市,2011-01-26,,601179,2011-01-28,,,,,289000.0,,,435700.0,,,,,,146700.0,,0.0,015027
中国西电,中国西电电气股份有限公司,,,12384.0,,0.0,0.0,0.0,,289000.0,,0.0,,,,,146700.0,276616.0,,,,定期报告,2011-08-18,,601179,2011-06-30,,,,,289000.0,,,435700.0,,,,,,146700.0,,0.0,015019
中国西电,中国西电电气股份有限公司,,,12384.0,,0.0,0.0,0.0,,289000.0,,0.0,,,,,146700.0,276616.0,,,,定期报告,2012-04-23,,601179,2011-12-31,,,,,289000.0,,,435700.0,,,,,,146700.0,,0.0,015019
中国西电,中国西电电气股份有限公司,,,12384.0,,0.0,0.0,0.0,,289000.0,,0.0,,,,,146700.0,276616.0,,,,定期报告,2012-08-24,,601179,2012-06-30,,,,,289000.0,,,435700.0,,,,,,146700.0,,0.0,015019
中国西电,中国西电电气股份有限公司,,,12384.0,,0.0,,0.0,,289000.0,,0.0,,,,,146700.0,276616.0,,,,定期报告,2013-03-30,,601179,2012-12-31,,,,,289000.0,,,435700.0,,,,,,146700.0,,0.0,015019
中国西电,中国西电电气股份有限公司,,,0.0,,0.0,0.0,0.0,,253262.0,,0.0,,,0.0,,182438.0,253262.0,,,,"限售股份上市,承诺限售",2013-01-26,,601179,2013-01-31,,0.0,,,253262.0,,0.0,435700.0,,0.0,0.0,,,182438.0,,0.0,"015027,015997"
中国西电,中国西电电气股份有限公司,,,,,,,,,,,,,,,,435700.0,,,,,定期报告,2013-08-27,,601179,2013-06-30,,,,,,,,435700.0,,,,,,435700.0,,,015019
中国西电,中国西电电气股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,76888.2352,0.0,76888.2352,,,0.0,,435700.0,,,,,增发新股上市,2013-08-28,,601179,2013-08-26,,0.0,,,76888.2352,,,512588.2352,,,,76888.2352,,435700.0,0.0,0.0,015004
中国西电,中国西电电气股份有限公司,,0.0,0.0,,0.0,,0.0,,76888.2352,0.0,76888.2352,,,0.0,,435700.0,,,,,定期报告,2014-03-31,,601179,2013-12-31,,0.0,,,76888.2352,,,512588.2352,,,,76888.2352,,435700.0,0.0,0.0,015019
中国西电,中国西电电气股份有限公司,,0.0,0.0,,0.0,,0.0,,76888.2352,0.0,76888.2352,,,0.0,,435700.0,,,,,定期报告,2014-08-23,,601179,2014-06-30,,0.0,,,76888.2352,,,512588.2352,,,,76888.2352,,435700.0,0.0,0.0,015019
中国西电,中国西电电气股份有限公司,,0.0,0.0,,0.0,,0.0,,76888.2352,0.0,76888.2352,,,0.0,,435700.0,,,,,定期报告,2015-04-02,,601179,2014-12-31,,0.0,,,76888.2352,,,512588.2352,,,,76888.2352,,435700.0,0.0,0.0,015019
中国西电,中国西电电气股份有限公司,,0.0,0.0,,0.0,,0.0,,76888.2352,0.0,76888.2352,,,0.0,,435700.0,,,,,定期报告,2015-08-28,,601179,2015-06-30,,0.0,,,76888.2352,,,512588.2352,,,,76888.2352,,435700.0,0.0,0.0,015019
