SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
601186.SH,601186,中国铁建,10124805,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,725724211000,1462539000.0,,,,,,,,,,,1233027000,18917066000,,0.0,747336843000,737363822000,-368967000.0,-110765000.0,,,,55444207000,20764310000,14000857000,,0.0,827093464000,,0.0,-79756621000,3275778000.0,1960582000,1504889000,,,588202000.0,,0.0,7329451000,29874454000,16709790000,,,,4303946000.0,,0.0,50888190000,,0.0,-43558739000,14010384000.0,4016837000.0,413314061000,,896696000.0,,0.0,428221141000,273597505000,20817046000,2502454000.0,,23907262000.0,,,0.0,318321813000,,0.0,109899328000,189686000,,0.0,-13226346000,167371620000.0,,0.0,154145274000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8843665185,-13.3516637814,,,,,,,,,,,-27.0401246859,74.7982578079,,,-3.8413700147,-3.7415553319,-569.1729610132,-137.5882313018,,,,-4.1695807689,-8.769247242,-27.0578343348,,,-4.5157875936,,,10.4039416656,-75.6288966835,79.5564257997,40.9301702712,,,-75.3816727598,,,-59.2587641352,17.8106682694,-34.8876685163,,,,17.0409267669,,,-6.9657506974,,,-18.6625111065,26.5022657822,65.2214312039,11.4499896767,,-22.5985325852,,,11.7821919743,19.2309251931,3.8014938068,-24.2868384961,,42.4015995598,,,,19.5297158054,,,-5.8867028428,117.9651732152,,,-32.1509862956,9.6528155019,,,8.0740848796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601186.SH,601186,中国铁建,10124805,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,478085920000,,,,,,,,,,,,768347000,12606614000,-793600000.0,0.0,490667281000,503390323000,585723000.0,,,,,39490957000,14788206000,11990156000,-120826000.0,0.0,570124539000,,0.0,-79457258000,2156294000.0,1796475000,1099487000,,,245033000.0,,0.0,5297289000,20460602000,9508017000,,,,1316584000.0,,0.0,31285203000,,0.0,-25987914000,13612442000.0,3615442000.0,289615755000,9423284000.0,896696000.0,,0.0,313548177000,188125702000,10663526000,1739660000.0,,13278360000.0,,,0.0,212067588000,,0.0,101480589000,264465000,,0.0,-3700118000,167371620000.0,,0.0,163671502000.0,12561951000.0,756672000.0,10445352000.0,10171396000.0,273956000.0,1058618000.0,131086000.0,,,,-14391000.0,,193134000.0,5650458000.0,103937000.0,-441716000.0,-563632000.0,121916000.0,,-6981284000.0,-13083744000.0,-38125019000.0,,-54760505000.0,0.0,-79457258000.0,,,,1438951000.0,161261319000.0,161550931000.0,2410183000.0,5820689000.0,,,-3700118000.0,-3.6241493515,,,,,,,,,,,,-17.6904824395,25.5748409921,-887.5928668318,,-3.2130960534,-3.1641519619,1141.4646036456,,,,,-5.5421699023,3.2334200208,-5.0675381443,-624.376498801,,-3.144239443,,,2.7168535571,-79.4731174484,137.1280509295,52.6274582751,,,-87.4154121437,,,-61.9715085439,13.9225457499,-39.9703198336,,,,18.694578172,,,-10.3785877802,,,-23.879455186,205.7049445698,148.551975042,20.4825390174,82.0924444444,-22.5985325852,,,24.8369508662,42.5747243184,1.9025002771,-25.1179407713,,-1.062362328,,,,36.0853749302,,,6.4497294333,148.0256921518,,,53.004880097,9.6528155019,,,13.0606269079,-16.0199603456,35.5622719121,12.9631590291,12.238979496,48.548437822,26.8442487907,-6.0490517896,,,,90.076883296,,-30.5870133231,52.7043092366,-37.5468682402,-19.5717553429,-70.5169977885,413.634492694,,-6.8617253892,77.7460952597,-1.8978760618,,-392.4553673723,,2.7168535571,,,,-9.3525637593,14.3665145471,7.0816970244,-35.9062749641,228.7059610151,,,53.004880097,,,,,1399120000.0,25.6797713345
601186.SH,601186,中国铁建,10124805,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-30 00:00:00,2025-04-30 00:00:00,CNY,275509314000,-852322000.0,,,,,,,,,,,517422000,2873059000,,0.0,278047473000,282760385000,,-473395000.0,,,,21989279000,8828528000,3889206000,,0.0,316994003000,,0.0,-38946530000,2678917000.0,70296000,124801000,,,43351000.0,,0.0,2917365000,5876602000,7646406000,,,,,,0.0,13523008000,,0.0,-10605643000,1949230000.0,150551000.0,116681774000,,,,0.0,118631004000,82274414000,5057715000,652533000.0,,3485171000.0,,,0.0,90817300000,,0.0,27813704000,-186035000,,0.0,-21924504000,167371620000.0,,0.0,145447116000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3409312283,-491.0272055787,,,,,,,,,,,35.3384756629,-4.8778485155,,,-4.6582299949,-6.7280902501,,-375.0825140041,,,,-3.6212130748,-0.900307496,22.5749009903,,,-6.2775389222,,,16.412831634,4.7266448242,-12.4779003461,29.5704897268,,,-56.4153864715,,,-13.5156599483,-32.8624973781,-7.7731213812,,,,,,,-20.6580118258,,,22.4204138761,494.5275756263,-54.0809852926,8.653412468,,,,,10.1322870394,53.3684576166,5.1014697787,4.6396728672,,-39.5260217952,,,,41.4153613321,,,-36.0554158575,52.1066533483,,,-27.7917385275,9.6528155019,,,7.3558260538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601186.SH,601186,中国铁建,10124805,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-29 00:00:00,2025-03-29 00:00:00,CNY,1072608268000,694607000.0,,,,,,,,,,,2210408000,15788944000,,0.0,1091302227000,987757916000,-556585000.0,784670000.0,,,,80858786000,29333856000,24547416000,,0.0,1122726059000,,0.0,-31423832000,15557754000.0,1328498000,2759801000,,,681737000.0,,0.0,20327790000,37948731000,24843108000,,1492928000.0,,1568097000.0,2514462000.0,0.0,68367326000,,0.0,-48039536000,18547638000.0,2058483000.0,465287674000,18274797000.0,1985696000.0,,0.0,504095805000,350494642000,26228244000,3905775000.0,,32614658000.0,,,0.0,409337544000,,0.0,94758261000,-561050000,,0.0,14733843000,152637777000.0,,0.0,167371620000.0,27078377000.0,3038039000.0,18929070000.0,18564870000.0,364200000.0,2020276000.0,415358000.0,,,,-208399000.0,,1466842000.0,8243094000.0,-203774000.0,-936287000.0,-933866000.0,-2421000.0,,19555516000.0,-137710729000.0,32081885000.0,,-13927832000.0,0.0,-31423832000.0,,,,,161550931000.0,150866988000.0,5820689000.0,1770789000.0,,,14733843000.0,-7.1169249318,138.335581419,,,,,,,,,,,-8.3885663509,-37.1498241809,,,-7.5572277957,-4.2442124556,-322.634,341.8886967351,,,,0.5980373135,-5.1663207077,41.6445036522,,,-3.2219894735,,,-253.9474725907,87.9771727003,-52.6270033263,-28.4291954213,,,-64.1861713696,,,19.9108445874,8.6713751343,-33.0558679134,,,,88.7615576199,,,-6.1681966753,,,14.0757190178,22.9506586222,-73.9202534691,59.1569441648,24.8704953878,35.3617527463,,,55.809905314,43.2153123462,12.7262245099,4.3586542783,,198.0901012027,,,,46.7469591803,,,112.5029442267,42.2857536696,,,81.4002217356,5.6203559131,,,9.6528155019,-16.2405147446,-12.225516853,8.2404723977,8.1829100573,11.2580839293,26.5845817233,-7.3130564791,,,,65.4306345101,,127.9248062353,40.9639512277,84.553495085,48.5509101939,55.3484587031,-100.8913154727,,309.3765230388,-197.8611687062,-32.5603957329,,63.6913448669,,-253.9474725907,,,,,7.0816970244,7.169605022,228.7059610151,-52.6710120443,,,81.4002217356,标准无保留意见,,,,2676504000.0,20.4551591545
601186.SH,601186,中国铁建,10124805,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-31 00:00:00,CNY,762991513000,1687902000.0,,,,,,,,,,,1690007000,10822228000,,0.0,777191650000,766025074000,78642000.0,294680000.0,,,,57856584000,22760209000,19194463000,,0.0,866209652000,,0.0,-89018002000,13441238000.0,1091903000,1067826000,,,2389285000.0,,0.0,17990252000,25358021000,25663019000,,,,3677300000.0,,0.0,54698340000,,0.0,-36708088000,11075204000.0,2431184000.0,370851592000,,1158500000.0,,0.0,383085296000,229468575000,20054669000,3305177000.0,,16788619000.0,,,0.0,266311863000,,0.0,116773433000,-1055854000,,0.0,-10008511000,152637777000.0,,0.0,142629266000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0778010796,-7.8074374442,,,,,,,,,,,-1.7919695219,-12.1609049752,,,-9.1048428052,-5.0826756734,-81.4862421606,-6.006787619,,,,5.1794521754,-5.5481448141,69.3085358852,,,-3.5642305534,,,-106.1433438405,-9.9666029636,45.0249499606,-8.679355007,,,492.7717269953,,,4.2643522739,21.7567480037,-25.8451045438,,,,118.0024377288,,,-4.2411448513,,,7.9223788618,10.32346643,-33.5789079407,66.5872606379,,,,,64.657484994,75.2025028482,14.6097267232,2.3288552538,,164.9526131385,,,,72.027163578,,,50.0021586984,-0.8542273412,,-100.0,-60.1846414651,5.6203559131,,100.0,3.154673168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601186.SH,601186,中国铁建,10124805,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-31 00:00:00,2025-08-30 00:00:00,CNY,496064021000,,,,,,,,,,,,933485000,10039124000,-80357000.0,0.0,506956273000,519838813000,47180000.0,,,,,41808029000,14325018000,12630196000,-16680000.0,0.0,588632556000,,0.0,-81676283000,10504732000.0,757597000,720373000,,,1947088000.0,384485000.0,0.0,13929790000,17960099000,15838860000,,,,1109220000.0,,0.0,34908179000,,0.0,-20978389000,4452804000.0,1454602000.0,240379857000,5175000000.0,1158500000.0,,0.0,251166161000,131948845000,10464440000,2323200000.0,,13420939000.0,,,0.0,155834224000,,0.0,95331937000,-550674000,,0.0,-7873409000,152637777000.0,,0.0,144764368000.0,14958258000.0,558173000.0,9246689000.0,9062267000.0,184422000.0,834581000.0,139526000.0,,,,-145025000.0,,278239000.0,3700261000.0,166424000.0,-369415000.0,-330543000.0,-38872000.0,,-6533007000.0,-58793026000.0,-37414930000.0,,-11119892000.0,0.0,-81676283000.0,,,,1587415000.0,141003964000.0,150866988000.0,3760404000.0,1770789000.0,,,-7873409000.0,-8.2065886518,,,,,,,,,,,,-14.4060546655,-9.8540783724,95.3440523785,,-7.9791812076,3.2822058888,-81.128,,,,,4.450012654,-9.8431575008,20.2334529969,-103.2180209171,,3.2221954754,,,-322.2529086397,77.2908657011,7.72276918,-6.1425269505,,,1745.581042654,129.098763593,,81.6313084419,19.8301930123,-18.967705232,,,,-25.3144050644,,,-3.0858589145,,,26.0032749416,11.4317546181,-2.8669112909,62.4320736815,-56.512605042,181.1913678983,,,52.8742580118,41.6256938713,17.032893539,11.6052234242,,973.0415962416,,,,50.7691392887,,,56.4449308458,-10.2174630973,,,-161.7842728939,5.6203559131,,,-7.9451863573,-9.2975942023,-12.270055325,11.9145499376,11.898074748,12.7301401012,5.3114999849,22.6958150496,,,,-875.8764551511,,2123.0664749121,62.1634141318,126.3540112812,5.4479140005,47.4695704825,-116.2957311322,,58.3858213071,-81.9621442276,-265.0812687584,,53.5615077956,,-322.2529086397,,,,,-9.4599551163,7.169605022,147.0204065545,-52.6710120443,,,-161.7842728939,,,,,1113242000.0,3.1173003034
601186.SH,601186,中国铁建,10124805,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-30 00:00:00,CNY,288011704000,217970000.0,,,,,,,,,,,382317000,3020389000,,0.0,291632380000,303157066000,,172092000.0,,,,22815476000,8908734000,3172922000,,0.0,338226290000,,0.0,-46593910000,2558009000.0,80318000,96319000,539177000.0,,99464000.0,,0.0,3373287000,8753084000,8290865000,,,,,,0.0,17043949000,,0.0,-13670662000,327862000.0,327862000.0,107388964000,,,,0.0,107716826000,53644938000,4812221000,623600000.0,,5763092000.0,,,0.0,64220251000,,0.0,43496575000,-388436000,,0.0,-17156433000,152637777000.0,,0.0,135481344000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.66114667,113.9083948716,,,,,,,,,,,5.1578122206,5.5207494502,,,0.0154588349,1.587725355,,142.5540543214,,,,9.3023536572,4.5390966069,-6.4770301586,,,2.2440541285,,,-18.8147621902,-4.855407136,21.982261102,0.337517579,,,4.6526798678,,,14.5261303103,-7.0496626985,-5.0191837795,,,,,,,-6.0729135163,,,10.0644281184,-3.4828506917,-3.4828506917,19.6748699182,,,,,19.5875356318,60.3478510703,13.6513519922,-7.9877710495,,362.1098429509,,,,64.9351226045,,,-14.9410047909,-112.5877034556,,,-395.5835366197,5.6203559131,,,-3.950471263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601186.SH,601186,中国铁建,10124805,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-29 00:00:00,2025-03-29 00:00:00,CNY,1154794097000,-1811912000.0,,,,,,,,-1811912000.0,,,2412808000,25121559000,,0.0,1180516552000,1031538606000,250000000.0,-324393000.0,,,,80378095000,30931897000,17330299000,-324393000.0,0.0,1160104504000,,0.0,20412048000,8276406000.0,2804336000,3856043000,16483000.0,,1903558000.0,95594000.0,0.0,16952420000,34920632000,37110210000,,,,830729000.0,,0.0,72861571000,,0.0,-55909151000,15085432000.0,7893033000.0,292345192000,14635000000.0,1466955000.0,,0.0,323532579000,244732659000,23267207000,3742646000.0,,10941208000.0,,,0.0,278941074000,,0.0,44591505000,-972117000,,0.0,8122285000,144515492000.0,,0.0,152637777000.0,32328729000.0,3461187000.0,17487978000.0,17160631000.0,327347000.0,1595989000.0,448130000.0,,,,-602843000.0,,643564000.0,5847661000.0,-1319224000.0,-1819832000.0,-2091453000.0,271621000.0,,-9339880000.0,-46233193000.0,47571283000.0,,-38359537000.0,0.0,20412048000.0,,,,,150866988000.0,140774045000.0,1770789000.0,3741447000.0,,,8122285000.0,0.7233086972,-214.6726039413,,,,,,,,-214.6726039413,,,-60.8123612163,-0.9730606283,,,0.0771148422,3.650729235,115.873015873,-187.4303964639,,,,2.6334925258,2.5273921608,-17.4139833584,-187.4303964639,,3.2606560462,,,-63.6375426134,6.9682603156,113.7610888618,56.1365304793,-99.4349864171,,-51.4363409399,-97.3003709399,,-22.5804265406,15.400835167,-21.5133867668,,,,,,,-6.0366101123,,,-0.4734508128,-56.8674514841,-62.1392214584,24.2586414561,9.9358908871,16.2149829237,,,13.5916706528,16.8935857313,6.7747903048,0.8612147232,,-44.6628788695,,,,11.1644691955,,,31.5607824968,-349.1636592918,,,-76.6424018245,31.6867516945,,,5.6203559131,1.6809276131,13.4475439163,3.6891025865,3.4711235435,16.5620382075,5.0735190523,63.6651826638,,,,-1001.1233287061,,39.1155852325,35.4761726041,-1.2113377345,-47.9303687627,-52.0885282023,87.37651766,,56.6475198489,-1065.4115473898,-39.2396027964,,35.3841918549,,-63.6375426134,,,,,7.169605022,37.4456259853,-52.6710120443,-48.8889769249,,,-76.6424018245,标准无保留意见,,,,2221992000.0,4.0120620723
601186.SH,601186,中国铁建,10124805,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-31 00:00:00,2024-10-31 00:00:00,CNY,839169666000,1830844000.0,,,,,,,,,,,1720844000,12320514000,,0.0,855041868000,807044530000,424776000.0,313512000.0,,,,55007497000,24097154000,11336973000,,0.0,898224442000,,0.0,-43182574000,14929169000.0,752907000,1169315000,,,403070000.0,,0.0,17254461000,20826789000,34607316000,,,,1686816000.0,,0.0,57120921000,,0.0,-39866460000,10038847000.0,3660259000.0,222617018000,,,,0.0,232655865000,130973343000,17498226000,3229956000.0,,6336461000.0,,,0.0,154808030000,,0.0,77847835000,-1046911000,,1000.0,-6248109000,144515492000.0,,-1000.0,138267382000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6011089176,-31.7372686242,,,,,,,,,,,-64.5236471018,6.7742025223,,,3.129708059,8.3154445103,176.386471206,-75.9663864258,,,,4.8013310927,9.9737629115,13.07073705,,,8.1857693558,,,-3598.6581814444,-11.4038914906,43.2602292447,59.4034274092,,,10.1964601092,,,-6.6099792371,-16.6741056729,-6.6896999117,,,,-15.0631556951,,,-10.8443517163,,,12.5602487501,-27.0065807053,-50.2704836125,7.3675249448,,,,,5.2292960473,10.3992122264,1.9454325739,11.6866258803,,2.3611791163,,,,9.0268615012,,,-1.5873336329,-215.001060033,,,-118.789475479,31.6867516945,,,-3.306209117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601186.SH,601186,中国铁建,10124805,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-31 00:00:00,2024-08-31 00:00:00,CNY,540413537000,-1725900000.0,,,,,,,,,,,1090597000,11136526000,-1725900000.0,0.0,550914760000,503318852000,250000000.0,268331000.0,,,,40026830000,15888997000,10504727000,518331000.0,0.0,570257737000,,0.0,-19342977000,5925140000.0,703284000,767518000,,,105500000.0,167825000.0,0.0,7669267000,14987958000,19546355000,,197000.0,,1485186000.0,,0.0,36019696000,,0.0,-28350429000,3995992000.0,1497535000.0,147987926000,11900000000.0,411997000.0,,0.0,164295915000,93167307000,8941452000,2081623000.0,,1250738000.0,,,0.0,103359497000,,0.0,60936418000,-499625000,,0.0,12743387000,144515492000.0,,0.0,157258879000.0,16491578000.0,636240000.0,8262276000.0,8098680000.0,163596000.0,792488000.0,113717000.0,,,,-14861000.0,,12516000.0,2281810000.0,-631494000.0,-390700000.0,-629241000.0,238541000.0,,-15698993000.0,-32310581000.0,22664552000.0,,-23945420000.0,0.0,-19342977000.0,,,,,155736574000.0,140774045000.0,1522305000.0,3741447000.0,,,12743387000.0,3.4338163924,-435.484911854,,,,,,,,,,,-72.8791207698,13.9712700759,,,2.7935234128,2.0670082469,141.6666666667,-63.1376497918,,,,5.9612265029,2.9676782265,15.5942004426,60.8195317493,,2.647890847,,,1.3334008693,-38.2450158912,75.5922910409,12.1948153324,,,-50.6522786486,-94.4514186284,,-44.8953684334,-0.2539909995,-46.7587259654,,,,145.3640267042,,,-31.1868545227,,,26.2217935026,-53.4444098811,-73.1867216945,-1.3682085413,8.8676945546,,,,-3.101564836,23.2280358988,4.3671492961,2.2661307121,,9.7515987954,,,,21.1539579149,,,-27.6652483284,-335.1785167926,,,-51.7729697957,31.6867516945,,,15.4908972791,3.5657627394,-27.2920090234,2.4853669876,2.2098209863,18.2692933309,15.4093051162,5.9547546727,,,,-62.0080671536,,-74.0380426891,23.1465095959,-49.8092671494,-10.2274234093,-32.6080267728,98.6798597403,,11.7440356644,27.2956808538,-37.3670591972,,-4.2920034284,,1.3334008693,,,,,15.7906182093,37.4456259853,-8.6890567586,-48.8889769249,,,-51.7729697957,,,,,1079588000.0,-1.4196423272
