证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
中国铁建,中国铁建股份有限公司,,,800000.0,,0.0,0.0,0.0,,800000.0,,0.0,,,,,0.0,0.0,,,,定期报告,2008-04-28,,601186,2007-12-31,,,,,800000.0,,,800000.0,,,,,,0.0,,0.0,015019
中国铁建,中国铁建股份有限公司,,0.0,800000.0,,49000.0,0.0,0.0,,800000.0,,0.0,,,0.0,,196000.0,0.0,49000.0,,,A股上市,2008-03-07,,601186,2008-03-10,,0.0,,,849000.0,,,1045000.0,,,,,,196000.0,,0.0,015001
中国铁建,中国铁建股份有限公司,,0.0,782940.0,,49000.0,0.0,0.0,,782940.0,0.0,0.0,,187660.0,,,196000.0,0.0,49000.0,,,H股上市,2008-03-12,,601186,2008-03-13,,0.0,,,831940.0,,0.0,1215600.0,,,0.0,,,383660.0,,0.0,015003
中国铁建,中国铁建股份有限公司,,0.0,781124.55,,49000.0,0.0,0.0,,781124.55,0.0,0.0,,207629.6,0.0,,196000.0,0.0,49000.0,,,超额配售,2008-04-01,,601186,2008-04-08,,0.0,,,830124.55,,0.0,1233754.15,,,,,,403629.6,,0.0,015029
中国铁建,中国铁建股份有限公司,,,781124.55,,0.0,0.0,0.0,,781124.55,0.0,0.0,,207629.6,,,245000.0,0.0,,,,配售股份上市,2008-06-04,,601186,2008-06-10,,0.0,,,781124.55,,,1233754.15,,,,,,452629.6,,0.0,015009
中国铁建,中国铁建股份有限公司,,,781124.55,,0.0,0.0,0.0,,781124.55,0.0,0.0,,207629.6,,,245000.0,0.0,,,,定期报告,2008-08-26,,601186,2008-06-30,,,,,781124.55,,0.0,1233754.15,,,,,,452629.6,,0.0,015019
中国铁建,中国铁建股份有限公司,,,781124.55,,0.0,0.0,0.0,0.0,781124.55,0.0,0.0,,207629.6,,,245000.0,0.0,,,,定期报告,2009-04-29,,601186,2008-12-31,,,,,781124.55,,0.0,1233754.15,,,,,,452629.6,,0.0,015019
中国铁建,中国铁建股份有限公司,,,781124.55,,0.0,0.0,0.0,0.0,781124.55,0.0,0.0,,207629.6,,,245000.0,0.0,,,,定期报告,2009-08-28,,601186,2009-06-30,,0.0,,,781124.55,,0.0,1233754.15,,,,,,452629.6,,0.0,015019
中国铁建,中国铁建股份有限公司,,,756624.55,,0.0,0.0,0.0,0.0,781124.55,0.0,0.0,,207629.6,0.0,,245000.0,24500.0,,,,定期报告,2010-04-27,,601186,2009-12-31,,0.0,,,781124.55,,0.0,1233754.15,,,,,,452629.6,,0.0,015019
中国铁建,中国铁建股份有限公司,,,756624.55,,0.0,0.0,0.0,0.0,781124.55,0.0,0.0,,207629.6,0.0,,245000.0,24500.0,,,,定期报告,2010-08-31,,601186,2010-06-30,,0.0,,,781124.55,,0.0,1233754.15,,,,,,452629.6,,0.0,015019
中国铁建,中国铁建股份有限公司,,,756624.55,,0.0,,0.0,0.0,781124.55,0.0,0.0,,207629.6,0.0,,245000.0,24500.0,,,,定期报告,2011-03-31,,601186,2010-12-31,,0.0,,,781124.55,,0.0,1233754.15,,,,,,452629.6,,0.0,015019
中国铁建,中国铁建股份有限公司,,,24500.0,,0.0,0.0,0.0,,24500.0,,0.0,,207629.6,,,1001624.55,,,,,限售股份上市,2011-03-03,,601186,2011-03-10,,,,,24500.0,,,1233754.15,,,0.0,,,1209254.15,,0.0,015027
中国铁建,中国铁建股份有限公司,,,24500.0,,0.0,0.0,0.0,,24500.0,,0.0,,207629.6,,,1001624.55,,,,,定期报告,2011-08-31,,601186,2011-06-30,,,,,24500.0,,,1233754.15,,,0.0,,,1209254.15,,0.0,015019
中国铁建,中国铁建股份有限公司,,,24500.0,,0.0,,0.0,,24500.0,,0.0,,207629.6,,,1001624.55,,,,,定期报告,2012-03-30,,601186,2011-12-31,,,,,24500.0,,,1233754.15,,,0.0,,,1209254.15,,0.0,015019
中国铁建,中国铁建股份有限公司,,,24500.0,,0.0,,0.0,,24500.0,,0.0,,207629.6,,,1001624.55,,,,,定期报告,2012-08-31,,601186,2012-06-30,,,,,24500.0,,,1233754.15,,,0.0,,,1209254.15,,0.0,015019
中国铁建,中国铁建股份有限公司,,,24500.0,,0.0,,0.0,,24500.0,,0.0,,207629.6,,,1001624.55,,,,,定期报告,2013-03-29,,601186,2012-12-31,,,,,24500.0,,,1233754.15,,,0.0,,,1209254.15,,0.0,015019
中国铁建,中国铁建股份有限公司,,,24500.0,,0.0,,0.0,,24500.0,,0.0,,207629.6,,,1001624.55,,,,,定期报告,2013-08-31,,601186,2013-06-30,,,,,24500.0,,,1233754.15,,,0.0,,,1209254.15,,0.0,015019
中国铁建,中国铁建股份有限公司,,,24500.0,,0.0,,0.0,,24500.0,,0.0,,207629.6,,,1001624.55,,,,,定期报告,2014-03-29,,601186,2013-12-31,,,,,24500.0,,,1233754.15,,,0.0,,,1209254.15,,0.0,015019
中国铁建,中国铁建股份有限公司,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,207629.6,0.0,,1026124.55,,,,,限售股份上市,2014-03-01,,601186,2014-03-10,,0.0,,,0.0,,,1233754.15,,,0.0,,,1233754.15,,0.0,015027
中国铁建,中国铁建股份有限公司,,,0.0,,0.0,,0.0,,0.0,,0.0,,207629.6,0.0,,1026124.55,,,,,定期报告,2014-08-30,,601186,2014-06-30,,0.0,,,0.0,,,1233754.15,,,0.0,,,1233754.15,,0.0,015019
中国铁建,中国铁建股份有限公司,,,0.0,,0.0,,0.0,,0.0,,0.0,,207629.6,0.0,,1026124.55,,,,,定期报告,2015-03-31,,601186,2014-12-31,,0.0,,,0.0,,,1233754.15,,,0.0,,,1233754.15,,0.0,015019
中国铁建,中国铁建股份有限公司,,,0.0,,0.0,,0.0,,0.0,,0.0,,207629.6,0.0,,1026124.55,,,,,定期报告,2015-08-31,,601186,2015-06-30,,0.0,,,0.0,,,1233754.15,,,0.0,,,1233754.15,,0.0,015019
中国铁建,中国铁建股份有限公司,,,0.0,,0.0,0.0,0.0,,124200.0,,0.0,,207629.6,124200.0,,1026124.55,,,,,增发新股上市,2015-07-18,,601186,2015-07-16,,0.0,,,124200.0,,,1357954.15,,,0.0,,,1233754.15,,124200.0,015004
中国铁建,中国铁建股份有限公司,,,0.0,,0.0,,0.0,,124200.0,,0.0,,207629.6,124200.0,,1026124.55,,,,,定期报告,2016-03-31,,601186,2015-12-31,,0.0,,,124200.0,,,1357954.15,,,0.0,,,1233754.15,,124200.0,015019
中国铁建,中国铁建股份有限公司,,,,,,,,,124200.0,,,,207629.6,124200.0,,1026124.55,,,,,定期报告,2016-08-31,,601186,2016-06-30,,,,,124200.0,,,1357954.15,,,,,,1233754.15,,124200.0,015019
中国铁建,中国铁建股份有限公司,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,207629.6,0.0,,1150324.55,,,,,限售股份上市,2016-07-11,,601186,2016-07-18,,0.0,,,0.0,,0.0,1357954.15,,,0.0,,,1357954.15,,0.0,015027
中国铁建,中国铁建股份有限公司,,,0.0,,0.0,,0.0,,0.0,,0.0,,207629.6,0.0,,1150324.55,,,,,定期报告,2017-03-31,,601186,2016-12-31,,0.0,,,0.0,,0.0,1357954.15,,,0.0,,,1357954.15,,0.0,015019
中国铁建,中国铁建股份有限公司,,,0.0,,0.0,,0.0,,0.0,,0.0,,207629.6,0.0,,1150324.55,,,,,定期报告,2017-08-30,,601186,2017-06-30,,0.0,,,0.0,,0.0,1357954.15,,,0.0,,,1357954.15,,0.0,015019
中国铁建,中国铁建股份有限公司,,,0.0,,0.0,,0.0,,0.0,,0.0,,207629.6,0.0,,1150324.55,,,,,定期报告,2018-03-30,,601186,2017-12-31,,0.0,,,0.0,,0.0,1357954.15,,,0.0,,,1357954.15,,0.0,015019
中国铁建,中国铁建股份有限公司,,,0.0,,0.0,,0.0,,0.0,,0.0,,207629.6,0.0,,1150324.55,,,,,定期报告,2018-08-31,,601186,2018-06-30,,0.0,,,0.0,,0.0,1357954.15,,,0.0,,,1357954.15,,0.0,015019
中国铁建,中国铁建股份有限公司,,,0.0,,0.0,,0.0,,0.0,,0.0,,207629.6,0.0,,1150324.55,,,,,定期报告,2019-03-30,,601186,2018-12-31,,0.0,,,0.0,,0.0,1357954.15,,,0.0,,,1357954.15,,0.0,015019
中国铁建,中国铁建股份有限公司,,,0.0,,0.0,,0.0,,0.0,,0.0,,207629.6,0.0,,1150324.55,,,,,定期报告,2019-08-31,,601186,2019-06-30,,0.0,,,0.0,,0.0,1357954.15,,,0.0,,,1357954.15,,0.0,015019
