证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
中微公司,中微半导体设备(上海)股份有限公司,7626.5514,,,21609.8913,,48137.6013,48137.6013,,,,,,,,1743.5272,,,,,,定期报告,2019-08-22,17157.6314,688012,2019-06-30,,,,,0.0,,,48137.6013,,,,,,0.0,,,015019
中微公司,中微半导体设备(上海)股份有限公司,,,,,0.0,0.0,0.0,1743.5272,48643.5664,,9370.0786,,,17663.5965,,4842.6573,21609.8913,,,,A股上市,2019-07-19,,688012,2019-07-22,,,,,48643.5664,,,53486.2237,,,,7626.5514,,4842.6573,,17663.5965,015001
中微公司,中微半导体设备(上海)股份有限公司,,,,,,,,1743.5272,48643.5664,,9370.0786,,,17456.7713,,4842.6573,21816.7165,,,,定期报告,2020-04-17,,688012,2019-12-31,,,,,48643.5664,,,53486.2237,,,,7626.5514,,4842.6573,,17456.7713,015019
中微公司,中微半导体设备(上海)股份有限公司,,,,,0.0,0.0,0.0,1743.5272,48344.4265,,9370.0786,,,17364.4566,,5141.7972,21609.8913,,,,限售股份上市,2020-01-14,,688012,2020-01-22,,,,,48344.4265,,,53486.2237,,,,7626.5514,,5141.7972,,17364.4566,015027
中微公司,中微半导体设备(上海)股份有限公司,,,,,,,,1743.5272,48344.4265,,9370.0786,,,17157.6314,,5141.7972,21816.7165,,,,定期报告,2020-08-29,,688012,2020-06-30,,,,,48344.4265,,,53486.2237,,,,7626.5514,,5141.7972,,17157.6314,015019
中微公司,中微半导体设备(上海)股份有限公司,,,,,,,,1743.5272,28945.9702,,6481.9135,,,3491.9147,,24540.2535,18972.142,,,,限售股份上市,2020-07-13,,688012,2020-07-22,,,,,28945.9702,,,53486.2237,,,,4738.3863,,24540.2535,,3491.9147,015027
中微公司,中微半导体设备(上海)股份有限公司,,,,,,,,1743.5272,28945.9702,,6481.9135,,,2616.4585,,24540.2535,19847.5982,,,,定期报告,2021-03-31,,688012,2020-12-31,,,,,28945.9702,,,53486.2237,,,,4738.3863,,24540.2535,,2616.4585,015019
中微公司,中微半导体设备(上海)股份有限公司,,,,,,,,1743.5272,36968.9037,,7740.1007,,,6790.5313,,24540.2535,22438.2717,,,,"增发新股上市,定期报告,期权行权",2021-08-25,,688012,2021-06-30,,,,,36968.9037,,,61509.1572,,,,5996.5735,,24540.2535,,6790.5313,"015004,015019,015992"
中微公司,中微半导体设备(上海)股份有限公司,,,,,,,,1743.5272,36762.0785,,7740.1007,,,8934.8645,,24747.0787,20087.1133,,,,限售股份上市,2021-07-15,,688012,2021-07-22,,,,,36762.0785,,,61509.1572,,,,5996.5735,,24747.0787,,8934.8645,015027
中微公司,中微半导体设备(上海)股份有限公司,,,,,0.0,0.0,0.0,1743.5272,36762.0785,,7740.1007,,,8934.8645,,24862.3695,20087.1133,,,,"增发新股上市,股权激励",2021-08-19,,688012,2021-08-24,,,,,36762.0785,,,61624.448,,,,5996.5735,,24862.3695,,8934.8645,"015004,015025"
中微公司,中微半导体设备(上海)股份有限公司,,,,,,,,1743.5272,36762.0785,,7740.1007,,,6583.7061,,24862.3695,22438.2717,,,,定期报告,2022-03-31,,688012,2021-12-31,,,,,36762.0785,,,61624.448,,,,5996.5735,,24862.3695,,6583.7061,015019
中微公司,中微半导体设备(上海)股份有限公司,,,,,,,,1743.5272,28739.145,,6745.8688,,,1906.1629,,32885.303,20087.1133,,,,限售股份上市,2021-12-28,,688012,2022-01-04,,,,,28739.145,,,61624.448,,,,5002.3416,,32885.303,,1906.1629,015027
中微公司,中微半导体设备(上海)股份有限公司,,,,,,,,1743.5272,28739.145,,6745.8688,,,1906.1629,,32885.303,20087.1133,,,,定期报告,2022-08-11,,688012,2022-06-30,,,,,28739.145,,,61624.448,,,,5002.3416,,32885.303,,1906.1629,015019
中微公司,中微半导体设备(上海)股份有限公司,,,,,,,,822.6678,822.6678,,822.6678,,,,,60801.7802,,,,,限售股份上市,2022-07-16,,688012,2022-07-22,,,,,822.6678,,,61624.448,,,,,,60801.7802,,,015027
中微公司,中微半导体设备(上海)股份有限公司,,,,,,,,,,,,,,,,61624.448,,,,,定期报告,2023-03-31,,688012,2022-12-31,,,,,,,,61624.448,,,,,,61624.448,,,015019
中微公司,中微半导体设备(上海)股份有限公司,,,,,,0.0,0.0,,0.0,,0.0,,,,,61705.3267,,,,,"增发新股上市,股权激励",2023-04-11,,688012,2023-04-13,,,,,0.0,,,61705.3267,,,,,,61705.3267,,0.0,"015004,015025"
中微公司,中微半导体设备(上海)股份有限公司,,,,,,0.0,0.0,,0.0,,0.0,,,,,61769.4085,,,,,"增发新股上市,股权激励",2023-04-27,,688012,2023-05-04,,,,,0.0,,,61769.4085,,,,,,61769.4085,,0.0,"015004,015025"
中微公司,中微半导体设备(上海)股份有限公司,,,,,,0.0,0.0,,0.0,,0.0,,,,,61819.8523,,,,,"增发新股上市,股权激励",2023-05-06,,688012,2023-05-10,,,,,0.0,,,61819.8523,,,,,,61819.8523,,0.0,"015004,015025"
中微公司,中微半导体设备(上海)股份有限公司,,,,,,,,,,,,,,,,61819.8523,,,,,定期报告,2023-08-25,,688012,2023-06-30,,,,,,,,61819.8523,,,,,,61819.8523,,,015019
中微公司,中微半导体设备(上海)股份有限公司,,,,,,0.0,0.0,,0.0,,0.0,,,,,61927.9423,,,,,"增发新股上市,股权激励",2023-11-17,,688012,2023-11-21,,,,,0.0,,,61927.9423,,,,,,61927.9423,,0.0,"015004,015025"
中微公司,中微半导体设备(上海)股份有限公司,,,,,,,,,,,,,,,,61927.9423,,,,,定期报告,2024-03-19,,688012,2023-12-31,,,,,,,,61927.9423,,,,,,61927.9423,,,015019
