REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,CAPITAL_RESERVE,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,OTHER_CURRENT_ASSET,PREPAYMENT,RESTRICTED_CASH,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,UNASSIGN_RPOFIT,其他投资,其他综合性收益,其他非流动负债,可转换票据及债券,商誉,土地使用权,存货,库存股,应付债券,应付关联方款项(流动),应付票据,应付股利,应收关联方款项,应收帐款,总权益及非流动负债,总资产减总负债合计,无形资产,流动负债其他项目,物业厂房及设备,融资租赁负债(流动),融资租赁负债(非流动),递延税项负债,递延税项资产,长期应付款,长期应收款,长期投资,非流动负债其他项目,非流动资产其他项目,预收款项
2017-12-31,02057.HK,02057,中通快递-W,10581420,001,12-31,2017-12-31 00:00:00,1019143000.0,15975979000.0,,6004000.0,5425024000.0,8231832000.0,5224559000.0,983557000.0,348710000.0,471000.0,250000000.0,221926000.0,25827638000.0,21681624000.0,12377846000.0,4146014000.0,42876630000.0,4386321000.0,25827638000.0,13449792000.0,240307000.0,21441317000.0,6669370000.0,610160000.0,-295896000.0,60045000.0,,4241541000.0,1602908000.0,34231000.0,-914611000.0,,114913000.0,,,9900000.0,351865000.0,21681624000.0,21441317000.0,60424000.0,2281067000.0,6473010000.0,,,157320000.0,152763000.0,22942000.0,,,,308986000.0,258965000.0
2018-12-31,02057.HK,02057,中通快递-W,10581420,001,12-31,2018-12-31 00:00:00,1331388000.0,24137681000.0,,52311000.0,4622554000.0,16092602000.0,13599852000.0,1845870000.0,400000.0,523000.0,,405683000.0,39682857000.0,34541392000.0,21234067000.0,5141465000.0,68486787000.0,5413308000.0,39682857000.0,18448790000.0,271843000.0,34269549000.0,11052395000.0,2207410000.0,571716000.0,90961000.0,,4241541000.0,1969176000.0,43813000.0,-1545077000.0,,132216000.0,,1699000.0,6600000.0,1114978000.0,34541392000.0,34269549000.0,54227000.0,2833769000.0,9035704000.0,,,157940000.0,318063000.0,22942000.0,,,,622669000.0,436710000.0
2019-12-31,02057.HK,02057,中通快递-W,10581420,001,12-31,2019-12-31 00:00:00,1498200000.0,22336594000.0,,100793000.0,5270204000.0,13417310000.0,11113217000.0,2913902000.0,7210000.0,517000.0,,80272000.0,45890502000.0,39209555000.0,20098257000.0,6680947000.0,76706001000.0,7487105000.0,45890502000.0,25792245000.0,806158000.0,38403397000.0,16726540000.0,3109494000.0,675720000.0,,,4241541000.0,2508860000.0,43845000.0,-1436767000.0,,38943000.0,,1629000.0,74312000.0,675567000.0,39209555000.0,,48029000.0,3552288000.0,12470632000.0,298728000.0,504442000.0,207896000.0,403587000.0,,549775000.0,946180000.0,93820000.0,1514147000.0,1210887000.0
2020-06-30,02057.HK,02057,中通快递-W,10581420,002,12-31,2020-06-30 00:00:00,1128615000.0,20852513000.0,,113497000.0,5261920000.0,9039801000.0,8437887000.0,2870469000.0,1300000.0,517000.0,1690000000.0,166035000.0,48479774000.0,39702015000.0,17817560000.0,8777759000.0,77875861000.0,9485095000.0,48479774000.0,30662214000.0,707336000.0,38994679000.0,18549594000.0,3319697000.0,829087000.0,71409000.0,,4241541000.0,3829158000.0,64152000.0,-1350529000.0,,23101000.0,496200000.0,334313000.0,81529000.0,1100303000.0,39702015000.0,38994679000.0,44930000.0,3490285000.0,14651069000.0,240240000.0,420310000.0,215617000.0,552671000.0,,1240680000.0,1390510000.0,,1391958000.0,1208970000.0
2020-09-30,02057.HK,02057,中通快递-W,10581420,004,12-31,2020-09-30 00:00:00,1491617000.0,29357326000.0,,111590000.0,16408906000.0,16067257000.0,4804528000.0,2936709000.0,8070000.0,548000.0,2084430000.0,39269000.0,58902907000.0,49045654000.0,25924510000.0,9857253000.0,96631918000.0,10531153000.0,58902907000.0,32978397000.0,673900000.0,48371754000.0,19750612000.0,3271612000.0,502207000.0,,,4241541000.0,4105231000.0,49929000.0,-1350529000.0,,21082000.0,720420000.0,12304000.0,63620000.0,1652748000.0,49045654000.0,48371754000.0,43381000.0,4083074000.0,16477106000.0,267348000.0,459518000.0,214382000.0,701942000.0,,1355041000.0,1472960000.0,,1309583000.0,1137709000.0
2020-12-31,02057.HK,02057,中通快递-W,10581420,001,12-31,2020-12-31 00:00:00,1658830000.0,30613948000.0,,120885000.0,14212778000.0,12977042000.0,3690402000.0,3415889000.0,133196000.0,553000.0,1432929000.0,48628000.0,59204750000.0,49857166000.0,22324626000.0,9347584000.0,98078511000.0,10105052000.0,59204750000.0,36880124000.0,757468000.0,49099698000.0,21038753000.0,3224463000.0,-95571000.0,,,4241541000.0,4360673000.0,53070000.0,-2578870000.0,,16655000.0,326200000.0,11198000.0,73278000.0,746013000.0,49857166000.0,,41832000.0,4487084000.0,18565161000.0,246394000.0,502481000.0,254987000.0,720561000.0,,2470340000.0,1842000000.0,,1413553000.0,1119666000.0
2021-03-31,02057.HK,02057,中通快递-W,10581420,003,12-31,2021-03-31 00:00:00,1574269000.0,29499693000.0,,139310000.0,11074124000.0,10224176000.0,5528308000.0,3155416000.0,404048000.0,553000.0,2914791000.0,,60111912000.0,48814236000.0,21521852000.0,11297676000.0,95955048000.0,12064733000.0,60111912000.0,38590060000.0,767057000.0,48047179000.0,21541857000.0,3231216000.0,-77660000.0,,,4241541000.0,4740924000.0,51833000.0,-3056574000.0,,36382000.0,100980000.0,1365307000.0,55078000.0,1253045000.0,48814236000.0,48047179000.0,40282000.0,3869612000.0,19286227000.0,240127000.0,520760000.0,246297000.0,988442000.0,,2459143000.0,1974680000.0,,1627605000.0,1196208000.0
2021-06-30,02057.HK,02057,中通快递-W,10581420,002,12-31,2021-06-30 00:00:00,1619425000.0,29096081000.0,,109435000.0,12098453000.0,9301742000.0,3138782000.0,4426988000.0,51716000.0,546000.0,3391472000.0,80192000.0,61267843000.0,49974255000.0,20595330000.0,11293588000.0,98227003000.0,12099624000.0,61267843000.0,40672513000.0,806036000.0,49168219000.0,22160492000.0,3293405000.0,-179831000.0,,,4241541000.0,4922064000.0,39589000.0,-2018504000.0,,21495000.0,351107000.0,2438000.0,71951000.0,767851000.0,49974255000.0,,38733000.0,4409817000.0,21370865000.0,226037000.0,549690000.0,256346000.0,929866000.0,,2061859000.0,2140160000.0,,1674020000.0,1191605000.0
2021-09-30,02057.HK,02057,中通快递-W,10581420,004,12-31,2021-09-30 00:00:00,1649909000.0,28256720000.0,,145597000.0,10357744000.0,5740019000.0,2364614000.0,3855122000.0,30369000.0,534000.0,4431838000.0,,60662608000.0,47911904000.0,18490723000.0,12750704000.0,93986023000.0,13596798000.0,60662608000.0,42171885000.0,846094000.0,47065810000.0,20954469000.0,3398456000.0,-224502000.0,,,4241541000.0,5098542000.0,49992000.0,-2067008000.0,,21943000.0,343520000.0,716000.0,61651000.0,1771231000.0,47911904000.0,47065810000.0,37184000.0,4788083000.0,23203585000.0,249137000.0,597756000.0,248338000.0,812451000.0,,2097057000.0,1514500000.0,,1768569000.0,1265558000.0
2021-12-31,02057.HK,02057,中通快递-W,10581420,001,12-31,2021-12-31 00:00:00,1980471000.0,28229026000.0,,290334000.0,9721225000.0,5670044000.0,2845319000.0,4921684000.0,27736000.0,535000.0,3458717000.0,86789000.0,62772343000.0,49776028000.0,18666359000.0,12996315000.0,97564828000.0,13844762000.0,62772343000.0,44105984000.0,848447000.0,48927581000.0,22716799000.0,3730448000.0,-242104000.0,,,4241541000.0,5335549000.0,82961000.0,-2067009000.0,,22786000.0,174920000.0,708000.0,133990000.0,933444000.0,49776028000.0,,35634000.0,5794380000.0,24929897000.0,250995000.0,556091000.0,292356000.0,934848000.0,,2024056000.0,1214500000.0,,1659511000.0,1226549000.0
