REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_OUTFLOW_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,减:出售资产之溢利,减:投资收益,减:汇兑收益,减:重估盈余,加:减值及拨备,加:购股权开支,发行相关费用,吸收投资所得,处置无形资产及其他资产,存货(增加)减少,应付关联方款项增加(减少),应付帐款及应计费用增加(减少),应收关联方款项(增加)减少,应收关联方款项(增加)减少(投资),应收帐款减少,投资支付现金,收回投资所得现金,汇率影响,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,除税前溢利(业务利润),非运算项目,预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
2017-12-31,02057.HK,02057,中通快递-W,10581420,001,12-31,2017-01-01 00:00:00,,,11923155000.0,857658000.0,-6149421000.0,2572242000.0,,5773734000.0,560366000.0,-4900000.0,22078000.0,-1061558000.0,-8294547000.0,3630684000.0,,3428900000.0,-29035000.0,398168000.0,3808272000.0,196384000.0,750000000.0,550000000.0,,-21434000.0,-15682000.0,,,40200000.0,40725000.0,,1000000.0,,-271000.0,-16512000.0,252716000.0,,,-164261000.0,10215758000.0,4725872000.0,-424000000.0,-31191000.0,,254497000.0,3158900000.0,,-419853000.0,
2018-12-31,02057.HK,02057,中通快递-W,10581420,001,12-31,2018-01-01 00:00:00,8891909000.0,895136000.0,5773734000.0,769811000.0,-1150780000.0,3323822000.0,,4622954000.0,853718000.0,,-1163489000.0,7042122000.0,-12872633000.0,4404051000.0,-8468582000.0,4121099000.0,,282952000.0,4986409000.0,,250000000.0,,,533411000.0,-19386000.0,,,9326000.0,249478000.0,,65160000.0,71723000.0,-9582000.0,17303000.0,422668000.0,,,-309431000.0,13634396000.0,5834805000.0,275680000.0,-2094000.0,,657454000.0,4387912000.0,,-1159186000.0,175012000.0
2019-06-30,02057.HK,02057,中通快递-W,10581420,002,12-31,2019-01-01 00:00:00,,1268619000.0,4622954000.0,1256693000.0,2489709000.0,1551103000.0,,7112663000.0,580801000.0,,85523000.0,-2507052000.0,2394117000.0,2626074000.0,,2821720000.0,-8955000.0,42932000.0,2934786000.0,238578000.0,,,,-3058000.0,-12013000.0,,,6063000.0,295065000.0,,18260000.0,,8459000.0,-64892000.0,-126533000.0,-73025000.0,,-266793000.0,5553766000.0,9596431000.0,-23430000.0,186977000.0,,182968000.0,2046741000.0,,222741000.0,
2019-09-30,02057.HK,02057,中通快递-W,10581420,004,12-31,2019-01-01 00:00:00,,,4622954000.0,,436598000.0,,,5059552000.0,,,,-1995524000.0,-1621341000.0,4043780000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9683000.0,,,,,,,
2019-12-31,02057.HK,02057,中通快递-W,10581420,001,12-31,2019-01-01 00:00:00,,1270773000.0,4622954000.0,762893000.0,654460000.0,4635685000.0,118265000.0,5277414000.0,1264566000.0,,-237841000.0,-1982306000.0,-3664213000.0,6304186000.0,2639973000.0,6304186000.0,15499000.0,,6564398000.0,,,,,-19019000.0,746912000.0,,,24293000.0,316666000.0,,51360000.0,,-32000.0,-93273000.0,156056000.0,-67712000.0,,-84468000.0,15019049000.0,16700830000.0,-3207000.0,580919000.0,,590733000.0,5671267000.0,10554828000.0,-448202000.0,-303500000.0
2020-03-31,02057.HK,02057,中通快递-W,10581420,003,12-31,2020-01-01 00:00:00,,,5277414000.0,,-221943000.0,,,5055471000.0,,,,297654000.0,-714703000.0,177791000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17315000.0,,,,,,,
2020-06-30,02057.HK,02057,中通快递-W,10581420,002,12-31,2020-01-01 00:00:00,,,5277414000.0,,-81000.0,,,5277333000.0,,,,362952000.0,-1812554000.0,1430061000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19460000.0,,,,,,,
2020-09-30,02057.HK,02057,中通快递-W,10581420,004,12-31,2020-01-01 00:00:00,,,5277414000.0,,11153675000.0,,,16431089000.0,,,,8965576000.0,-632608000.0,2910490000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-89783000.0,,,,,,,
2020-12-31,02057.HK,02057,中通快递-W,10581420,001,12-31,2020-01-01 00:00:00,9771782000.0,1649308000.0,5277414000.0,1228341000.0,9082678000.0,7237302000.0,56984000.0,14360092000.0,1840462000.0,-4132000.0,-788815000.0,8337407000.0,-3549341000.0,4950749000.0,1401408000.0,5313595000.0,,-362846000.0,6616190000.0,,870000000.0,2302929000.0,,-8283000.0,-18507000.0,-127180000.0,-877000.0,30281000.0,264154000.0,,14477000.0,,-9225000.0,-22288000.0,160630000.0,-8966000.0,,-79831000.0,10626232000.0,17016674000.0,-656137000.0,669642000.0,,1970650000.0,4326446000.0,,-1982999000.0,-29558000.0
2021-03-31,02057.HK,02057,中通快递-W,10581420,003,12-31,2021-01-01 00:00:00,,,14360092000.0,,-2867802000.0,,,11492290000.0,,,,993968000.0,-4371990000.0,476952000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,33268000.0,,,,,,,
