REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,INTEREST_INCOME,MINORITY_INTEREST,NETPROFIT,NETPROFIT_OTHER,NON_OPERATING_ITEMS,OPERATE_COST,OPERATE_INCOME,OPERATE_PROFIT,OTHER_INCOME,PARENT_TCI,SALE_EXPENSE,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他收入,除税后溢利其他项目,非控股权益应占全面收益总额
2017-12-31,02057.HK,02057,中通快递-W,10581420,001,12-31,2017-01-01 00:00:00,4.41,3158900000.0,4.4,15668000.0,4345584000.0,3159663000.0,646361000.0,166325000.0,-763000.0,3158900000.0,-93831000.0,1432407056000.0,8714489000.0,26120146000.0,3748435000.0,,2569118000.0,780517000.0,3805261000.0,2568355000.0,-590545000.0,-590545000.0,183368000.0,,-763000.0
2018-12-31,02057.HK,02057,中通快递-W,10581420,001,12-31,2018-01-01 00:00:00,5.83,4387912000.0,5.82,780000.0,5364883000.0,4383025000.0,929133000.0,401162000.0,4887000.0,4387912000.0,584440000.0,1496551236000.0,12239568000.0,35208902000.0,4332223000.0,,5250637000.0,1210717000.0,5317045000.0,5255524000.0,867612000.0,867612000.0,178057000.0,,4887000.0
2019-06-30,02057.HK,02057,中通快递-W,10581420,002,12-31,2019-01-01 00:00:00,2.6,2046741000.0,2.59,,3028160000.0,2040194000.0,480661000.0,290941000.0,6547000.0,2046741000.0,-16204000.0,1569166235000.0,6969511000.0,19995342000.0,2252665000.0,,1989342000.0,863128000.0,2527402000.0,1995889000.0,-50852000.0,-50852000.0,87633000.0,,6547000.0
2019-09-30,02057.HK,02057,中通快递-W,10581420,004,12-31,2019-01-01 00:00:00,4.27,3354422000.0,4.26,,4625098000.0,3347722000.0,746958000.0,437313000.0,6700000.0,3354422000.0,10888000.0,1562187451000.0,10638332000.0,30526860000.0,3653179000.0,182102000.0,3777581000.0,1154021000.0,4101380000.0,3784281000.0,429859000.0,429859000.0,,,6700000.0
2019-12-31,02057.HK,02057,中通快递-W,10581420,001,12-31,2019-01-01 00:00:00,7.24,5671267000.0,7.23,,6621168000.0,5674145000.0,1078295000.0,585404000.0,-2878000.0,5671267000.0,701327000.0,1558448706000.0,15488778000.0,44219892000.0,5462831000.0,,5778149000.0,1546227000.0,6749562000.0,5775271000.0,104004000.0,104004000.0,387890000.0,,-2878000.0
2020-03-31,02057.HK,02057,中通快递-W,10581420,003,12-31,2020-01-01 00:00:00,0.48,370973000.0,0.48,291000.0,818660000.0,374700000.0,129772000.0,126227000.0,-3727000.0,370973000.0,2797000.0,3127161146000.0,3097229000.0,7831778000.0,372012000.0,113403000.0,551626000.0,560051000.0,500745000.0,547899000.0,176926000.0,176926000.0,,,-3727000.0
2020-06-30,02057.HK,02057,中通快递-W,10581420,002,12-31,2020-01-01 00:00:00,2.33,1824544000.0,2.33,9426000.0,2587823000.0,1823054000.0,428074000.0,240485000.0,1490000.0,1824544000.0,2938000.0,3128489520000.0,7730487000.0,20636620000.0,2018621000.0,303270000.0,1976422000.0,872472000.0,2252618000.0,1977912000.0,153368000.0,153368000.0,,,1490000.0
2020-09-30,02057.HK,02057,中通快递-W,10581420,004,12-31,2020-01-01 00:00:00,3.86,3034834000.0,3.86,23132000.0,3978775000.0,3024072000.0,400228000.0,337138000.0,10762000.0,3034834000.0,-66685000.0,1561768243647.0,12978371000.0,33914292000.0,3187741000.0,455106000.0,2850561000.0,1246140000.0,3435062000.0,2861323000.0,-173511000.0,-173511000.0,,,10762000.0
2020-12-31,02057.HK,02057,中通快递-W,10581420,001,12-31,2020-01-01 00:00:00,5.42,4326446000.0,5.42,35307000.0,5837106000.0,4312213000.0,689833000.0,442697000.0,14233000.0,4326446000.0,-145478000.0,1582214851000.0,19377184000.0,50428580000.0,4754367000.0,,3540922000.0,1663712000.0,5016279000.0,3555155000.0,-771291000.0,-771291000.0,580973000.0,,14233000.0
2021-03-31,02057.HK,02057,中通快递-W,10581420,003,12-31,2021-01-01 00:00:00,0.64,533526000.0,0.64,15582000.0,1096533000.0,533625000.0,149638000.0,75482000.0,-99000.0,533526000.0,-9616000.0,3309420282000.0,5376004000.0,12945074000.0,632880000.0,,551536000.0,620224000.0,683164000.0,551437000.0,17911000.0,17911000.0,156571000.0,,-99000.0
