日期,开盘,最高,最低,收盘,成交量,成交额,换手率,流通股本
2021-01-04,201.825,203.9682,198.9673,202.718,133915.0,,,
2021-01-05,200.0389,200.0389,194.8593,197.3598,258650.0,,,
2021-01-06,197.3598,200.9319,196.1096,200.0389,87751.0,,,
2021-01-07,202.5394,202.5394,194.8593,197.3598,240350.0,,,
2021-01-08,197.3598,197.5384,193.7877,196.4668,56320.0,,,
2021-01-11,196.4668,197.8956,194.5021,196.824,215850.0,,,
2021-01-12,197.5384,200.9319,197.1812,199.3245,268950.0,,,
2021-01-13,208.7906,212.7199,208.0762,209.8622,284190.0,,,
2021-01-14,209.505,209.505,205.5757,207.0045,143400.0,,,
2021-01-15,205.3971,208.612,204.8613,208.4334,144856.0,,,
2021-01-18,204.5041,206.1115,203.611,204.6827,72150.0,,,
2021-01-19,205.3971,207.8976,205.0399,205.9329,111350.0,,,
2021-01-20,208.0762,210.0408,206.6473,208.7906,173900.0,,,
2021-01-21,214.3274,218.0781,213.2558,217.5423,367500.0,,,
2021-01-22,221.4716,229.3303,221.4716,227.3656,468900.0,,,
2021-01-25,228.2587,238.7964,227.7229,236.1173,392600.0,,,
2021-01-26,240.4039,240.4039,234.8671,237.0104,346130.0,,,
2021-01-27,239.3323,248.977,237.5462,240.9397,406952.0,,,
2021-01-28,238.4392,243.6188,235.9387,237.7248,199900.0,,,
2021-01-29,232.188,232.188,223.0791,223.2577,612100.0,,,
2021-02-01,227.7229,235.0457,227.7229,232.9024,179100.0,,,
2021-02-02,233.9741,241.1183,233.9741,235.0457,176550.0,,,
2021-02-03,241.2969,245.5835,240.4039,244.869,186800.0,,,
2021-02-04,242.0113,245.5835,239.3323,242.0113,365450.0,,,
2021-02-05,240.2253,240.2253,235.5815,235.7601,163400.0,,,
2021-02-08,247.1909,247.3695,238.7964,247.0123,246612.0,,,
2021-02-09,248.2626,254.3352,247.3695,252.1919,205550.0,,,
2021-02-10,253.6207,257.0143,252.1919,257.0143,77350.0,,,
2021-02-11,257.0143,257.1929,252.7277,257.0143,44650.0,,,
2021-02-16,261.4794,267.0162,261.4794,265.766,170730.0,,,
2021-02-17,266.4804,266.4804,255.4068,259.5147,98685.0,,,
2021-02-18,258.9789,258.9789,250.2272,250.763,296600.0,,,
2021-02-19,254.5138,255.5854,250.2272,253.4421,139506.0,,,
2021-02-22,253.7994,253.7994,236.8318,242.0113,425847.0,,,
2021-02-23,245.5835,250.0486,245.5835,249.5128,218382.0,,,
2021-02-24,253.7994,253.7994,235.9387,237.9034,152100.0,,,
2021-02-25,243.976,243.976,237.7248,238.6178,37150.0,,,
2021-02-26,230.5806,234.6885,228.6159,231.295,120750.0,,,
2021-03-01,233.081,235.7601,232.5452,234.1527,87550.0,,,
2021-03-02,242.0113,246.2979,239.3323,242.9044,111000.0,,,
2021-03-03,241.1183,243.7974,239.6895,240.7611,155550.0,,,
2021-03-04,239.1536,239.6895,236.8318,239.3323,64050.0,,,
2021-03-05,232.7238,241.4755,231.295,238.4392,307488.0,,,
2021-03-08,243.7974,243.7974,205.3971,234.6885,231300.0,,,
2021-03-09,225.5796,225.5796,216.2921,219.8642,150100.0,,,
2021-03-10,225.9368,225.9368,215.2204,218.0781,258893.0,,,
2021-03-11,220.5786,226.8298,219.3284,220.9358,124600.0,,,
2021-03-12,224.1507,228.7945,224.1507,225.2224,94850.0,,,
2021-03-15,228.9731,228.9731,220.7572,225.5796,134700.0,,,
2021-03-16,226.1154,230.4019,221.8288,224.1507,147300.0,,,
2021-03-17,223.6149,226.8298,220.5786,225.5796,100650.0,,,
2021-03-18,225.0438,225.0438,209.1478,210.7553,446750.0,,,
2021-03-19,208.0762,208.0762,199.8603,199.8603,771984.0,,,
2021-03-22,200.0389,201.2891,196.824,198.61,425750.0,,,
2021-03-23,195.3951,195.3951,180.3922,187.5365,639650.0,,,
2021-03-24,192.0016,195.3951,190.3942,192.8947,641775.0,,,
2021-03-25,193.4305,193.4305,187.7151,190.93,257250.0,,,
2021-03-26,196.4668,202.1822,196.4668,199.5031,263255.0,,,
2021-03-29,198.61,198.61,194.6807,194.8593,188650.0,,,
2021-03-30,195.931,196.1096,192.8947,193.9663,75450.0,,,
2021-03-31,194.6807,195.5737,193.7877,193.7877,154400.0,,,
2021-04-01,196.824,202.8966,196.824,201.6464,258497.0,,,
2021-04-07,205.7368,207.178,201.4131,202.6742,234850.0,,,
2021-04-08,202.6742,202.6742,198.8909,198.8909,43500.0,,,
2021-04-09,198.1703,198.1703,195.2878,195.468,89400.0,,,
2021-04-12,195.6481,198.8909,193.6664,196.0084,354200.0,,,
2021-04-13,197.0894,201.5932,196.7291,199.0711,211650.0,,,
2021-04-14,203.0345,211.5017,203.0345,211.1414,342400.0,,,
2021-04-15,209.8804,209.8804,203.2146,207.3582,204100.0,,,
2021-04-16,203.7551,203.9352,200.152,201.5932,80090.0,,,
2021-04-19,203.0345,208.7994,203.0345,205.9169,60600.0,,,
2021-04-20,206.0971,211.8621,206.0971,210.4208,80750.0,,,
2021-04-21,208.4391,210.4208,207.178,209.8804,65250.0,,,
2021-04-22,207.178,207.178,204.6559,205.3765,59250.0,,,
2021-04-23,225.1935,225.1935,214.3842,220.1492,258400.0,,,
2021-04-26,225.1935,251.316,223.7523,227.3554,302800.0,,,
2021-04-27,231.3188,231.3188,224.653,224.8332,62200.0,,,
2021-04-28,223.392,225.1935,220.5095,223.7523,43617.0,,,
2021-04-29,224.2927,226.9951,224.2927,225.0134,135400.0,,,
2021-04-30,221.4103,224.653,221.4103,222.4912,62200.0,,,
2021-05-03,226.8149,226.8149,222.6713,225.9141,31270.0,,,
2021-05-04,226.9951,242.3082,226.9951,230.418,268900.0,,,
2021-05-05,226.0943,230.2378,225.734,226.8149,60700.0,,,
2021-05-06,228.7966,228.7966,222.311,224.1126,55250.0,,,
2021-05-07,218.5278,225.1935,216.9064,219.0682,143100.0,,,
2021-05-10,221.0499,224.4729,219.7889,220.3293,93650.0,,,
2021-05-11,215.6453,217.9873,214.2041,214.9247,258210.0,,,
2021-05-12,216.1858,218.7079,215.4652,216.1858,106550.0,,,
2021-05-13,207.178,211.5017,206.2773,209.8804,232850.0,,,
2021-05-14,209.8804,216.1858,204.2956,210.7811,156250.0,,,
2021-05-17,214.7445,219.4286,213.6636,218.3476,147950.0,,,
2021-05-18,216.1858,217.0865,215.1048,216.0056,42700.0,,,
2021-05-20,229.6974,229.6974,222.6713,225.734,202300.0,,,
2021-05-21,226.9951,228.7966,225.1935,227.1752,86700.0,,,
2021-05-24,225.1935,225.1935,222.311,224.2927,18712.0,,,
2021-05-25,221.2301,223.2118,220.6896,223.0317,29100.0,,,
2021-05-26,223.0317,226.0943,223.0317,224.2927,84850.0,,,
2021-05-27,228.9768,228.9768,221.2301,221.5904,80493.0,,,
2021-05-28,220.6896,224.8332,216.9064,217.627,89955.0,,,
2021-05-31,226.0943,226.0943,217.0865,223.9324,34400.0,,,
2021-06-01,224.2927,226.4546,222.6713,223.0317,100800.0,,,
2021-06-02,223.0317,223.392,221.5904,221.7706,81900.0,,,
2021-06-03,225.1935,226.2744,223.5721,225.3737,199950.0,,,
2021-06-04,222.311,224.1126,219.6087,222.311,77500.0,,,
2021-06-07,222.1309,222.6713,218.8881,221.7706,60450.0,,,
2021-06-08,221.0499,221.9507,218.7079,219.2484,63950.0,,,
2021-06-09,224.1126,225.1935,221.4103,225.1935,50120.0,,,
2021-06-10,226.0943,226.0943,222.4912,223.392,113250.0,,,
2021-06-11,222.4912,222.8515,221.7706,222.4912,105600.0,,,
2021-06-15,219.6087,221.4103,218.1675,219.0682,11100.0,,,
2021-06-16,219.0682,219.0682,213.8438,215.1048,50650.0,,,
2021-06-17,215.1048,215.1048,209.1597,211.6819,93950.0,,,
2021-06-18,209.1597,210.9613,207.178,207.178,322170.0,,,
2021-06-21,202.6742,204.6559,197.0894,203.5749,213250.0,,,
2021-06-22,205.0162,208.9796,203.9352,204.836,183400.0,,,
2021-06-23,206.4574,209.3399,206.0971,206.9979,101450.0,,,
2021-06-24,207.8986,208.6193,207.5383,207.8986,53350.0,,,
2021-06-25,207.8986,215.1048,207.8986,212.0422,52850.0,,,
2021-06-28,212.7628,214.5644,210.4208,212.943,24950.0,,,
2021-06-29,212.943,212.943,207.3582,208.9796,95200.0,,,
2021-06-30,211.3216,212.4025,209.3399,210.7811,88700.0,,,
2021-07-02,209.7002,210.601,206.0971,208.259,65948.0,,,
2021-07-05,204.4757,205.1963,199.9718,201.5932,145200.0,,,
2021-07-06,201.7734,202.6742,199.4314,202.494,63100.0,,,
2021-07-07,201.7734,205.0162,200.5123,201.7734,55150.0,,,
2021-07-08,201.4131,201.4131,196.7291,198.5306,81350.0,,,
2021-07-09,201.0528,201.5932,196.7291,199.9718,55400.0,,,
2021-07-12,200.8726,205.1963,200.3321,200.3321,183000.0,,,
2021-07-13,199.7917,205.3765,199.7917,204.4757,76150.0,,,
2021-07-14,208.259,208.9796,203.3948,206.6376,39950.0,,,
2021-07-15,205.5566,207.3582,202.8543,204.836,23200.0,,,
2021-07-16,203.9352,206.6376,203.3948,205.1963,49600.0,,,
2021-07-19,204.836,204.836,201.0528,201.7734,32200.0,,,
2021-07-20,199.9718,200.152,197.2695,198.3504,39250.0,,,
2021-07-21,199.6115,202.494,199.6115,199.6115,19700.0,,,
2021-07-22,199.9718,204.2956,199.9718,202.494,27200.0,,,
2021-07-23,201.5932,204.1154,200.8726,202.6742,77950.0,,,
2021-07-26,200.152,200.152,189.3427,193.8466,399750.0,,,
