SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
300003.SZ,300003,乐普医疗,10141619,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-25 00:00:00,2025-10-25 00:00:00,CNY,4530255061.85,,,,,,,,,,,,63884478.89,197725392.3,,0.0,4791864933.04,1126169737.05,,,,,,1228900391.46,554392981.6,869724793.61,,0.0,3779187903.72,,0.0,1012677029.32,577658624.2,94081219.02,1357903.36,15341435.7,,18551917.81,,0.0,706991100.09,450734369.18,915644963.3,,,,58523440.37,,0.0,1424902772.85,,0.0,-717911672.76,151782857.0,151782857.0,1773346656.76,,211396644.23,,0.0,2136526157.99,1709318250.0,700943349.06,47719054.49,,74210631.27,,,0.0,2484472230.33,,0.0,-347946072.34,-4056544.29,,0.0,-57237260.07,3614399635.42,,0.0,3557162375.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5362410467,,,,,,,,,,,,-17.6153498699,56.251495751,,,-2.215134897,-18.1579869706,,,,,,-17.2725074086,-19.8943462558,-5.8508953182,,,-15.5933871165,,,139.3719905379,110.1225876917,200.1707000603,-95.474329063,0.5985940776,,51.6209157625,,,94.3629018801,-10.5342881321,48.3095440781,,,,-70.914640547,,,5.7441784533,,,27.0231044929,11946.2584920635,11946.2584920635,-42.7672863889,,354.7390222735,,,-32.0925378551,-20.5348634658,-29.7147542022,44.3125856488,,-78.1901737981,,,,-28.7826110814,,,-1.6365343688,-158.5972372784,,,93.6727030524,-11.842943536,,,11.3232096159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300003.SZ,300003,乐普医疗,10141619,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-23 00:00:00,2025-08-23 00:00:00,CNY,2966941637.6,,,,,,,,,,,,32710291.26,137251903.29,,0.0,3136903832.15,724299318.29,,,,,,838137550.36,391568024.0,546534391.39,,0.0,2500539284.04,,0.0,636364548.11,444922364.68,44550427.14,1304563.31,15341435.7,,7500000.0,,0.0,513618790.83,305153455.94,793944355.98,,,,56937334.12,,0.0,1156035146.04,,0.0,-642416355.21,96142857.0,96142857.0,1280017893.39,,17664617.64,,0.0,1393825368.03,1104618230.0,327797233.27,535343.75,,52571415.78,,,0.0,1484986879.05,,0.0,-91161511.02,645343.25,,0.0,-96567974.87,3614399635.42,,0.0,3517831660.55,699367534.19,28348304.42,174347552.65,174347552.65,,106629406.4,41456778.4,,,,635110.56,521085.83,2291463.8,88577130.33,7364734.27,-17295473.92,-9494238.67,-7801235.25,,-43201727.28,-509279395.3,24468474.38,,,0.0,636364548.11,,,,,3517831660.55,3614399635.42,,,,,-96567974.87,-5.176728269,,,,,,,,,,,,-47.7755452202,48.3567956626,,,-4.4810955959,-23.6197934769,,,,,,-14.2687469489,-30.0847805047,-14.4976164635,,,-19.9873504252,,,300.5164004333,137.7021886604,451.2942796712,-95.6275114532,0.5985940776,,-38.7040800921,,,103.3497301677,-18.4822585607,65.0678982477,,,,-71.4034643099,,,7.5610704429,,,21.8654015065,,,-37.0149661103,,-48.6558724624,,,-32.5566707026,-0.3062216339,-51.5461115256,,,-79.8861400725,,,,-27.4162387798,,,-538.962739668,-77.6529800152,,,84.9030117964,-11.842943536,,,1.6624914778,1.3564173233,-19.7502578864,13.3813287603,13.3813287603,,25.9206148081,-6.7042483626,,,,105.36071271,-86.0229394237,131.9210999246,1.6177036804,-62.407365273,42.0450108495,63.3771102493,-99.0815665101,,-42.0836885345,-29.7784006406,104.6623662701,,,,300.5164004333,,,,,1.6624914778,-11.842943536,,,,,84.9030117964,,,,,32133569.38,-12.4072222864
300003.SZ,300003,乐普医疗,10141619,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-19 00:00:00,2025-04-19 00:00:00,CNY,1512516483.16,,,,,,,,,,,,13997200.97,106104988.38,,0.0,1632618672.51,364188880.94,,,,,,454916503.41,155102070.14,239388977.47,,0.0,1213596431.96,,0.0,419022240.55,236838107.31,8663634.81,114556.06,500000.0,,7500000.0,,0.0,253616298.18,131546206.61,568974655.35,,,,17142857.0,,0.0,717663718.96,,0.0,-464047420.78,21142857.0,21142857.0,833025301.32,,,,0.0,854168158.32,682000000.0,51814597.34,421875.0,,38190778.84,,,0.0,772005376.18,,0.0,82162782.14,1333632.32,,0.0,38471234.23,3614387490.21,,0.0,3652858724.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.5678336887,,,,,,,,,,,,-44.4046855235,103.2946235126,,,-4.7326178143,-19.7070668197,,,,,,-17.196699033,-40.6630265471,-22.2366630548,,,-22.8092437947,,,196.0905875803,45.6681925462,231.5539091953,-99.4452250916,-96.7213435546,,-18.3940020558,,,20.6030139939,-8.7282868874,264.0015317488,,,,-89.9082548332,,,46.3702522981,,,-65.7212170936,,,31.3739965259,,,,,32.0856329883,42.6778242678,33.9362699155,,,-79.0222458814,,,,10.485401004,,,257.8167360221,-19.861253242,,,120.3662883246,-11.8432397638,,,-6.6017840397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300003.SZ,300003,乐普医疗,10141619,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-19 00:00:00,2025-04-19 00:00:00,CNY,6289063077.95,,,,,,,,,,,,95940930.03,176769631.52,,0.0,6561773639.5,1806884696.11,,,,,,1914250847.98,871221842.0,1234772364.34,,0.0,5827129750.43,,0.0,734643889.07,566076996.92,80052174.15,30031440.18,15250149.21,,265749358.58,,0.0,957160119.04,658820857.02,803961915.3,,31009027.89,,207270380.06,,0.0,1701062180.27,,0.0,-743902061.23,7260000.0,7260000.0,3167604764.32,,43487465.09,,0.0,3218352229.41,2293429148.82,1046117237.36,55222264.53,,364024766.93,,,0.0,3703571153.11,,0.0,-485218923.7,8921741.41,,0.0,-485555354.45,4099954989.87,,0.0,3614399635.42,197293867.05,287867093.11,307895843.31,307895843.31,,191168048.42,96424738.1,,,,-11731723.82,8745130.1,-389477.71,166626666.5,89713050.06,-170843514.21,-192102256.76,21258742.55,,206283265.58,-62843516.65,-688654106.98,,,0.0,734643889.07,,,,,3614399635.42,4099954989.87,,,,,-485555354.45,-21.350681894,,,,,,,,,,,,-27.7965045197,-36.9208947204,,,-21.9713898173,-28.8098810319,,,,,,-14.2051110537,-21.0445377978,-20.1489855973,,,-21.4575784099,,,-25.8205070061,-0.4679051599,-53.7790677183,252.2983048595,,,2277.7660156241,,,25.6719839435,-22.0025018232,26.7783327663,,-91.1636459103,,-74.6641153272,,,-35.7564327379,,,60.5607869289,-97.5695541454,-97.5695541454,17.6010496287,,-16.3043772257,,,5.7212354178,1.8419213935,33.3951560894,254.7441498191,,20.9663495137,,,,10.9815619262,,,-65.6502047258,143.3393538891,,,59.8496510265,-22.7778295321,,,-11.842943536,-84.7337236846,74.3672059235,1.2762203008,1.2762203008,,33.9306605888,6.8805881254,,,,-388.099734775,130.4923980784,87.4027218981,-2.35484624,442.6240298148,-171.6396630527,-668.2919129232,156.1070297698,,182.1805203927,-2049.7549899502,29.8723907105,,,,-25.8205070061,,,,,-11.842943536,-22.7778295321,,,,,59.8496510265,标准无保留意见,,,,60974742.31,-8.7301029552
300003.SZ,300003,乐普医疗,10141619,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-26 00:00:00,2025-10-25 00:00:00,CNY,4696328560.08,,,,,,,,,,,,77544152.69,126543039.7,,0.0,4900415752.47,1376028882.19,,,,,,1485480041.72,692077220.13,923773833.59,,0.0,4477359977.63,,0.0,423055774.84,274915053.42,31342572.41,30004465.17,15250149.21,,12235724.68,,0.0,363747964.89,503806832.55,617387754.1,,25092671.89,,201212711.38,,0.0,1347499969.92,,0.0,-983752005.03,1260000.0,1260000.0,3098484319.32,,46487465.09,,0.0,3146231784.41,2151029148.82,997283770.02,33066453.82,,340262368.82,,,0.0,3488575287.66,,0.0,-342343503.25,-1568672.71,,0.0,-904608406.15,4099954989.87,,0.0,3195346583.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.5522407092,,,,,,,,,,,,-40.4416480142,-16.4019637645,,,-23.726042511,-31.0888172152,,,,,,-14.8832302904,-17.7271218399,-25.3658142839,,,-23.0822878991,,,-29.9323847101,-38.2264547883,-80.3164715746,366.2207123781,,,98.854829789,,,-41.0321523494,-27.8024891798,16.7809877264,,-89.0230243167,,-16.0824934946,,,-20.4947694267,,,8.7427610932,-99.4420436696,-99.4420436696,21.9581856579,,-10.3391091233,,,11.6364255577,1.9046651816,31.0547068591,195.7878827987,,91.3179961586,,,,14.3928597828,,,-47.9700304268,91.7141448869,,,-24.8581919992,-22.7778295321,,,-30.3054843085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300003.SZ,300003,乐普医疗,10141619,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-24 00:00:00,2025-08-23 00:00:00,CNY,3128917177.65,,,,,,,,,,,,62634050.27,92514739.67,,0.0,3284065967.59,948281434.76,,,,,,977633617.3,560061209.6,639203690.92,,0.0,3125179952.58,,0.0,158886015.01,187176385.37,8081061.02,29835717.03,15250149.21,,12235724.68,,0.0,252579037.31,374339929.63,480980471.92,,20344849.89,,199105705.45,,0.0,1074770956.89,,0.0,-822191919.58,,,2032257211.5,,34404358.37,,0.0,2066661569.87,1108011200.0,676513781.64,,,261369105.53,,,0.0,2045894087.17,,0.0,20767482.7,2887826.88,,0.0,-639650594.99,4099954989.87,,0.0,3460304394.88,690008144.19,35325103.45,153770955.55,153770955.55,,84679864.82,44435869.45,,,,-11847502.27,3728150.33,-7178523.94,87167026.14,19590896.79,-29842942.21,-25924329.66,-3918612.55,,-30405831.75,-392422308.17,-524808068.75,,,0.0,158886015.01,,,,,3460304394.88,4099954989.87,,,,,-639650594.99,-28.1391454801,,,,,,,,,,,,-8.0666253122,-10.7866442732,,,-27.4394046753,-38.870930685,,,,,,-21.6298647727,-18.0249536613,-29.1598324896,,,-28.7182173519,,,12.1271902767,-33.4195473354,-77.3199467979,393.1899547639,,,354.1547614458,,,-22.4033605849,-27.2720364,49.4877850515,,1325.4879640003,,119.0981755942,,,15.7201672624,,,-36.2904183664,,,8.1529629305,,-31.829025859,,,-4.114811354,-19.8617701835,-3.0920319908,,,70.5038658396,,,,-8.4208124766,,,126.3994797093,118.5579426729,,,-15.0884456286,-22.7778295321,,,-27.2052370853,-30.8614196385,78.3648545253,-4.2525135758,-4.2525135758,,26.7775510911,5.4429713017,,,,-845.5306433075,340.4194336879,55.883319469,0.2237945138,-14.9580397758,-17.7429886327,-27.7317575085,22.4024554156,,82.8109150293,-316.2544641327,58.0357932951,,,,12.1271902767,,,,,-27.2052370853,-22.7778295321,,,,,-15.0884456286,,,,,36685181.38,13.2139782636
300003.SZ,300003,乐普医疗,10141619,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-20 00:00:00,2025-04-19 00:00:00,CNY,1636352953.22,,,,,,,,,,,,25176943.6,52192717.42,,0.0,1713722614.24,453575260.63,,,,,,549394164.36,261391946.9,307842984.72,,0.0,1572204356.61,,0.0,141518257.63,162587386.56,2613039.56,20649106.2,15250149.21,,9190500.93,,0.0,210290182.46,144125931.38,156311060.73,,20000000.0,,169870093.99,,0.0,490307086.1,,0.0,-280016903.64,,,634086899.5,,12590667.92,,0.0,646677567.42,478000000.0,38686008.93,,,182053706.15,,,0.0,698739715.08,,0.0,-52062147.66,1664154.2,,0.0,-188896639.47,4099954989.87,,0.0,3911058350.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.3519729363,,,,,,,,,,,,-45.5617125958,-0.3637110385,,,-26.1481684024,-49.4970013273,,,,,,-23.2295243956,-33.3276284954,-31.4211480404,,,-35.9510293903,,,205.450547983,-41.808799647,-73.2698919731,32261.2109415404,,,1431.750155,,,-27.446481017,-31.5790787247,-40.0687413321,,,,451.7377106322,,,-2.3781628852,,,-31.8285072238,,,2.7693516207,,-67.7059645374,,,-1.4841069717,45.9541984733,64.9528606504,,,231.0752104062,,,,72.1282258763,,,-120.7851059584,103.9048131895,,,-36.1384914638,-22.7778295321,,,-24.3588687309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300003.SZ,300003,乐普医疗,10141619,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-20 00:00:00,2025-04-19 00:00:00,CNY,7996335161.45,,,,,,,,,,,,132875741.53,280234842.8,,0.0,8409445745.78,2538111640.07,,,,,,2231194505.28,1103434541.07,1546345245.05,,0.0,7419085931.47,,0.0,990359814.31,568738152.08,173194633.25,8524435.05,,,11176430.18,,0.0,761633650.56,844669216.86,634147726.79,,350925591.88,,818090162.38,,0.0,2647832697.91,,0.0,-1886199047.35,298710624.89,298710624.89,2693517425.5,,51959067.45,,0.0,3044187117.84,2251950000.0,784224306.21,15566786.53,,300930604.58,,,0.0,3337104910.79,,0.0,-292917792.95,-20585773.92,,0.0,-1209342799.91,5309297789.78,,0.0,4099954989.87,1292350950.38,165092450.49,304015930.29,304015930.29,,142736582.93,90217260.02,,,,4072105.04,3794107.82,-3091760.83,170645096.13,16533187.83,-62893434.74,-25003810.86,-37889623.88,,-251012362.29,3223149.42,-982001402.81,,,0.0,990359814.31,,,,,4099954989.87,5309297789.78,,,,,-1209342799.91,-30.4599006282,,,,,,,,,,,,-21.3932330595,6.2756600802,,,-29.5196001828,-35.9699831144,,,,,,8.900254687,-2.5230358226,-22.5325251372,,,-18.8363710359,,,-64.5122545792,662.4735295298,605.1180279778,233.8696496922,,,-89.5193164776,,,265.5631620415,-6.6886075093,-12.3481279316,,1537.7796360909,,419.2662237063,,,46.4773096579,,,-17.9368991224,-85.8820295057,-48.7475263767,47.3477803884,,-80.2421814242,,,-27.6364838365,-10.4724284022,22.0611601889,127.6565618292,,-52.698335717,,,,-12.0437199138,,,-170.9676024319,-197.4463320326,,,-174.4094579802,44.1160393673,,,-22.7778295321,-42.4613081122,334.9939928482,7.89422065,7.89422065,,11.2224787943,13.9624384172,,,,16877.2004057407,120.70740542,30.0550125269,-9.6040430648,-78.0537588861,-320.6328565215,6.7350006627,-419.5460447225,,35.088860554,100.484635055,-238.2865464881,,,,-64.5122545792,,,,,-22.7778295321,44.1160393673,,,,,-174.4094579802,标准无保留意见,,,,66807068.14,-14.749917156
300003.SZ,300003,乐普医疗,10141619,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-26 00:00:00,2024-10-26 00:00:00,CNY,6143186672.37,,,,,,,,,,,,130198620.52,151370828.07,,0.0,6424756120.96,1996815069.17,,,,,,1745226054.5,841197288.35,1237735529.27,,0.0,5820973941.29,,0.0,603782179.67,445036872.14,159232489.89,6435678.29,,,6153094.04,,0.0,616858134.36,697817454.96,528671461.1,,228593672.92,,239774416.28,,0.0,1694857005.26,,0.0,-1077998870.9,225824124.8,225824124.8,2540612016.0,,51848096.35,,0.0,2818284237.15,2110825000.0,760967533.27,11179110.35,,177851731.49,,,0.0,3049644264.76,,0.0,-231360027.61,-18931935.07,,0.0,-724508653.91,5309297789.78,,0.0,4584789135.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7895873128,,,,,,,,,,,,-5.5825936856,-8.7752827428,,,-25.1359210228,-31.5372502464,,,,,,10.2099694948,2.8800904651,-14.1882315895,,,-13.8937668074,,,-66.8555793849,531.1049516785,1158.3348266359,384.225814422,,,-90.7726911193,,,308.0184067157,3.794398091,127.3244864272,,966.8531196084,,56.2119495683,,,56.9617491768,,,-16.0878725823,-85.2705457367,150449.4165333333,66.2704198931,,-40.9776734521,,,-10.5020047488,39.0305582755,22.0814791549,63.4889655412,,-63.9871787299,,,,15.7171571763,,,-145.0500827715,-127.8891265351,,,-149.135574109,44.1160393673,,,-11.1225743921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300003.SZ,300003,乐普医疗,10141619,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-26 00:00:00,2024-08-24 00:00:00,CNY,4354132995.71,,,,,,,,,,,,68129828.24,103700549.0,,0.0,4525963372.95,1551277396.15,,,,,,1247456846.24,683209384.58,902318152.8,,0.0,4384261779.77,,0.0,141701593.18,281128135.78,35630696.93,6049538.67,,,2694175.14,,0.0,325502546.52,514712513.73,321752357.06,,1427220.04,,90875108.8,,0.0,928767199.63,,0.0,-603264653.11,225824124.8,225824124.8,1879058286.0,,50467752.3,,0.0,2155350163.1,1382625000.0,698099233.26,,,153292187.39,,,0.0,2234016420.65,,0.0,-78666257.55,-15561136.98,,0.0,-555790454.46,5309297789.78,,0.0,4753507335.32,998007394.11,19804968.61,160600514.22,160600514.22,,66794053.12,42142087.71,,,,-1253000.35,846499.96,-16271677.41,86972386.71,23036741.79,-25345833.8,-20295915.57,-5049918.23,,-176890345.25,181463217.3,-1250608816.32,,,0.0,141701593.18,,,,,4753507335.32,5309297789.78,,,,,-555790454.46,-22.3895057171,,,,,,,,,,,,5.2990402688,8.5671286922,,,-21.5666274305,-20.6960621023,,,,,,13.7052568623,14.6593809082,-4.3231989802,,,-4.5273085244,,,-87.9739932379,630.469623667,495.3840791934,406.9774356886,,,-89.8380198995,,,350.9844953167,11.9843014406,52.1941659633,,-93.2445400483,,-28.6290888049,,,13.3343465808,,,19.2759520973,150449.4165333333,150449.4165333333,61.4311242268,,-4.6880466287,,,77.0889842647,23.9316222462,24.0939779944,,,-59.2878961242,,,,8.7260987444,,,90.6083539299,-176.6639553306,,,-43.8582867042,44.1160393673,,,44.1462366942,-23.048079325,58.9218863531,46.6238708503,46.6238708503,,10.9674898884,11.3803528268,,,,-241.0221746273,175.2296818628,-9139.8207833333,-13.034558585,-42.3231855586,-152.6890355807,-323.9602218461,3.6867541416,,47.7608031619,147.1526208422,-681.6033958885,,,,-87.9739932379,,,,,44.1462366942,44.1160393673,,,,,-43.8582867042,,,,,32403402.78,-18.4584298554
