日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-25,27.6,27.79,26.75,27.23,44113268.0,1315181733.0,1527033954.0,0.0289
2021-01-26,27.26,27.26,26.01,26.08,35543966.0,1031713978.0,1527033954.0,0.0233
2021-01-27,25.96,26.22,25.12,25.35,38713161.0,1081124894.0,1527033954.0,0.0254
2021-01-28,24.97,25.02,23.99,24.23,42153110.0,1131482313.0,1527033954.0,0.0276
2021-01-29,24.47,24.59,23.81,24.52,24090495.0,641084401.0,1527033954.0,0.0158
2021-02-01,25.53,26.26,24.96,25.94,49106233.0,1381652485.0,1527033954.0,0.0322
2021-02-02,25.89,27.03,25.71,26.68,44426412.0,1296808966.0,1527033954.0,0.0291
2021-02-03,26.64,26.79,26.01,26.31,33267357.0,961683824.0,1527033954.0,0.0218
2021-02-04,26.31,27.33,26.03,27.03,44813695.0,1323060179.0,1527033954.0,0.0293
2021-02-05,27.23,27.51,26.17,26.17,33629262.0,989460455.0,1527033954.0,0.022
2021-02-08,26.44,28.36,26.44,28.23,60541189.0,1848169361.0,1527033954.0,0.0396
2021-02-09,28.37,30.06,27.88,29.38,73108615.0,2347626786.0,1527033954.0,0.0479
2021-02-10,29.9,30.86,29.56,30.74,66138776.0,2206493584.0,1527033954.0,0.0433
2021-02-18,31.55,31.62,29.47,29.66,68545209.0,2281223914.0,1527033954.0,0.0449
2021-02-19,30.08,30.99,29.9,30.13,46822962.0,1560704206.0,1527033954.0,0.0307
2021-02-22,30.16,30.16,28.83,28.86,51170440.0,1647412237.0,1527033954.0,0.0335
2021-02-23,28.72,29.48,28.59,29.11,31787771.0,1017325938.0,1527033954.0,0.0208
2021-02-24,29.2,29.98,28.9,29.22,38385266.0,1239151764.0,1527033954.0,0.0251
2021-02-25,29.27,29.38,28.1,28.28,35290384.0,1101860511.0,1527033954.0,0.0231
2021-02-26,27.81,29.31,27.72,29.02,37168276.0,1163632836.0,1527033954.0,0.0243
2021-03-01,29.16,29.99,28.85,29.13,29585126.0,954066064.0,1527033954.0,0.0194
2021-03-02,29.13,29.13,28.27,28.34,24218128.0,758163433.0,1527033954.0,0.0159
2021-03-03,28.26,28.96,28.12,28.83,18864842.0,590942825.0,1527033954.0,0.0124
2021-03-04,28.54,29.06,28.2,28.42,21180706.0,660546544.0,1527033954.0,0.0139
2021-03-05,28.09,28.41,27.57,28.04,23482023.0,721294850.0,1527033954.0,0.0154
2021-03-08,28.25,28.46,26.55,26.63,36582627.0,1097734409.0,1527033954.0,0.024
2021-03-09,26.5,27.12,25.42,25.98,31309563.0,900502254.0,1527033954.0,0.0205
2021-03-10,26.37,26.51,25.73,25.88,17253988.0,493486451.0,1527033954.0,0.0113
2021-03-11,25.88,26.44,25.87,26.26,17194877.0,493833478.0,1527033954.0,0.0113
2021-03-12,26.28,26.39,25.54,25.76,19587826.0,555883581.0,1527033954.0,0.0128
2021-03-15,25.54,25.97,25.3,25.61,18406979.0,516494276.0,1527033954.0,0.0121
2021-03-16,25.55,25.76,25.29,25.61,13458919.0,377226447.0,1527033954.0,0.0088
2021-03-17,25.62,26.08,25.47,25.76,16383007.0,464272742.0,1527033954.0,0.0107
2021-03-18,25.89,26.79,25.73,26.7,27557235.0,798819941.0,1527033954.0,0.018
2021-03-19,26.44,27.07,26.18,26.75,24711455.0,722042381.0,1527033954.0,0.0162
2021-03-22,26.7,27.23,26.62,27.09,20382129.0,603665433.0,1527033954.0,0.0133
2021-03-23,27.18,27.3,26.72,27.15,14203616.0,420267978.0,1527033954.0,0.0093
2021-03-24,26.9,27.12,25.9,25.97,21491579.0,621397937.0,1527033954.0,0.0141
2021-03-25,25.89,26.16,25.21,25.22,27641002.0,777361522.0,1527033954.0,0.0181
2021-03-26,25.57,26.12,25.49,26.01,19114909.0,542318891.0,1527033954.0,0.0125
2021-03-29,26.15,26.69,26.04,26.53,20852605.0,604066005.0,1527033954.0,0.0137
2021-03-30,26.35,26.65,25.95,26.52,14186370.0,411008625.0,1527033954.0,0.0093
