REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,PREPAYMENT,RESTRICTED_CASH,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,UNASSIGN_RPOFIT,储备,其他应付款及应计费用,其他非流动负债,可转换可赎回优先股,合同负债,合同资产,合营公司权益,商誉,存货,库存股,应付关联方款项(流动),应收帐款,总权益及非流动负债,总资产减总负债合计,投资物业,持作出售的负债(流动),持作出售的资产(流动),指定以公允价值记账之金融资产,指定以公允价值记账之金融资产(流动),无形资产,流动负债其他项目,物业厂房及设备,现金及等价物(非流动),短期存款,联营公司权益,融资租赁负债(流动),融资租赁负债(非流动),衍生金融工具-负债,衍生金融工具-负债(流动),递延税项负债,递延税项资产,长期应付款,非流动负债其他项目,非流动资产其他项目,预收款项
2018-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2018-12-31 00:00:00,2652948000.0,,,19249997000.0,10203557000.0,1204102000.0,,610000.0,,556000.0,28444065000.0,16546310000.0,22101312000.0,11897755000.0,-1833210000.0,29360670000.0,28444065000.0,6342753000.0,17462915000.0,-916605000.0,-2095273000.0,1178058000.0,9232110000.0,,17462915000.0,7170000.0,23249000.0,150000000.0,,224010000.0,,,1640816000.0,16546310000.0,-916605000.0,,,,1101545000.0,,12571000.0,,4837775000.0,,,,,,,,,,,,,4971000.0
2019-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2019-12-31 00:00:00,3957416000.0,,32446000.0,9274203000.0,5822308000.0,11952311000.0,,610000.0,,16772000.0,40053118000.0,21599964000.0,24275462000.0,18453154000.0,-4202438000.0,42138114000.0,40053118000.0,15777656000.0,23684960000.0,-2084996000.0,-4333365000.0,2215313000.0,11186020000.0,,18069639000.0,11935000.0,50470000.0,,,259932000.0,,109239000.0,3229663000.0,21599964000.0,-2084996000.0,,,,1026599000.0,,14242000.0,,5337907000.0,,,287932000.0,3103550000.0,5573267000.0,,,42054000.0,,,,8619859000.0,68222000.0
2020-09-30,02618.HK,02618,京东物流,10000173876,004,12-31,2020-09-30 00:00:00,4271741000.0,111605000.0,2205178000.0,9784872000.0,5317824000.0,13702442000.0,97811000.0,611000.0,611671000.0,27387000.0,56594535000.0,29535965000.0,32376394000.0,27058570000.0,-480800000.0,55732346000.0,56594535000.0,24218141000.0,28673776000.0,862189000.0,-4404591000.0,3060991000.0,17530335000.0,,19591129000.0,75742000.0,50608000.0,,1499142000.0,312134000.0,,123614000.0,4762302000.0,29535965000.0,862189000.0,,,,1067960000.0,3541131000.0,2894174000.0,,6067048000.0,,1021515000.0,275703000.0,4208143000.0,7432648000.0,589353000.0,,749041000.0,,200000000.0,,11517693000.0,209937000.0
2020-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2020-12-31 00:00:00,5811619000.0,,2248040000.0,6346869000.0,2800837000.0,13477865000.0,56743000.0,611000.0,,54407000.0,54723102000.0,28384051000.0,29139888000.0,26339051000.0,-8035304000.0,57616734000.0,54723102000.0,25583214000.0,31277683000.0,-2893632000.0,-8511016000.0,3368733000.0,15410593000.0,,21918414000.0,67548000.0,58602000.0,7742000.0,1499142000.0,393086000.0,,116950000.0,5371323000.0,28384051000.0,-2893632000.0,,,,1057358000.0,947738000.0,2807787000.0,,6652425000.0,4991000.0,3588695000.0,224021000.0,4619073000.0,7844604000.0,597380000.0,,717285000.0,43112000.0,,200000000.0,12185603000.0,258861000.0
2021-06-30,02618.HK,02618,京东物流,10000173876,002,12-31,2021-06-30 00:00:00,6863368000.0,,2399169000.0,25887706000.0,22930761000.0,3647153000.0,400308000.0,971000.0,560000000.0,69632000.0,74571306000.0,51896698000.0,45605369000.0,22674608000.0,78412439000.0,34165502000.0,74571306000.0,28965937000.0,11490894000.0,40405804000.0,-23871420000.0,61877168000.0,9490017000.0,,,80408000.0,82219000.0,19859000.0,1499142000.0,538741000.0,-84000.0,130161000.0,12785589000.0,51896698000.0,40405804000.0,,,,1128480000.0,935233000.0,2629385000.0,,8131578000.0,3420000.0,2644040000.0,209464000.0,5268570000.0,8990282000.0,614197000.0,,686415000.0,31973000.0,,1200000000.0,13997016000.0,212452000.0
2021-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2021-12-31 00:00:00,6772692000.0,,2451037000.0,17922779000.0,20855286000.0,5610606000.0,7316000.0,971000.0,,70050000.0,76795068000.0,52249487000.0,45400867000.0,24545581000.0,78327229000.0,36405935000.0,76795068000.0,31394201000.0,11860354000.0,40389133000.0,-24360894000.0,62298093000.0,11044538000.0,,,125638000.0,113685000.0,15266000.0,1499142000.0,683168000.0,-74000.0,46145000.0,12164028000.0,52249487000.0,,,,,1527296000.0,2577978000.0,2458116000.0,,8875146000.0,,8412913000.0,140445000.0,5763509000.0,9409162000.0,631014000.0,,720178000.0,87788000.0,,1100000000.0,14699396000.0,723009000.0
2022-06-30,02618.HK,02618,京东物流,10000173876,002,12-31,2022-06-30 00:00:00,8053301000.0,,2527533000.0,27422587000.0,26648498000.0,5967438000.0,14882000.0,1039000.0,850000000.0,53992000.0,86489079000.0,58724209000.0,54413368000.0,27764870000.0,92672595000.0,38889015000.0,86489079000.0,32075711000.0,11124145000.0,47600064000.0,-25822953000.0,70894518000.0,11873859000.0,,,167787000.0,141466000.0,16406000.0,1499142000.0,717750000.0,-73000.0,41460000.0,14020193000.0,58724209000.0,,,,,1438544000.0,2755303000.0,2278455000.0,,9554230000.0,,5845930000.0,81531000.0,5988995000.0,9186143000.0,,,753684000.0,64608000.0,,1184318000.0,14670614000.0,735476000.0
2022-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2022-12-31 00:00:00,9099869000.0,5108162000.0,6627861000.0,21495352000.0,23357930000.0,8409815000.0,237753000.0,1039000.0,1300602000.0,405468000.0,106697271000.0,72451044000.0,57604157000.0,34246227000.0,99789261000.0,53488710000.0,106697271000.0,49093114000.0,19242483000.0,53208561000.0,-26310910000.0,72890641000.0,16091369000.0,,,192788000.0,301359000.0,17645000.0,6849216000.0,647445000.0,-70000.0,41164000.0,14935066000.0,72451044000.0,,92291000.0,,,2470698000.0,1271454000.0,4434626000.0,,14988598000.0,,12660868000.0,280282000.0,6862661000.0,10502864000.0,,30064000.0,1596883000.0,150455000.0,,2034574000.0,17454348000.0,222242000.0
2023-06-30,02618.HK,02618,京东物流,10000173876,002,12-31,2023-06-30 00:00:00,8304582000.0,4405992000.0,6758205000.0,15456398000.0,24508768000.0,9131807000.0,234306000.0,1040000.0,3088319000.0,277184000.0,106794174000.0,72532663000.0,58770279000.0,34261511000.0,101896031000.0,52467056000.0,106794174000.0,48023895000.0,18205545000.0,54327118000.0,-26977622000.0,74545564000.0,15015658000.0,,,221187000.0,343874000.0,19454000.0,6849216000.0,536535000.0,-69000.0,52769000.0,15655105000.0,72532663000.0,,91181000.0,,,2223524000.0,2721787000.0,4118218000.0,,15002913000.0,,16644311000.0,150893000.0,7058360000.0,10265081000.0,,934000.0,1458679000.0,130301000.0,,2075793000.0,17484351000.0,242518000.0
2023-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2023-12-31 00:00:00,8729612000.0,5345000000.0,7215720000.0,17207027000.0,17327022000.0,17616689000.0,193960000.0,1041000.0,4620326000.0,367832000.0,112901717000.0,73570317000.0,56658422000.0,39331400000.0,103531550000.0,57528082000.0,112901717000.0,56243295000.0,18196682000.0,55373635000.0,-26041416000.0,74198356000.0,17760888000.0,,,298305000.0,343436000.0,21656000.0,6849216000.0,624288000.0,-66000.0,50305000.0,14709125000.0,73570317000.0,,42385000.0,,269723000.0,1694500000.0,8150970000.0,3803082000.0,18020000.0,16060401000.0,,7714757000.0,153556000.0,7106378000.0,10180823000.0,,,1454218000.0,87166000.0,,1216641000.0,17359780000.0,379734000.0
2024-06-30,02618.HK,02618,京东物流,10000173876,002,12-31,2024-06-30 00:00:00,7252906000.0,5250000000.0,7493421000.0,17919821000.0,23238249000.0,14668386000.0,238854000.0,1044000.0,2579845000.0,328139000.0,111451279000.0,76215021000.0,58474507000.0,35236258000.0,109045223000.0,53181957000.0,111451279000.0,52976772000.0,17945699000.0,58269322000.0,-23782795000.0,74557717000.0,17274342000.0,,,299956000.0,317417000.0,23976000.0,6849216000.0,661974000.0,-65000.0,50763000.0,15111185000.0,76215021000.0,,362130000.0,,,1429780000.0,10743596000.0,3498191000.0,,15733840000.0,,6974800000.0,149433000.0,6856591000.0,10045338000.0,,,1385300000.0,91117000.0,,1265061000.0,16677563000.0,593716000.0
2024-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2024-12-31 00:00:00,8568084000.0,2760000000.0,7646954000.0,25811757000.0,28028139000.0,16908134000.0,335996000.0,1045000.0,4468230000.0,652940000.0,117867788000.0,78155739000.0,67740188000.0,39712049000.0,118286886000.0,54900868000.0,117867788000.0,50127600000.0,15188819000.0,62966920000.0,-20095422000.0,75414403000.0,18300336000.0,1594491000.0,,382081000.0,333561000.0,27488000.0,6849216000.0,645798000.0,-60000.0,50999000.0,15744864000.0,78155739000.0,,360490000.0,29778000.0,262696000.0,1532736000.0,9694394000.0,3204262000.0,,16001564000.0,,3814742000.0,153671000.0,6509314000.0,9432189000.0,,,1402139000.0,357590000.0,,,15828829000.0,750287000.0
2025-06-30,02618.HK,02618,京东物流,10000173876,002,12-31,2025-06-30 00:00:00,8796405000.0,3750870000.0,5252058000.0,17317766000.0,22048054000.0,15119429000.0,394063000.0,1048000.0,2225531000.0,430546000.0,118908791000.0,79133075000.0,61823770000.0,39775716000.0,112919424000.0,59823050000.0,118908791000.0,57085021000.0,20047334000.0,59085741000.0,-17515769000.0,71348463000.0,19898604000.0,4203859000.0,,555932000.0,244696000.0,29641000.0,6849216000.0,746937000.0,-59000.0,50279000.0,17590963000.0,79133075000.0,,687916000.0,,,8787430000.0,10658440000.0,2912710000.0,,16325317000.0,,3197848000.0,148556000.0,6957743000.0,10744305000.0,,,1348300000.0,404861000.0,,,17493002000.0,860676000.0
