REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:应占附属公司溢利,减:投资收益,减:汇兑收益,减:重估盈余,加:减值及拨备,加:利息支出,加:购股权开支,吸收投资所得,存款减少(增加),存货(增加)减少,已付利息(融资),已收利息(经营),已收股息(投资),应付帐款及应计费用增加(减少),应收关联方款项(增加)减少(投资),应收帐款减少,投资支付现金,收回投资所得现金,期间变动其他项目,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,除税前溢利(业务利润),非运算项目,预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
2018-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2018-01-01 00:00:00,17458789000.0,,293250000.0,,16389945000.0,2422619000.0,2342000.0,19249997000.0,1158410000.0,1317869000.0,,18776658000.0,-3408482000.0,1021769000.0,,,891033000.0,,-641169000.0,,,,,,-12546000.0,326519000.0,,,-240000.0,-252206000.0,52330000.0,63224000.0,910385000.0,,,-178244000.0,,130736000.0,,2438188000.0,,-1023008000.0,983832000.0,,2566802000.0,-16079000.0,,4373000.0,-2763991000.0,,-457444000.0,768789000.0
2019-09-30,02618.HK,02618,京东物流,10000173876,004,12-31,2019-01-01 00:00:00,,,19249997000.0,,-11692548000.0,1679857000.0,14642000.0,7563310000.0,2889104000.0,-9771619000.0,,-11478380000.0,-2474252000.0,2260084000.0,,357350000.0,2001603000.0,,3331908000.0,18630000.0,,,,1605233000.0,4295000.0,299662000.0,-3834000.0,176000.0,-16552000.0,-366941000.0,268487000.0,333702000.0,721132000.0,151782000.0,,16290000.0,253310000.0,277111000.0,,166575000.0,,-1603162000.0,352268000.0,,5861000.0,24483000.0,,99419000.0,-963711000.0,,-5893815000.0,5959324000.0
2019-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2019-01-01 00:00:00,,,19249997000.0,2661000.0,-9874601000.0,1746210000.0,16776000.0,9274203000.0,3933423000.0,-7429912000.0,,-9894983000.0,-2609912000.0,2630294000.0,,357350000.0,2307360000.0,,3966140000.0,19061000.0,,,,2268543000.0,4610000.0,386140000.0,-68627000.0,6511000.0,-21641000.0,-784718000.0,287131000.0,430105000.0,997912000.0,151782000.0,,-41854000.0,345649000.0,341995000.0,,1304468000.0,3854000.0,-1716299000.0,390268000.0,1200000.0,-101193000.0,-22456000.0,,130206000.0,-2160156000.0,,-6160392000.0,4977753000.0
2020-06-30,02618.HK,02618,京东物流,10000173876,002,12-31,2020-01-01 00:00:00,,,9274203000.0,1496000.0,255204000.0,1410474000.0,7538000.0,9658185000.0,,-1503231000.0,-74335000.0,-3142167000.0,-1794976000.0,5192347000.0,3397371000.0,,5131881000.0,,,19728000.0,,,,1450327000.0,,,,,,,,,,15000000.0,,,202113000.0,80194000.0,,,,,300564000.0,,128778000.0,,,17141000.0,,,,
2020-09-30,02618.HK,02618,京东物流,10000173876,004,12-31,2020-01-01 00:00:00,443040000.0,,9274203000.0,1699000.0,739818000.0,1758564000.0,11184000.0,9784872000.0,3477127000.0,3392028000.0,1172275000.0,1513404000.0,-7408940000.0,6635354000.0,,1474290000.0,6525442000.0,,6024554000.0,18402000.0,262832000.0,300000000.0,,2074504000.0,1550000.0,202773000.0,-12130000.0,625000.0,-16387000.0,-1505497000.0,165318000.0,314882000.0,741759000.0,15000000.0,-1021759000.0,-24134000.0,297629000.0,128314000.0,,-520877000.0,38230000.0,-857705000.0,4087520000.0,14375000.0,-229149000.0,63669000.0,,226411000.0,-3598000.0,,-1238512000.0,3078447000.0
2020-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2020-01-01 00:00:00,443040000.0,,9274203000.0,6335000.0,-2302275000.0,3178221000.0,41659000.0,6346869000.0,,-20243000.0,-267589000.0,-3732868000.0,-8770504000.0,10201097000.0,1430593000.0,1474290000.0,10088650000.0,,,46126000.0,986108000.0,300000000.0,,3054659000.0,,,,,,,,,,15000000.0,-3552745000.0,,423563000.0,158573000.0,,,,,323371000.0,28750000.0,-625059000.0,,,44697000.0,,,,
2021-06-30,02618.HK,02618,京东物流,10000173876,002,12-31,2021-01-01 00:00:00,23049955000.0,,6346869000.0,1906000.0,19437346000.0,1582704000.0,23336000.0,25887706000.0,,-565328000.0,-126431000.0,20340108000.0,-1142512000.0,239750000.0,-902762000.0,13500000.0,231958000.0,,,57315000.0,10000000.0,570000000.0,,2394116000.0,,,,,,,,,,13200000.0,563640000.0,,321697000.0,65107000.0,,,,,-18663000.0,,103491000.0,,,25516000.0,,,,
2021-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2021-01-01 00:00:00,23010798000.0,,6346869000.0,5597000.0,11681583000.0,4152475000.0,78824000.0,17922779000.0,7794540000.0,-641219000.0,-110324000.0,16596681000.0,-11122435000.0,6207337000.0,-4915098000.0,,6061935000.0,,6858368000.0,86513000.0,670000000.0,570000000.0,45042000.0,5010778000.0,9798000.0,233628000.0,-36769000.0,8114000.0,-21918000.0,-12531453000.0,159514000.0,718853000.0,1447219000.0,13200000.0,-5084683000.0,-290205000.0,669723000.0,231915000.0,,961073000.0,,-6935901000.0,1816448000.0,5757000.0,-105673000.0,3007000.0,,88128000.0,-15600358000.0,-15600358000.0,-1308558000.0,6774151000.0
2022-06-30,02618.HK,02618,京东物流,10000173876,002,12-31,2022-01-01 00:00:00,6924148000.0,,17922779000.0,2888000.0,8564958000.0,1422227000.0,39087000.0,27422587000.0,,,-845401000.0,3738956000.0,731694000.0,4094308000.0,4826002000.0,,4027440000.0,,,70098000.0,730000000.0,1530000000.0,65487000.0,2836499000.0,,,,,,,,,,,2904756000.0,,389528000.0,136966000.0,,,,,2538000.0,22000000.0,934850000.0,,756277000.0,29470000.0,,,,
2022-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2022-01-01 00:00:00,6924148000.0,,17922779000.0,3263000.0,1687804000.0,4833356000.0,157743000.0,21495352000.0,10016489000.0,,-222882000.0,1480998000.0,-13107418000.0,13314224000.0,206806000.0,7710937000.0,12958264000.0,,11390673000.0,126255000.0,6558271000.0,9484250000.0,64163000.0,6151556000.0,-94398000.0,616846000.0,-13036000.0,4981000.0,-60804000.0,-180837000.0,324892000.0,893323000.0,1242901000.0,,-3589083000.0,9926000.0,873301000.0,482215000.0,11287000.0,1467964000.0,,-1101193000.0,-2738609000.0,449409000.0,1884769000.0,-700460000.0,1341009000.0,172371000.0,-814180000.0,-814180000.0,-305121000.0,2196475000.0
