REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,CAPITAL_RESERVE,DEFER_INCOME,DEFER_INCOME_1YEAR,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,OTHER_CURRENT_ASSET,PREPAYMENT,RESTRICTED_CASH,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,UNASSIGN_RPOFIT,其他储备,其他投资,其他综合性收益,其他非流动负债,可供出售投资,商誉,土地使用权,在建工程,存货,库存股,应付关联方款项(流动),应付票据,应付票据(非流动),应收关联方款项,应收帐款,总权益及非流动负债,总资产减总负债合计,持作出售的负债(流动),持作出售的资产(流动),无形资产,流动负债其他项目,流动资产其他项目,物业厂房及设备,股东权益其他项目,融资租赁负债(流动),融资租赁负债(非流动),证券投资,贷款及垫款(流动),递延税项负债,递延税项资产,长期应收款,非流动负债其他项目,非流动资产其他项目,非运算项目,预收款项
2017-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2017-12-31 00:00:00,74337708000.0,76254607000.0,1273545000.0,1592332000.0,,347889000.0,25688327000.0,-3221969000.0,8587852000.0,2653478000.0,4110210000.0,377000.0,200000000.0,658220000.0,184054966000.0,65804345000.0,115028652000.0,118250621000.0,104429517000.0,131666263000.0,184054966000.0,69026314000.0,13415642000.0,52388703000.0,-22234609000.0,635966000.0,18551319000.0,1842081000.0,,,6650570000.0,7050809000.0,3196516000.0,41700379000.0,-4457608000.0,54342000.0,,6447357000.0,10796561000.0,16359147000.0,65804345000.0,52388703000.0,,,6692717000.0,27802721000.0,,12574178000.0,,,,10027813000.0,5132698000.0,882248000.0,158250000.0,1896200000.0,4812492000.0,2227942000.0,52388703000.0,13605298000.0
2018-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2018-12-31 00:00:00,79985018000.0,82832895000.0,463153000.0,1980489000.0,3088440000.0,17057171000.0,34262445000.0,-16006236000.0,2035575000.0,4325334000.0,3239613000.0,380000.0,147264000.0,825677000.0,209164857000.0,88302842000.0,104855779000.0,120862015000.0,136599117000.0,132336713000.0,209164857000.0,104309078000.0,11474698000.0,76828144000.0,-24038081000.0,1400412000.0,31356616000.0,3359096000.0,,,6643669000.0,10475658000.0,6553712000.0,44030084000.0,-3783729000.0,215614000.0,,6786143000.0,3136265000.0,11109988000.0,88302842000.0,76828144000.0,,,5011706000.0,24690350000.0,,21082838000.0,,,,15901573000.0,2716475000.0,828473000.0,103158000.0,1896200000.0,308489000.0,5283948000.0,60866860000.0,13017603000.0
2019-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2019-12-31 00:00:00,90428382000.0,90676122000.0,1942635000.0,3326594000.0,3139290000.0,18768261000.0,36971420000.0,-922463000.0,24602777000.0,4671232000.0,2940859000.0,381000.0,,2015788000.0,259723704000.0,119706683000.0,139094558000.0,140017021000.0,182480201000.0,159099473000.0,259723704000.0,120629146000.0,19082452000.0,100624231000.0,-11912679000.0,1459165000.0,35575807000.0,4163147000.0,,,6643669000.0,10891742000.0,5806308000.0,57932156000.0,-2530166000.0,317978000.0,,6912492000.0,4234067000.0,6190588000.0,119706683000.0,,,,4110034000.0,24656180000.0,,20654071000.0,,3193480000.0,5523164000.0,21417104000.0,1551459000.0,1338988000.0,80556000.0,,225883000.0,15449855000.0,84659847000.0,16078619000.0
2020-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2020-03-31 00:00:00,16150898000.0,91402064000.0,1912741000.0,1180931000.0,3188295000.0,18954392000.0,43529407000.0,7954571000.0,29364492000.0,6220205000.0,2246361000.0,381000.0,8601811000.0,1265959000.0,265695742000.0,129098242000.0,144552071000.0,136597500000.0,187534126000.0,162451483000.0,265695742000.0,121143671000.0,25853983000.0,103244259000.0,-10839858000.0,1459165000.0,36772791000.0,4902433000.0,,,6643669000.0,10432470000.0,6264929000.0,50584695000.0,-2634318000.0,25375911000.0,,13943189000.0,2528439000.0,8264122000.0,129098242000.0,103244259000.0,,165994000.0,3960438000.0,79892062000.0,,17487942000.0,,14736000.0,5325542000.0,20780630000.0,1648356000.0,1277404000.0,80556000.0,7292783000.0,206812000.0,11427463000.0,87279093000.0,4115192000.0
2020-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2020-06-30 00:00:00,100209905000.0,,1862264000.0,4054132000.0,3185775000.0,19657816000.0,71571976000.0,33528158000.0,48730308000.0,11202050000.0,5742904000.0,,8788184000.0,2515719000.0,352480435000.0,180531921000.0,205476672000.0,171948514000.0,292349324000.0,196476865000.0,352480435000.0,147003763000.0,24528351000.0,156003570000.0,,,48202565000.0,,,,9271897000.0,10902645000.0,7742463000.0,54476745000.0,,1179112000.0,3532830000.0,10404250000.0,3804468000.0,9674251000.0,180531921000.0,156003570000.0,58870000.0,273970000.0,4408977000.0,28733986000.0,,17909536000.0,,4109880000.0,7492961000.0,26417909000.0,,1398509000.0,153935000.0,,184592000.0,21993836000.0,140037610000.0,18765896000.0
2020-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2020-09-30 00:00:00,105302644000.0,,1780299000.0,3435660000.0,3176150000.0,24518408000.0,73112971000.0,34971701000.0,48402228000.0,11066392000.0,5163987000.0,,2941671000.0,2640043000.0,374300209000.0,201704612000.0,207567298000.0,172595597000.0,325635350000.0,199223330000.0,374300209000.0,166732911000.0,26627733000.0,175076879000.0,,,51954345000.0,,,,10927803000.0,11032402000.0,6715352000.0,55345624000.0,,359027000.0,3400371000.0,10011115000.0,7422226000.0,6691873000.0,201704612000.0,175076879000.0,185978000.0,361997000.0,6740614000.0,27670485000.0,,21579057000.0,,4962214000.0,9476701000.0,27803623000.0,,2026037000.0,153935000.0,228715000.0,157431000.0,29597065000.0,157946716000.0,21697504000.0
2020-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2020-12-31 00:00:00,106818000000.0,153358000000.0,1618000000.0,3417000000.0,2936000000.0,34076000000.0,86085000000.0,60784000000.0,60577000000.0,10844000000.0,4434000000.0,,,3029000000.0,422288000000.0,248271000000.0,234801000000.0,174017000000.0,409162000000.0,200669000000.0,422288000000.0,187487000000.0,26652000000.0,221619000000.0,37418000000.0,1533000000.0,58501000000.0,-3548000000.0,,1330000000.0,10904000000.0,11125000000.0,7906000000.0,58933000000.0,-1218000000.0,585000000.0,3260000000.0,9594000000.0,6667000000.0,7112000000.0,248271000000.0,,360000000.0,149000000.0,6463000000.0,30035000000.0,,22597000000.0,,5513000000.0,10250000000.0,39085000000.0,,1922000000.0,533000000.0,243000000.0,332000000.0,28800000000.0,238562000000.0,21000000000.0
2021-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2021-03-31 00:00:00,97098678000.0,,1603010000.0,4615646000.0,2957085000.0,37440534000.0,71408394000.0,65343403000.0,63470268000.0,12077503000.0,3970404000.0,,1017699000.0,1772357000.0,414998822000.0,252762387000.0,227579838000.0,162236435000.0,414784868000.0,188886121000.0,414998822000.0,187418984000.0,26649686000.0,226112701000.0,,,62297425000.0,,,,11627913000.0,11787709000.0,7619409000.0,59524389000.0,,361282000.0,3285003000.0,9665524000.0,9241566000.0,7751204000.0,252762387000.0,226112701000.0,197702000.0,136110000.0,6309489000.0,27205072000.0,,22463058000.0,,5667129000.0,10256310000.0,34155673000.0,,1855965000.0,580057000.0,248214000.0,311792000.0,30330037000.0,208509297000.0,21015867000.0
2021-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2021-06-30 00:00:00,127966501000.0,,1517757000.0,4479902000.0,2907045000.0,32646822000.0,97347080000.0,88686256000.0,75452533000.0,15753310000.0,5309698000.0,,562398000.0,1962800000.0,476131787000.0,279215656000.0,285602387000.0,196916131000.0,466164680000.0,226726036000.0,476131787000.0,190529400000.0,29809905000.0,249405751000.0,,,66398713000.0,,,934906000.0,12310330000.0,12480251000.0,7668081000.0,65768288000.0,,367528000.0,,9504686000.0,11877241000.0,,279215656000.0,,181324000.0,146144000.0,6303711000.0,30311713000.0,13948093000.0,25135571000.0,216758929000.0,6061668000.0,11471003000.0,26366575000.0,,2001949000.0,636737000.0,251963000.0,2407465000.0,32042562000.0,496406450000.0,25022297000.0
2021-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2021-09-30 00:00:00,126442308000.0,,1355767000.0,3813161000.0,2947910000.0,33831656000.0,87997670000.0,84631850000.0,102346912000.0,15222518000.0,5872018000.0,,7027897000.0,2318572000.0,483046934000.0,278877839000.0,288800945000.0,204169095000.0,464460348000.0,233900932000.0,483046934000.0,194245989000.0,29731837000.0,249146002000.0,,,67128486000.0,,,,12395299000.0,13321660000.0,6847557000.0,60043995000.0,,426585000.0,,9544666000.0,6366529000.0,10951303000.0,278877839000.0,249146002000.0,,,6079799000.0,31460175000.0,,27884937000.0,,6404137000.0,11683031000.0,21898941000.0,,1949525000.0,853053000.0,257776000.0,2250938000.0,37578481000.0,247938789000.0,26276260000.0
