REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_OUTFLOW_OTHER,OPERATE_PROFIT,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,减:出售资产之溢利,减:利息收入,减:投资收益,减:汇兑收益,减:重估盈余,加:减值及拨备,加:购股权开支,吸收投资所得,处置无形资产及其他资产,存款减少(增加),存货(增加)减少,应付关联方款项增加(减少),应付帐款及应计费用增加(减少),应收关联方款项(增加)减少,应收帐款减少,投资支付现金,收回投资所得现金,期间变动其他项目,汇率影响,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,赎回债券,递延收入(增加)减少,除税前溢利(业务利润),非运算项目,预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
2017-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2017-01-01 00:00:00,135745000.0,,24163650000.0,,5634887000.0,3294286000.0,,29798537000.0,4206142000.0,20546403000.0,-12392240000.0,,19234985000.0,-39815291000.0,26856727000.0,,160658000.0,29342468000.0,-221010000.0,-2485741000.0,8536248000.0,2356888000.0,700000000.0,63374000.0,,-1926720000.0,213482000.0,,139823000.0,2780062000.0,209725000.0,,,-12788337000.0,-66370000.0,26106191000.0,2456933000.0,-545991000.0,23320900000.0,7414382000.0,,-641534000.0,4344370000.0,,8061589000.0,,-374042000.0,-18633000.0,12578713000.0,1673466000.0,
2018-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2018-01-01 00:00:00,19539217000.0,,29798537000.0,205886000.0,7703521000.0,9743453000.0,,37502058000.0,5573683000.0,171233000.0,-11225007000.0,,11219928000.0,-26078992000.0,20881422000.0,-5197570000.0,19578000.0,20881422000.0,-10454000.0,,8695722000.0,13160194000.0,4069997000.0,1331432000.0,,-1113105000.0,-192491000.0,-1512979000.0,785911000.0,3659989000.0,805561000.0,,,-2342058000.0,128909000.0,5466698000.0,1769930000.0,4162592000.0,2518000000.0,9053087000.0,,1681163000.0,211110000.0,,11626041000.0,,-603464000.0,-2800550000.0,37512216000.0,-1766407000.0,5158390000.0
2019-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2019-01-01 00:00:00,3052000.0,,37502058000.0,131010000.0,-758898000.0,784029000.0,,36743160000.0,1676623000.0,-3200271000.0,4743639000.0,,-2555951000.0,-1102985000.0,3323251000.0,,,3323251000.0,161412000.0,,4849542000.0,3732349000.0,4503800000.0,86012000.0,,-717422000.0,56218000.0,5750537000.0,329128000.0,618046000.0,827000.0,2513916000.0,,5780708000.0,-31789000.0,-8107032000.0,-1368932000.0,2136974000.0,8382334000.0,2417753000.0,,-423213000.0,-814398000.0,,1611930000.0,,-159791000.0,7239678000.0,,1037969000.0,
2019-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2019-01-01 00:00:00,,,37502058000.0,,-1628607000.0,,,35873451000.0,,,,,-3004955000.0,-22131473000.0,23515401000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-7580000.0,,,,,,,,,
2019-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2019-01-01 00:00:00,,,37502058000.0,,-2742830000.0,,,34759228000.0,,,,,-515402000.0,-27801801000.0,24777519000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,796854000.0,,,,,,,,,
2019-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2019-01-01 00:00:00,112000000.0,,37502000000.0,131000000.0,2410000000.0,2597000000.0,,39912000000.0,5843000000.0,-6000000.0,-5089000000.0,,2572000000.0,-25349000000.0,24781000000.0,-568000000.0,41000000.0,24781000000.0,533000000.0,,17438000000.0,9856000000.0,5804000000.0,5019000000.0,,-1738000000.0,124000000.0,3496000000.0,2378000000.0,3695000000.0,6649000000.0,7905000000.0,,-13916000000.0,135000000.0,10391000000.0,-1501000000.0,3723000000.0,24749000000.0,5624000000.0,,406000000.0,429000000.0,,6402000000.0,,455000000.0,11890000000.0,77414000000.0,3209000000.0,4418000000.0
2020-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2020-01-01 00:00:00,,,39912279000.0,,5956946000.0,,,45869225000.0,,,,,15086410000.0,-8196352000.0,-1542477000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,609365000.0,,,,,,,-4406477000.0,,
2020-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2020-01-01 00:00:00,,,39912279000.0,,37579102000.0,,,77491381000.0,,,,,43541004000.0,-31586306000.0,25075071000.0,-6511235000.0,,,,,,,,,,,,,,,,,,,,,,,,,,549333000.0,,,,,,,20581999000.0,,
2020-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2020-01-01 00:00:00,,,39912279000.0,,38773898000.0,,,78686177000.0,,,,,47658991000.0,-44105163000.0,37330749000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2110679000.0,,,,,,,,,
2020-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2020-01-01 00:00:00,32021000000.0,,39912000000.0,312000000.0,50723000000.0,3370000000.0,,90519000000.0,6087000000.0,-9000000.0,-10689000000.0,6804000000.0,71072000000.0,-57811000000.0,42544000000.0,-15267000000.0,-671000000.0,42544000000.0,-730000000.0,,23867000000.0,16705000000.0,14766000000.0,1581000000.0,,4570000000.0,-90000000.0,29483000000.0,561000000.0,4156000000.0,34579000000.0,4787000000.0,-5000000000.0,799000000.0,282000000.0,11095000000.0,583000000.0,-412000000.0,61364000000.0,26240000000.0,-116000000.0,-5082000000.0,289000000.0,,9086000000.0,72000000.0,-235000000.0,49337000000.0,139564000000.0,1492000000.0,4784000000.0
