REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ASSET_IMPAIRMENT_LOSS,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,INTEREST_INCOME,MANAGE_EXPENSE,MINORITY_INTEREST,NETPROFIT,NETPROFIT_OTHER,NON_OPERATING_ITEMS,OPERATE_COST,OPERATE_INCOME,OPERATE_PROFIT,PARENT_TCI,RESEARCH_EXPENSE,SALE_EXPENSE,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他支出,出售资产之溢利,终止或非持续业务溢利,非控股权益应占全面收益总额
2017-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2017-01-01 00:00:00,,-0.05,-18633000.0,-0.05,963742000.0,50814923000.0,-152257000.0,139593000.0,2530490000.0,4214790000.0,140539000.0,-11718000.0,-610312000.0,7005848830.9,311516831000.0,724663508000.0,-835476000.0,146431000.0,6652374000.0,14918107000.0,120960000.0,286970000.0,298688000.0,298688000.0,25865128000.0,,6915000.0,140539000.0
2018-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2018-01-01 00:00:00,22317000.0,-0.87,-2800550000.0,-0.87,854538000.0,65953633000.0,-2491633000.0,426872000.0,2117921000.0,5159666000.0,-308917000.0,-2800550000.0,-1017930000.0,5359716103000.0,396066126000.0,924039518000.0,-2619131000.0,182024000.0,12144383000.0,19236740000.0,-2373678000.0,-126893000.0,2673657000.0,2673657000.0,32009658000.0,,,-308917000.0
2019-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2019-01-01 00:00:00,,2.53,,2.48,187445000.0,18183707000.0,7319133000.0,279640000.0,312575000.0,1321075000.0,-79455000.0,7239678000.0,6168614000.0,5766007872.0,102897352000.0,242162118000.0,1225574000.0,6463654000.0,3716545000.0,3940399000.0,7519318000.0,6384199000.0,-855479000.0,-855479000.0,8063332000.0,83218000.0,,-79455000.0
2019-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2019-01-01 00:00:00,,2.73,,2.68,342291000.0,40308726000.0,7937950000.0,718447000.0,688274000.0,2677101000.0,-152390000.0,7785560000.0,4665898000.0,5862707760.0,231052935000.0,542723322000.0,3492126000.0,,7442448000.0,9561779000.0,8504007000.0,,,,17218490000.0,83218000.0,,
2019-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2019-01-01 00:00:00,,2.94,,2.89,505238000.0,60422890000.0,8550201000.0,1323303000.0,1191145000.0,4018365000.0,-213947000.0,8336254000.0,508317000.0,6355691137.89,345781556000.0,812408892000.0,8465333000.0,,11027619000.0,14008595000.0,9659557000.0,,,,25973275000.0,3070297000.0,,
2019-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2019-01-01 00:00:00,,4.18,11890000000.0,4.11,725000000.0,84421000000.0,12184000000.0,1803000000.0,,5490000000.0,-294000000.0,11890000000.0,5423000000.0,5879466631000000.0,492467000000.0,1153776000000.0,8995000000.0,12988000000.0,14619000000.0,22234000000.0,13693000000.0,12738000000.0,848000000.0,848000000.0,36968000000.0,3885000000.0,,-250000000.0
2020-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2020-01-01 00:00:00,,0.37,,0.36,207100000.0,22535510000.0,1072821000.0,326444000.0,,1411796000.0,-15638000.0,1057183000.0,-729722000.0,1450.0,123669699000.0,292410418000.0,2320449000.0,,3935159000.0,4468316000.0,1383627000.0,,,,10399790000.0,,,
2020-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2020-01-01 00:00:00,,5.95,17470206000.0,5.68,531318000.0,51170997000.0,17519434000.0,1122994000.0,,2834923000.0,-49228000.0,17470206000.0,11759994000.0,5667907730023.27,296088270000.0,694518534000.0,7364524000.0,,7538759000.0,11272235000.0,18593200000.0,,,,22356142000.0,195586000.0,,
2020-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2020-01-01 00:00:00,,8.37,,8.02,829120000.0,77966015000.0,25079772000.0,1813367000.0,,4431265000.0,-24081000.0,25055691000.0,15950305000.0,20513227060.74,443507716000.0,1042947462000.0,11747873000.0,,11645498000.0,16732743000.0,26869058000.0,,,,33948204000.0,539568000.0,,
2020-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2020-01-01 00:00:00,,16.35,49337000000.0,15.84,1125000000.0,109108000000.0,49405000000.0,1482000000.0,,6409000000.0,-68000000.0,49337000000.0,39601000000.0,6130196266000000.0,636694000000.0,1491604000000.0,12343000000.0,41693000000.0,16149000000.0,27156000000.0,50819000000.0,41327000000.0,-8010000000.0,-8010000000.0,48700000000.0,1649000000.0,,-366000000.0
2021-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2021-01-01 00:00:00,,1.16,,1.13,258000000.0,29122000000.0,3617000000.0,480000000.0,,2213000000.0,25000000.0,3642000000.0,2720000000.0,13491000012.11,174054000000.0,406352000000.0,1660000000.0,,4530000000.0,6999000000.0,4122000000.0,,,,13803000000.0,83000000.0,,
2021-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2021-01-01 00:00:00,,1.42,4120000000.0,1.38,491000000.0,60852000000.0,4412000000.0,1049000000.0,,4774000000.0,-292000000.0,4120000000.0,3699000000.0,-396124999994.4,396125000000.0,913954000000.0,1961000000.0,,8223000000.0,17611000000.0,5169000000.0,,,,28453000000.0,170000000.0,,
2021-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2021-01-01 00:00:00,,0.52,851000000.0,0.5,766000000.0,91944000000.0,1605000000.0,1702000000.0,,7825000000.0,-754000000.0,851000000.0,-1214000000.0,6300429901000030.0,583741000000.0,1351370000000.0,4533000000.0,,12227000000.0,25380000000.0,2553000000.0,,,,42728000000.0,749000000.0,,
2021-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2021-01-01 00:00:00,,-1.15,-4467000000.0,-1.15,1213000000.0,129066000000.0,-3560000000.0,1887000000.0,,11562000000.0,-907000000.0,-4467000000.0,-5508000000.0,6214050804000000.0,822526000000.0,1903184000000.0,4141000000.0,-6102000000.0,16332000000.0,38743000000.0,-2580000000.0,-7339000000.0,-2872000000.0,-2872000000.0,59055000000.0,767000000.0,,-1237000000.0
2022-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2022-01-01 00:00:00,,-0.96,-3518000000.0,-0.96,345000000.0,33446000000.0,-2991000000.0,603000000.0,,2462000000.0,-527000000.0,-3518000000.0,-4979000000.0,-206209000003.84,206209000000.0,479310000000.0,2409000000.0,,4384000000.0,8705000000.0,-2915000000.0,,,,15486000000.0,,,
2022-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2022-01-01 00:00:00,,0.45,510000000.0,0.43,828000000.0,69340000000.0,1385000000.0,1831000000.0,,4788000000.0,-875000000.0,510000000.0,-2997000000.0,6300562085000020.0,437915000000.0,1014510000000.0,6166000000.0,,8411000000.0,18182000000.0,2341000000.0,,,,31793000000.0,,,
2022-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2022-01-01 00:00:00,,2.35,6470000000.0,2.22,1408000000.0,105536000000.0,7348000000.0,3581000000.0,,7408000000.0,-878000000.0,6470000000.0,-3436000000.0,6303354746000050.0,645254000000.0,1501580000000.0,14895000000.0,,12527000000.0,25787000000.0,10051000000.0,,,,46148000000.0,1229000000.0,,
2022-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2022-01-01 00:00:00,,3.32,9691000000.0,3.21,2106000000.0,147073000000.0,10380000000.0,4176000000.0,,11053000000.0,-689000000.0,9691000000.0,-3750000000.0,-892856542740.94,899163000000.0,2092472000000.0,19723000000.0,15511000000.0,16893000000.0,37772000000.0,13867000000.0,17501000000.0,7810000000.0,7810000000.0,63011000000.0,1379000000.0,,1990000000.0
2023-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2023-01-01 00:00:00,,1.99,6199000000.0,1.96,590000000.0,36018000000.0,6261000000.0,1609000000.0,,2501000000.0,-62000000.0,6199000000.0,1971000000.0,-206937999992.08,206938000000.0,485912000000.0,6427000000.0,,4186000000.0,8005000000.0,7808000000.0,,,,15371000000.0,472000000.0,,
2023-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2023-01-01 00:00:00,,4.09,13122000000.0,4.04,1244000000.0,77451000000.0,12842000000.0,4420000000.0,,4859000000.0,280000000.0,13122000000.0,4089000000.0,6313562712000050.0,453436000000.0,1061774000000.0,14697000000.0,,8258000000.0,19068000000.0,17542000000.0,,,,32050000000.0,1481000000.0,,
