SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
300014.SZ,300014,亿纬锂能,10144893,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-24 00:00:00,2025-10-24 00:00:00,CNY,34004380810.85,,,,,,,,,,,,679546355.98,898303135.95,,0.0,35582230302.78,24687587433.88,,,,,,4136333057.15,892129937.04,962354406.89,,0.0,30678404834.96,,0.0,4903825467.82,525188182.82,761796143.24,23809905.78,,,213090000.0,,0.0,1523884231.84,7458066064.89,364165378.03,,,,1665000000.0,,0.0,9487231442.92,,0.0,-7963347211.08,247500.0,247500.0,13273665654.22,,,,0.0,13273913154.22,6238315270.11,2849382394.04,745724516.09,,874149026.52,,,0.0,9961846690.67,,0.0,3312066463.55,82334568.86,,0.0,334879289.15,8511579167.94,,0.0,8846458457.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2785181472,,,,,,,,,,,,-24.2921420236,-17.6530875794,,,32.0766663662,26.9631938008,,,,,,17.0788850339,-6.3492413874,7.6430339352,,,23.5823366622,,,131.7142649138,1491.4793418788,94.2297221442,2118.0501518122,,,76003.5714285714,,,257.2434388536,82.3453011244,3.1519403019,,,,-22.7439003776,,,43.7832703792,,,-29.0296553455,,,43.7578567281,,,,,43.7605372287,50.4930919627,84.2646614468,,,78.8754575209,,,,61.1872406089,,,8.4836854756,128.4268603428,,,134.6560045757,-14.0512052868,,,-1.0107422497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300014.SZ,300014,亿纬锂能,10144893,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-22 00:00:00,2025-08-22 00:00:00,CNY,21507394798.02,,,,,,,,,,,,483737252.82,584954172.13,,0.0,22576086222.97,15901723861.65,,,,,,2818623652.99,598605391.2,884567605.52,,0.0,20203520511.36,,0.0,2372565711.61,128723537.56,357467626.44,3106481.78,,,,,0.0,489297645.78,4425732629.14,262725699.37,,,,3460200000.0,,0.0,8148658328.51,,0.0,-7659360682.73,247500.0,247500.0,10354057869.22,,,,0.0,10354305369.22,4090893966.04,2160369248.86,745724516.09,,808533730.97,,,0.0,7059796945.87,,0.0,3294508423.35,86002068.1,,0.0,-1906284479.67,8511579167.94,,0.0,6605294688.27,1743083921.22,-3533839.07,1334883254.83,1334883254.83,,81836464.12,66654311.69,,,,27042953.63,34218881.98,-6640210.0,443107865.76,-325346791.36,-161150187.46,-162046878.87,896691.41,,-675489680.33,-3566141642.06,2558882017.87,579623877.04,,0.0,2372565711.61,,,,,6605294688.27,8511579167.94,,,,,-1906284479.67,35.3472396856,,,,,,,,,,,,-29.5072619808,-38.5165893255,,,28.7989860509,18.019231273,,,,,,18.0566276527,-12.8595005379,32.4261986153,,,17.3513043179,,,660.7240018835,457.244751342,118.7372726208,193.9226478668,,,,,,160.8471923004,104.0952547087,251.5067413125,,,,19.4544395533,,,58.5380271442,,,-54.6628201581,,,38.5388883,,,,,38.5421998881,39.1426429117,57.8521756061,,,146.9893203827,,,,52.2810695893,,,16.0968183599,74.5334691967,,,-8.7185070698,-14.0512052868,,,-18.9501420807,-18.856057169,90.9816108987,24.6157963794,24.6157963794,,30.1180887573,3.9536961011,,,,316.3539632321,865.3165054645,-123.5313233116,75.9527495403,13.1318735452,-12.7458525251,-4.8065572643,-92.3247906331,,-1329.0136930632,-49.1743577165,600.374064569,,,,660.7240018835,,,,,-18.9501420807,-14.0512052868,,,,,-8.7185070698,,,,,19920258.9,-3.6750605235
300014.SZ,300014,亿纬锂能,10144893,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,9946128215.04,,,,,,,,,,,,264211775.11,803077753.95,,0.0,11013417744.1,7453347734.39,,,,,,1567597706.84,321946285.21,778382069.09,,0.0,10121273795.53,,0.0,892143948.57,,215199117.93,157584.84,,,12827746.68,,0.0,228184449.45,2011203693.5,170037016.58,,,,225721987.4,,0.0,2406962697.48,,0.0,-2178778248.03,,,8106795447.15,,,,0.0,8106795447.15,824869315.29,930643533.6,745724516.09,,710870661.41,,,0.0,2466383510.3,,0.0,5640411936.85,33511898.09,,0.0,4387289535.48,8511579167.94,,0.0,12898868703.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7716487814,,,,,,,,,,,,-46.8097325084,63.464529804,,,55.9712678563,11.1325410547,,,,,,14.9806670306,-19.9201412471,128.6297470605,,,14.8505010218,,,150.9394789044,,1501.0736368404,228.6194154349,,,,,,1035.8744609014,125.1725493108,4309.6736664938,,,,-75.9358222388,,,31.166817347,,,-20.0461553587,,,123.0613179315,,,,,123.0613179315,-32.1389654354,470.723790008,,,311.0407306634,,,,58.9640908813,,,170.8091062706,67.4748189497,,,399.776412007,-14.0512052868,,,52.8381498638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300014.SZ,300014,亿纬锂能,10144893,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-18 00:00:00,2025-04-18 00:00:00,CNY,35484086392.96,,,,,,,,,,,,1118986724.3,1473573122.69,,0.0,38076646239.95,26212884960.81,,,,,,4708398103.36,1267550415.54,1454079865.69,,0.0,33642913345.4,,0.0,4433732894.55,35000000.0,315849059.8,1262340.81,,,71865000.0,,0.0,423976400.61,5545324893.14,287271524.81,,174776139.8,,1726934810.96,,0.0,7734307368.71,,0.0,-7310330968.1,28118744.5,2700000.0,12264656626.01,,,,0.0,12292775370.51,8497152640.01,1752512360.56,,,642950731.64,,,0.0,10892615732.21,,0.0,1400159638.3,84936127.36,,0.0,-1391502307.89,9903081475.83,,0.0,8511579167.94,4221402696.57,47530282.18,2412887305.57,2412887305.57,,133905804.31,166032086.45,,,,14875443.61,57165885.63,12987460.0,575482650.85,-606857830.41,-5963091.15,-249072601.67,243109510.52,,1229315897.54,-2223579911.01,-1839017215.04,-76365040.68,,0.0,4433732894.55,,,,,8511579167.94,9903081475.83,,,,,-1391502307.89,4.9906160218,,,,,,,,,,,,-29.9759796448,-28.6443603682,,,1.6447794862,15.7370292386,,,,,,12.5316417396,64.6528420345,23.0511990313,,,16.879615036,,,-48.8981079794,6.8702290076,-6.5472250997,-72.1819792163,,,-94.0618348404,,,-73.2589226444,10.8289973832,-88.5232110428,,,,,,,3.0339541998,,,-23.4629142452,-90.8663795961,-64.8894668401,73.869647429,,,,,65.0746562189,51.7610304399,63.2187658521,,,-13.4660744062,,,,46.8847099089,,,4411.0058759878,192.2902006492,,,-151.6482128,37.3732012632,,,-14.0512052868,-6.6116295184,-86.9749501779,82.6909304814,82.6909304814,,30.3991723839,-29.2433020486,,,,2.7857978962,115.9041992062,205.0405039048,212.4325530517,0.2705872715,93.1809639547,-9.018955408,72.3942156751,,-37.1051840172,-158.0729545394,-317.0254617576,-116.713355885,,,-48.8981079794,,,,,-14.0512052868,37.3732012632,,,,,-151.6482128,标准无保留意见,,,,44936276.44,11.7074875676
300014.SZ,300014,亿纬锂能,10144893,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-25 00:00:00,2025-10-24 00:00:00,CNY,24952121048.25,,,,,,,,,,,,897590255.68,1090876524.14,,0.0,26940587828.07,19444680536.79,,,,,,3532945377.77,952613679.01,894023859.89,,0.0,24824263453.46,,0.0,2116324374.61,33000000.0,392213990.13,1073461.11,,,280000.0,,0.0,426567451.24,4090078559.14,353037836.19,,,,2155169634.68,,0.0,6598286030.01,,0.0,-6171718578.77,,,9233349714.81,,,,0.0,9233349714.81,4145250249.53,1546353148.6,,,488691427.34,,,0.0,6180294825.47,,0.0,3053054889.34,36044171.31,,0.0,-966295143.51,9903081475.83,,0.0,8936786332.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8293222631,,,,,,,,,,,,-31.5094501487,-46.3735769146,,,-5.4899637998,6.0334892234,,,,,,11.3536260229,98.7417171719,-22.7016756491,,,7.2466849439,,,-60.50638419,162.9482071713,30.404287136,-68.2811939661,,,-99.9642188199,,,-61.1941988699,-0.7680825795,-84.6008856316,,,,114.0410382256,,,-11.0889041308,,,2.3768319706,,,76.6655799967,,,,,64.3144684513,41.1472458985,44.8225710611,,,-10.6178544221,,,,35.7910290419,,,185.8696341408,188.5855806247,,,-1610.5948119527,37.3732012632,,,22.8786240853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300014.SZ,300014,亿纬锂能,10144893,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-23 00:00:00,2025-08-22 00:00:00,CNY,15890530791.75,,,,,,,,,,,,686222817.29,951401631.29,,0.0,17528155240.33,13473841246.15,,,,,,2387518353.72,686942804.89,667970246.65,,0.0,17216272651.41,,0.0,311882588.92,23100000.0,163423280.43,1056904.53,,,,,0.0,187580184.96,2168464247.47,74742719.98,,,,2896669234.68,,0.0,5139876202.13,,0.0,-4952296017.17,,,7473755561.54,,,,0.0,7473755561.54,2940072058.74,1368602770.64,,,327355745.47,,,0.0,4636030574.85,,0.0,2837724986.69,49275401.73,,0.0,-1753413039.83,9903081475.83,,0.0,8149668436.0,2148138062.32,-39184814.83,1071199072.36,1071199072.36,,62893994.91,64119232.11,,,,6495183.43,3544835.48,28218600.0,251833442.17,-374529536.48,-142932253.25,-154615210.25,11682957.0,,54961932.82,-2390586221.82,-511393814.96,,,0.0,311882588.92,,,,,8149668436.0,9903081475.83,,,,,-1753413039.83,-9.4660243602,,,,,,,,,,,,-20.6592674922,-33.8602021075,,,-11.7208995329,1.4403444387,,,,,,7.0700099638,133.7376579,-10.7741911259,,,3.9949170931,,,-90.5503512671,84.0637450199,-15.1549962571,45.4774424214,,,,,,-87.0045049766,-24.4100874126,-96.4465850166,,,,,,,3.3737904545,,,-40.3432627369,,,69.7785487829,,,,,55.8681703861,120.6228716499,81.1401408398,,,5.2310424368,,,,93.2278874743,,,18.4524698573,-6.1734290167,,,-178.9844107214,37.3732012632,,,-13.5665586447,-15.1448710702,-116.1044896651,80.1074281809,80.1074281809,,31.1356696989,-46.1755656632,,,,67.1470285134,-51.4621193916,-77.1925599803,111.1859917911,-6.2042664486,-1752.2304805098,-2177.1181568473,1360.5520098736,,-91.3959111183,-725.2751218402,55.1666592261,,,,-90.5503512671,,,,,-13.5665586447,37.3732012632,,,,,-178.9844107214,,,,,20680271.39,16.9619104364
300014.SZ,300014,亿纬锂能,10144893,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-25 00:00:00,2025-04-25 00:00:00,CNY,6073168517.9,,,,,,,,,,,,496729547.66,491285635.43,,0.0,7061183700.99,6706719439.38,,,,,,1363357638.57,402031534.8,340455290.31,,0.0,8812563903.06,,0.0,-1751380202.07,6600000.0,13440925.7,47953.6,,,,,0.0,20088879.3,893183338.58,3856000.0,,,,938000000.0,,0.0,1835039338.58,,0.0,-1814950459.28,,,3634334954.32,,,,0.0,3634334954.32,1215527173.41,163063735.89,,,172944092.49,,,0.0,1551535001.79,,0.0,2082799952.53,20010111.55,,0.0,-1463520597.27,9903081475.83,,0.0,8439560878.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0289955106,,,,,,,,,,,,42.1077053493,-47.4207500638,,,-28.2485291673,-4.7025916591,,,,,,5.5207725522,209.2191149889,-15.2126834647,,,-0.5494899702,,,-278.7280118619,116.393442623,-37.395464788,-93.3538961331,,,,,,-96.33188371,-45.8089581864,-98.1117477107,,,,182.4450466727,,,-15.9981356278,,,-10.8799955037,,,94.6651153158,,,,,60.8235525126,218.3367972651,-4.8841703675,,,8.697254365,,,,117.7959574875,,,34.595841056,344.05128135,,,-265.8752723616,37.3732012632,,,4.3055481575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300014.SZ,300014,亿纬锂能,10144893,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-19 00:00:00,2025-04-18 00:00:00,CNY,33797388507.16,,,,,,,,,,,,1598004111.48,2065110943.29,,0.0,37460503561.93,22648658889.26,,,,,,4184065948.54,769832090.28,1181686872.73,,0.0,28784243800.81,,0.0,8676259761.12,32750000.0,337977187.02,4537852.71,,,1210222317.31,,0.0,1585487357.04,5003496399.02,2503065325.0,,,,,,0.0,7506561724.02,,0.0,-5921074366.98,307859788.96,7690000.0,7053937709.87,,85000000.0,,0.0,7446797498.83,5599034623.96,1073719894.53,,,743004234.73,,,0.0,7415758753.22,,0.0,31038745.61,-92031577.31,,0.0,2694192562.44,7208888913.39,,0.0,9903081475.83,4520265933.33,364914398.25,1320748270.98,1320748270.98,,102689151.98,234652112.46,,,,14472275.27,26477431.12,-12364240.0,184194202.95,-608504365.77,-87447714.17,-228467242.91,141019528.74,,1954558381.85,-861609041.9,847373944.12,456910277.06,,0.0,8676259761.12,,,,,9903081475.83,7208888913.39,,,,,2694192562.44,26.8658394713,,,,,,,,,,,,-19.9369431676,26.5948886635,,,23.7649137954,2.4496538021,,,,,,42.211508803,33.4191792667,-33.6499815698,,,5.0242096734,,,203.3423910188,-87.7381513,-26.4544941071,79.9280163069,,,,,,117.440544593,-63.8350746959,-8.8272654208,,,,,,,-63.6422808406,,,70.2716200997,-96.6204202148,-94.1878920716,-45.5931108348,,-97.5412135991,,,-70.8329660865,86.9670668302,41.6515865726,,,-79.6865849085,,,,0.0727677653,,,-99.8287157363,-316.6127191693,,,143.4546685946,18.135158754,,,37.3732012632,23.1044761763,189.0270715231,44.274934211,44.274934211,,19.7311395459,26.9915978603,,,,123.3831935554,65.0440524838,-192.2570911376,15.9012779994,50.9958327493,75.7097995427,53.9008123563,4.0067029088,,139.2951899792,89.7663166884,-92.828349576,-26.8703674953,,,203.3423910188,,,,,37.3732012632,18.135158754,,,,,143.4546685946,标准无保留意见,,,,40226736.29,5.2798504666
300014.SZ,300014,亿纬锂能,10144893,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-26 00:00:00,2024-10-25 00:00:00,CNY,25160785040.17,,,,,,,,,,,,1310531537.02,2034214593.06,,0.0,28505531170.25,18338244529.35,,,,,,3172725939.83,479322455.58,1156588926.6,,0.0,23146881851.36,,0.0,5358649318.89,12550000.0,300767711.51,3384304.91,,,782534280.26,,0.0,1099236296.68,4121736902.26,2292585325.0,,,,1006895524.59,,0.0,7421217751.85,,0.0,-6321981455.17,307859788.96,7690000.0,5226456514.61,,85000000.0,,0.0,5619316303.57,2936826874.05,1067757005.88,,,546743898.55,,,0.0,4551327778.48,,0.0,1067988525.09,-40688530.86,,0.0,63967857.95,7208888913.39,,0.0,7272856771.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9982166777,,,,,,,,,,,,-24.9799948282,66.561620062,,,29.3961100219,20.9755001238,,,,,,50.9168095696,13.5470975861,-21.0543565582,,,20.8832844843,,,85.9646624892,-93.770796029,-34.5424982088,269.4698488182,,,,,,66.0799343581,-64.3085089127,0.4238177248,,,,42.6650188123,,,-48.9491737875,,,54.4363277945,212.3636878191,-91.8736130191,-51.9008025333,,-97.2929850095,,,-60.1595304956,58.2581944816,83.529617575,,,-83.2715689393,,,,-20.2341495286,,,-87.2838577126,-137.74862662,,,102.5720530118,18.135158754,,,101.1742106302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300014.SZ,300014,亿纬锂能,10144893,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-25 00:00:00,2024-09-03 00:00:00,CNY,17552008159.87,,,,,,,,,,,,864906077.37,1438470726.56,,0.0,19855384963.8,13282527105.66,,,,,,2229866565.37,293894792.59,748628961.82,,0.0,16554917425.44,,0.0,3300467538.36,12550000.0,192613911.51,726507.5,,,1237534280.26,,0.0,1443424699.27,2868721729.19,2103405325.0,,,,,,0.0,4972127054.19,,0.0,-3528702354.92,307859788.96,7690000.0,4402061164.45,,85000000.0,,0.0,4794920953.41,1332623420.57,755549136.87,,,311082868.6,,,0.0,2399255426.04,,0.0,2395665527.37,52517534.44,,0.0,2219948245.25,7208888913.39,,0.0,9428837158.64,2531535912.34,243316091.63,594755631.78,594755631.78,,47961012.48,119126625.11,,,,3885910.2,7303234.99,123725415.81,119247228.49,-352650179.7,-7716763.91,-6789951.14,-926812.77,,638788529.22,382325497.74,-1140655160.05,,,0.0,3300467538.36,,,,,9428837158.64,7208888913.39,,,,,2219948245.25,49.405389458,,,,,,,,,,,,-17.2234293043,57.7834475114,,,44.8827508672,41.8149722136,,,,,,62.5425413767,13.7547997908,-16.6873455682,,,39.1766145071,,,82.391439639,-93.770796029,-40.4637287006,-4.994239755,,,,,,174.5412850782,-63.7050003429,50.1069566807,,,,,,,-50.3331173697,,,62.797775564,241.7697630362,-91.0737086477,-40.1610416115,,-95.058110803,,,-47.6912871975,47.1883220631,404.8336874668,,,-2.6343126983,,,,74.5485410539,,,-69.2549348708,-17.6689450783,,,1132.0664732624,18.135158754,,,50.0829039224,100.7159657921,104.4691831687,36.9082456605,36.9082456605,,14.2008718365,102.2031506065,,,,303.0955967655,1.8209967569,524.0768299677,469.9005529145,10.0873286942,94.5712870404,95.6500459014,-106.6460727254,,120.0600243214,115.6140091127,-119.2090078721,,,,82.391439639,,,,,50.0829039224,18.135158754,,,,,1132.0664732624,,,,,17681201.78,38.3081814564
