日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-04,79.89,93.84,79.89,90.54,44494576.0,4042674030.0,1777017174.0,0.025
2021-01-05,90.06,92.97,88.31,92.19,41387189.0,3889371526.0,1777017174.0,0.0233
2021-01-06,96.36,96.36,89.38,91.9,31294696.0,2965260992.0,1777017174.0,0.0176
2021-01-07,91.75,97.61,89.94,95.97,34557796.0,3355147388.0,1777017174.0,0.0194
2021-01-08,98.78,98.78,90.07,94.28,35405432.0,3398040235.0,1777017174.0,0.0199
2021-01-11,93.83,93.92,85.27,86.91,47129552.0,4302224512.0,1777017174.0,0.0265
2021-01-12,86.29,91.42,86.28,90.38,26712553.0,2468284764.0,1777017174.0,0.015
2021-01-13,91.04,93.74,85.3,87.1,34163578.0,3136507996.0,1777017174.0,0.0192
2021-01-14,85.99,87.35,81.54,86.28,34111801.0,2983142314.0,1777017174.0,0.0192
2021-01-15,84.26,91.42,83.73,89.09,28869521.0,2611772889.0,1777017174.0,0.0162
2021-01-18,88.32,92.18,85.39,91.13,28483796.0,2655174717.0,1777017174.0,0.016
2021-01-19,92.0,94.12,87.64,88.61,21846059.0,2054764458.0,1777017174.0,0.0123
2021-01-20,91.51,102.24,91.13,100.94,42364081.0,4280624911.0,1777017174.0,0.0238
2021-01-21,101.68,103.5,97.96,102.27,27866480.0,2915778146.0,1777017174.0,0.0157
2021-01-22,104.59,109.33,102.36,107.06,35089508.0,3842857687.0,1777017174.0,0.0197
2021-01-25,112.33,116.21,101.58,102.55,55216277.0,6129218078.0,1777017174.0,0.0311
2021-01-26,102.68,107.96,101.97,103.23,35557392.0,3839820846.0,1777017174.0,0.02
2021-01-27,103.62,111.26,100.1,110.23,33867701.0,3699124012.0,1777017174.0,0.0191
2021-01-28,107.27,108.42,102.46,105.56,31623694.0,3457273214.0,1777017174.0,0.0178
2021-01-29,106.72,108.72,100.04,103.13,31037994.0,3340986451.0,1777017174.0,0.0175
2021-02-01,102.85,103.56,96.88,99.58,32853572.0,3398515293.0,1777017174.0,0.0185
2021-02-02,101.18,109.02,99.65,108.27,35206122.0,3827557937.0,1777017174.0,0.0198
2021-02-03,109.43,111.0,106.22,108.58,27915954.0,3122869435.0,1777017174.0,0.0157
2021-02-04,106.91,109.91,102.97,105.44,22640542.0,2490594344.0,1777017174.0,0.0127
2021-02-05,106.57,110.29,100.71,102.37,27700843.0,3000675564.0,1777017174.0,0.0156
2021-02-08,102.71,104.29,89.58,98.86,47150612.0,4694467906.0,1777017174.0,0.0265
2021-02-09,98.22,104.08,97.81,102.17,28017362.0,2949942454.0,1777017174.0,0.0158
2021-02-10,104.18,108.65,101.92,107.49,25362948.0,2763385884.0,1777017174.0,0.0143
2021-02-18,109.74,110.69,96.51,100.33,53185934.0,5533186335.0,1777017174.0,0.0299
2021-02-19,97.42,98.87,91.12,94.42,41395122.0,4022512731.0,1777017174.0,0.0233
2021-02-22,95.87,97.3,90.45,90.81,36050200.0,3496457865.0,1777017174.0,0.0203
2021-02-23,89.09,93.22,87.81,90.55,22546315.0,2115688447.0,1777017174.0,0.0127
2021-02-24,89.11,90.51,84.42,85.7,37440338.0,3364129893.0,1777017174.0,0.0211
2021-02-25,87.65,89.26,84.79,85.91,24201305.0,2169517107.0,1777017174.0,0.0136
