证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
亿纬锂能,惠州亿纬锂能股份有限公司,,,0.0,,440.0,0.0,0.0,,6600.0,,0.0,,,4199.595,,1760.0,396.3563,440.0,,,A股上市,2009-10-26,,300014,2009-10-30,,0.0,,,7040.0,,0.0,8800.0,,,,0.0,,1760.0,2004.0487,6203.6437,015001
亿纬锂能,惠州亿纬锂能股份有限公司,,,0.0,,440.0,0.0,0.0,,6600.0,,0.0,,,4199.595,,1760.0,396.3563,440.0,,,定期报告,2010-03-26,,300014,2009-12-31,,0.0,,,7040.0,,0.0,8800.0,,,,0.0,,1760.0,2004.0487,6203.6437,015019
亿纬锂能,惠州亿纬锂能股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,6600.0,,0.0,,,4199.595,,2200.0,396.3563,0.0,,,配售股份上市,2010-01-27,,300014,2010-02-01,,0.0,,,6600.0,,0.0,8800.0,,,,0.0,,2200.0,2004.0487,6203.6437,015009
亿纬锂能,惠州亿纬锂能股份有限公司,,,0.0,,0.0,0.0,0.0,,9900.0,,0.0,,,6299.3925,,3300.0,594.5345,,,,转增,2010-05-12,,300014,2010-05-18,,0.0,,,9900.0,,,13200.0,,,,,,3300.0,3006.073,9305.4655,015011
亿纬锂能,惠州亿纬锂能股份有限公司,,0.0,,,0.0,0.0,0.0,0.0,9900.0,0.0,0.0,,0.0,6299.3925,,3300.0,594.5344,0.0,,,定期报告,2010-08-25,,300014,2010-06-30,0.0,,,,9900.0,,0.0,13200.0,,,0.0,0.0,,3300.0,3006.0731,9305.4656,015019
亿纬锂能,惠州亿纬锂能股份有限公司,,,,,0.0,0.0,0.0,0.0,8700.256,,0.0,,,6029.9594,,4499.744,49.5446,,,,限售股份上市,2010-10-29,,300014,2010-11-01,,0.0,,,8700.256,,,13200.0,,,,0.0,,4499.744,2620.752,8650.7114,015027
亿纬锂能,惠州亿纬锂能股份有限公司,,,,,,,,,8757.2748,,,,,6029.9594,,4442.7252,49.5446,,,,定期报告,2011-04-26,,300014,2010-12-31,,,,,8757.2748,,,13200.0,,,,,,4442.7252,2677.7708,8707.7302,015019
亿纬锂能,惠州亿纬锂能股份有限公司,,,,,0.0,0.0,0.0,,7908.7897,0.0,0.0,,,6029.9594,,5291.2103,49.5446,,,,限售股份上市,2011-05-20,,300014,2011-05-23,,,,,7908.7897,,0.0,13200.0,,,,0.0,,5291.2103,1829.2857,7859.2451,015027
亿纬锂能,惠州亿纬锂能股份有限公司,,0.0,,,0.0,0.0,0.0,,11863.1846,,0.0,,,9044.9391,,7936.8154,74.3169,,,,转增,2011-06-01,,300014,2011-06-08,,,,,11863.1846,,0.0,19800.0,,,,,,7936.8154,2743.9286,11788.8677,015011
亿纬锂能,惠州亿纬锂能股份有限公司,,,,,,,,,11863.1845,,,,,9044.9391,,7936.8155,74.3169,,,,定期报告,2011-07-27,,300014,2011-06-30,,,,,11863.1845,,,19800.0,,,,,,7936.8155,2743.9285,11788.8676,015019
