REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_OUTFLOW_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:应占附属公司溢利,减:政府补助,减:汇兑收益,减:重估盈余,加:减值及拨备,加:利息支出,加:购股权开支,发行相关费用,吸收投资所得,处置无形资产及其他资产,存款减少(增加),存货(增加)减少,已付利息(融资),已收利息(投资),应付帐款及应计费用增加(减少),应收帐款减少,投资支付现金,收回投资所得现金,政府补助(投资),期间变动其他项目,营运资本变动其他项目,购建无形资产及其他资产,除税前溢利(业务利润),非运算项目,预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
2016-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2016-01-01 00:00:00,1666205000.0,236072000.0,1000.0,704533000.0,58444000.0,,962991000.0,54595000.0,,290148000.0,1639605000.0,-572079000.0,-362993000.0,,,-362993000.0,,,-351122000.0,,,,,,-22729000.0,,951000.0,23264000.0,-105195000.0,,26530000.0,8500000.0,,,,-45000000.0,-20994000.0,26599000.0,4217000.0,10355000.0,,767000000.0,,4000000.0,22386000.0,32290000.0,,-544456000.0,,-49686000.0,16164000.0
2017-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2017-01-01 00:00:00,104247000.0,962991000.0,,-665045000.0,4695000.0,,291663000.0,29722000.0,,745711000.0,91861000.0,-508903000.0,-248003000.0,,,-248003000.0,,,-209890000.0,,,,,,-12197000.0,,544000.0,-7118000.0,9299000.0,,12318000.0,7876000.0,,,,-342052000.0,-867000.0,12386000.0,2133000.0,7275000.0,,910000000.0,,,-6283000.0,2640000.0,,-269278000.0,,-50953000.0,3792000.0
2017-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2017-01-01 00:00:00,104247000.0,962991000.0,,-752320000.0,90971000.0,,183761000.0,61101000.0,,,89406000.0,-349456000.0,-492270000.0,-841726000.0,,-492270000.0,32317000.0,,-535421000.0,,,10000000.0,,,7982000.0,,1089000.0,-29270000.0,-12809000.0,,24908000.0,29295000.0,,,,-276710000.0,-21091000.0,24841000.0,4755000.0,13638000.0,,790000000.0,800970000.0,2500000.0,-26910000.0,12785000.0,,-716050000.0,,-40146000.0,77965000.0
2018-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2018-01-01 00:00:00,947821000.0,183761000.0,,1302421000.0,93470000.0,74000.0,1534088000.0,31115000.0,,0.0,1119893000.0,525053000.0,-342525000.0,182528000.0,,-342525000.0,20478000.0,,-457177000.0,,-187000000.0,,,-3405000.0,6068000.0,,545000.0,51204000.0,451167000.0,,12430000.0,41975000.0,745000.0,,,-26316000.0,8742000.0,14183000.0,8069000.0,1803000.0,,330000000.0,960446000.0,6250000.0,47906000.0,69755000.0,,-57596000.0,1534088000.0,-62769000.0,97121000.0
2018-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2018-01-01 00:00:00,4319184000.0,183761000.0,,4277261000.0,312739000.0,285000.0,4524854000.0,62814000.0,-134474000.0,-4192000.0,4433863000.0,855225000.0,-1011827000.0,-156602000.0,,-1011827000.0,52277000.0,,-1429513000.0,,5000000.0,287000000.0,,-3316000.0,20678000.0,,1505000.0,64129000.0,-4332903000.0,,25037000.0,53434000.0,,,,326212000.0,-8399000.0,32847000.0,24784000.0,7985000.0,,410000000.0,1224625000.0,6250000.0,63832000.0,65787000.0,,-5872982000.0,,-73914000.0,426227000.0
2019-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2019-01-01 00:00:00,1745000.0,4524854000.0,,-3249318000.0,139982000.0,,1281760000.0,38899000.0,,-5867000.0,-11825000.0,-2321122000.0,-916371000.0,-3237493000.0,,-916371000.0,32376000.0,,-641762000.0,,5000000.0,15000000.0,3473000.0,,50415000.0,,961000.0,6706000.0,52000.0,,12736000.0,46767000.0,,,,-2148784000.0,-165460000.0,20097000.0,27011000.0,17572000.0,-178431000.0,80000000.0,26500000.0,,6224000.0,136254000.0,,-714406000.0,1281760000.0,-38568000.0,-45976000.0
2019-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2019-01-01 00:00:00,2173178000.0,4524854000.0,,-2124315000.0,365873000.0,,2425806000.0,86367000.0,,-8271000.0,2109315000.0,-2569157000.0,-1664473000.0,-4233630000.0,,-1678199000.0,50611000.0,13726000.0,-1536938000.0,,10000000.0,43000000.0,9336000.0,,102700000.0,,2106000.0,25634000.0,2627000.0,,26031000.0,153070000.0,46211000.0,,,-1806338000.0,-292476000.0,41316000.0,70532000.0,41454000.0,-247854000.0,586984000.0,125108000.0,2669000.0,25267000.0,128485000.0,,-1719950000.0,,-49133000.0,278263000.0
2020-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2020-01-01 00:00:00,2124490000.0,2425806000.0,,494659000.0,34121000.0,30000.0,2968557000.0,62572000.0,,-2560000.0,2186225000.0,-947959000.0,-743607000.0,-1691566000.0,,-740079000.0,21940000.0,,-481938000.0,3528000.0,6000000.0,120000000.0,8202000.0,-747000.0,61154000.0,,1328000.0,48365000.0,19435000.0,,13090000.0,154661000.0,22523000.0,,,142107000.0,-108539000.0,21540000.0,57791000.0,111790000.0,-129915000.0,3363007000.0,2283846000.0,580000.0,48092000.0,106703000.0,32625000.0,-604666000.0,5937114000.0,56694000.0,-294874000.0
2020-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2020-01-01 00:00:00,4662363000.0,2425806000.0,,-580155000.0,489022000.0,38000.0,1276178000.0,85627000.0,,-5654000.0,4912121000.0,-5184588000.0,-307688000.0,-5492276000.0,,-167980000.0,78766000.0,,166076000.0,139708000.0,17000000.0,372178000.0,16788000.0,-1200000.0,116102000.0,,2958000.0,-571781000.0,30976000.0,,34951000.0,402500000.0,42803000.0,,,-4680819000.0,-311427000.0,45829000.0,121299000.0,36345000.0,-227524000.0,4518730000.0,4642246000.0,28810000.0,-569473000.0,57307000.0,282756000.0,-858713000.0,,94001000.0,17242000.0
2021-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2021-01-01 00:00:00,3944776000.0,1276178000.0,,3271188000.0,348323000.0,2000.0,4464702000.0,97090000.0,,-38804000.0,4503648000.0,-217022000.0,-1015438000.0,-1232460000.0,,-1015286000.0,16041000.0,,-625008000.0,152000.0,135000000.0,792958000.0,10292000.0,-147000.0,79423000.0,,2313000.0,-82742000.0,2593000.0,,27670000.0,239037000.0,54696000.0,,,-211677000.0,-395978000.0,34098000.0,102483000.0,156714000.0,-527077000.0,1103629000.0,1431034000.0,15000000.0,-82664000.0,281396000.0,63108000.0,-1003406000.0,4464702000.0,-48224000.0,142891000.0
2021-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2021-01-01 00:00:00,3950520000.0,1276178000.0,,280370000.0,1065634000.0,98000.0,1359408000.0,204747000.0,,-38170000.0,5003361000.0,-2698148000.0,-2024843000.0,-4722991000.0,,-1998399000.0,46081000.0,,-1906417000.0,26444000.0,255000000.0,1463083000.0,23720000.0,-709000.0,151755000.0,,4679000.0,-201137000.0,126675000.0,1699000.0,62464000.0,501572000.0,54696000.0,2000000.0,,-530032000.0,-643281000.0,78826000.0,151640000.0,74430000.0,-493027000.0,2246692000.0,1558901000.0,253623000.0,-197140000.0,105432000.0,781882000.0,-2641717000.0,,-38604000.0,903068000.0
2022-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2022-01-01 00:00:00,3812000.0,1359408000.0,,-203560000.0,428991000.0,,1352043000.0,137846000.0,,-53454000.0,223725000.0,379414000.0,-806699000.0,-427285000.0,,-794549000.0,25878000.0,,-968410000.0,12150000.0,253126000.0,530851000.0,11896000.0,2672000.0,89833000.0,,4259000.0,367902000.0,-9329000.0,14363000.0,46577000.0,261175000.0,,7172000.0,,203328000.0,-144038000.0,53088000.0,95260000.0,41305000.0,-218243000.0,33557000.0,644770000.0,1098000.0,196195000.0,405762000.0,49040000.0,-998912000.0,2704086000.0,-35831000.0,124906000.0
2022-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2022-01-01 00:00:00,2131059000.0,1359408000.0,,-461907000.0,896896000.0,190000.0,1016165000.0,319422000.0,,-78881000.0,2892082000.0,-1435185000.0,-1918804000.0,-3353989000.0,,-1852705000.0,53885000.0,,-2162613000.0,66099000.0,365000000.0,1080172000.0,27738000.0,2732000.0,189537000.0,,11456000.0,737720000.0,18940000.0,23746000.0,101698000.0,469490000.0,,178473000.0,,-528015000.0,-105388000.0,104884000.0,107259000.0,130572000.0,393136000.0,214601000.0,644770000.0,15823000.0,118664000.0,205041000.0,484834000.0,-2170469000.0,,-106382000.0,-207071000.0
2023-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2023-01-01 00:00:00,14879000.0,1016165000.0,,346835000.0,597901000.0,,1332265000.0,187624000.0,,-36268000.0,244686000.0,725040000.0,-622891000.0,102149000.0,,-592039000.0,9318000.0,,-230105000.0,30852000.0,743000000.0,978133000.0,14146000.0,-1003000.0,197920000.0,,3910000.0,256545000.0,3345000.0,12497000.0,50292000.0,226990000.0,,71636000.0,15771000.0,2061580000.0,116358000.0,62816000.0,180249000.0,-109209000.0,-440233000.0,869886000.0,,,-30735000.0,65866000.0,28505000.0,-256109000.0,2664530000.0,-89575000.0,94859000.0
2023-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2023-01-01 00:00:00,2255116000.0,1016165000.0,,1736405000.0,1119385000.0,54000.0,2745693000.0,385103000.0,,-34281000.0,2587257000.0,-998662000.0,147810000.0,-850852000.0,,33395000.0,33286000.0,,-369994000.0,-114415000.0,917050000.0,1335549000.0,31799000.0,-952000.0,452837000.0,,,60824000.0,21292000.0,217208000.0,98624000.0,574197000.0,17839000.0,90893000.0,16230000.0,891260000.0,358945000.0,127613000.0,306302000.0,46927000.0,-430622000.0,1000963000.0,,206196000.0,-6877000.0,-138627000.0,264075000.0,-1144411000.0,,-108989000.0,675755000.0
2024-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2024-01-01 00:00:00,12525000.0,2745693000.0,,-1030137000.0,699513000.0,270000.0,1713957000.0,198670000.0,,,-260814000.0,-553689000.0,-215634000.0,-769323000.0,,-215610000.0,-6007000.0,,151311000.0,24000.0,675049000.0,358527000.0,13611000.0,-23085000.0,237288000.0,,,43948000.0,43273000.0,316915000.0,38020000.0,297722000.0,,122230000.0,,890750000.0,269130000.0,65436000.0,343719000.0,-151928000.0,-363049000.0,2057870000.0,1038662000.0,,-1599000.0,-95866000.0,69707000.0,-392585000.0,3427914000.0,-52097000.0,26889000.0
2024-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2024-01-01 00:00:00,84312000.0,2745693000.0,,-485019000.0,965665000.0,270000.0,2273356000.0,419768000.0,,-10879000.0,-606632000.0,-1165411000.0,1287024000.0,121613000.0,900000000.0,1287181000.0,-43019000.0,,883426000.0,157000.0,1220049000.0,515571000.0,25965000.0,-22987000.0,423454000.0,-41009000.0,,134569000.0,142708000.0,597865000.0,67647000.0,556521000.0,,161924000.0,,1877647000.0,180630000.0,122425000.0,660464000.0,-14872000.0,-178516000.0,2847523000.0,1622550000.0,137472000.0,12682000.0,-31192000.0,739747000.0,-78621000.0,,-212351000.0,660056000.0
2025-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2025-01-01 00:00:00,7694000.0,2273356000.0,,1506975000.0,102576000.0,,3770313000.0,265990000.0,,,648420000.0,544790000.0,313765000.0,858555000.0,,314961000.0,-10375000.0,,1399663000.0,1196000.0,1208624000.0,1762790000.0,6185000.0,-711000.0,190373000.0,-23562000.0,,-38761000.0,38202000.0,8825000.0,61264000.0,342383000.0,,157897000.0,,-856565000.0,-283254000.0,65152000.0,155132000.0,74615000.0,-537946000.0,443338000.0,1924768000.0,64012000.0,-10018000.0,-66021000.0,196643000.0,897117000.0,7540626000.0,-144260000.0,-127836000.0
