REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,MANAGE_EXPENSE,MINORITY_INTEREST,NETPROFIT,NON_OPERATING_ITEMS,OPERATE_INCOME,OPERATE_PROFIT,OTHER_INCOME,PARENT_TCI,RESEARCH_EXPENSE,SALE_EXPENSE,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他支出,其他收入,应占联营公司溢利,销售成本,非控股权益应占全面收益总额
2016-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2016-01-01 00:00:00,-6.57,,-6.57,53799000.0,,-504204000.0,,52875000.0,-40252000.0,-544456000.0,,,-490657000.0,-81931000.0,-504204000.0,384653000.0,,-544456000.0,-544456000.0,,,4505000.0,33307000.0,,,-40252000.0
2017-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2017-01-01 00:00:00,-2.38,,-2.38,28388000.0,10000000.0,-206955000.0,,29152000.0,-62323000.0,-269278000.0,,20000000.0,-240890000.0,2181000.0,-206955000.0,225386000.0,,-269278000.0,-269278000.0,,,3067000.0,4534000.0,,,-62323000.0
2017-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2017-01-01 00:00:00,-5.96,,-5.96,57225000.0,18538000.0,-562318000.0,,79490000.0,-153732000.0,-716050000.0,,37076000.0,-658825000.0,-42079000.0,-562318000.0,611922000.0,8278000.0,-716050000.0,-716050000.0,,,,64406000.0,,,-153732000.0
2018-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2018-01-01 00:00:00,0.3,,-1.17,32908000.0,4436000.0,43894000.0,,73108000.0,-101490000.0,-57596000.0,,8872000.0,-24688000.0,498966000.0,43894000.0,420040000.0,10094000.0,-57596000.0,-57596000.0,,,32740000.0,7892000.0,,,-101490000.0
2018-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2018-01-01 00:00:00,-17.24,-5872982000.0,-17.24,68969000.0,9477000.0,-5771492000.0,,220315000.0,-101490000.0,-5872982000.0,0.0,18954000.0,-5804013000.0,-4272090000.0,-5771492000.0,1221687000.0,136006000.0,-5872982000.0,-5872982000.0,,,57187000.0,93795000.0,,,-101490000.0
2019-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2019-01-01 00:00:00,-0.62,,-0.62,36734000.0,304565000.0,-714406000.0,,78110000.0,,-714406000.0,,691034000.0,-677672000.0,-9765000.0,,670700000.0,266721000.0,-714406000.0,-714406000.0,,,12897000.0,55956000.0,,40952000.0,
2019-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2019-01-01 00:00:00,-1.46,,-1.46,59490000.0,922647000.0,-1719950000.0,,255299000.0,,-1719950000.0,,2095050000.0,-1660460000.0,15075000.0,,1294724000.0,692515000.0,-1719950000.0,-1719950000.0,,,499725000.0,144081000.0,,124878000.0,
2020-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2020-01-01 00:00:00,-0.46,,-0.46,32613000.0,799389000.0,-608194000.0,3528000.0,186835000.0,,-608194000.0,,1968412000.0,-572053000.0,97549000.0,,807954000.0,446623000.0,-604666000.0,-608194000.0,,,134936000.0,107357000.0,,184817000.0,
2020-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2020-01-01 00:00:00,-0.74,,-0.74,68350000.0,3456058000.0,-998421000.0,139708000.0,436872000.0,,-998421000.0,,7687638000.0,-790363000.0,-479965000.0,,1851453000.0,1340861000.0,-858713000.0,-998421000.0,,,384057000.0,246787000.0,,387761000.0,
2021-06-30,01801.HK,01801,信达生物,10946973,002,12-31,2021-01-01 00:00:00,-0.69,-1003558000.0,-0.69,27104000.0,1724872000.0,-1003558000.0,152000.0,307872000.0,,-1003558000.0,-216878000.0,3883500000.0,-976302000.0,-85225000.0,,974320000.0,1084232000.0,-1003406000.0,-1003558000.0,,,339799000.0,90274000.0,,216878000.0,
2021-12-31,01801.HK,01801,信达生物,10946973,001,12-31,2021-01-01 00:00:00,-1.88,-2728755000.0,-1.88,62464000.0,3764392000.0,-2728755000.0,87038000.0,806010000.0,,-2728755000.0,-505337000.0,8539458000.0,-2579253000.0,-72784000.0,,2322513000.0,2620142000.0,-2641717000.0,-2846769000.0,-118014000.0,-118014000.0,719077000.0,196881000.0,,505337000.0,
