日期,开盘,最高,最低,收盘,成交量,成交额,换手率,流通股本
2021-01-04,82.0,82.9,79.0,81.25,8941272.0,,,
2021-01-05,80.55,86.85,79.5,85.0,8701264.0,,,
2021-01-06,85.0,86.8,80.6,81.2,8514342.0,,,
2021-01-07,81.5,82.3,78.1,81.2,8889861.0,,,
2021-01-08,82.9,85.1,81.35,82.45,6977113.0,,,
2021-01-11,83.0,86.1,79.75,84.85,6085307.0,,,
2021-01-12,84.95,93.75,84.85,90.15,10003498.0,,,
2021-01-13,92.85,94.95,90.8,93.15,6647595.0,,,
2021-01-14,93.0,98.85,90.55,95.55,7479880.0,,,
2021-01-15,94.5,94.75,90.55,90.65,16952779.0,,,
2021-01-18,91.6,96.0,90.6,94.5,11755484.0,,,
2021-01-19,94.5,97.0,92.45,96.95,10796640.0,,,
2021-01-20,97.85,105.2,97.8,103.6,11933655.0,,,
2021-01-21,105.3,107.1,99.0,100.1,12804357.0,,,
2021-01-22,99.45,104.0,98.7,99.6,11620127.0,,,
2021-01-25,100.2,105.0,99.6,100.0,12745877.0,,,
2021-01-26,100.3,100.4,93.0,95.25,9336918.0,,,
2021-01-27,96.0,96.85,90.0,91.85,10204658.0,,,
2021-01-28,89.1,94.3,86.2,87.0,18050474.0,,,
2021-01-29,88.75,93.15,87.55,88.6,14092157.0,,,
2021-02-01,89.4,92.5,85.7,88.25,14575842.0,,,
2021-02-02,88.7,92.95,88.7,91.35,13450784.0,,,
2021-02-03,90.0,100.5,87.6,97.1,14432003.0,,,
2021-02-04,95.8,97.95,90.6,93.8,10018247.0,,,
2021-02-05,95.9,96.65,93.5,94.15,4964898.0,,,
2021-02-08,96.0,96.0,92.5,94.7,5105113.0,,,
2021-02-09,95.55,97.6,93.65,96.3,2602959.0,,,
2021-02-10,97.0,99.6,94.8,98.55,3645230.0,,,
2021-02-11,97.6,98.35,95.8,97.5,1197403.0,,,
2021-02-16,98.5,100.0,96.55,98.55,2554722.0,,,
2021-02-17,97.65,100.0,96.05,99.4,3013267.0,,,
2021-02-18,99.1,99.75,92.0,92.15,10494112.0,,,
2021-02-19,92.0,94.3,90.1,92.65,6750759.0,,,
2021-02-22,92.7,94.85,86.7,86.75,12485374.0,,,
2021-02-23,86.0,90.6,83.15,87.2,9677884.0,,,
2021-02-24,89.8,89.8,80.7,82.05,12526186.0,,,
2021-02-25,83.8,84.7,79.35,83.15,11691875.0,,,
2021-02-26,80.1,83.95,78.45,79.9,15703523.0,,,
2021-03-01,81.65,88.45,80.55,87.35,11655083.0,,,
2021-03-02,88.2,89.55,84.1,85.5,7585355.0,,,
2021-03-03,85.15,85.35,81.1,83.8,6947948.0,,,
2021-03-04,81.05,82.9,76.0,78.5,13436146.0,,,
2021-03-05,75.05,79.75,72.0,75.35,14591046.0,,,
2021-03-08,76.3,77.8,70.15,70.75,10858812.0,,,
2021-03-09,71.0,73.75,65.55,70.4,14225862.0,,,
2021-03-10,75.0,75.0,70.45,73.0,9307939.0,,,
2021-03-11,73.8,81.5,73.55,78.6,12893845.0,,,
2021-03-12,81.6,83.6,77.4,78.6,7964772.0,,,
2021-03-15,80.3,82.3,74.85,76.8,8875468.0,,,
2021-03-16,78.0,81.85,77.35,80.15,7246410.0,,,
2021-03-17,79.9,82.45,77.45,82.45,6265803.0,,,
2021-03-18,83.55,83.6,79.1,81.65,9652935.0,,,
2021-03-19,80.0,81.5,76.25,77.5,10556229.0,,,
2021-03-22,77.5,77.5,74.3,77.0,5053094.0,,,
2021-03-23,76.75,76.8,69.55,72.45,15933907.0,,,
2021-03-24,71.2,74.35,69.1,70.6,5795592.0,,,
2021-03-25,68.5,71.0,67.15,70.75,9190659.0,,,
2021-03-26,71.75,78.0,70.8,75.95,10077757.0,,,
2021-03-29,75.9,77.6,73.05,73.8,4966165.0,,,
2021-03-30,75.25,82.0,73.8,78.2,14686960.0,,,
2021-03-31,80.0,81.8,77.75,78.85,4769117.0,,,
2021-04-01,79.5,81.6,78.5,80.85,5548609.0,,,
2021-04-07,82.0,83.0,79.05,81.15,5398392.0,,,
2021-04-08,81.6,81.6,78.25,78.25,6158104.0,,,
2021-04-09,77.75,79.45,74.5,76.4,5952642.0,,,
2021-04-12,76.95,76.95,72.3,73.8,4712751.0,,,
2021-04-13,73.8,77.5,72.7,73.65,4017142.0,,,
2021-04-14,73.4,75.8,73.15,74.45,4739522.0,,,
2021-04-15,75.25,75.65,72.5,73.95,3266548.0,,,
2021-04-16,74.4,76.75,73.95,75.0,4121672.0,,,
2021-04-19,75.95,80.4,74.4,78.95,5062847.0,,,
2021-04-20,78.9,82.0,77.9,81.5,7347301.0,,,
2021-04-21,80.4,83.9,78.0,82.45,5922183.0,,,
2021-04-22,83.0,87.5,82.8,86.35,9150694.0,,,
2021-04-23,85.05,90.45,85.05,90.0,10067486.0,,,
2021-04-26,89.5,91.7,84.5,85.0,10164082.0,,,
2021-04-27,85.3,86.3,83.95,84.6,6312155.0,,,
2021-04-28,86.0,90.1,85.4,88.3,7445308.0,,,
2021-04-29,88.4,89.05,85.4,86.2,3340156.0,,,
2021-04-30,85.8,86.85,84.2,84.4,2271589.0,,,
2021-05-03,84.0,85.85,82.1,85.05,1406391.0,,,
2021-05-04,86.2,86.45,83.75,84.2,1742086.0,,,
2021-05-05,83.2,83.2,80.2,80.6,2686480.0,,,
2021-05-06,81.2,82.8,79.5,81.25,6639335.0,,,
2021-05-07,81.5,84.4,80.0,80.65,4599431.0,,,
2021-05-10,81.7,83.85,79.7,80.55,4725608.0,,,
2021-05-11,77.9,82.75,76.3,81.7,5474646.0,,,
2021-05-12,83.1,85.7,80.65,85.3,6661479.0,,,
2021-05-13,83.5,85.3,81.5,82.4,3301287.0,,,
2021-05-14,83.9,85.9,81.9,84.35,4091776.0,,,
2021-05-17,84.95,88.3,84.75,87.05,4713677.0,,,
2021-05-18,88.5,94.0,85.85,91.6,9521236.0,,,
2021-05-20,92.05,94.95,90.0,91.0,7462450.0,,,
2021-05-21,92.5,93.1,90.55,91.0,5226915.0,,,
2021-05-24,89.85,90.95,87.3,89.8,5149699.0,,,
2021-05-25,90.7,92.8,89.15,91.5,4188014.0,,,
2021-05-26,92.15,93.5,91.6,92.85,5723373.0,,,
2021-05-27,93.35,94.5,90.35,93.95,18008264.0,,,
2021-05-28,94.5,95.2,88.6,89.5,6611935.0,,,
2021-05-31,90.4,94.0,88.6,93.95,6009957.0,,,
2021-06-01,94.0,94.5,90.8,93.95,3744696.0,,,
2021-06-02,94.3,95.75,91.0,92.0,3597099.0,,,
2021-06-03,92.5,93.1,88.25,90.0,4801674.0,,,
2021-06-04,90.0,90.25,87.0,88.25,4467933.0,,,
2021-06-07,88.0,90.2,85.05,89.2,2884737.0,,,
2021-06-08,88.25,91.4,87.3,88.5,2195657.0,,,
2021-06-09,88.5,90.4,87.5,89.45,2729939.0,,,
2021-06-10,90.6,90.6,86.25,87.65,5634998.0,,,
2021-06-11,88.0,91.0,87.65,89.95,3819509.0,,,
2021-06-15,90.25,90.25,87.0,87.7,3782873.0,,,
2021-06-16,87.55,87.6,83.95,85.0,5309374.0,,,
2021-06-17,85.0,86.8,84.3,85.9,3113439.0,,,
2021-06-18,86.8,87.4,85.0,86.55,3511899.0,,,
2021-06-21,86.0,87.05,84.5,85.7,4850642.0,,,
2021-06-22,85.5,86.5,83.1,86.05,5665850.0,,,
2021-06-23,86.95,92.85,86.95,90.05,9071176.0,,,
2021-06-24,90.45,92.45,89.8,91.7,4867795.0,,,
2021-06-25,91.7,92.2,88.05,89.3,5266202.0,,,
2021-06-28,89.3,94.6,89.3,93.3,5504618.0,,,
2021-06-29,94.75,94.75,90.8,91.9,4143589.0,,,
2021-06-30,92.45,92.8,90.05,90.55,3352139.0,,,
2021-07-02,91.0,92.15,86.5,87.6,6838614.0,,,
2021-07-05,87.65,89.3,86.2,89.0,4288244.0,,,
2021-07-06,87.65,89.0,80.1,85.6,11825052.0,,,
2021-07-07,84.6,87.1,83.35,86.4,7371374.0,,,
2021-07-08,84.5,86.85,81.1,82.15,9740323.0,,,
2021-07-09,82.2,83.0,77.8,82.3,7247872.0,,,
2021-07-12,82.7,87.2,82.1,87.15,5979756.0,,,
2021-07-13,86.5,88.0,85.25,86.5,3156093.0,,,
2021-07-14,86.5,89.0,85.85,88.25,4335038.0,,,
2021-07-15,88.75,90.5,86.55,88.2,6135861.0,,,
2021-07-16,89.0,89.2,87.3,87.8,2899041.0,,,
2021-07-19,86.6,92.6,86.25,90.6,7231326.0,,,
2021-07-20,89.0,91.35,86.35,87.1,12431646.0,,,
2021-07-21,89.8,89.8,83.75,84.55,5654406.0,,,
2021-07-22,85.0,85.9,82.3,85.15,3052355.0,,,
2021-07-23,83.95,85.5,82.3,84.1,3089229.0,,,
2021-07-26,82.0,83.0,75.45,76.25,12351096.0,,,
2021-07-27,76.3,77.45,66.95,67.95,20385642.0,,,
2021-07-28,68.1,75.65,67.7,75.2,19009932.0,,,
2021-07-29,79.5,83.0,79.4,81.15,8884940.0,,,
2021-07-30,81.15,81.15,76.8,79.25,8389108.0,,,
2021-08-02,80.4,80.4,74.7,79.0,8029285.0,,,
2021-08-03,81.0,81.0,79.3,80.2,5087381.0,,,
2021-08-04,79.0,81.25,78.65,81.0,6352872.0,,,
2021-08-05,82.0,83.6,77.5,78.0,6412194.0,,,
2021-08-06,76.9,77.5,73.0,74.3,8239693.0,,,
2021-08-09,74.5,75.5,71.0,74.3,5132370.0,,,
2021-08-10,75.45,77.0,74.5,76.4,3747835.0,,,
2021-08-11,76.45,76.8,73.6,74.1,3224336.0,,,
2021-08-12,74.1,74.1,70.2,71.3,8739441.0,,,
2021-08-13,70.95,74.15,70.65,73.3,6339719.0,,,
2021-08-16,73.3,73.45,71.6,72.25,3532679.0,,,
2021-08-17,73.1,73.8,70.2,71.35,5591447.0,,,
2021-08-18,72.0,72.2,67.0,68.4,11690357.0,,,
2021-08-19,69.5,70.65,66.25,67.2,8473135.0,,,
2021-08-20,66.85,66.85,57.65,62.8,19871909.0,,,
2021-08-23,62.0,63.9,59.2,63.4,7560791.0,,,
2021-08-24,65.1,66.4,63.85,65.85,6071175.0,,,
2021-08-25,66.45,66.95,63.2,64.2,4735089.0,,,
2021-08-26,64.4,66.0,59.05,61.9,11204017.0,,,
2021-08-27,60.9,63.0,59.9,60.85,4062777.0,,,
2021-08-30,60.65,61.7,59.7,61.45,6808425.0,,,
2021-08-31,61.0,62.9,59.3,62.7,7590029.0,,,
2021-09-01,62.7,63.0,60.45,62.6,6548756.0,,,
2021-09-02,62.7,65.4,62.35,64.7,6296798.0,,,
2021-09-03,65.05,66.65,63.55,66.05,5106696.0,,,
2021-09-06,66.75,67.2,64.5,66.4,4338551.0,,,
2021-09-07,67.0,67.0,64.1,64.8,4635873.0,,,
2021-09-08,65.3,65.6,63.3,64.0,2626071.0,,,
2021-09-09,64.0,64.9,60.65,61.0,5114178.0,,,
2021-09-10,60.5,64.2,60.5,64.2,4839704.0,,,
2021-09-13,63.9,64.85,61.65,62.75,6100120.0,,,
2021-09-14,63.05,67.0,61.35,65.2,9115811.0,,,
2021-09-15,65.2,65.45,63.05,63.6,3056234.0,,,
2021-09-16,63.6,63.6,60.35,61.1,4528157.0,,,
2021-09-17,61.6,67.8,61.0,66.5,8188835.0,,,
2021-09-20,67.5,69.75,65.0,68.75,7219671.0,,,
2021-09-21,68.5,72.0,67.8,68.4,3220697.0,,,
2021-09-23,70.0,70.95,67.15,69.65,6906852.0,,,
2021-09-24,69.65,73.95,68.55,72.55,8887967.0,,,
2021-09-27,73.4,76.55,71.6,73.25,9586677.0,,,
2021-09-28,73.95,77.25,72.6,76.0,6983070.0,,,
2021-09-29,76.0,77.2,73.85,74.7,4649409.0,,,
2021-09-30,74.8,76.4,74.6,75.5,2977765.0,,,
2021-10-04,74.7,76.0,72.1,74.3,3451860.0,,,
2021-10-05,73.0,76.3,73.0,74.25,2708046.0,,,
2021-10-06,74.25,75.2,72.05,72.7,2409128.0,,,
2021-10-07,74.5,76.7,73.35,76.15,3465859.0,,,
2021-10-08,76.8,78.25,74.8,76.1,3932853.0,,,
2021-10-11,76.4,79.55,75.45,76.3,5216955.0,,,
2021-10-12,75.0,78.5,75.0,75.7,4413121.0,,,
2021-10-15,77.9,77.9,75.2,76.75,6639655.0,,,
2021-10-18,75.5,78.0,74.2,77.75,3786773.0,,,
2021-10-19,77.8,79.3,76.65,78.0,2582082.0,,,
2021-10-20,78.15,78.5,76.0,77.3,2593769.0,,,
2021-10-21,77.05,78.0,76.1,76.9,3264485.0,,,
2021-10-22,76.35,77.6,75.3,76.65,2740387.0,,,
2021-10-25,76.0,78.1,75.6,76.0,3884391.0,,,
2021-10-26,76.95,77.5,75.35,76.0,3213365.0,,,
2021-10-27,76.05,77.95,69.45,69.65,11947582.0,,,
2021-10-28,69.65,70.55,67.25,69.7,5737071.0,,,
2021-10-29,68.85,70.5,68.35,69.8,5911558.0,,,
2021-11-01,69.45,69.8,67.7,68.9,5956554.0,,,
2021-11-02,68.9,69.75,66.35,66.45,8277101.0,,,
2021-11-03,67.0,68.95,66.5,68.0,2929212.0,,,
2021-11-04,69.0,69.6,66.9,67.4,5740724.0,,,
2021-11-05,67.4,69.8,67.3,69.0,3609192.0,,,
2021-11-08,68.7,71.0,67.7,70.8,7669343.0,,,
2021-11-09,70.8,76.85,70.8,76.5,13614120.0,,,
2021-11-10,75.5,81.0,74.8,80.15,16580987.0,,,
2021-11-11,81.0,81.35,74.9,75.3,13375626.0,,,
2021-11-12,76.45,77.05,75.0,75.25,5395133.0,,,
2021-11-15,76.05,76.95,75.15,76.05,2164881.0,,,
2021-11-16,76.65,79.9,76.1,79.05,6052314.0,,,
2021-11-17,78.15,80.6,78.05,79.95,7250527.0,,,
2021-11-18,79.35,79.4,77.05,78.4,2705806.0,,,
2021-11-19,77.8,81.45,77.1,80.3,5188057.0,,,
2021-11-22,81.5,82.0,75.5,76.1,9072217.0,,,
2021-11-23,75.7,76.45,73.0,73.0,5440052.0,,,
2021-11-24,75.0,75.0,72.05,73.9,2396514.0,,,
2021-11-25,73.85,75.0,73.35,74.7,2106715.0,,,
2021-11-26,74.45,75.9,72.8,73.5,2838781.0,,,
2021-11-29,73.05,74.75,70.4,71.2,3572567.0,,,
2021-11-30,71.45,72.6,69.35,69.35,6587041.0,,,
2021-12-01,69.05,70.45,68.2,68.2,5125388.0,,,
2021-12-02,68.2,69.2,66.65,67.4,6642871.0,,,
2021-12-03,67.3,68.45,65.2,66.4,17215659.0,,,
2021-12-06,65.7,66.0,60.85,61.8,12855609.0,,,
