SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
603986.SH,603986,兆易创新,10362278,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-29 00:00:00,2025-10-29 00:00:00,CNY,7162481324.51,,,,,,,,,,,,340193294.09,252926301.14,,0,7755600919.74,4485876431.5,,,,,,1092875802.52,123672183.61,257530883.06,,0,5959955300.69,,0,1795645619.05,1091372640.51,194862584.29,19708801.15,,,,,0.0,1305944025.95,714995741.42,1632234353.01,,,,,,0,2347230094.43,,0,-1041286068.48,410239894.78,,400000000.0,,,,0.0,810239894.78,726281703.28,245890105.59,,,18516361.92,,,0.0,990688170.79,,0.0,-180448276.01,-72307206.48,,0,501604068.08,9104158718.59,,0,9605762786.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6887148019,,,,,,,,,,,,9.4664761429,-35.9189765819,,,21.104456493,30.2425580255,,,,,,41.3107726529,337.7578959693,-14.5349871065,,,31.0683196173,,,-3.2959497809,-48.0394393176,661.2885868625,5019.1691298701,,,,,,-38.5833481008,109.1063113173,-17.4179431819,,,,,,,1.2422546985,,,-442.1633731307,9016.4421062222,,-42.8571428571,,,,,15.0092114663,1823.1116526854,2259.0847749141,,,-89.1218630171,,,,353.6006308314,,,-137.1220473779,-19.9296372985,,,-76.0065590871,27.6721656447,,,4.1673027096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603986.SH,603986,兆易创新,10362278,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-23 00:00:00,2025-08-23 00:00:00,CNY,4311947987.53,,,,,,,,,,,,202920302.33,168472202.3,,0,4683340492.16,2692283878.67,,,,,,802902902.74,87223608.6,143109170.68,,0,3725519560.69,,0,957820931.47,111402579.8,135759818.32,19708801.15,,,,,0.0,266871199.27,412482061.21,1617234353.01,,,,,,0,2029716414.22,,0,-1762845214.95,77021592.1,,400000000.0,,,,0.0,477021592.1,705047346.25,219167204.7,,,6646363.28,,,0.0,930860914.23,,0.0,-453839322.13,-15618363.27,,0,-1274481968.88,9104158718.59,,0,7829676749.71,587834762.25,17320559.72,123522238.71,123522238.71,,56143141.03,36805814.49,,,,-493639.07,3007825.24,-7357878.27,17143942.05,9967373.63,-7913780.73,5650585.34,-13564366.07,,-69407382.3,137469273.1,-57972442.6,83797162.31,,0.0,957820931.47,,,,,7829676749.71,9104158718.59,,,,,-1274481968.88,18.7558367763,,,,,,,,,,,,9.9221122942,-27.9789290909,,,15.6534557385,31.9644802633,,,,,,50.7037612443,368.9941020668,-31.5985024261,,,33.0189087753,,,-23.2955170446,-94.6951152476,430.3860698457,6469.6003833333,,,,,,-87.4466508614,167.7919667819,-13.8394058066,,,,,,,-0.0647143328,,,-1958.2548473416,,,0.0,,,,,19.255398025,2555.8271589677,3442.3494089302,,,-95.700513245,,,,396.9381184805,,,-313.3899705827,-133.0983563209,,,-179.4837464176,27.6721656447,,,-10.3575196083,13.7011115466,-77.466810479,-6.3228852087,-6.3228852087,,13.8114312881,90.4208532532,,,,-74.4191367876,9384.1473104826,-232.3946542796,576.5471768529,147.3928766927,-377.4779886433,-23.8960371054,-196.6324946027,,-178.772418933,52.538667164,-129.3479488819,29.4079509455,,,-23.2955170446,,,,,-10.3575196083,27.6721656447,,,,,-179.4837464176,,,,,27489066.94,24.8650138628
603986.SH,603986,兆易创新,10362278,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,1925457337.01,,,,,,,,,,,,101122429.3,82415145.49,,0,2108994911.8,1145332026.34,,,,,,521943513.2,40196547.0,65673536.48,,0,1773145623.02,,0,335849288.78,36728723.65,62115973.31,19569404.15,,,,,0.0,118414101.11,221214608.49,20000000.0,,,,,,0,241214608.49,,0,-122800507.38,,,400000000.0,,,,0.0,400000000.0,347043188.12,8441543.11,,,,,,0.0,355484731.23,,0.0,44515268.77,17213822.5,,0,274777872.67,9104158718.59,,0,9378936591.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1154658657,,,,,,,,,,,,19.231218698,-44.2152150715,,,16.5640629339,54.7251702241,,,,,,70.1565802447,355.482302044,-47.8831505807,,,50.0355976197,,,-46.4768803656,-87.7570921167,3833.0957128143,,,,,,,-60.7353372089,213.7983363841,-94.5945945946,,,,,,,-45.2402008558,,,11.6011908412,,,0.0,,,,,0.0,3492.4055116878,345.7410273539,,,,,,,527.9338309546,,,-87.0364588648,215.7617163998,,,-67.1870876022,27.6721656447,,,17.7031735378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603986.SH,603986,兆易创新,10362278,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,7571246514.35,,,,,,,,,,,,430792920.47,521346132.55,,0,8523385567.37,5006148477.24,,,,,,1031430681.16,53063266.75,400512905.21,,0,6491155330.36,,0,2032230237.01,2119362651.89,125899716.31,29329942.03,27277017.4,,,,0.0,2301869327.63,499017219.78,2101168000.0,,241019697.01,,130000000.0,,0,2971204916.79,,0,-669335589.16,4500000.0,4500000.0,1269192534.34,,,,0.0,1273692534.34,463346911.8,15218394.67,,,314744198.18,,,0.0,793309504.65,,0.0,480383029.69,129993370.57,,0,1973271048.11,7130887670.48,,0,9104158718.59,1100881286.84,172135100.87,268895167.12,268895167.12,,105289034.79,48856709.7,,,,-337228.83,792423.97,275080.89,-77943663.06,-17920194.44,-5049869.0,6653307.28,-11703176.28,,-269575200.81,193144073.1,305787835.96,159034236.76,,0.0,2032230237.01,,,,,9104158718.59,7130887670.48,,,,,1973271048.11,26.5023678141,,,,,,,,,,,,45.2492077774,68.4462672346,,,29.3155111069,28.0046113259,,,,,,0.4766613289,-24.7718996131,1.0327587501,,,20.1085909623,,,71.243431111,-61.8216512188,-2.4911997931,115281.5428112397,,,,,,-59.4766842413,43.2460308405,-62.6585038387,,,,,,,-50.2749014603,,,-126.9671279907,,,,,,,,63584.626717,1012.5240435912,-96.3861504863,,,181.4270211684,,,,38.06290383,,,183.8950390658,431.9369718066,,,474.1547152711,5.0636869674,,,27.6721656447,583.1779314448,-71.9058814631,2.6766543165,2.6766543165,,10.2691253174,8.5087369951,,,,-241.6921149126,-5.2365155186,-97.7058194491,-944.2727926498,78.3100798652,84.1902145382,123.7544140044,-197.5867549968,,-668.1511310187,-1.5037624751,215.7912167085,63.7197421962,,,71.243431111,,,,,27.6721656447,5.0636869674,,,,,474.1547152711,标准无保留意见,,,,44298371.79,4.5039219969
603986.SH,603986,兆易创新,10362278,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-26 00:00:00,2025-10-29 00:00:00,CNY,5698587447.41,,,,,,,,,,,,310773952.06,394697661.88,,0,6404059061.35,3444247793.89,,,,,,773384634.45,28251274.22,301329016.8,,0,4547212719.36,,0,1856846341.99,2100386574.31,25596414.77,385000.0,,,,,0.0,2126367989.08,341929297.55,1976500000.0,,,,,,0,2318429297.55,,0,-192061308.47,4500000.0,4500000.0,700000000.0,,,,0.0,704500000.0,37765966.54,10423114.43,,,170216296.68,,,0.0,218405377.65,,0.0,486094622.35,-60291357.59,,0,2090588298.28,7130887670.48,,0,9221475968.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2130692699,,,,,,,,,,,,61.2666177732,82.7476625472,,,30.0649012988,23.0124689286,,,,,,-4.1573105392,-54.8931507516,10.3539617054,,,15.3372059348,,,89.2417087407,-17.6359054946,-65.1376892606,1414.5578513892,,,,,,-18.9513811374,29.9062358984,-41.8343860105,,,,,,,-36.6768779562,,,81.4915852275,125.0,,,,,,,35125.0,16.2577990725,-97.514397661,,,136.9108903907,,,,-58.2935171403,,,193.1800374465,-188.6539402869,,,509.7917923813,5.0636869674,,,46.9078873209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603986.SH,603986,兆易创新,10362278,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-21 00:00:00,2025-08-23 00:00:00,CNY,3630935627.74,,,,,,,,,,,,184603714.48,233920712.61,,0,4049460054.83,2040157982.89,,,,,,532768987.39,18598018.23,209219353.02,,0,2800744341.53,,0,1248715713.3,2100000000.0,25596414.77,300000.0,0.0,,0.0,,0.0,2125896414.77,154030782.24,1877000000.0,0.0,0.0,,0.0,,0,2031030782.24,,0,94865632.53,0.0,0.0,400000000.0,,0.0,,0.0,400000000.0,26547184.89,6187057.78,0.0,,154585039.07,,,0.0,187319281.74,,0.0,212680718.26,47187730.77,,0,1603449794.86,7130887670.48,,0,8734337465.34,517000013.68,76866879.87,131859567.82,131859567.82,,49329966.59,19328667.98,,,,-283018.87,31714.24,5557534.26,2534034.97,-21031375.02,2852039.1,7424824.05,-4572784.95,,88111274.53,90120935.01,197534903.83,64754261.0,,0.0,1248715713.3,,,,,8734337465.34,7130887670.48,,,,,1603449794.86,18.241143647,,,,,,,,,,,,32.4045781269,62.1757467637,,,20.7189872158,7.6038827503,,,,,,-9.3474890398,-55.9825384856,13.7402148592,,,3.3526879369,,,93.7310525102,224.1221922143,78.1134850747,1080.1749491345,,,,,,220.9868945829,-21.2719583333,79.8561556078,,,,,,,63.8904833311,,,116.4422984302,-100.0,,,,,,,19900.0,14.0974515599,-98.5109711984,,,2316.573355188,,,,-57.9221939723,,,147.9903858707,-47.4786186694,,,661.1800516523,5.0636869674,,,34.3439029481,53.8774891184,-43.9927251115,2.5283195019,2.5283195019,,5.6021133389,-15.9972023046,,,,,-75.6885465281,121.2949733044,104.3590463082,-1040.991241075,219.8266614305,230.7750786843,-238.6778550861,,421.0485142612,-35.2536510016,249.3099602041,5.3060735891,,100.0,93.7310525102,,,,,34.3439029481,5.0636869674,,,,,661.1800516523,,,,,22015027.34,9.3729845606
603986.SH,603986,兆易创新,10362278,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-20 00:00:00,2025-04-26 00:00:00,CNY,1576751415.85,,,,,,,,,,,,84812040.34,147737677.21,,0,1809301133.4,740236397.66,,,,,,306743067.15,8825051.34,126012100.14,,0,1181816616.29,,0,627484517.11,300000000.0,1579315.07,,,,,,0.0,301579315.07,70495787.53,370000000.0,,,,,,0,440495787.53,,0,-138916472.46,,,400000000.0,,,,0.0,400000000.0,9660468.09,1893822.33,,,45057523.39,,,0.0,56611813.81,,0.0,343388186.19,5451522.97,,0,837407753.81,7130887670.48,,0,7968295424.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7164046752,,,,,,,,,,,,16.0151833397,258.0537864543,,,20.5453236882,-6.8427520584,,,,,,-18.8203939841,-60.528350269,61.2013208775,,,-7.1625416916,,,175.2913210793,233.3333333333,-52.6979133009,,,,,,,223.0225206405,-44.5663801944,-10.843373494,,,,,,,-18.7534284451,,,69.0478104129,,,,,,,,19900.0,28.618239405,13.4566114126,,,,,,,516.6752193253,,,4882.454158471,126.4022179195,,,436.7096082145,5.0636869674,,,21.8673008299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603986.SH,603986,兆易创新,10362278,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-20 00:00:00,2025-04-26 00:00:00,CNY,5985063082.36,,,,,,,,,,,,296588826.24,309502929.99,,0,6591154838.59,3910912603.37,,,,,,1026537573.52,70536496.97,396418854.8,,0,5404405528.66,,0,1186749309.93,5551216120.0,129116260.32,25419.96,0.0,,0.0,,0.0,5680357800.28,348363732.56,5626898266.0,0.0,0.0,,0.0,,0,5975261998.56,,0,-294904198.28,0.0,0.0,0.0,,2000000.0,,0.0,2000000.0,41648260.5,421113126.38,0.0,,111838656.03,,,0.0,574600042.91,,0.0,-572600042.91,24437739.33,,0,343682808.07,6787204862.41,,0,7130887670.48,161141224.88,612708672.97,261885400.25,261885400.25,,95483694.54,45025599.83,,,,-98693.77,836212.36,11990376.69,-7463917.82,-82619918.97,-31941413.83,-28008719.89,-3932693.94,,47447797.97,196092843.7,-264085519.31,97138093.81,,0.0,1186749309.93,,,,,7130887670.48,6787204862.41,,,,,343682808.07,-30.4586406082,,,,,,,,,,,,-36.6365860482,-22.4833575619,,,-30.4277589771,-41.1726732527,,,,,,8.96731419,-84.7917549744,-15.6826092513,,,-36.5987986732,,,24.9616075644,67.6749968285,129.4104531548,-81.354631434,,,,,,68.7008779436,-36.7580976785,96.7446946154,,,,,,,75.1843051472,,,-574.4502927179,,,,,,,,,31.5021669452,-41.0748522202,,,229.0957878726,,,,-26.3628310481,,,26.6191386132,-78.6682152597,,,43.0737611995,3.6690705339,,,5.0636869674,-92.1504963646,46.261993702,28.000252822,28.000252822,,20.1734624072,-17.3691692517,,,,46.6777175564,-62.2315878551,71.9973728062,92.6625447958,-63.2802006661,37.3086702003,55.2024156651,-133.9829618221,,105.6409399314,124.3488418321,-0.06405934,-52.9116259474,,,24.9616075644,,,,,5.0636869674,3.6690705339,,,,,43.0737611995,标准无保留意见,,,,42389195.49,14.5914619996
603986.SH,603986,兆易创新,10362278,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-25 00:00:00,2024-10-26 00:00:00,CNY,4515053377.89,,,,,,,,,,,,192708172.56,215979595.24,,0,4923741145.69,2799917621.27,,,,,,806931273.32,62631894.47,273056818.39,,0,3942537607.45,,0,981203538.24,2550124040.0,73421452.07,25419.96,,,,,0.0,2623570912.03,263212381.75,3398055766.0,,,,,,0,3661268147.75,,0,-1037697235.72,2000000.0,,,,,,0.0,2000000.0,32484673.58,419339580.86,,,71848236.44,,,0.0,523672490.88,,0.0,-521672490.88,68007532.88,,0,-510158655.48,6787204862.41,,0,6277046206.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.9875562367,,,,,,,,,,,,-51.7792197105,-38.3840087298,,,-36.9039266331,-51.5749570957,,,,,,8.8236219122,-85.1062098056,-34.9532891399,,,-46.4603749689,,,123.1089364725,4.5132803279,8.1268013667,-55.4035789474,,,,,,4.6097547598,-29.583897374,66.5713610784,,,,,,,51.6809442042,,,-1202.0061693552,,,,,,,,,47.710579284,-41.158476958,,,111.4202085202,,,,-31.8698110743,,,32.1300125938,-53.4098006795,,,-475.0580840659,3.6690705339,,,-2.8061765367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603986.SH,603986,兆易创新,10362278,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-26 00:00:00,2024-08-21 00:00:00,CNY,3070788657.61,,,,,,,,,,,,139423966.37,144239022.96,,0,3354451646.94,1895989188.07,,,,,,587704611.54,42251455.65,183944925.09,,0,2709890180.35,,0,644561466.59,647903800.0,14370846.07,25419.96,,,,,0.0,662300066.03,195649198.15,1043611765.0,,,,,,0,1239260963.15,,0,-576960897.12,2000000.0,,,,,,0.0,2000000.0,23267114.67,415509610.91,,,6396869.3,,,0.0,445173594.88,,0.0,-443173594.88,89844801.44,,0,-285728223.97,6787204862.41,,0,6501476638.44,335981576.41,137244456.23,128607947.99,128607947.99,,46713048.66,23009552.67,,,,,130449.79,-26097869.11,-58132783.89,-1843254.73,-2380137.33,-5677552.73,3297415.4,,-27444847.31,139190759.64,-132298544.29,61491477.93,,-0.02,644561466.59,,,,,6501476638.44,6787204862.41,,,,,-285728223.97,-38.211836771,,,,,,,,,,,,-49.0459678266,-38.480196078,,,-38.7644939783,-55.5497982963,,,,,,6.6811030154,-85.7484624431,-28.9627870142,,,-49.5527736044,,,506.8215039353,-28.0106888889,96.5379294429,-55.4035789474,,,,,,-27.0087396911,-12.9661362857,189.8921569444,,,,,,,111.9131482698,,,-278.8624720775,,,,,,,,,76.1872851994,-41.5664459956,,,,,,,-38.5362485741,,,38.8123824335,-3.117506642,,,-40.9201810158,3.6690705339,,,2.4785411978,-77.9966910366,95.3142317209,35.2857738535,35.2857738535,,27.2694106127,-14.7113431876,,,,,-72.9450251359,-70.1028787866,31.7008311344,86.3563300754,96.4694601374,91.7543852888,129.0277932271,,95.6846880442,116.7445667296,16.0536562621,-55.378665397,,,506.8215039353,,,,,2.4785411978,3.6690705339,,,,,-40.9201810158,,,,,20128395.9,14.3086450919
