日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-04,138.78,140.87,136.4,139.22,9019076.0,1783610463.0,439165243.0,0.0205
2021-01-05,137.0,146.93,136.68,146.42,16550762.0,3378792592.0,439165243.0,0.0377
2021-01-06,148.13,148.74,140.92,142.79,12854464.0,2635813353.0,439165243.0,0.0293
2021-01-07,141.94,142.65,137.8,140.57,10361907.0,2067657216.0,439165243.0,0.0236
2021-01-08,140.75,143.11,137.89,141.98,9413583.0,1889970592.0,439165243.0,0.0214
2021-01-11,145.79,150.14,142.29,143.12,16017900.0,3348725992.0,439165243.0,0.0365
2021-01-12,141.27,144.73,137.67,144.49,13198597.0,2668396590.0,439165243.0,0.0301
2021-01-13,145.77,150.84,143.16,150.79,23391489.0,4946431200.0,439165243.0,0.0533
2021-01-14,152.74,156.38,147.47,153.8,27717907.0,6045610651.0,439165243.0,0.0631
2021-01-15,152.52,155.23,146.69,150.56,16542026.0,3559529157.0,439165243.0,0.0377
2021-01-18,148.68,160.16,145.88,157.45,22001659.0,4857506388.0,439165243.0,0.0501
2021-01-19,157.63,160.86,155.0,157.71,15415461.0,3472744786.0,439165243.0,0.0351
2021-01-20,157.76,159.52,156.38,158.06,10927176.0,2461157394.0,439165243.0,0.0249
2021-01-21,159.11,159.11,151.55,152.84,15088330.0,3322048582.0,439165243.0,0.0344
2021-01-22,152.1,152.8,145.5,146.97,19050915.0,4023867855.0,439165243.0,0.0434
2021-01-25,139.46,144.79,135.51,141.64,21974099.0,4405140268.0,439165243.0,0.05
2021-01-26,140.26,143.83,137.12,137.18,10448500.0,2083068858.0,439165243.0,0.0238
2021-01-27,138.08,138.22,131.89,133.65,11304197.0,2170521515.0,439165243.0,0.0257
2021-01-28,131.77,135.23,130.21,130.58,8024092.0,1509923814.0,439165243.0,0.0183
2021-01-29,131.35,132.12,126.59,127.57,9653682.0,1777024363.0,439165243.0,0.022
2021-02-01,126.87,129.65,126.66,129.22,5808456.0,1065677646.0,439165243.0,0.0132
2021-02-02,129.67,134.33,129.66,132.86,7430417.0,1402913764.0,439165243.0,0.0169
2021-02-03,131.98,132.72,127.57,127.57,7853043.0,1456916866.0,439165243.0,0.0179
2021-02-04,126.17,131.42,118.46,130.35,15769942.0,2791349778.0,439165243.0,0.0359
2021-02-05,128.27,128.89,122.66,123.15,8796967.0,1583222207.0,439165243.0,0.02
2021-02-08,123.15,127.72,123.12,125.51,6265294.0,1125575346.0,439165243.0,0.0143
2021-02-09,126.29,128.81,124.76,128.73,5991006.0,1090666203.0,439165243.0,0.0136
2021-02-10,129.53,129.53,127.34,128.84,4857492.0,892208835.0,439165243.0,0.0111
2021-02-18,131.49,135.62,130.34,132.52,9118520.0,1731918070.0,439165243.0,0.0208
2021-02-19,132.33,137.79,131.11,137.32,10455538.0,2035806671.0,439165243.0,0.0238
2021-02-22,135.29,136.96,131.77,131.77,8256545.0,1579426973.0,439165243.0,0.0188
2021-02-23,130.37,130.58,126.64,128.41,5896885.0,1083769889.0,439165243.0,0.0134
2021-02-24,128.97,140.19,128.62,136.21,17262619.0,3367385835.0,439165243.0,0.0393
2021-02-25,137.3,140.08,134.91,137.67,10070047.0,1981982518.0,439165243.0,0.0229
2021-02-26,134.87,140.53,132.7,134.93,10089261.0,1971334493.0,439165243.0,0.023
2021-03-01,137.38,143.33,135.63,142.15,12874671.0,2572147419.0,439165243.0,0.0293
2021-03-02,143.35,144.65,140.55,143.45,12307461.0,2502063052.0,439165243.0,0.028
2021-03-03,142.27,142.27,136.76,139.48,9401558.0,1860299147.0,439165243.0,0.0214
2021-03-04,138.19,140.68,134.94,135.99,6163418.0,1205115360.0,439165243.0,0.014
2021-03-05,133.88,138.43,133.26,136.53,5300568.0,1031591635.0,439165243.0,0.0121
2021-03-08,136.68,137.03,126.87,126.87,8244696.0,1549282720.0,439165243.0,0.0188
2021-03-09,125.33,126.85,119.87,121.55,9161412.0,1607165605.0,439165243.0,0.0209
2021-03-10,123.01,123.77,119.79,119.9,5238520.0,905960686.0,439165243.0,0.0119
2021-03-11,119.91,124.76,118.02,121.78,7035529.0,1219410460.0,439165243.0,0.016
2021-03-12,121.93,121.96,118.18,118.46,5711743.0,974135116.0,439165243.0,0.013
2021-03-15,117.76,117.76,106.61,107.5,13216596.0,2075104355.0,439165243.0,0.0301
2021-03-16,108.64,110.11,103.06,109.01,9694892.0,1482431054.0,439165243.0,0.0221
2021-03-17,109.01,119.19,107.61,118.37,11340880.0,1855048262.0,439165243.0,0.0258
2021-03-18,119.15,119.49,115.81,116.91,5132196.0,857564685.0,439165243.0,0.0117
2021-03-19,114.38,123.15,112.7,119.16,8688322.0,1476825142.0,439165243.0,0.0198
2021-03-22,119.16,121.0,116.85,118.82,4054611.0,686148866.0,439165243.0,0.0092
2021-03-23,119.62,122.38,117.46,117.9,4823714.0,822072592.0,439165243.0,0.011
2021-03-24,117.05,118.88,115.27,117.03,4166846.0,693001413.0,439165243.0,0.0095
