证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
兆易创新,北京兆易创新科技股份有限公司,3156.64,,,,0.0,7500.0,7500.0,,0.0,,0.0,,,,1221.9,0.0,,,,,定期报告,2016-08-31,3121.46,603986,2016-06-30,,,,,0.0,,0.0,7500.0,,,,,,0.0,,0.0,015019
兆易创新,北京兆易创新科技股份有限公司,,,,,0.0,0.0,0.0,,7500.0,,3156.64,,,3121.46,,2500.0,,,,,A股上市,2016-08-17,,603986,2016-08-18,,,,,7500.0,,,10000.0,,,,3156.64,,2500.0,1221.9,4343.36,015001
兆易创新,北京兆易创新科技股份有限公司,,,,,0.0,,0.0,,7500.0,,3156.64,,,3121.46,,2500.0,,,,,定期报告,2017-04-11,,603986,2016-12-31,,,,,7500.0,,,10000.0,,,,3156.64,,2500.0,1221.9,4343.36,015019
兆易创新,北京兆易创新科技股份有限公司,,,,,0.0,0.0,0.0,0.0,15000.0,,6313.28,,,6242.92,,5000.0,,,,,转增,2017-05-16,,603986,2017-05-22,,0.0,,,15000.0,,,20000.0,,,,6313.28,,5000.0,2443.8,8686.72,015011
兆易创新,北京兆易创新科技股份有限公司,,,,,0.0,0.0,0.0,0.0,15269.3994,,6313.28,,,6242.92,,5000.0,,,,,"增发新股上市,股权激励",2017-06-23,,603986,2017-06-21,,0.0,,,15269.3994,,,20269.3994,,,,6313.28,,5000.0,2713.1994,8956.1194,"015004,015025"
兆易创新,北京兆易创新科技股份有限公司,,,,,0.0,,0.0,0.0,15269.3994,,6313.28,,,6242.92,,5000.0,,,,,定期报告,2017-08-28,,603986,2017-06-30,,0.0,,,15269.3994,,,20269.3994,,,,6313.28,,5000.0,2713.1994,8956.1194,015019
兆易创新,北京兆易创新科技股份有限公司,,,,,0.0,0.0,0.0,0.0,5534.8644,,2091.9,,,729.765,,14734.535,,,,,限售股份上市,2017-08-11,,603986,2017-08-18,,0.0,,,5534.8644,,0.0,20269.3994,,,0.0,2091.9,,14734.535,2713.1994,3442.9644,015027
兆易创新,北京兆易创新科技股份有限公司,,,,,0.0,0.0,0.0,0.0,5533.4384,0.0,2091.9,,,729.765,,14734.535,,,,,股份回购,2017-12-06,,603986,2017-12-06,,0.0,,,5533.4384,,0.0,20267.9734,,,0.0,2091.9,,14734.535,2711.7734,3441.5384,015016
兆易创新,北京兆易创新科技股份有限公司,,,,,0.0,,0.0,0.0,5533.4384,0.0,2091.9,,,729.765,,14734.535,,,,,定期报告,2018-04-16,,603986,2017-12-31,,0.0,,,5533.4384,,0.0,20267.9734,,,0.0,2091.9,,14734.535,2711.7734,3441.5384,015019
兆易创新,北京兆易创新科技股份有限公司,,,,,0.0,0.0,0.0,0.0,7746.8138,0.0,2928.66,,,1021.671,,20628.349,,,,,转增,2018-05-15,,603986,2018-05-21,,0.0,,,7746.8138,,0.0,28375.1628,,,0.0,2928.66,,20628.349,3796.4828,4818.1538,015011
