SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
300251.SZ,300251,光线传媒,10176808,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-29 00:00:00,2025-10-29 00:00:00,CNY,4061888887.98,,,,,,,,,,,,4570719.37,83050268.56,,0.0,4149509875.91,660866144.05,,,,,,132539648.75,251102958.31,54057224.54,,0.0,1098565975.65,,0.0,3050943900.26,12836402640.99,39681145.61,2600.0,,,,,0.0,12876086386.6,1234564839.17,12892228402.6,,,,,,0.0,14126793241.77,,0.0,-1250706855.17,39513689.88,,,,,,0.0,39513689.88,,584746928.8,,,15473155.81,,,0.0,600220084.61,,0.0,-560706394.73,-831235.18,,0.0,1238699415.18,1617515694.88,,0.0,2856215110.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.5202581955,,,,,,,,,,,,2233.0906365145,-21.1551952325,,,142.0852657138,-17.5840097414,,,,,,1.9665540685,159.6380306723,15.5935827599,,,2.1610631239,,,377.6487874719,9974.6079061637,822.9682858645,,,,,,,9675.8869088821,30798.1433110766,1122.0121708626,,,,,,,1230.4625957176,,,-34.4726245129,-4.750584158,,,,,,,-4.750584158,,186.0678705904,,,-10.606555595,,,,156.8143418734,,,-191.6805130774,-81.5209651336,,,355.9128326043,-34.8001462464,,,43.0377502119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300251.SZ,300251,光线传媒,10176808,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-27 00:00:00,2025-08-27 00:00:00,CNY,3720876105.87,,,,,,,,,,,,31391.16,51023578.66,,0.0,3771931075.69,426051448.29,,,,,,87887812.58,242943310.92,33191038.31,,0.0,790073610.1,,0.0,2981857465.59,7144119784.17,25416065.04,2600.0,,,,,0.0,7169538449.21,1225713241.66,7112755710.51,,,,,,0.0,8338468952.17,,0.0,-1168930502.96,,,,,,,,,,584746928.8,,,11469309.96,,,0.0,596216238.76,,0.0,-596216238.76,-149912.74,,0.0,1216560811.13,1617515694.88,,0.0,2834076506.01,2227888993.83,6056255.93,12812100.1,12812100.1,,120550.66,437316.94,,,,-470.72,0.0,-9085708.06,729214.34,-81381019.46,2319863.06,4799773.73,-2479910.67,,104739125.24,-74495355.71,777289943.86,7475229.08,,0.0,2981857465.59,0.0,0.0,0.0,,2834076506.01,1617515694.88,0.0,0.0,,,1216560811.13,169.0180188357,,,,,,,,,,,,-83.9766094707,-36.890630574,,,157.6142382337,-35.959752934,,,,,,2.4151117672,157.6229061491,-10.5953391393,,,-10.4761572111,,,412.6555367403,6963.4360472037,2634.9783335089,,,,,,,6924.0307384511,45837.1940912282,703.7012102271,,,,,,,836.4139679599,,,-48.2667991539,,,,,,,,,,186.0678705904,,,23.3079066163,,,,164.1516633194,,,-164.1516633194,-157.6962953467,,,381.4827224649,-34.8001462464,,,38.3380246837,370.7823390808,607.4434203968,636.839615027,636.839615027,,-64.8718827318,-3.9574709496,,,,,-100.0,-198.8122613694,-61.4631352302,-431.9147409392,50871.4223184213,266.5524776416,-88.728990187,,12.4940257148,-299.2901691303,3037.8536813721,-56.9814316256,,,412.6555367403,,,,,38.3380246837,-34.8001462464,,,,,381.4827224649,,,,,6951426.5,0.3671889738
300251.SZ,300251,光线传媒,10176808,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-22 00:00:00,2025-04-22 00:00:00,CNY,5338571241.59,,,,,,,,,,,,,13496787.13,,0.0,5352068028.72,239653397.03,,,,,,42385220.58,177507880.67,7341324.86,,0.0,466887823.14,,0.0,4885180205.58,1517176556.2,11732465.31,,,,,,0.0,1528909021.51,2327364.22,1459759414.69,,,,,,0.0,1462086778.91,,0.0,66822242.6,,,,,,,,,987911751.97,74294824.3,,,7755558.18,,,0.0,1069962134.45,,0.0,-1069962134.45,-129196.82,,0.0,3881911116.91,1617515694.88,,0.0,5499426811.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.1855278574,,,,,,,,,,,,,-76.0230802915,,,1604.9106694365,-10.6573805756,,,,,,-9.7862472163,192.5246619584,-68.6637739523,,,16.916948738,,,5819.537577639,1417.1765562,2612.8066541315,,,,,,,1422.3252026435,193.23395648,29095.1882938,,,,,,,16913.4951622769,,,-27.2396355378,,,,,,,,,,33917.7766941392,,,,,,,489809.402220696,,,-489809.402220696,-271.2489071347,,,61677.6071443781,-34.8001462464,,,121.1143481305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300251.SZ,300251,光线传媒,10176808,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-22 00:00:00,2025-04-22 00:00:00,CNY,1603551364.17,,,,,,,,,,,,31521.7,134779211.19,,0.0,1738362097.06,1007969568.69,,,,,,178616309.07,152311651.27,60707573.66,,0.0,1399605102.69,,0.0,338756994.37,698349465.65,7515290.1,,,,,,0.0,705864755.75,7866217.51,1695000000.0,,,,11800000.0,,0.0,1714666217.51,,0.0,-1008801461.76,41484443.27,,,,,,0.0,41484443.27,12000000.0,204408459.99,,,18984105.8,,,0.0,235392565.79,,0.0,-193908122.52,610427.36,,0.0,-863342162.55,2480857857.43,,0.0,1617515694.88,291321776.31,117614720.37,3573925.89,3573925.89,,496888.19,915730.07,,,,0.0,6002.38,-13661578.87,3883155.16,58104218.14,-5014566.02,-7992397.96,2977831.94,,-14542725.43,121600876.43,-274084970.73,34666120.97,,0.0,338756994.37,0.0,0.0,0.0,,1617515694.88,2480857857.43,0.0,0.0,,,-863342162.55,-3.200023851,,,,,,,,,,,,-99.0752940602,11.4030327298,,,-2.3915218305,12.2099019601,,,,,,29.1047823801,287.564967437,-3.5164553834,,,22.8953831085,,,-47.2419218721,109.9068840351,76.7079079401,,,,,,,109.4660895892,101.8994162098,564.7058823529,,,,178.6863727659,,,551.6415991558,,,-1465.9665904541,,,,,,,,,-40.0,38.4880763197,,,31.4365101266,,,,29.3055989989,,,-6.5174078419,12.398228371,,,-261.5393137208,27.4580833533,,,-34.8001462464,-30.5143128762,2.62936781,-2.7830318751,-2.7830318751,,-29.4964605218,9.2313699235,,,,-100.0,-87.0783257481,-500.0554328285,-4.5515290673,194.5511560743,44.9560476726,2.9883056672,441.6824569856,,-43.4074272285,153.1041146141,-171.6229506172,132.961849455,,,-47.2419218721,,,,,-34.8001462464,27.4580833533,,,,,-261.5393137208,标准无保留意见,,,,13877421.51,5.3116613399
300251.SZ,300251,光线传媒,10176808,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-29 00:00:00,CNY,1608539812.61,,,,,,,,,,,,195908.35,105333850.22,,0.0,1714069571.18,801866412.06,,,,,,129983453.85,96712703.32,46764901.0,,0.0,1075327470.23,,0.0,638742100.95,127413421.55,4299296.76,,,,,,0.0,131712718.31,3995595.55,1055000000.0,,,,2800000.0,,0.0,1061795595.55,,0.0,-930082877.24,41484443.27,,,,,,0.0,41484443.27,12000000.0,204408459.99,,,17309049.8,,,0.0,233717509.79,,0.0,-192233066.52,-457927.92,,0.0,-484031770.73,2480857857.43,,0.0,1996826086.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.4696183342,,,,,,,,,,,,-92.2289306113,14.0719148325,,,77.285432619,23.0450645114,,,,,,31.8083554519,418.3961414506,-0.0978214552,,,31.8178907516,,,322.8000379755,-52.1925327543,2.4001617558,,,,,,,-51.3458444964,12.2391054833,1818.1818181818,,,,6.2961349427,,,1635.1289171857,,,-543.9152462564,,,,,,,,,20.0,38.8063150961,,,61.749496585,,,,39.1483860064,,,-14.4497944007,-137.7094146886,,,-349.7017454801,27.4580833533,,,-6.7014755467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300251.SZ,300251,光线传媒,10176808,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-29 00:00:00,2025-08-27 00:00:00,CNY,1383132669.69,,,,,,,,,,,,195908.35,80849450.92,,0.0,1464178028.96,665287015.29,,,,,,85815277.71,94301906.05,37124505.58,,0.0,882528704.63,,0.0,581649324.33,101142273.2,929296.76,,,,,,0.0,102071569.96,2668237.07,885000000.0,,,,2800000.0,,0.0,890468237.07,,0.0,-788396667.11,,,,,,,,,12000000.0,204408459.99,,,9301358.1,,,0.0,225709818.09,,0.0,-225709818.09,259830.79,,0.0,-432197330.08,2480857857.43,,0.0,2048660527.35,473231217.25,-1193483.98,1738790.89,1738790.89,,343174.27,455336.76,,,,0.0,3274.58,-3040607.51,1892251.34,-15299636.05,-4569.23,1309436.99,-1314006.22,,93106389.05,-18656947.12,24771389.07,17376750.0,,0.0,581649324.33,0.0,0.0,0.0,,2048660527.35,2480857857.43,0.0,0.0,,,-432197330.08,145.3878336952,,,,,,,,,,,,-92.2289306113,70.4123751582,,,138.6146692812,66.4508063701,,,,,,32.4527259901,609.4102902341,76.7943830345,,,76.9406874894,,,406.4638756303,-61.6269732151,-77.8661153544,,,,,,,-61.8815916402,-10.4386252535,2428.5714285714,,,,220.3110348273,,,2191.8682685808,,,-444.3958861088,,,,,,,,,20.0,39.1889244131,,,33.6644747873,,,,37.7828772424,,,-37.7828772424,-82.4532263886,,,-338.2144821241,27.4580833533,,,-3.7212454358,134.0029547656,-108.0803422033,-12.4442755223,-12.4442755223,,-4.2358471764,-5.6438531798,,,,,,-1356.0915020287,-4.4901022289,68.2445493827,-100.1185058789,-69.8945194135,-166.101951316,,937.0856882575,91.1184267816,-83.6732889523,,,,406.4638756303,,,,,-3.7212454358,27.4580833533,,,,,-338.2144821241,,,,,6925995.01,5.277123912
300251.SZ,300251,光线传媒,10176808,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-20 00:00:00,2025-04-22 00:00:00,CNY,257629983.89,,,,,,,,,,,,,56290746.66,,0.0,313920730.55,268240844.71,,,,,,46983103.21,60681338.62,23427597.34,,0.0,399332883.88,,0.0,-85412153.33,100000000.0,432484.39,,,,,,0.0,100432484.39,793688.51,5000000.0,,,,2800000.0,,0.0,8593688.51,,0.0,91838795.88,,,,,,,,,,218400.0,,,,,,0.0,218400.0,,0.0,-218400.0,75443.88,,0.0,6283686.43,2480857857.43,,0.0,2487141543.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.6151154165,,,,,,,,,,,,,176.5646615179,,,2.793342757,11.9694332663,,,,,,45.2869186084,4745.8398978921,76.0542152117,,,39.400936724,,,-551.2815244243,-31.6608050097,-89.6991359366,,,,,,,-33.2796155714,16.8885657205,-85.7142857143,,,,337.5,,,-76.3383203187,,,-19.5866706423,,,,,,,,,,-62.0833333333,,,,,,,-94.2410018125,,,94.2410018125,114.1155513625,,,-95.1216721476,27.4580833533,,,19.8495956565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300251.SZ,300251,光线传媒,10176808,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-20 00:00:00,2025-04-22 00:00:00,CNY,1656561734.79,,,,,,,,,,,,3408835.03,120983430.96,,0.0,1780954000.78,898289323.03,,,,,,138349878.12,39299643.69,62920132.03,,0.0,1138858976.87,,0.0,642095023.91,332694884.62,4252944.98,35000.0,,,0.0,,0.0,336982829.6,3896107.11,255000000.0,,,,4234150.34,,0.0,263130257.45,,0.0,73852572.15,,,0.0,,,,0.0,,20000000.0,147600042.85,,,14443555.89,,,0.0,182043598.74,,0.0,-182043598.74,543093.4,,0.0,534447090.72,1946410766.71,,0.0,2480857857.43,419254364.99,114601427.33,3676236.73,3676236.73,,704770.56,838339.82,,,,135598.73,46452.03,-2276719.47,4068326.21,-61452678.69,-9110112.57,-8238592.28,-871520.29,,-10140845.36,-228985790.11,382677575.23,14880600.0,,0.0,642095023.91,0.0,0.0,0.0,,2480857857.43,1946410766.71,0.0,0.0,,,534447090.72,54.8999206819,,,,,,,,,,,,-79.2224607597,-22.1962603932,,,43.4697525907,-4.8587088633,,,,,,3.0675671226,-49.2058890236,-32.369351354,,,-8.8038139811,,,8711.1879479438,-90.7594171476,-89.9551461573,,,,-100.0,,,-90.7615915673,27.7474130991,-87.7462758348,,,,252.8458616667,,,-87.381355905,,,-95.2730686099,,,-100.0,,,,,,3025.0,-74.8230605787,,,-91.2660357356,,,,-75.8005449579,,,74.702928601,-83.0445776178,,,-36.2616866475,75.6833221669,,,27.4580833533,157.9429599801,-84.5376859456,-19.0209731712,-19.0209731712,,1.1820039083,-87.4460170681,,,,,1731.4735522332,39.8305210974,12.1745005541,-192.3683259954,23.1006640429,62.8691579886,-108.4276512783,,-50.2498282631,-562.3876530811,360.0847666591,,,,8711.1879479438,,,,,27.4580833533,75.6833221669,,,,,-36.2616866475,标准无保留意见,,,,13177478.48,2.4604433464
300251.SZ,300251,光线传媒,10176808,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-30 00:00:00,CNY,871980886.14,,,,,,,,,,,,2520996.02,92339863.3,,0.0,966841745.46,651685149.05,,,,,,98615488.68,18656138.73,46810691.9,,0.0,815767468.36,,0.0,151074277.1,266513640.84,4198525.36,,,,,,0.0,270712166.2,3559896.11,55000000.0,,,,2634150.34,,0.0,61194046.45,,0.0,209518119.75,,,,,,,,,10000000.0,147261642.85,,,10701146.01,,,0.0,167962788.86,,0.0,-167962788.86,1214359.66,,0.0,193843967.65,1946410766.71,,0.0,2140254734.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2662906805,,,,,,,,,,,,-83.9976558414,-20.450994586,,,0.6927191106,2.7656497494,,,,,,-17.1964570974,-74.0294953067,-26.5527298511,,,-8.2182429936,,,111.6535199158,-90.2104282119,-85.2969514664,,,,,,,-90.1594257708,46.4815108007,-97.291903977,,,,119.5125283333,,,-96.9922970373,,,-70.7541090971,,,,,,,,,1487.3015873016,-74.8557872395,,,-92.3512140236,,,,-76.8711478536,,,75.7830248997,-69.1686065756,,,97.5095031055,75.6833221669,,,77.4594561553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300251.SZ,300251,光线传媒,10176808,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-28 00:00:00,2024-08-29 00:00:00,CNY,563651689.19,,,,,,,,,,,,2520996.02,47443415.33,,0.0,613616100.54,399689872.22,,,,,,64789363.2,13292999.46,20998690.65,,0.0,498770925.53,,0.0,114845175.01,263576479.82,4198525.36,,,,,,0.0,267775005.18,2979227.46,35000000.0,,,,874150.34,,0.0,38853377.8,,0.0,228921627.38,,,,,,,,,10000000.0,146856842.85,,,6958736.13,,,0.0,163815578.98,,0.0,-163815578.98,1480789.55,,0.0,181432012.96,1946410766.71,,0.0,2127842779.67,202233009.29,14770215.79,1985924.85,1985924.85,,358353.58,482572.44,,,,0.0,0.0,242068.95,1981209.68,-48179558.95,3855699.01,4349497.05,-493798.04,,-11122683.18,-210063540.11,151723081.26,0.0,,0.0,114845175.01,0.0,0.0,0.0,,2127842779.67,1946410766.71,0.0,0.0,,,181432012.96,-11.9936674456,,,,,,,,,,,,-82.0718103158,-46.3176744508,,,-17.4033671071,-14.5009680062,,,,,,-20.8945083542,-80.8695699443,-55.2589741781,,,-25.0871231345,,,48.9453186773,-90.052636249,-84.5708384026,,,,,,,-89.9969123486,62.5064878312,-98.139287614,,,,118.537585,,,-97.936879205,,,-71.157307505,,,,,,,,,,-74.9011102498,,,-91.4765360752,,,,-75.4309192413,,,74.7067427948,-16.3151284807,,,-19.3277931916,75.6833221669,,,59.6509975211,1.3339393461,149.627691809,-14.0755911166,-14.0755911166,,11.4320178817,-86.191775488,,,,,-100.0,130.4739273315,15.3713537193,-83.2492374612,209.0358708566,257.7912942637,36.6671836259,,78.6346254893,-271.3177906349,203.3249403178,,,,48.9453186773,,,,,59.6509975211,75.6833221669,,,,,-19.3277931916,,,,,6578822.4,3.5139912872
