日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-27,9.73,9.92,9.52,9.6,27429441.0,280493986.0,2783837653.9999995,0.009853103668091992
2019-11-28,9.54,9.61,9.25,9.37,38062171.0,376830171.0,2783837653.9999995,0.013672554125169545
2019-11-29,9.41,9.45,9.27,9.42,19027491.0,188253283.0,2783837653.9999995,0.006834985859416069
2019-12-02,9.28,9.5,9.27,9.41,17399158.0,172507336.0,2783837653.9999995,0.006250062023192967
2019-12-03,9.36,9.51,9.09,9.45,26455061.0,260022849.0,2783837653.9999995,0.009503090441350861
2019-12-04,9.39,9.52,9.29,9.36,16353637.0,162077453.0,2783837653.9999995,0.005874493786123636
2019-12-05,9.36,9.44,9.21,9.37,18824025.0,185601741.0,2783837653.9999995,0.006761897545624621
2019-12-06,9.39,9.76,9.27,9.72,34659470.0,349967095.0,2783837653.9999995,0.012450248293106824
2019-12-09,9.71,9.86,9.62,9.75,29013521.0,298870669.0,2783837653.9999995,0.010422131103195433
2019-12-10,9.76,10.44,9.67,10.31,51293568.0,549219637.0,2783837653.9999995,0.018425488255860774
2019-12-11,10.4,10.48,10.15,10.27,33154469.0,361384261.0,2783837653.9999995,0.011909627327714853
2019-12-12,10.34,10.56,10.17,10.33,32508428.0,355683671.0,2783837653.9999995,0.011677558837991063
2019-12-13,10.42,10.79,10.33,10.73,45690045.0,511609085.0,2783837653.9999995,0.01641261117879829
2019-12-16,10.76,11.33,10.61,11.17,45059584.0,524018626.0,2783837653.9999995,0.016186139279801556
2019-12-17,11.12,11.25,11.03,11.2,30295175.0,356639562.0,2783837653.9999995,0.010882522174549193
2019-12-18,11.07,11.28,10.93,11.17,25627218.0,300510764.0,2783837653.9999995,0.009205715700833754
2019-12-19,11.17,11.74,11.12,11.56,37424797.0,455278566.0,2783837653.9999995,0.013443598963547895
2019-12-20,11.58,11.61,11.38,11.55,24241056.0,294305038.0,2783837653.9999995,0.00870778364721408
2019-12-23,11.45,11.45,10.92,10.97,37046797.0,435306057.0,2783837653.9999995,0.013307815183392158
2019-12-24,11.09,11.33,10.86,11.22,22208106.0,260650177.0,2783837653.9999995,0.007977514769257447
2019-12-25,11.21,11.43,11.12,11.25,15473763.0,184318327.0,2783837653.9999995,0.0055584286597195375
2019-12-26,11.26,11.45,11.1,11.29,17459232.0,207791396.0,2783837653.9999995,0.00627164158617994
2019-12-27,11.24,11.37,10.94,10.95,27649164.0,324696057.0,2783837653.9999995,0.009932031762079185
2019-12-30,10.89,11.23,10.89,11.08,22087020.0,258126221.0,2783837653.9999995,0.00793401869834756
2019-12-31,11.06,11.3,10.8,11.17,32142040.0,374800996.0,2783837653.9999995,0.011545946278087093
2020-01-02,11.25,11.71,11.07,11.56,37361921.0,453910540.0,2783837653.9999995,0.013421012876349293
2020-01-03,11.57,11.58,11.23,11.24,32564115.0,390179404.0,2783837653.9999995,0.01169756251885226
2020-01-06,11.25,11.81,11.08,11.55,44308164.0,536164040.0,2783837653.9999995,0.015916216930371332
2020-01-07,11.49,11.89,11.45,11.65,39627214.0,488026883.0,2783837653.9999995,0.014234743158625301
2020-01-08,11.46,11.52,11.17,11.26,37795181.0,451255767.0,2783837653.9999995,0.01357664695198494
2020-01-09,11.42,11.62,11.15,11.6,36283122.0,437062201.0,2783837653.9999995,0.013033490637597362
2020-01-10,11.53,11.79,11.32,11.54,30110794.0,367500836.0,2783837653.9999995,0.010816289504790211
2020-01-13,11.58,12.06,11.45,12.05,44918215.0,561482463.0,2783837653.9999995,0.016135357223672358
2020-01-14,12.02,12.15,11.87,11.92,28589902.0,362261354.0,2783837653.9999995,0.010269960232386455
2020-01-15,11.97,12.39,11.81,12.17,38066385.0,487700764.0,2783837653.9999995,0.013674067862866837
2020-01-16,12.15,12.27,11.88,11.92,27062986.0,343634234.0,2783837653.9999995,0.009721467040692598
2020-01-17,12.0,12.13,11.56,11.72,40901784.0,509540184.0,2783837653.9999995,0.014692589541358365
2020-01-20,11.62,11.62,10.7,11.24,85924430.0,1000794989.0,2783837653.9999995,0.030865460087637717
2020-01-21,10.81,11.07,10.49,10.58,68276463.0,774956424.0,2783837653.9999995,0.024526021803712557
2020-01-22,10.37,10.68,10.15,10.52,46146862.0,512054228.0,2783837653.9999995,0.0165767073139819
