日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-08,11.34,12.42,11.34,12.13,38550068.0,488938891.0,2784009632.0,0.0138
2021-01-11,11.98,12.42,11.7,12.3,33663722.0,425856764.0,2784009632.0,0.0121
2021-01-12,12.1,12.48,11.98,12.1,23874050.0,305326497.0,2784009632.0,0.0086
2021-01-13,11.98,12.53,11.8,12.27,27799225.0,357168272.0,2784009632.0,0.01
2021-01-14,12.07,12.64,12.03,12.11,21100246.0,272852379.0,2784009632.0,0.0076
2021-01-15,12.07,12.4,11.89,11.94,15329240.0,194343576.0,2784009632.0,0.0055
2021-01-18,11.98,12.14,11.67,11.81,22115700.0,275770844.0,2784009632.0,0.0079
2021-01-19,11.93,12.36,11.78,12.1,27198149.0,346377655.0,2784009632.0,0.0098
2021-01-20,12.09,12.68,11.77,12.47,27679049.0,359256537.0,2784009632.0,0.0099
2021-01-21,12.27,12.52,12.17,12.33,19608953.0,254350983.0,2784009632.0,0.007
2021-01-22,12.25,12.25,11.79,11.86,17949730.0,226119295.0,2784009632.0,0.0064
2021-01-25,11.91,11.93,11.39,11.41,21469913.0,260583290.0,2784009632.0,0.0077
2021-01-26,11.24,11.6,10.96,11.28,18056333.0,214922917.0,2784009632.0,0.0065
2021-01-27,11.35,12.4,11.29,12.3,39833693.0,506166833.0,2784009632.0,0.0143
2021-01-28,12.31,12.63,11.74,11.86,30081466.0,383914031.0,2784009632.0,0.0108
2021-01-29,11.98,12.73,11.98,12.45,45690893.0,597194060.0,2784009632.0,0.0164
2021-02-01,12.69,13.08,12.55,12.92,43670346.0,588348670.0,2784009632.0,0.0157
2021-02-02,12.84,13.29,12.64,13.02,34982346.0,476346532.0,2784009632.0,0.0126
2021-02-03,12.91,13.12,12.57,12.64,31787750.0,428821039.0,2784009632.0,0.0114
2021-02-04,12.74,12.81,12.35,12.6,24079075.0,317419174.0,2784009632.0,0.0086
2021-02-05,12.69,12.69,11.39,11.49,41817778.0,524938895.0,2784009632.0,0.015
2021-02-08,11.47,12.27,11.46,12.14,31588200.0,396169050.0,2784009632.0,0.0113
2021-02-09,12.07,12.44,11.61,12.41,29500987.0,376110582.0,2784009632.0,0.0106
2021-02-10,12.25,12.59,12.11,12.55,25955825.0,339660919.0,2784009632.0,0.0093
2021-02-18,13.22,13.22,12.16,12.47,46254460.0,611294651.0,2784009632.0,0.0166
2021-02-19,12.26,12.41,11.93,12.27,22016175.0,282027050.0,2784009632.0,0.0079
2021-02-22,12.17,12.82,11.94,12.72,35670334.0,465714441.0,2784009632.0,0.0128
2021-02-23,12.51,13.05,12.26,12.64,26478845.0,352887747.0,2784009632.0,0.0095
2021-02-24,12.76,13.64,12.7,13.48,41404769.0,580889312.0,2784009632.0,0.0149
2021-02-25,13.33,13.6,13.03,13.36,30701605.0,430780170.0,2784009632.0,0.011
2021-02-26,13.06,13.26,12.51,12.91,32362661.0,437351529.0,2784009632.0,0.0116
2021-03-01,12.94,13.04,12.4,12.6,30238367.0,402014228.0,2784009632.0,0.0109
2021-03-02,12.61,12.8,12.17,12.24,28334164.0,369500484.0,2784009632.0,0.0102
2021-03-03,12.12,12.46,12.1,12.4,16543074.0,214239746.0,2784009632.0,0.0059
2021-03-04,12.32,12.44,11.98,12.02,16538137.0,212012023.0,2784009632.0,0.0059
