证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
光线传媒,北京光线传媒股份有限公司,,,0.0,,540.0,0.0,0.0,0.0,8220.0,,0.0,,0.0,5923.5722,,2200.0,,540.0,,,A股上市,2011-08-02,,300251,2011-08-03,,,,,8760.0,,,10960.0,,,0.0,0.0,,2200.0,2296.4278,8220.0,015001
光线传媒,北京光线传媒股份有限公司,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8220.0,0.0,0.0,,0.0,5923.5722,,2740.0,,0.0,,,配售股份上市,2011-10-31,,300251,2011-11-03,0.0,,,,8220.0,,0.0,10960.0,,,0.0,0.0,,2740.0,2296.4278,8220.0,015009
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,0.0,0.0,,8220.0,0.0,0.0,,,5923.5722,,2740.0,,,,,定期报告,2012-03-15,,300251,2011-12-31,0.0,,,,8220.0,,,10960.0,,,,,,2740.0,2296.4278,8220.0,015019
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,0.0,0.0,,18084.0,0.0,0.0,,,13031.8588,,6028.0,,,,0.0,转增,2012-04-23,,300251,2012-04-27,0.0,0.0,,,18084.0,,0.0,24112.0,,,,,,6028.0,5052.1412,18084.0,015011
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,,0.0,,18084.0,0.0,0.0,,,13031.8588,,6028.0,,,,,定期报告,2012-07-25,,300251,2012-06-30,0.0,0.0,,,18084.0,,0.0,24112.0,,,,,,6028.0,5052.1412,18084.0,015019
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,17601.21,0.0,0.0,,0.0,13031.8588,,6510.79,,,,,限售股份上市,2012-07-31,,300251,2012-08-03,0.0,0.0,,,17601.21,,0.0,24112.0,,,0.0,0.0,,6510.79,4569.3512,17601.21,015027
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,,0.0,0.0,17601.21,0.0,0.0,,0.0,13031.8588,,6510.79,,,,,定期报告,2013-03-08,,300251,2012-12-31,0.0,0.0,,,17601.21,,0.0,24112.0,,,0.0,0.0,,6510.79,4569.3512,17601.21,015019
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,17533.395,0.0,0.0,,0.0,13031.8588,,6578.605,,0.0,,,限售股份上市,2013-01-11,,300251,2013-01-14,0.0,0.0,,,17533.395,,0.0,24112.0,,0.0,0.0,0.0,,6578.605,4501.5362,17533.395,015027
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,36820.1295,0.0,0.0,,0.0,27366.9035,,13815.0705,,0.0,,,转增,2013-04-03,,300251,2013-04-12,0.0,0.0,,,36820.1295,,0.0,50635.2,,0.0,0.0,0.0,,13815.0705,9453.226,36820.1295,015011
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,,0.0,0.0,36820.1295,0.0,0.0,,0.0,27366.9035,,13815.0705,,0.0,,,定期报告,2013-07-25,,300251,2013-06-30,0.0,0.0,,,36820.1295,,0.0,50635.2,,0.0,0.0,0.0,,13815.0705,9453.226,36820.1295,015019
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,36392.895,0.0,0.0,,0.0,27366.9035,,14242.305,,0.0,,,限售股份上市,2013-10-22,,300251,2013-10-23,0.0,0.0,,,36392.895,,0.0,50635.2,,0.0,0.0,0.0,,14242.305,9025.9915,36392.895,015027
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,,0.0,0.0,36392.895,0.0,0.0,,0.0,27366.9035,,14242.305,,0.0,,,定期报告,2014-03-26,,300251,2013-12-31,0.0,0.0,,,36392.895,,0.0,50635.2,,0.0,0.0,0.0,,14242.305,9025.9915,36392.895,015019
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,72785.79,0.0,0.0,,0.0,54733.807,,28484.61,,0.0,,,转增,2014-06-06,,300251,2014-06-13,0.0,0.0,,,72785.79,,0.0,101270.4,,0.0,0.0,0.0,,28484.61,18051.983,72785.79,015011
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,,0.0,0.0,72785.79,0.0,0.0,,0.0,54733.807,,28484.61,,0.0,,,定期报告,2014-08-08,,300251,2014-06-30,0.0,0.0,,,72785.79,,0.0,101270.4,,0.0,0.0,0.0,,28484.61,18051.983,72785.79,015019
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,48150.1227,0.0,0.0,,0.0,41050.3552,,53120.2773,,0.0,,,限售股份上市,2014-07-31,,300251,2014-08-04,0.0,0.0,,,48150.1227,,0.0,101270.4,,0.0,0.0,0.0,,53120.2773,7099.7675,48150.1227,015027
光线传媒,北京光线传媒股份有限公司,,,,,,,,,7099.7676,,,,,,,94170.6324,,,,,定期报告,2015-04-16,,300251,2014-12-31,,,,,7099.7676,,,101270.4,0.0,,,,,94170.6324,7099.7676,7099.7676,015019
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,59710.8163,0.0,0.0,,0.0,52611.0488,,53120.2773,0.0,0.0,,,增发新股上市,2015-03-25,,300251,2015-03-26,0.0,0.0,,,59710.8163,,0.0,112831.0936,,0.0,0.0,0.0,,53120.2773,7099.7675,59710.8163,015004
光线传媒,北京光线传媒股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,24218.0589,0.0,0.0,,0.0,15028.9017,,122462.3628,0.0,0.0,,,转增,2015-06-10,,300251,2015-06-16,0.0,0.0,,,24218.0589,,0.0,146680.4217,,0.0,0.0,0.0,,122462.3628,9189.1572,24218.0589,015011
光线传媒,北京光线传媒股份有限公司,,,,,,,,,24218.0589,,,,,15028.9017,,122462.3628,,,,,定期报告,2015-08-05,,300251,2015-06-30,,,,,24218.0589,,,146680.4217,0.0,,,,,122462.3628,9189.1572,24218.0589,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,24225.4689,,,,,15028.9017,,122454.9528,,,,,定期报告,2016-04-12,,300251,2015-12-31,,,,,24225.4689,,,146680.4217,0.0,,,,,122454.9528,9196.5672,24225.4689,015019
光线传媒,北京光线传媒股份有限公司,,,,,0.0,0.0,0.0,,9099.0674,,0.0,,,0.0,,137581.3543,,,,,限售股份上市,2016-03-25,,300251,2016-03-28,,0.0,,,9099.0674,,0.0,146680.4217,,,,,,137581.3543,9099.0674,9099.0674,015027
光线传媒,北京光线传媒股份有限公司,,,,,0.0,0.0,0.0,,18198.6746,0.0,0.0,,,0.0,,275162.1686,,,,,转增,2016-05-18,,300251,2016-05-23,,0.0,,,18198.6746,,0.0,293360.8432,,,,,,275162.1686,18198.6746,18198.6746,015011
光线传媒,北京光线传媒股份有限公司,,,,,,,,,18198.6746,,,,,,,275162.1686,,,,,定期报告,2016-08-16,,300251,2016-06-30,,,,,18198.6746,,,293360.8432,,,,,,275162.1686,18198.6746,18198.6746,015019
光线传媒,北京光线传媒股份有限公司,,,,,0.0,0.0,0.0,,18198.6746,0.0,0.0,,,,,275162.1686,,,,,定期报告,2017-04-21,,300251,2016-12-31,,,,,18198.6746,,,293360.8432,0.0,,,,,275162.1686,18198.6746,18198.6746,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,18158.1341,,,,,,,275202.7091,,,,,定期报告,2017-08-25,,300251,2017-06-30,,,,,18158.1341,,,293360.8432,0.0,,,,,275202.7091,18158.1341,18158.1341,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,18158.1341,,,,,,,275202.7091,,,,,定期报告,2018-04-21,,300251,2017-12-31,,,,,18158.1341,,,293360.8432,0.0,,,,,275202.7091,18158.1341,18158.1341,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,18154.7558,,,,,,,275206.0874,,,,,定期报告,2018-08-30,,300251,2018-06-30,,,,,18154.7558,,,293360.8432,0.0,,,,,275206.0874,18154.7558,18154.7558,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,19068.5688,,,,,,,274292.2744,,,,,定期报告,2019-04-23,,300251,2018-12-31,,,,,19068.5688,,,293360.8432,0.0,,,,,274292.2744,19068.5688,19068.5688,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,14976.7028,,,,,,,278384.1404,,,,,定期报告,2019-08-29,,300251,2019-06-30,,,,,14976.7028,,,293360.8432,0.0,,,,,278384.1404,14976.7028,14976.7028,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,14977.0778,,,,,,,278383.7654,,,,,定期报告,2020-04-17,,300251,2019-12-31,,,,,14977.0778,,,293360.8432,,,,,,278383.7654,14977.0778,14977.0778,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,14959.88,,,,,,,278400.9632,,,,,定期报告,2020-08-18,,300251,2020-06-30,,,,,14959.88,,,293360.8432,,,,,,278400.9632,14959.88,14959.88,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,14959.88,,,,,,,278400.9632,,,,,定期报告,2021-04-19,,300251,2020-12-31,,,,,14959.88,,,293360.8432,,,,,,278400.9632,14959.88,14959.88,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,14677.2028,,,,,,,278683.6404,,,,,定期报告,2021-08-23,,300251,2021-06-30,,,,,14677.2028,,,293360.8432,,,,,,278683.6404,14677.2028,14677.2028,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,14690.1011,,,,,,,278670.7421,,,,,定期报告,2022-04-28,,300251,2021-12-31,,,,,14690.1011,,,293360.8432,,,,,,278670.7421,14690.1011,14690.1011,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,14638.5078,,,,,,,278722.3354,,,,,定期报告,2022-08-25,,300251,2022-06-30,,,,,14638.5078,,,293360.8432,,,,,,278722.3354,14638.5078,14638.5078,015019
光线传媒,北京光线传媒股份有限公司,,,,,,0.0,0.0,,14638.5078,,0.0,,,,,278722.3354,,,,,其他,2022-10-14,,300251,2022-10-12,,,,,14638.5078,,,293360.8432,,,,,,278722.3354,14638.5078,14638.5078,015999
光线传媒,北京光线传媒股份有限公司,,,,,,,,,14638.5078,,,,,,,278722.3354,,,,,定期报告,2023-04-28,,300251,2022-12-31,,,,,14638.5078,,,293360.8432,,,,,,278722.3354,14638.5078,14638.5078,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,14638.5078,,,,,,,278722.3354,,,,,定期报告,2023-08-28,,300251,2023-06-30,,,,,14638.5078,,,293360.8432,,,,,,278722.3354,14638.5078,14638.5078,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,14638.5078,,,,,,,278722.3354,,,,,定期报告,2024-04-20,,300251,2023-12-31,,,,,14638.5078,,,293360.8432,,,,,,278722.3354,14638.5078,14638.5078,015019
光线传媒,北京光线传媒股份有限公司,,,,,,,,,14638.5078,,,,,,,278722.3354,,,,,定期报告,2024-08-29,,300251,2024-06-30,,,,,14638.5078,,,293360.8432,,,,,,278722.3354,14638.5078,14638.5078,015019
光线传媒,北京光线传媒股份有限公司,,,,,,0.0,0.0,,14638.5078,,0.0,,,,,278722.3354,,,,,"股份回购,股权激励",2024-10-22,,300251,2024-10-21,,,,,14638.5078,,,293360.8432,,,,,,278722.3354,14638.5078,14638.5078,"015016,015025"
