SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
300458.SZ,300458,全志科技,10195214,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-28 00:00:00,2025-10-28 00:00:00,CNY,2373972329.19,,,,,,,,,,,,69363169.0,44792625.4,,0.0,2488128123.59,1755553605.16,,,,,,315559735.04,26657917.49,118168313.72,,0.0,2215939571.41,,0.0,272188552.18,1151060200.95,684304.49,24500.0,,,,,0.0,1151769005.44,130374617.72,1437282587.77,,,,,,0.0,1567657205.49,,0.0,-415888200.05,32100026.36,,173949910.58,,,,0.0,206049936.94,104110665.73,163869327.32,,,1496497.96,,,0.0,269476491.01,,0.0,-63426554.07,-954330.18,,0.0,-208080532.12,275724748.23,,0.0,67644216.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0926066317,,,,,,,,,,,,-15.5089490716,-40.7873804375,,,21.9393504997,12.9232893415,,,,,,15.8512146816,-17.6754177377,-11.4361912,,,11.1953326791,,,471.4813890577,-17.0089348793,,-70.1946472019,,,,,,-16.9627515867,22.0531901416,-1.9387557728,,,,,,,-0.309031634,,,-124.2398878632,14.5815257666,,-13.4788481514,,,,,-10.047005385,-44.6484843798,66.2063274316,,,-21.9524495707,,,,-6.626734257,,,-6.5324231785,26.7840596469,,,-4.7325849458,14.0638881857,,,57.1279112039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300458.SZ,300458,全志科技,10195214,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-22 00:00:00,2025-08-22 00:00:00,CNY,1464760519.8,,,,,,,,,,,,39328694.57,37426262.11,,0.0,1541515476.48,1082083095.57,,,,,,214866627.21,18441869.69,89361217.08,,0.0,1404752809.55,,0.0,136762666.93,978360575.75,610520.37,24500.0,,,,,0.0,978995596.12,13864639.92,1249622387.77,,,,,,0.0,1263487027.69,,0.0,-284491431.57,30450677.36,,147094665.73,,,,0.0,177545343.09,101693000.0,163441545.49,,,1032196.78,,,0.0,266166742.27,,0.0,-88621399.18,-531026.56,,0.0,-236881190.38,275724748.23,,0.0,38843557.85,161165027.34,-277164.35,9801670.06,9801670.06,,45999189.08,157019.65,,,,2133.07,12375.07,-23970581.25,-16788416.25,-1434371.45,7439901.38,3802188.22,3637713.16,,-144146742.04,24430022.91,73323456.5,,,0.0,136762666.93,,,,,38843557.85,275724748.23,,,,,-236881190.38,22.4040854863,,,,,,,,,,,,-17.6690167285,-48.4258535395,,,17.0477846998,9.538329391,,,,,,17.8061698889,-21.9523175924,2.5817532742,,,9.6615753163,,,279.8158175377,-11.7847692062,,-70.1946472019,,,,,,-11.734053705,98.252496911,-1.186803999,,,,,,,-0.6399276986,,,-75.0916165243,15.6032037191,,-26.8364101637,,,,,-21.9202304639,-26.4160636758,66.5619583417,,,-19.448224705,,,,12.0192759178,,,-767.2815164283,44.2276861932,,,-72.0966578439,14.0638881857,,,-62.6805939475,35.3573759551,-171.9288347548,5.6497695658,5.6497695658,,-6.4820605884,15.7023091291,,,,102.7034843893,-38.7078144989,1.4069764328,18.5451839156,-159.4043606974,896.1956859192,388.8112717642,312.4491107612,,12.0754672105,54.4175257874,51.8712842676,,,,279.8158175377,,,,,-62.6805939475,14.0638881857,,,,,-72.0966578439,,,,,1049147.21,-19.3014965411
300458.SZ,300458,全志科技,10195214,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-23 00:00:00,2025-04-23 00:00:00,CNY,666101096.88,,,,,,,,,,,,20610360.79,33292870.5,,0.0,720004328.17,463180297.33,,,,,,137187059.82,5781748.28,36718855.72,,0.0,642867961.15,,0.0,77136367.02,695441783.63,,,,,,,0.0,695441783.63,11527482.96,679891700.0,,,,,,0.0,691419182.96,,0.0,4022600.67,4708945.76,,39494665.73,,,,0.0,44203611.49,71693000.0,4002006.06,,,553694.91,,,0.0,76248700.97,,0.0,-32045089.48,-103371.71,,0.0,49010506.5,275724748.23,,0.0,324735254.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5858633616,,,,,,,,,,,,-10.4899751704,-48.9737752138,,,23.4577778047,4.7690984536,,,,,,21.6671284176,-51.659630819,68.9174567429,,,9.2290050064,,,1541.3279098484,9.2008502147,,,,,,,,9.1867570988,79.3850727571,-0.9039148314,,,,,,,-0.1588875842,,,107.2360882012,,,-76.9103205923,,,,,-74.1573400078,-18.7154195011,112.6804245503,,,-22.6503940151,,,,-16.0233785478,,,-139.9308459591,-132.088742017,,,149.6583022596,14.0638881857,,,24.2485564627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300458.SZ,300458,全志科技,10195214,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-28 00:00:00,2025-03-28 00:00:00,CNY,2563002411.39,,,,,,,,,,,,110306914.02,90826431.77,,0.0,2764135757.18,2034898850.79,,,,,,338335309.2,41154283.91,153374684.14,,0.0,2567763128.04,,0.0,196372629.14,1707631590.06,,82200.0,,,,,0.0,1707713790.06,120212503.25,1586166830.0,,,,,,0.0,1706379333.25,,0.0,1334456.81,28015010.4,,201213740.8,,,,0.0,229228751.2,288090000.0,98941104.39,,,5242068.68,,,0.0,392273173.07,,0.0,-163044421.87,-666260.04,,0.0,33996404.04,241728344.19,,0.0,275724748.23,166745799.11,29396199.31,18213486.69,18213486.69,,95566342.43,272984.58,,,,-78900.77,33518.79,-17926253.37,-41673863.94,4049479.66,-4521438.18,8983483.61,-13504921.79,,-151680663.62,16323285.77,79302019.25,,,0.0,196372629.14,,,,,275724748.23,241728344.19,,,,,33996404.04,40.9650654609,,,,,,,,,,,,45.9226247496,-5.482621116,,,38.9103422781,90.1310998386,,,,,,2.2829173336,-16.7089742855,-56.3118085228,,,42.5330182216,,,4.2601077498,54.2922380385,,,,,,,,54.2996651803,43.4506253816,-26.3306049883,,,,,,,-23.7163889293,,,100.1180792012,17.3381482497,,-22.3552448881,,,,,-19.0067509581,90.7669113926,0.6823456418,,,0.8018460657,,,,54.1423010742,,,-671.3967639089,-118.5276725829,,,103.737273544,-79.0054514376,,,14.0638881857,626.153788519,-16.9562384543,4.1694153082,4.1694153082,,-1.2062816072,-76.0911201538,,,,-300.5472675638,-24.7503167134,-1017.9308358079,23.0658262161,-26.4649805684,10.2847870638,429.6709549425,-483.4207205145,,-247.7450088919,112.6221153218,278.7781296428,,,,4.2601077498,,,,,14.0638881857,-79.0054514376,,,,,103.737273544,标准无保留意见,,,,2350633.43,-39.1901644643
300458.SZ,300458,全志科技,10195214,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-29 00:00:00,2025-10-28 00:00:00,CNY,1882721273.36,,,,,,,,,,,,82095284.93,75647093.02,,0.0,2040463651.31,1554642638.73,,,,,,272383622.31,32381479.21,133427316.78,,0.0,1992835057.03,,0.0,47628594.28,1386968825.23,,82200.0,,,,,0.0,1387051025.23,106817869.79,1465698910.0,,,,,,0.0,1572516779.79,,0.0,-185465754.56,28015010.4,,201049000.0,,,,0.0,229064010.4,188090000.0,98593916.28,,,1917418.23,,,0.0,288601334.51,,0.0,-59537324.11,-1303445.91,,0.0,-198677930.3,241728344.19,,0.0,43050413.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0870295634,,,,,,,,,,,,44.4493734441,-26.7043207787,,,47.6566937116,157.1368519697,,,,,,2.8422367848,-13.0366718785,-60.5811491044,,,60.0445751321,,,-65.1639502582,318.4044421085,,,,,,,,317.3097520061,43.887229982,61.8274226226,,,,,,,60.4228394055,,,71.3722575424,17.3381482497,,-0.9073882399,,,,,-57.5623058892,131.6379310345,1.9912919793,,,-97.3868499064,,,,14.8686279148,,,-120.6353696525,-139.4785399305,,,9.4071725852,-79.0054514376,,,-95.3812412879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300458.SZ,300458,全志科技,10195214,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-22 00:00:00,2025-08-22 00:00:00,CNY,1196659828.78,,,,,,,,,,,,47769008.71,72567874.95,,0.0,1316996712.44,987857950.35,,,,,,182389960.91,23628977.98,87112195.13,,0.0,1280989084.37,,0.0,36007628.07,1109060835.58,,82200.0,,,,,0.0,1109143035.58,6993425.12,1264631080.0,,,,,,0.0,1271624505.12,,0.0,-162481469.54,26340686.4,,201049000.0,,,,0.0,227389686.4,138200000.0,98126575.31,,,1281407.86,,,0.0,237607983.17,,0.0,-10218296.77,-952132.92,,0.0,-137644271.16,241728344.19,,0.0,104084073.03,119066305.92,385331.35,9277512.01,9277512.01,,49187556.28,135710.04,,,,-78900.77,20190.29,-24312654.57,-20610710.4,2414589.49,-934431.26,777843.81,-1712275.07,,-163943711.12,15820757.9,48280000.3,,,0.0,36007628.07,,,,,104084073.03,241728344.19,,,,,-137644271.16,65.4211492908,,,,,,,,,,,,3.2294713917,-11.7592952918,,,54.5924858279,201.8608920053,,,,,,-0.7604888924,6.9846940773,-69.4672777423,,,56.5163936066,,,7.557875643,330.3175628219,,,,,,,,329.3312041946,-72.1158328814,163.2472085472,,,,,,,151.4309106602,,,34.3278341451,10.3254049052,,54.6530769231,,,,,-51.29542866,71.4640198511,2.4068453462,,,-94.2448261132,,,,19.5899078716,,,-103.8100989312,-122.0339237334,,,-334.9862031767,-79.0054514376,,,-91.3977383028,800.9070766575,-86.1826408162,8.2998446775,8.2998446775,,8.4921326681,-75.4332888812,,,,,12.5923757263,-5932.1990398413,26.0611189624,82.2132342412,-175.8099573502,-52.7332196049,-314.5454151488,,-197.3207338851,-81.7192940989,120.2786693975,,,,7.557875643,,,,,-91.3977383028,-79.0054514376,,,,,-334.9862031767,,,,,1300082.61,-35.144640884
300458.SZ,300458,全志科技,10195214,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-24 00:00:00,2025-04-23 00:00:00,CNY,494926495.43,,,,,,,,,,,,23025756.98,65246587.69,,0.0,583198840.1,442096290.0,,,,,,112756059.59,11960496.74,21737750.75,,0.0,588550597.08,,0.0,-5351756.98,636846491.82,,82200.0,,,,,0.0,636928691.82,6426110.48,686093400.0,,,,,,0.0,692519510.48,,0.0,-55590818.66,,,171049000.0,,,,0.0,171049000.0,88200000.0,1881699.3,,,715834.17,,,0.0,90797533.47,,0.0,80251466.53,322143.23,,0.0,19631034.12,241728344.19,,0.0,261359378.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.8659125421,,,,,,,,,,,,-8.7740203994,-15.9472648944,,,71.0435847727,152.3549334546,,,,,,-2.5976526973,105.2615835593,-91.6513092632,,,5.6356294247,,,97.524472741,251.6129879542,,,,,,,,250.819169483,7.9734454546,194.2355051693,,,,,,,189.5997362692,,,3.4465613794,,,55.4990909091,,,,,-56.2051327219,120.5,183.9407948894,,,-33.779940933,,,,117.5119375758,,,-76.9937676971,104.8536605506,,,-71.310582683,-79.0054514376,,,-78.5738035083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300458.SZ,300458,全志科技,10195214,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-30 00:00:00,2025-03-28 00:00:00,CNY,1818182684.49,,,,,,,,,,,,75592742.53,96094954.01,,0.0,1989870381.03,1070260916.03,,,,,,330783788.75,49410225.84,351066681.76,,0.0,1801521612.38,,0.0,188348768.65,1106751455.4,,,,,,,0.0,1106751455.4,83800612.88,2153087900.0,,,,,,0.0,2236888512.88,,0.0,-1130137057.48,23875449.56,,259146597.23,,,,0.0,283022046.79,151016755.42,98270559.51,,,5200369.72,,,0.0,254487684.65,,0.0,28534362.14,3596026.63,,0.0,-909657900.06,1151386244.25,,0.0,241728344.19,22962876.7,35398443.86,17484485.86,17484485.86,,96733217.44,1141770.68,,,,39342.73,44543.43,-1603520.79,-54168208.86,5506872.36,-5039767.54,-2724984.86,-2314782.68,,102663815.69,7677134.5,-44357785.49,,,0.0,188348768.65,,,,,241728344.19,1151386244.25,,,,,-909657900.06,15.1275449441,,,,,,,,,,,,-31.0835076122,-2.7726810781,,,11.3027609872,-19.3497435205,,,,,,-8.0052585018,7.5286523191,316.8930587581,,,-0.8392499339,,,750.1693731459,40.172700918,,,,,,,,37.6985986726,-11.6745158463,161.0408082784,,,,,,,141.0128689076,,,-808.6843500289,45.1231636947,,-12.7053441195,,,,,-38.9593866713,-63.3089870293,-42.6836410523,,,-98.362356916,,,,-71.7422899416,,,106.5305930748,-56.0221679456,,,-56.2726494991,-33.5796026587,,,-79.0054514376,-89.1160059726,173.3498418361,25.2487893763,25.2487893763,,14.9827229674,45.7747381315,,,,334.3388636009,-32.4990623487,94.39470438,-48.9369033546,368.456842276,-169.8252274854,-278.5189537214,-140.6726685599,,195.8238235531,159.2408069024,74.6674882649,,,,750.1693731459,,,,,-79.0054514376,-33.5796026587,,,,,-56.2726494991,标准无保留意见,,,,3865548.08,21.0981969572
300458.SZ,300458,全志科技,10195214,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-24 00:00:00,2024-10-29 00:00:00,CNY,1221855777.67,,,,,,,,,,,,56833257.89,103208120.62,,0.0,1381897156.18,604597367.83,,,,,,264855793.52,37235786.52,338486063.77,,0.0,1245175011.64,,0.0,136722144.54,331489985.68,611264.64,,,,278000.0,,0.0,332379250.32,74237213.27,905717267.35,,,,278001.0,,0.0,980232481.62,,0.0,-647853231.3,23875449.56,,202890000.0,,313000000.0,,0.0,539765449.56,81200000.0,96668955.13,,,73375740.44,,,0.0,251244695.57,,0.0,288520753.99,3301656.83,,0.0,-219308675.94,1151386244.25,,0.0,932077568.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8062236115,,,,,,,,,,,,-39.68505727,66.0724371879,,,7.1441243699,-44.9816487217,,,,,,-9.2637147713,-5.6731490702,401.0874409628,,,-16.8676846626,,,165.7104247437,-41.3835025515,-93.1714077948,,,,-97.0464987957,,,-43.074775412,-8.7786701995,46.7530617615,,,,-96.8983902996,,,38.5457271302,,,-424.0342725693,45.1231636947,,-31.6556230299,,106.3335241789,,,16.0755422184,-78.0697807305,-43.3037603425,,,2028.1023736874,,,,-53.8336924328,,,464.2738489985,-88.2784630751,,,42.6992440225,-33.5796026587,,,-30.9955691395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300458.SZ,300458,全志科技,10195214,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-31 00:00:00,2024-08-22 00:00:00,CNY,723401955.5,,,,,,,,,,,,46274584.25,82238548.74,,0.0,851915088.49,327256023.06,,,,,,183787645.54,22086316.35,285307659.09,,0.0,818437644.04,,0.0,33477444.45,257730785.68,611264.64,,,,,,0.0,258342050.32,25080272.58,480396767.35,,,,278001.0,,0.0,505755040.93,,0.0,-247412990.61,23875449.56,,130000000.0,,313000000.0,,0.0,466875449.56,80600000.0,95820328.2,,,22265319.61,,,0.0,198685647.81,,0.0,268189801.75,4321213.65,,0.0,58575469.24,1151386244.25,,0.0,1209961713.49,-16987459.52,2788748.16,8566505.37,8566505.37,,45337440.67,552414.36,,,,,17932.2,-403047.95,-27875334.48,1325144.96,1232597.0,1645645.85,-413048.85,,168457125.81,86543473.68,-238082683.6,,,0.0,33477444.45,,,,,1209961713.49,1151386244.25,,,,,58575469.24,-11.9631522535,,,,,,,,,,,,-37.4934342443,88.3603656594,,,-9.3124044557,-57.3773723703,,,,,,-10.2029117493,-12.1380729365,648.4125111791,,,-20.9794789712,,,134.7519402627,-26.1017100513,-73.2302119959,,,,,,,-28.1934276617,-55.0363172075,7.9166078357,,,,-96.7861601994,,,-0.7515106739,,,-65.1515304379,45.1231636947,,-56.2089358465,,106.3335241789,,,0.40068515,-64.3445040921,-42.6636107295,,,1173.3460841496,,,,-49.6896780518,,,282.625586738,-74.5530748458,,,136.8239305751,-33.5796026587,,,-23.1484350956,-108.3710544817,-32.092999431,34.0061561324,34.0061561324,,13.2132463016,75.2281260857,,,,,-52.7135730204,99.2691608265,-271.5521321234,72.0273607043,-85.6231084365,-44.354231485,-107.3547282657,,213.835448683,534.3522675116,-83.4892777342,,,,134.7519402627,,,,,-23.1484350956,-33.5796026587,,,,,136.8239305751,,,,,2004587.79,148.7614271056
