日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-27,9.98,10.4,9.92,10.3,11049609.0,294976095.0,213136159.0,0.05184295828470851
2019-11-28,10.29,10.45,10.17,10.33,7800347.0,209258702.0,213136159.0,0.036597952391550795
2019-11-29,10.28,10.61,10.23,10.53,9200254.0,250307550.0,213136159.0,0.0431660870833278
2019-12-02,10.5,10.95,10.42,10.71,12540133.0,349024696.0,213136159.0,0.05883625312024132
2019-12-03,10.63,11.13,10.58,11.12,17938993.0,509083060.0,213136159.0,0.08416682126658762
2019-12-04,11.02,11.19,10.83,11.08,13855637.0,396257177.0,213136159.0,0.06500838273997421
2019-12-05,11.11,11.37,11.01,11.03,20265664.0,589573918.0,213136159.0,0.09508318107581173
2019-12-06,11.03,11.57,10.92,11.46,21853182.0,639198914.0,213136159.0,0.10253155589615369
2019-12-09,11.49,11.64,11.29,11.3,16783731.0,498939253.0,213136159.0,0.07874652090356944
2019-12-10,11.29,11.69,11.21,11.59,16756540.0,499933260.0,213136159.0,0.07861894517860764
2019-12-11,11.53,11.54,10.94,10.95,20244339.0,588453067.0,213136159.0,0.09498312766347639
2019-12-12,10.96,12.04,10.96,11.85,33207997.0,1016240972.0,213136159.0,0.15580649081698053
2019-12-13,11.91,12.81,11.81,12.62,33322186.0,1068272912.0,213136159.0,0.15634224692957896
2019-12-16,12.6,13.06,12.46,12.84,28135069.0,933177539.0,213136159.0,0.13200514230905325
2019-12-17,12.73,12.84,12.37,12.82,23806905.0,781316030.0,213136159.0,0.11169810468433937
2019-12-18,12.78,13.14,12.64,13.07,23060526.0,774050069.0,213136159.0,0.10819621648525626
2019-12-19,13.07,13.59,12.52,12.64,20055928.0,677214662.0,213136159.0,0.09409913406574996
2019-12-20,12.64,13.91,12.47,13.91,29419416.0,1028096096.0,213136159.0,0.13803108838045636
2019-12-23,13.7,13.82,12.51,12.64,30299508.0,1018808567.0,213136159.0,0.1421603361070235
2019-12-24,12.68,12.91,11.92,12.72,18450944.0,603110406.0,213136159.0,0.08656881162994028
2019-12-25,12.6,13.33,12.43,13.09,20256749.0,683928048.0,213136159.0,0.09504135335384363
2019-12-26,13.0,13.13,12.61,12.81,14370380.0,479454460.0,213136159.0,0.0674234727107004
2019-12-27,12.83,12.88,12.25,12.38,14117972.0,460941905.0,213136159.0,0.06623921565556598
2019-12-30,12.22,12.51,11.76,12.31,11620281.0,367473903.0,213136159.0,0.05452045797634929
2019-12-31,12.26,12.65,12.21,12.3,8877460.0,286761303.0,213136159.0,0.041651590427694625
2020-01-02,12.4,13.04,12.3,12.79,14437522.0,478423272.0,213136159.0,0.0677384919937494
2020-01-03,12.81,13.11,12.62,12.89,12586203.0,421213432.0,213136159.0,0.05905240602557729
2020-01-06,12.66,13.21,12.57,13.15,15321960.0,517747398.0,213136159.0,0.0718881304415362
2020-01-07,13.15,13.2,12.95,13.19,11348783.0,385985985.0,213136159.0,0.05324663376334937
2020-01-08,13.07,13.55,12.79,12.83,13514943.0,460846371.0,213136159.0,0.06340990221185322
2020-01-09,13.07,13.22,12.93,13.22,10837898.0,368513697.0,213136159.0,0.05084964489765437
2020-01-10,13.28,13.65,13.25,13.31,14445232.0,504808038.0,213136159.0,0.06777466605279305
2020-01-13,13.27,13.84,12.88,13.79,15935710.0,561213723.0,213136159.0,0.07476774506384906
2020-01-14,13.79,13.79,13.35,13.38,13397860.0,471283991.0,213136159.0,0.0628605679245632
2020-01-15,13.51,14.67,13.46,14.37,22937593.0,841481668.0,213136159.0,0.10761943495472301
2020-01-16,14.32,14.67,14.18,14.29,15231578.0,569791059.0,213136159.0,0.07146407287934657
2020-01-17,13.99,14.15,13.41,13.57,22319016.0,797952191.0,213136159.0,0.10471717283785714
2020-01-20,13.48,13.92,13.29,13.77,14198446.0,506262269.0,213136159.0,0.06661678650219084
2020-01-21,13.73,14.28,13.53,13.97,15684257.0,569995334.0,213136159.0,0.07358796871252615
2020-01-22,13.84,14.56,13.41,14.42,16839379.0,619249753.0,213136159.0,0.07900761221844108
2020-01-23,14.15,15.11,13.65,14.11,21083443.0,793416127.0,213136159.0,0.09892006639755575
2020-02-03,12.69,12.69,12.69,12.69,1194800.0,39452296.0,213136159.0,0.005605806192650774
2020-02-04,11.43,12.8,11.43,12.42,19452550.0,620771229.0,213136159.0,0.09126818317111551
2020-02-05,12.34,12.88,12.23,12.38,16154915.0,528452583.0,213136159.0,0.07579621907327325
2020-02-06,12.23,12.78,12.09,12.63,15051578.0,490033577.0,213136159.0,0.07061954231801654
2020-02-07,12.74,13.59,12.66,13.34,17754467.0,608009574.0,213136159.0,0.08330105545347657
2020-02-10,13.37,13.79,13.26,13.52,15179786.0,535009811.0,213136159.0,0.07122107328583321
2020-02-11,13.67,13.68,13.31,13.32,11648681.0,407758859.0,213136159.0,0.05465370613158136
2020-02-12,13.32,13.94,13.23,13.88,15644750.0,557064095.0,213136159.0,0.07340260832982357
2020-02-13,13.92,14.44,13.67,14.11,19833752.0,726093599.0,213136159.0,0.09305672061022738
2020-02-14,14.38,14.98,14.0,14.3,22587409.0,854303235.0,213136159.0,0.1059764288986741
2020-02-17,14.42,14.75,14.34,14.59,17116202.0,647567449.0,213136159.0,0.080306420460547
2020-02-18,14.65,15.23,14.5,15.18,24538834.0,949871369.0,213136159.0,0.11513219584669347
2020-02-19,15.16,15.16,14.5,14.52,24490110.0,943894750.0,213136159.0,0.11490359080741433
2020-02-20,14.53,14.86,14.23,14.67,16301857.0,619129509.0,213136159.0,0.07648564690517858
2020-02-21,14.6,15.33,14.59,15.19,23768441.0,927458351.0,213136159.0,0.11151763788705604
2020-02-24,15.06,15.88,14.99,15.81,24327046.0,984130098.0,213136159.0,0.11413852118823255
2020-02-25,15.34,15.81,14.49,15.58,26119919.0,1041218061.0,213136159.0,0.12255038808314078
2020-02-26,15.04,15.45,14.19,14.22,20548952.0,790178368.0,213136159.0,0.09641232204057877
2020-02-27,14.4,14.67,13.84,14.22,14444264.0,536371510.0,213136159.0,0.06777012435510767
2020-02-28,13.38,13.65,12.83,12.84,17805975.0,612574081.0,213136159.0,0.08354272256543761
2020-03-02,13.18,13.44,12.89,13.28,10772167.0,369947180.0,213136159.0,0.05054124579583889
2020-03-03,13.61,13.89,13.26,13.44,13999669.0,495527470.0,213136159.0,0.06568415732780471
2020-03-04,13.34,13.64,12.96,13.31,9749698.0,338216170.0,213136159.0,0.045743988470769055
2020-03-05,13.57,13.64,12.92,13.11,12446367.0,425756870.0,213136159.0,0.058396318383498694
2020-03-06,12.92,13.07,12.8,12.93,7683278.0,258463526.0,213136159.0,0.03604868378997109
2020-03-09,12.61,12.79,12.13,12.13,10331941.0,333467027.0,213136159.0,0.048475777401994
2020-03-10,11.98,12.77,11.34,12.77,11687434.0,377776250.0,213136159.0,0.05483552886959927
2020-03-11,12.86,13.05,12.42,12.49,10825994.0,360311736.0,213136159.0,0.05079379327653174
2020-03-12,12.22,12.64,12.15,12.28,6436682.0,207497357.0,213136159.0,0.030199859236461138
2020-03-13,11.59,12.48,11.57,12.33,8493330.0,267990553.0,213136159.0,0.03984931529145179
2020-03-16,12.53,12.66,11.73,11.84,9159433.0,291522170.0,213136159.0,0.0429745616275275
2020-03-17,11.98,12.2,11.42,11.9,7999697.0,246389793.0,213136159.0,0.037533269988223816
2020-03-18,12.03,12.34,11.78,11.79,8464274.0,266442658.0,213136159.0,0.039712989291507315
2020-03-19,11.99,12.23,11.8,12.15,8222012.0,257246231.0,213136159.0,0.038576335609013204
2020-03-20,12.34,12.44,12.05,12.18,6635411.0,210787484.0,213136159.0,0.031132263202697578
2020-03-23,11.84,12.14,11.39,11.46,7147662.0,218702909.0,213136159.0,0.033535661116985784
2020-03-24,11.76,11.82,11.06,11.54,7040825.0,209720110.0,213136159.0,0.03303439938598124
2020-03-25,11.89,11.92,11.53,11.65,6217023.0,189133077.0,213136159.0,0.029169255133287823
2020-03-26,11.52,11.74,11.38,11.42,4671858.0,140510505.0,213136159.0,0.021919593662190373
2020-03-27,11.56,11.59,11.11,11.15,4877269.0,144021114.0,213136159.0,0.022883348479597963
2020-03-30,10.96,10.96,10.39,10.58,6987912.0,193280121.0,213136159.0,0.03278614024380537
2020-03-31,10.76,10.88,10.58,10.58,5057209.0,141256242.0,213136159.0,0.023727597530740902
2020-04-01,10.56,10.89,10.51,10.59,5008165.0,139668427.0,213136159.0,0.023497491103797175
2020-04-02,10.5,11.04,10.5,11.02,6964712.0,196032009.0,213136159.0,0.03267728963812283
2020-04-03,10.99,11.06,10.83,10.86,5251772.0,149391119.0,213136159.0,0.024640455306319
2020-04-07,11.15,11.21,11.0,11.1,5526616.0,159599377.0,213136159.0,0.02592997840408675
2020-04-08,11.11,11.33,11.01,11.22,5990256.0,174131151.0,213136159.0,0.028105301456614877
2020-04-09,11.31,11.31,11.06,11.19,4670455.0,135651786.0,213136159.0,0.02191301101564845
2020-04-10,11.3,11.3,10.8,10.88,4848931.0,139137951.0,213136159.0,0.022750391218225904
2020-04-13,10.75,10.84,10.68,10.7,3231822.0,90334158.0,213136159.0,0.015163180265437738
