日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-08,11.97,12.34,11.62,12.25,8267235.0,257596167.0,238210852.0,0.0347
2021-01-11,12.55,13.02,12.53,12.59,10534929.0,346211492.0,238210852.0,0.0442
2021-01-12,12.54,12.54,12.12,12.32,7212436.0,228102716.0,238210852.0,0.0303
2021-01-13,12.41,12.92,12.09,12.92,10073318.0,324467608.0,260457671.0,0.0387
2021-01-14,12.91,13.28,12.66,13.08,14214237.0,476873625.0,260457671.0,0.0546
2021-01-15,13.01,13.01,12.46,12.71,8704259.0,285713210.0,260457671.0,0.0334
2021-01-18,12.65,13.24,12.57,13.08,9181087.0,308127840.0,260457671.0,0.0352
2021-01-19,13.08,13.36,12.9,13.13,7873361.0,264915595.0,260457671.0,0.0302
2021-01-20,13.09,13.29,12.94,13.14,6219759.0,210066900.0,260457671.0,0.0239
2021-01-21,13.38,13.48,12.93,13.05,7256356.0,245404326.0,260457671.0,0.0279
2021-01-22,12.93,12.98,12.38,12.54,8663590.0,280840755.0,260457671.0,0.0333
2021-01-25,12.22,12.77,12.17,12.72,5758001.0,185798407.0,260457671.0,0.0221
2021-01-26,12.59,12.72,11.72,11.73,9960673.0,309522288.0,260457671.0,0.0382
2021-01-27,11.85,12.04,11.69,11.78,5926256.0,180710423.0,260457671.0,0.0228
2021-01-28,11.64,11.78,11.28,11.55,6470011.0,191659169.0,260457671.0,0.0248
2021-01-29,11.55,11.64,11.07,11.16,5759453.0,166593250.0,260457671.0,0.0221
2021-02-01,11.2,11.5,11.19,11.46,5011536.0,147147735.0,260457671.0,0.0192
2021-02-02,11.53,11.83,11.47,11.65,5057846.0,151949853.0,260457671.0,0.0194
2021-02-03,11.77,11.88,11.38,11.41,3887592.0,115774529.0,260457671.0,0.0149
2021-02-04,11.26,11.38,10.84,11.29,5623474.0,160465208.0,260457671.0,0.0216
2021-02-05,11.26,11.49,11.15,11.23,4830668.0,140958528.0,260457671.0,0.0185
2021-02-08,11.38,11.87,11.18,11.77,7333850.0,220061066.0,260457671.0,0.0282
2021-02-09,11.72,11.83,11.57,11.8,6074310.0,183283349.0,260457671.0,0.0233
2021-02-10,11.78,11.79,11.57,11.64,4912801.0,147464092.0,260457671.0,0.0189
2021-02-18,11.86,12.13,11.79,11.85,6783597.0,208401929.0,260457671.0,0.026
2021-02-19,11.83,12.1,11.64,12.09,6237366.0,191393753.0,260457671.0,0.0239
2021-02-22,12.09,12.28,11.81,11.84,7610230.0,237290712.0,260457671.0,0.0292
2021-02-23,11.71,12.08,11.57,11.91,5959738.0,181499944.0,260457671.0,0.0229
2021-02-24,11.88,12.23,11.85,12.0,7791509.0,242128781.0,260457671.0,0.0299
2021-02-25,12.12,12.13,11.59,11.66,5652666.0,171154184.0,260457671.0,0.0217
2021-02-26,11.5,11.72,11.34,11.4,4393451.0,130257915.0,260457671.0,0.0169
2021-03-01,11.53,12.14,11.5,12.13,8610573.0,265158555.0,260457671.0,0.0331
2021-03-02,12.16,12.33,11.98,12.19,6665469.0,208259865.0,260457671.0,0.0256
2021-03-03,12.1,12.33,12.1,12.28,5618821.0,177180029.0,260457671.0,0.0216
2021-03-04,12.25,12.49,11.92,11.99,6291362.0,196902054.0,260457671.0,0.0242
2021-03-05,11.86,12.12,11.85,12.04,3484503.0,107968291.0,260457671.0,0.0134
2021-03-08,12.16,12.16,11.49,11.5,6732298.0,204551514.0,260457671.0,0.0258
2021-03-09,11.46,11.58,11.0,11.0,5355246.0,154890687.0,260457671.0,0.0206
2021-03-10,11.12,11.17,10.76,10.8,3943490.0,110715558.0,260457671.0,0.0151
2021-03-11,10.8,11.29,10.68,11.17,3911655.0,111023819.0,260457671.0,0.015
2021-03-12,11.17,11.21,10.87,10.92,2863980.0,80845526.0,260457671.0,0.011
2021-03-15,10.84,10.94,10.53,10.61,3710904.0,101520623.0,260457671.0,0.0142
2021-03-16,10.64,10.7,10.49,10.59,2669736.0,72769732.0,260457671.0,0.0103
2021-03-17,10.62,10.77,10.56,10.72,2844623.0,78318133.0,260457671.0,0.0109
2021-03-18,10.74,10.77,10.4,10.4,4519051.0,122759856.0,260457671.0,0.0174
2021-03-19,10.28,10.7,10.26,10.58,4213903.0,114855967.0,260457671.0,0.0162
2021-03-22,10.55,10.74,10.55,10.69,2028521.0,55677905.0,260457671.0,0.0078
2021-03-23,10.68,11.06,10.64,10.8,4151835.0,116385888.0,260457671.0,0.0159
2021-03-24,10.65,10.8,10.61,10.64,2424722.0,66660244.0,260457671.0,0.0093
2021-03-25,10.68,10.86,10.61,10.78,2836319.0,78772272.0,260457671.0,0.0109
2021-03-26,10.85,10.98,10.8,10.91,3159304.0,88737720.0,260457671.0,0.0121
2021-03-29,11.03,11.33,10.99,11.24,5473028.0,158002221.0,260457671.0,0.021
2021-03-30,11.22,11.22,10.96,11.12,3628973.0,103320844.0,260457671.0,0.0139
2021-03-31,12.43,13.34,12.23,13.34,26847413.0,891814619.0,260457671.0,0.1031
2021-04-01,14.37,15.62,14.1,14.84,40392058.0,1541214387.0,260457671.0,0.1551
2021-04-02,15.15,16.01,15.0,15.34,37831738.0,1511842083.0,260457671.0,0.1453
2021-04-06,15.64,16.42,15.44,16.08,27811101.0,1144061273.0,260457671.0,0.1068
2021-04-07,15.72,16.28,15.6,15.95,24502828.0,1003874420.0,260457671.0,0.0941
2021-04-08,16.26,16.78,15.92,16.7,25454224.0,1083360591.0,260457671.0,0.0977
2021-04-09,16.39,17.66,16.39,17.46,25609765.0,1126405200.0,260457671.0,0.0983
2021-04-12,17.44,18.06,16.45,16.7,25816278.0,1140081700.0,260457671.0,0.0991
